#  H:    Z = 1;   Atomic weight = 1.008000 g/mol ;    nominal density:   [INLINE] = 8.9870E-05 g/cm3
#         a(barns/atom) = (cm2/g)    1.67382E+00
#         E(eV) (cm2/g) = f2(e/atom)    4.17463E+07
#         1 edge. K Edge energy (keV) = 1.36000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.0519E-04, 0.0000E+00 e/atom
#         Nuclear Thomson correction fNT = -5.4423E-04 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=01, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.38102837e-01  0.00000000e+00  0.00000000e+00  7.39000000e-04  0.00000000e+00
1.02010000e-03  6.38084015e-01  0.00000000e+00  0.00000000e+00  7.64000000e-04  0.00000000e+00
1.03030100e-03  6.38064811e-01  0.00000000e+00  0.00000000e+00  7.89800000e-04  0.00000000e+00
1.04060400e-03  6.38045218e-01  0.00000000e+00  0.00000000e+00  8.16400000e-04  0.00000000e+00
1.05101010e-03  6.38025228e-01  0.00000000e+00  0.00000000e+00  8.43900000e-04  0.00000000e+00
1.06152010e-03  6.38004833e-01  0.00000000e+00  0.00000000e+00  8.72200000e-04  0.00000000e+00
1.07213530e-03  6.37984025e-01  0.00000000e+00  0.00000000e+00  9.01300000e-04  0.00000000e+00
1.08285670e-03  6.37962795e-01  0.00000000e+00  0.00000000e+00  9.31400000e-04  0.00000000e+00
1.09368520e-03  6.37941135e-01  0.00000000e+00  0.00000000e+00  9.62400000e-04  0.00000000e+00
1.10462210e-03  6.37919036e-01  0.00000000e+00  0.00000000e+00  9.94300000e-04  0.00000000e+00
1.11566830e-03  6.37896489e-01  0.00000000e+00  0.00000000e+00  1.02700000e-03  0.00000000e+00
1.12682500e-03  6.37873485e-01  0.00000000e+00  0.00000000e+00  1.06100000e-03  0.00000000e+00
1.13809320e-03  6.37850014e-01  0.00000000e+00  0.00000000e+00  1.09600000e-03  0.00000000e+00
1.14947410e-03  6.37826067e-01  0.00000000e+00  0.00000000e+00  1.13200000e-03  0.00000000e+00
1.16096880e-03  6.37801634e-01  0.00000000e+00  0.00000000e+00  1.16900000e-03  0.00000000e+00
1.17257850e-03  6.37776706e-01  0.00000000e+00  0.00000000e+00  1.20700000e-03  0.00000000e+00
1.18430430e-03  6.37751271e-01  0.00000000e+00  0.00000000e+00  1.24700000e-03  0.00000000e+00
1.19614730e-03  6.37725320e-01  0.00000000e+00  0.00000000e+00  1.28700000e-03  0.00000000e+00
1.20810880e-03  6.37698842e-01  0.00000000e+00  0.00000000e+00  1.32900000e-03  0.00000000e+00
1.22018990e-03  6.37671827e-01  0.00000000e+00  0.00000000e+00  1.37200000e-03  0.00000000e+00
1.23239180e-03  6.37644262e-01  0.00000000e+00  0.00000000e+00  1.41600000e-03  0.00000000e+00
1.24471570e-03  6.37616138e-01  0.00000000e+00  0.00000000e+00  1.46200000e-03  0.00000000e+00
1.25716280e-03  6.37587442e-01  0.00000000e+00  0.00000000e+00  1.50800000e-03  0.00000000e+00
1.26973440e-03  6.37558162e-01  0.00000000e+00  0.00000000e+00  1.55700000e-03  0.00000000e+00
1.28243180e-03  6.37528288e-01  0.00000000e+00  0.00000000e+00  1.60600000e-03  0.00000000e+00
