#  He:    Z = 2;   Atomic weight = 4.003000 g/mol ;    nominal density:   [INLINE] = 1.6640E-04 g/cm3
#         a(barns/atom) = (cm2/g)    6.64714E+00
#         E(eV) (cm2/g) = f2(e/atom)    1.05122E+07
#         1 edge. K Edge energy (keV) = 2.46000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -4.2952E-04, 0.0000E+00 e/atom
#         Nuclear Thomson correction fNT = -5.4817E-04 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=02, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.98961426e-01  0.00000000e+00  0.00000000e+00  5.12000000e-13  0.00000000e+00
1.02010000e-03  8.98947060e-01  0.00000000e+00  0.00000000e+00  5.61800000e-13  0.00000000e+00
1.03030100e-03  8.98932402e-01  0.00000000e+00  0.00000000e+00  6.16200000e-13  0.00000000e+00
1.04060400e-03  8.98917449e-01  0.00000000e+00  0.00000000e+00  6.75900000e-13  0.00000000e+00
1.05101010e-03  8.98902193e-01  0.00000000e+00  0.00000000e+00  7.41100000e-13  0.00000000e+00
1.06152010e-03  8.98886630e-01  0.00000000e+00  0.00000000e+00  8.12500000e-13  0.00000000e+00
1.07213530e-03  8.98870754e-01  0.00000000e+00  0.00000000e+00  8.90600000e-13  0.00000000e+00
1.08285670e-03  8.98854557e-01  0.00000000e+00  0.00000000e+00  9.76000000e-13  0.00000000e+00
1.09368520e-03  8.98838034e-01  0.00000000e+00  0.00000000e+00  1.06900000e-12  0.00000000e+00
1.10462210e-03  8.98821178e-01  0.00000000e+00  0.00000000e+00  1.17100000e-12  0.00000000e+00
1.11566830e-03  8.98803982e-01  0.00000000e+00  0.00000000e+00  1.28300000e-12  0.00000000e+00
1.12682500e-03  8.98786440e-01  0.00000000e+00  0.00000000e+00  1.40500000e-12  0.00000000e+00
1.13809320e-03  8.98768544e-01  0.00000000e+00  0.00000000e+00  1.53800000e-12  0.00000000e+00
1.14947410e-03  8.98750287e-01  0.00000000e+00  0.00000000e+00  1.68400000e-12  0.00000000e+00
1.16096880e-03  8.98731662e-01  0.00000000e+00  0.00000000e+00  1.84300000e-12  0.00000000e+00
1.17257850e-03  8.98712662e-01  0.00000000e+00  0.00000000e+00  2.01700000e-12  0.00000000e+00
1.18430430e-03  8.98693279e-01  0.00000000e+00  0.00000000e+00  2.20600000e-12  0.00000000e+00
1.19614730e-03  8.98673505e-01  0.00000000e+00  0.00000000e+00  2.41300000e-12  0.00000000e+00
1.20810880e-03  8.98653333e-01  0.00000000e+00  0.00000000e+00  2.63900000e-12  0.00000000e+00
1.22018990e-03  8.98632754e-01  0.00000000e+00  0.00000000e+00  2.88600000e-12  0.00000000e+00
1.23239180e-03  8.98611760e-01  0.00000000e+00  0.00000000e+00  3.15500000e-12  0.00000000e+00
1.24471570e-03  8.98590342e-01  0.00000000e+00  0.00000000e+00  3.44800000e-12  0.00000000e+00
1.25716280e-03  8.98568493e-01  0.00000000e+00  0.00000000e+00  3.76800000e-12  0.00000000e+00
1.26973440e-03  8.98546203e-01  0.00000000e+00  0.00000000e+00  4.11700000e-12  0.00000000e+00
1.28243180e-03  8.98523464e-01  0.00000000e+00  0.00000000e+00  4.49800000e-12  0.00000000e+00
1.29525610e-03  8.98500266e-01  0.00000000e+00  0.00000000e+00  4.91300000e-12  0.00000000e+00
1.30820860e-03  8.98476600e-01  0.00000000e+00  0.00000000e+00  5.36500000e-12  0.00000000e+00
1.32129070e-03  8.98452457e-01  0.00000000e+00  0.00000000e+00  5.85700000e-12  0.00000000e+00
