#  Li:    Z = 3;   Atomic weight = 6.941000 g/mol ;    nominal density:   [INLINE] = 5.3300E-01 g/cm3
#         a(barns/atom) = (cm2/g)    1.15258E+01
#         E(eV) (cm2/g) = f2(e/atom)    6.06257E+06
#         2 edges. Edge energies (keV):
# K      5.47500E-02  L I    5.34000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -9.8613E-04, -6.0000E-04 e/atom
#         Nuclear Thomson correction fNT = -7.1131E-04 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=03, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.04549879e+00  0.00000000e+00  0.00000000e+00  2.10800000e-10  0.00000000e+00
1.02010000e-03  1.04545999e+00  0.00000000e+00  0.00000000e+00  2.21000000e-10  0.00000000e+00
1.03030100e-03  1.04542037e+00  0.00000000e+00  0.00000000e+00  2.31800000e-10  0.00000000e+00
1.04060400e-03  1.04537993e+00  0.00000000e+00  0.00000000e+00  2.43000000e-10  0.00000000e+00
1.05101010e-03  1.04533864e+00  0.00000000e+00  0.00000000e+00  2.54800000e-10  0.00000000e+00
1.06152010e-03  1.04529649e+00  0.00000000e+00  0.00000000e+00  2.67100000e-10  0.00000000e+00
1.07213530e-03  1.04525347e+00  0.00000000e+00  0.00000000e+00  2.80000000e-10  0.00000000e+00
1.08285670e-03  1.04520955e+00  0.00000000e+00  0.00000000e+00  2.93500000e-10  0.00000000e+00
1.09368520e-03  1.04516471e+00  0.00000000e+00  0.00000000e+00  3.07600000e-10  0.00000000e+00
1.10462210e-03  1.04511894e+00  0.00000000e+00  0.00000000e+00  3.22300000e-10  0.00000000e+00
1.11566830e-03  1.04507221e+00  0.00000000e+00  0.00000000e+00  3.37800000e-10  0.00000000e+00
1.12682500e-03  1.04502451e+00  0.00000000e+00  0.00000000e+00  3.54000000e-10  0.00000000e+00
1.13809320e-03  1.04497581e+00  0.00000000e+00  0.00000000e+00  3.70900000e-10  0.00000000e+00
1.14947410e-03  1.04492609e+00  0.00000000e+00  0.00000000e+00  3.88600000e-10  0.00000000e+00
1.16096880e-03  1.04487533e+00  0.00000000e+00  0.00000000e+00  4.07200000e-10  0.00000000e+00
1.17257850e-03  1.04482351e+00  0.00000000e+00  0.00000000e+00  4.26500000e-10  0.00000000e+00
1.18430430e-03  1.04477060e+00  0.00000000e+00  0.00000000e+00  4.46800000e-10  0.00000000e+00
1.19614730e-03  1.04471658e+00  0.00000000e+00  0.00000000e+00  4.68000000e-10  0.00000000e+00
1.20810880e-03  1.04466143e+00  0.00000000e+00  0.00000000e+00  4.90200000e-10  0.00000000e+00
1.22018990e-03  1.04460512e+00  0.00000000e+00  0.00000000e+00  5.13400000e-10  0.00000000e+00
1.23239180e-03  1.04454762e+00  0.00000000e+00  0.00000000e+00  5.37600000e-10  0.00000000e+00
1.24471570e-03  1.04448891e+00  0.00000000e+00  0.00000000e+00  5.63000000e-10  0.00000000e+00
1.25716280e-03  1.04442896e+00  0.00000000e+00  0.00000000e+00  5.89500000e-10  0.00000000e+00
1.26973440e-03  1.04436775e+00  0.00000000e+00  0.00000000e+00  6.17200000e-10  0.00000000e+00
1.28243180e-03  1.04430524e+00  0.00000000e+00  0.00000000e+00  6.46200000e-10  0.00000000e+00
1.29525610e-03  1.04424142e+00  0.00000000e+00  0.00000000e+00  6.76500000e-10  0.00000000e+00
1.30820860e-03  1.04417624e+00  0.00000000e+00  0.00000000e+00  7.08200000e-10  0.00000000e+00
1.32129070e-03  1.04410968e+00  0.00000000e+00  0.00000000e+00  7.41300000e-10  0.00000000e+00
1.33450360e-03  1.04404171e+00  0.00000000e+00  0.00000000e+00  7.75900000e-10  0.00000000e+00
1.34784860e-03  1.04397229e+00  0.00000000e+00  0.00000000e+00  8.12100000e-10  0.00000000e+00
1.36132710e-03  1.04390140e+00  0.00000000e+00  0.00000000e+00  8.49900000e-10  0.00000000e+00
1.37494030e-03  1.04382900e+00  0.00000000e+00  0.00000000e+00  8.89400000e-10  0.00000000e+00
1.38868970e-03  1.04375506e+00  0.00000000e+00  0.00000000e+00  9.30600000e-10  0.00000000e+00
1.40257660e-03  1.04367954e+00  0.00000000e+00  0.00000000e+00  9.73700000e-10  0.00000000e+00
1.41660240e-03  1.04360240e+00  0.00000000e+00  0.00000000e+00  1.01900000e-09  0.00000000e+00
1.43076840e-03  1.04352362e+00  0.00000000e+00  0.00000000e+00  1.06600000e-09  0.00000000e+00
1.44507600e-03  1.04344315e+00  0.00000000e+00  0.00000000e+00  1.11500000e-09  0.00000000e+00
1.45952680e-03  1.04336095e+00  0.00000000e+00  0.00000000e+00  1.16600000e-09  0.00000000e+00
1.47412200e-03  1.04327698e+00  0.00000000e+00  0.00000000e+00  1.22000000e-09  0.00000000e+00
1.48886320e-03  1.04319121e+00  0.00000000e+00  0.00000000e+00  1.27600000e-09  0.00000000e+00
1.50375190e-03  1.04310359e+00  0.00000000e+00  0.00000000e+00  1.33400000e-09  0.00000000e+00
1.51878940e-03  1.04301409e+00  0.00000000e+00  0.00000000e+00  1.39600000e-09  0.00000000e+00
1.53397720e-03  1.04292264e+00  0.00000000e+00  0.00000000e+00  1.45900000e-09  0.00000000e+00
1.54931700e-03  1.04282922e+00  0.00000000e+00  0.00000000e+00  1.52600000e-09  0.00000000e+00
1.56481020e-03  1.04273378e+00  0.00000000e+00  0.00000000e+00  1.59500000e-09  0.00000000e+00
1.58045820e-03  1.04263626e+00  0.00000000e+00  0.00000000e+00  1.66800000e-09  0.00000000e+00
1.59626280e-03  1.04253662e+00  0.00000000e+00  0.00000000e+00  1.74400000e-09  0.00000000e+00
1.61222540e-03  1.04243481e+00  0.00000000e+00  0.00000000e+00  1.82300000e-09  0.00000000e+00
1.62834770e-03  1.04233079e+00  0.00000000e+00  0.00000000e+00  1.90500000e-09  0.00000000e+00
1.64463110e-03  1.04222448e+00  0.00000000e+00  0.00000000e+00  1.99200000e-09  0.00000000e+00
1.66107740e-03  1.04211585e+00  0.00000000e+00  0.00000000e+00  2.08200000e-09  0.00000000e+00
1.67768820e-03  1.04200484e+00  0.00000000e+00  0.00000000e+00  2.17500000e-09  0.00000000e+00
1.69446500e-03  1.04189139e+00  0.00000000e+00  0.00000000e+00  2.27300000e-09  0.00000000e+00
1.71140970e-03  1.04177544e+00  0.00000000e+00  0.00000000e+00  2.37500000e-09  0.00000000e+00
1.72852380e-03  1.04165693e+00  0.00000000e+00  0.00000000e+00  2.48200000e-09  0.00000000e+00
1.74580900e-03  1.04153581e+00  0.00000000e+00  0.00000000e+00  2.59300000e-09  0.00000000e+00
1.76326710e-03  1.04141200e+00  0.00000000e+00  0.00000000e+00  2.70900000e-09  0.00000000e+00
1.78089970e-03  1.04128544e+00  0.00000000e+00  0.00000000e+00  2.83000000e-09  0.00000000e+00
1.79870870e-03  1.04115606e+00  0.00000000e+00  0.00000000e+00  2.95700000e-09  0.00000000e+00
1.81669580e-03  1.04102381e+00  0.00000000e+00  0.00000000e+00  3.08800000e-09  0.00000000e+00
1.83486270e-03  1.04088859e+00  0.00000000e+00  0.00000000e+00  3.22600000e-09  0.00000000e+00
1.85321130e-03  1.04075035e+00  0.00000000e+00  0.00000000e+00  3.36900000e-09  0.00000000e+00
1.87174340e-03  1.04060901e+00  0.00000000e+00  0.00000000e+00  3.51900000e-09  0.00000000e+00
1.89046080e-03  1.04046449e+00  0.00000000e+00  0.00000000e+00  3.67400000e-09  0.00000000e+00
1.90936540e-03  1.04031670e+00  0.00000000e+00  0.00000000e+00  3.83700000e-09  0.00000000e+00
1.92845900e-03  1.04016558e+00  0.00000000e+00  0.00000000e+00  4.00600000e-09  0.00000000e+00
1.94774360e-03  1.04001102e+00  0.00000000e+00  0.00000000e+00  4.18300000e-09  0.00000000e+00
1.96722100e-03  1.03985296e+00  0.00000000e+00  0.00000000e+00  4.36700000e-09  0.00000000e+00
1.98689320e-03  1.03969129e+00  0.00000000e+00  0.00000000e+00  4.55900000e-09  0.00000000e+00
2.00676210e-03  1.03952592e+00  0.00000000e+00  0.00000000e+00  4.75900000e-09  0.00000000e+00
2.02682970e-03  1.03935677e+00  0.00000000e+00  0.00000000e+00  4.96800000e-09  0.00000000e+00
2.04709800e-03  1.03918372e+00  0.00000000e+00  0.00000000e+00  5.18500000e-09  0.00000000e+00
2.06756900e-03  1.03900669e+00  0.00000000e+00  0.00000000e+00  5.41200000e-09  0.00000000e+00
2.08824460e-03  1.03882556e+00  0.00000000e+00  0.00000000e+00  5.64800000e-09  0.00000000e+00
2.10912710e-03  1.03864023e+00  0.00000000e+00  0.00000000e+00  5.89400000e-09  0.00000000e+00
2.13021830e-03  1.03845059e+00  0.00000000e+00  0.00000000e+00  6.15000000e-09  0.00000000e+00
2.15152050e-03  1.03825651e+00  0.00000000e+00  0.00000000e+00  6.41800000e-09  0.00000000e+00
2.17303570e-03  1.03805789e+00  0.00000000e+00  0.00000000e+00  6.69600000e-09  0.00000000e+00
2.19476600e-03  1.03785460e+00  0.00000000e+00  0.00000000e+00  6.98600000e-09  0.00000000e+00
2.21671360e-03  1.03764652e+00  0.00000000e+00  0.00000000e+00  7.28800000e-09  0.00000000e+00
2.23888080e-03  1.03743350e+00  0.00000000e+00  0.00000000e+00  7.60300000e-09  0.00000000e+00
2.26126950e-03  1.03721542e+00  0.00000000e+00  0.00000000e+00  7.93100000e-09  0.00000000e+00
2.28388220e-03  1.03699214e+00  0.00000000e+00  0.00000000e+00  8.27300000e-09  0.00000000e+00
2.30672100e-03  1.03676351e+00  0.00000000e+00  0.00000000e+00  8.62900000e-09  0.00000000e+00
2.32978820e-03  1.03652938e+00  0.00000000e+00  0.00000000e+00  9.00000000e-09  0.00000000e+00
2.35308610e-03  1.03628960e+00  0.00000000e+00  0.00000000e+00  9.38600000e-09  0.00000000e+00
2.37661690e-03  1.03604400e+00  0.00000000e+00  0.00000000e+00  9.78800000e-09  0.00000000e+00
2.40038310e-03  1.03579243e+00  0.00000000e+00  0.00000000e+00  1.02100000e-08  0.00000000e+00
2.42438690e-03  1.03553469e+00  0.00000000e+00  0.00000000e+00  1.06400000e-08  0.00000000e+00
2.44863070e-03  1.03527062e+00  0.00000000e+00  0.00000000e+00  1.11000000e-08  0.00000000e+00
2.47311700e-03  1.03500004e+00  0.00000000e+00  0.00000000e+00  1.15700000e-08  0.00000000e+00
2.49784810e-03  1.03472274e+00  0.00000000e+00  0.00000000e+00  1.20600000e-08  0.00000000e+00
2.52282660e-03  1.03443852e+00  0.00000000e+00  0.00000000e+00  1.25700000e-08  0.00000000e+00
2.54805480e-03  1.03414719e+00  0.00000000e+00  0.00000000e+00  1.31100000e-08  0.00000000e+00
2.57353540e-03  1.03384851e+00  0.00000000e+00  0.00000000e+00  1.36600000e-08  0.00000000e+00
2.59927070e-03  1.03354227e+00  0.00000000e+00  0.00000000e+00  1.42400000e-08  0.00000000e+00
2.62526340e-03  1.03322823e+00  0.00000000e+00  0.00000000e+00  1.48400000e-08  0.00000000e+00
2.65151600e-03  1.03290615e+00  0.00000000e+00  0.00000000e+00  1.54700000e-08  0.00000000e+00
2.67803110e-03  1.03257578e+00  0.00000000e+00  0.00000000e+00  1.61200000e-08  0.00000000e+00
2.70481140e-03  1.03223684e+00  0.00000000e+00  0.00000000e+00  1.68000000e-08  0.00000000e+00
2.73185950e-03  1.03188907e+00  0.00000000e+00  0.00000000e+00  1.75100000e-08  0.00000000e+00
2.75917810e-03  1.03153218e+00  0.00000000e+00  0.00000000e+00  1.82400000e-08  0.00000000e+00
2.78676980e-03  1.03116586e+00  0.00000000e+00  0.00000000e+00  1.90100000e-08  0.00000000e+00
2.81463750e-03  1.03078980e+00  0.00000000e+00  0.00000000e+00  1.98000000e-08  0.00000000e+00
2.84278380e-03  1.03040368e+00  0.00000000e+00  0.00000000e+00  2.06300000e-08  0.00000000e+00
2.87121160e-03  1.03000715e+00  0.00000000e+00  0.00000000e+00  2.15000000e-08  0.00000000e+00
2.89992370e-03  1.02959986e+00  0.00000000e+00  0.00000000e+00  2.23900000e-08  0.00000000e+00
2.92892290e-03  1.02918142e+00  0.00000000e+00  0.00000000e+00  2.33300000e-08  0.00000000e+00
2.95821210e-03  1.02875144e+00  0.00000000e+00  0.00000000e+00  2.43000000e-08  0.00000000e+00
2.98779420e-03  1.02830952e+00  0.00000000e+00  0.00000000e+00  2.53100000e-08  0.00000000e+00
3.01767220e-03  1.02785522e+00  0.00000000e+00  0.00000000e+00  2.63600000e-08  0.00000000e+00
3.04784880e-03  1.02738808e+00  0.00000000e+00  0.00000000e+00  2.74500000e-08  0.00000000e+00
3.07832730e-03  1.02690762e+00  0.00000000e+00  0.00000000e+00  2.85900000e-08  0.00000000e+00
3.10911050e-03  1.02641334e+00  0.00000000e+00  0.00000000e+00  2.97800000e-08  0.00000000e+00
3.14020160e-03  1.02590472e+00  0.00000000e+00  0.00000000e+00  3.10100000e-08  0.00000000e+00
3.17160360e-03  1.02538130e+00  0.00000000e+00  0.00000000e+00  3.22900000e-08  0.00000000e+00
3.20331960e-03  1.02484229e+00  0.00000000e+00  0.00000000e+00  3.36200000e-08  0.00000000e+00
3.23535280e-03  1.02428716e+00  0.00000000e+00  0.00000000e+00  3.50100000e-08  0.00000000e+00
3.26770630e-03  1.02371526e+00  0.00000000e+00  0.00000000e+00  3.64500000e-08  0.00000000e+00
3.30038330e-03  1.02312589e+00  0.00000000e+00  0.00000000e+00  3.79500000e-08  0.00000000e+00
3.33338710e-03  1.02251831e+00  0.00000000e+00  0.00000000e+00  3.95100000e-08  0.00000000e+00
3.36672100e-03  1.02189174e+00  0.00000000e+00  0.00000000e+00  4.11300000e-08  0.00000000e+00
3.40038810e-03  1.02124534e+00  0.00000000e+00  0.00000000e+00  4.28200000e-08  0.00000000e+00
3.43439200e-03  1.02057824e+00  0.00000000e+00  0.00000000e+00  4.45700000e-08  0.00000000e+00
3.46873590e-03  1.01988949e+00  0.00000000e+00  0.00000000e+00  4.64000000e-08  0.00000000e+00
3.50342320e-03  1.01917808e+00  0.00000000e+00  0.00000000e+00  4.83000000e-08  0.00000000e+00
3.53845740e-03  1.01844294e+00  0.00000000e+00  0.00000000e+00  5.02700000e-08  0.00000000e+00
3.57384190e-03  1.01768293e+00  0.00000000e+00  0.00000000e+00  5.23200000e-08  0.00000000e+00
3.60958030e-03  1.01689681e+00  0.00000000e+00  0.00000000e+00  5.44600000e-08  0.00000000e+00
3.64567610e-03  1.01608326e+00  0.00000000e+00  0.00000000e+00  5.66800000e-08  0.00000000e+00
3.68213280e-03  1.01524086e+00  0.00000000e+00  0.00000000e+00  5.89900000e-08  0.00000000e+00
3.71895410e-03  1.01436807e+00  0.00000000e+00  0.00000000e+00  6.13900000e-08  0.00000000e+00
3.75614360e-03  1.01346325e+00  0.00000000e+00  0.00000000e+00  6.38900000e-08  0.00000000e+00
3.79370500e-03  1.01252461e+00  0.00000000e+00  0.00000000e+00  6.64900000e-08  0.00000000e+00
3.83164200e-03  1.01155020e+00  0.00000000e+00  0.00000000e+00  6.91900000e-08  0.00000000e+00
3.86995840e-03  1.01053792e+00  0.00000000e+00  0.00000000e+00  7.20000000e-08  0.00000000e+00
3.90865800e-03  1.00948546e+00  0.00000000e+00  0.00000000e+00  7.49200000e-08  0.00000000e+00
3.94774450e-03  1.00839032e+00  0.00000000e+00  0.00000000e+00  7.79600000e-08  0.00000000e+00
3.98722190e-03  1.00724973e+00  0.00000000e+00  0.00000000e+00  8.11200000e-08  0.00000000e+00
4.02709410e-03  1.00606067e+00  0.00000000e+00  0.00000000e+00  8.44000000e-08  0.00000000e+00
4.06736500e-03  1.00481981e+00  0.00000000e+00  0.00000000e+00  8.78200000e-08  0.00000000e+00
4.10803860e-03  1.00352343e+00  0.00000000e+00  0.00000000e+00  9.13700000e-08  0.00000000e+00
4.14911890e-03  1.00216744e+00  0.00000000e+00  0.00000000e+00  9.50700000e-08  0.00000000e+00
4.19061010e-03  1.00074725e+00  0.00000000e+00  0.00000000e+00  9.89100000e-08  0.00000000e+00
4.23251620e-03  9.99257717e-01  0.00000000e+00  0.00000000e+00  1.02900000e-07  0.00000000e+00
