#  Be:    Z = 4;   Atomic weight = 9.012180 g/mol ;    nominal density:   [INLINE] = 1.8450E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.49651E+01
#         E(eV) (cm2/g) = f2(e/atom)    4.66927E+06
#         2 edges. Edge energies (keV):
# K      1.11000E-01  L I    8.42000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.7882E-03, -6.0000E-04 e/atom
#         Nuclear Thomson correction fNT = -9.7394E-04 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=04, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.74092883e+00  0.00000000e+00  0.00000000e+00  1.84000000e-09  0.00000000e+00
1.02010000e-03  1.74092763e+00  0.00000000e+00  0.00000000e+00  1.92500000e-09  0.00000000e+00
1.03030100e-03  1.74091358e+00  0.00000000e+00  0.00000000e+00  2.01300000e-09  0.00000000e+00
1.04060400e-03  1.74089608e+00  0.00000000e+00  0.00000000e+00  2.10500000e-09  0.00000000e+00
1.05101010e-03  1.74087643e+00  0.00000000e+00  0.00000000e+00  2.20200000e-09  0.00000000e+00
1.06152010e-03  1.74085520e+00  0.00000000e+00  0.00000000e+00  2.30300000e-09  0.00000000e+00
1.07213530e-03  1.74083271e+00  0.00000000e+00  0.00000000e+00  2.40800000e-09  0.00000000e+00
1.08285670e-03  1.74080915e+00  0.00000000e+00  0.00000000e+00  2.51900000e-09  0.00000000e+00
1.09368520e-03  1.74078462e+00  0.00000000e+00  0.00000000e+00  2.63400000e-09  0.00000000e+00
1.10462210e-03  1.74075921e+00  0.00000000e+00  0.00000000e+00  2.75500000e-09  0.00000000e+00
1.11566830e-03  1.74073296e+00  0.00000000e+00  0.00000000e+00  2.88200000e-09  0.00000000e+00
1.12682500e-03  1.74070590e+00  0.00000000e+00  0.00000000e+00  3.01400000e-09  0.00000000e+00
1.13809320e-03  1.74067807e+00  0.00000000e+00  0.00000000e+00  3.15300000e-09  0.00000000e+00
1.14947410e-03  1.74064946e+00  0.00000000e+00  0.00000000e+00  3.29800000e-09  0.00000000e+00
1.16096880e-03  1.74062009e+00  0.00000000e+00  0.00000000e+00  3.45000000e-09  0.00000000e+00
1.17257850e-03  1.74058997e+00  0.00000000e+00  0.00000000e+00  3.60900000e-09  0.00000000e+00
1.18430430e-03  1.74055910e+00  0.00000000e+00  0.00000000e+00  3.77500000e-09  0.00000000e+00
1.19614730e-03  1.74052746e+00  0.00000000e+00  0.00000000e+00  3.94900000e-09  0.00000000e+00
1.20810880e-03  1.74049507e+00  0.00000000e+00  0.00000000e+00  4.13100000e-09  0.00000000e+00
1.22018990e-03  1.74046191e+00  0.00000000e+00  0.00000000e+00  4.32100000e-09  0.00000000e+00
1.23239180e-03  1.74042797e+00  0.00000000e+00  0.00000000e+00  4.52100000e-09  0.00000000e+00
1.24471570e-03  1.74039326e+00  0.00000000e+00  0.00000000e+00  4.73000000e-09  0.00000000e+00
1.25716280e-03  1.74035774e+00  0.00000000e+00  0.00000000e+00  4.94900000e-09  0.00000000e+00
1.26973440e-03  1.74032143e+00  0.00000000e+00  0.00000000e+00  5.17800000e-09  0.00000000e+00
1.28243180e-03  1.74028430e+00  0.00000000e+00  0.00000000e+00  5.41800000e-09  0.00000000e+00
1.29525610e-03  1.74024634e+00  0.00000000e+00  0.00000000e+00  5.66900000e-09  0.00000000e+00
1.30820860e-03  1.74020754e+00  0.00000000e+00  0.00000000e+00  5.93200000e-09  0.00000000e+00
1.32129070e-03  1.74016789e+00  0.00000000e+00  0.00000000e+00  6.20700000e-09  0.00000000e+00
1.33450360e-03  1.74012737e+00  0.00000000e+00  0.00000000e+00  6.49600000e-09  0.00000000e+00
1.34784860e-03  1.74008596e+00  0.00000000e+00  0.00000000e+00  6.79800000e-09  0.00000000e+00
1.36132710e-03  1.74004365e+00  0.00000000e+00  0.00000000e+00  7.11400000e-09  0.00000000e+00
1.37494030e-03  1.74000042e+00  0.00000000e+00  0.00000000e+00  7.44600000e-09  0.00000000e+00
1.38868970e-03  1.73995626e+00  0.00000000e+00  0.00000000e+00  7.79300000e-09  0.00000000e+00
1.40257660e-03  1.73991114e+00  0.00000000e+00  0.00000000e+00  8.15700000e-09  0.00000000e+00
1.41660240e-03  1.73986506e+00  0.00000000e+00  0.00000000e+00  8.53800000e-09  0.00000000e+00
1.43076840e-03  1.73981799e+00  0.00000000e+00  0.00000000e+00  8.93800000e-09  0.00000000e+00
1.44507600e-03  1.73976991e+00  0.00000000e+00  0.00000000e+00  9.35600000e-09  0.00000000e+00
1.45952680e-03  1.73972080e+00  0.00000000e+00  0.00000000e+00  9.79500000e-09  0.00000000e+00
