#  B:    Z = 5;   Atomic weight = 10.81000 g/mol ;    nominal density:   [INLINE] = 2.3400E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.79504E+01
#         E(eV) (cm2/g) = f2(e/atom)    3.89272E+06
#         3 edges. Edge energies (keV):
# K      1.88000E-01  L I    1.34700E-02  L II   4.70000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -2.8487E-03, -1.2000E-03 e/atom
#         Nuclear Thomson correction fNT = -1.2687E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=05, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.83190588e+00  1.49800000e-04  5.77360000e+02  3.34300000e-08  0.00000000e+00
1.02010000e-03  1.83170681e+00  1.49920000e-04  5.72110000e+02  3.54200000e-08  0.00000000e+00
1.03030100e-03  1.83147424e+00  1.50050000e-04  5.66910000e+02  3.75200000e-08  0.00000000e+00
1.04060400e-03  1.83122327e+00  1.50170000e-04  5.61760000e+02  3.97400000e-08  0.00000000e+00
1.05101010e-03  1.83095916e+00  1.50300000e-04  5.56670000e+02  4.20900000e-08  0.00000000e+00
1.06152010e-03  1.83068431e+00  1.50420000e-04  5.51620000e+02  4.45700000e-08  0.00000000e+00
1.07213530e-03  1.83039997e+00  1.50550000e-04  5.46630000e+02  4.72000000e-08  0.00000000e+00
1.08285670e-03  1.83010683e+00  1.50680000e-04  5.41680000e+02  4.99700000e-08  0.00000000e+00
1.09368520e-03  1.82980531e+00  1.50810000e-04  5.36790000e+02  5.29000000e-08  0.00000000e+00
1.10462210e-03  1.82949561e+00  1.50950000e-04  5.31950000e+02  5.59900000e-08  0.00000000e+00
1.11566830e-03  1.82917787e+00  1.51080000e-04  5.27150000e+02  5.92600000e-08  0.00000000e+00
1.12682500e-03  1.82885212e+00  1.51220000e-04  5.22400000e+02  6.27100000e-08  0.00000000e+00
1.13809320e-03  1.82851834e+00  1.51360000e-04  5.17700000e+02  6.63500000e-08  0.00000000e+00
