#  C:    Z = 6;   Atomic weight = 12.01100 g/mol ;    nominal density:   [INLINE] = 2.2600E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.99447E+01
#         E(eV) (cm2/g) = f2(e/atom)    3.50348E+06
#         3 edges. Edge energies (keV):
# K      2.83800E-01  L I    1.95100E-02  L II   6.40000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -4.1810E-03, -1.8000E-03 e/atom
#         Nuclear Thomson correction fNT = -1.6442E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=06, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.57636177e+00  2.60150000e-04  9.02420000e+02  1.92400000e-07  0.00000000e+00
1.02010000e-03  1.57615760e+00  2.60290000e-04  8.93970000e+02  2.03000000e-07  0.00000000e+00
1.03030100e-03  1.57591665e+00  2.60440000e-04  8.85610000e+02  2.14300000e-07  0.00000000e+00
1.04060400e-03  1.57565606e+00  2.60580000e-04  8.77330000e+02  2.26100000e-07  0.00000000e+00
1.05101010e-03  1.57538160e+00  2.60730000e-04  8.69130000e+02  2.38500000e-07  0.00000000e+00
1.06152010e-03  1.57509588e+00  2.60880000e-04  8.61010000e+02  2.51600000e-07  0.00000000e+00
1.07213530e-03  1.57480028e+00  2.61030000e-04  8.52980000e+02  2.65400000e-07  0.00000000e+00
1.08285670e-03  1.57449557e+00  2.61180000e-04  8.45030000e+02  2.79900000e-07  0.00000000e+00
1.09368520e-03  1.57418222e+00  2.61330000e-04  8.37150000e+02  2.95200000e-07  0.00000000e+00
1.10462210e-03  1.57386048e+00  2.61490000e-04  8.29360000e+02  3.11200000e-07  0.00000000e+00
1.11566830e-03  1.57353052e+00  2.61650000e-04  8.21640000e+02  3.28200000e-07  0.00000000e+00
1.12682500e-03  1.57319239e+00  2.61810000e-04  8.14000000e+02  3.45900000e-07  0.00000000e+00
1.13809320e-03  1.57284611e+00  2.61970000e-04  8.06430000e+02  3.64700000e-07  0.00000000e+00
1.14947410e-03  1.57249165e+00  2.62130000e-04  7.98940000e+02  3.84300000e-07  0.00000000e+00
1.16096880e-03  1.57212896e+00  2.62290000e-04  7.91530000e+02  4.05100000e-07  0.00000000e+00
1.17257850e-03  1.57175795e+00  2.62460000e-04  7.84190000e+02  4.26800000e-07  0.00000000e+00
1.18430430e-03  1.57137853e+00  2.62630000e-04  7.76920000e+02  4.49700000e-07  0.00000000e+00
1.19614730e-03  1.57099057e+00  2.62800000e-04  7.69720000e+02  4.73800000e-07  0.00000000e+00
1.20810880e-03  1.57059396e+00  2.62970000e-04  7.62600000e+02  4.99100000e-07  0.00000000e+00
1.22018990e-03  1.57018855e+00  2.63140000e-04  7.55550000e+02  5.25700000e-07  0.00000000e+00
1.23239180e-03  1.56977419e+00  2.63320000e-04  7.48570000e+02  5.53700000e-07  0.00000000e+00
1.24471570e-03  1.56935072e+00  2.63500000e-04  7.41660000e+02  5.83100000e-07  0.00000000e+00
1.25716280e-03  1.56891799e+00  2.63680000e-04  7.34810000e+02  6.14000000e-07  0.00000000e+00
1.26973440e-03  1.56847580e+00  2.63860000e-04  7.28040000e+02  6.46400000e-07  0.00000000e+00
1.28243180e-03  1.56802399e+00  2.64040000e-04  7.21330000e+02  6.80500000e-07  0.00000000e+00
1.29525610e-03  1.56756235e+00  2.64230000e-04  7.14690000e+02  7.16300000e-07  0.00000000e+00
1.30820860e-03  1.56709071e+00  2.64410000e-04  7.08120000e+02  7.53900000e-07  0.00000000e+00
1.32129070e-03  1.56660885e+00  2.64600000e-04  7.01620000e+02  7.93400000e-07  0.00000000e+00
1.33450360e-03  1.56611656e+00  2.64800000e-04  6.95170000e+02  8.34900000e-07  0.00000000e+00
1.34784860e-03  1.56561363e+00  2.64990000e-04  6.88800000e+02  8.78500000e-07  0.00000000e+00
1.36132710e-03  1.56509984e+00  2.65190000e-04  6.82480000e+02  9.24200000e-07  0.00000000e+00
