#  N:    Z = 7;   Atomic weight = 14.00670 g/mol ;    nominal density:   [INLINE] = 1.1650E-03 g/cm3
#         a(barns/atom) = (cm2/g)    2.32587E+01
#         E(eV) (cm2/g) = f2(e/atom)    3.00430E+06
#         4 edges. Edge energies (keV):
# K      4.01600E-01  L I    2.63100E-02  L II   9.20000E-03  L III  9.20000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -5.7982E-03, -3.0000E-03 e/atom
#         Nuclear Thomson correction fNT = -1.9191E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=07, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.41003987e+00  3.21810000e-04  9.57230000e+02  4.61600000e-08  0.00000000e+00
1.02010000e-03  1.40996301e+00  3.21930000e-04  9.48130000e+02  4.89700000e-08  0.00000000e+00
1.03030100e-03  1.40983091e+00  3.22060000e-04  9.39120000e+02  5.19300000e-08  0.00000000e+00
1.04060400e-03  1.40967954e+00  3.22200000e-04  9.30200000e+02  5.50700000e-08  0.00000000e+00
1.05101010e-03  1.40951542e+00  3.22330000e-04  9.21370000e+02  5.83900000e-08  0.00000000e+00
1.06152010e-03  1.40934156e+00  3.22460000e-04  9.12630000e+02  6.19100000e-08  0.00000000e+00
1.07213530e-03  1.40915959e+00  3.22600000e-04  9.03970000e+02  6.56300000e-08  0.00000000e+00
1.08285670e-03  1.40897046e+00  3.22730000e-04  8.95400000e+02  6.95600000e-08  0.00000000e+00
1.09368520e-03  1.40877477e+00  3.22870000e-04  8.86920000e+02  7.37300000e-08  0.00000000e+00
1.10462210e-03  1.40857290e+00  3.23010000e-04  8.78520000e+02  7.81300000e-08  0.00000000e+00
1.11566830e-03  1.40836511e+00  3.23160000e-04  8.70200000e+02  8.27800000e-08  0.00000000e+00
1.12682500e-03  1.40815155e+00  3.23300000e-04  8.61970000e+02  8.77000000e-08  0.00000000e+00
1.13809320e-03  1.40793233e+00  3.23440000e-04  8.53810000e+02  9.29100000e-08  0.00000000e+00
1.14947410e-03  1.40770749e+00  3.23590000e-04  8.45740000e+02  9.84100000e-08  0.00000000e+00
1.16096880e-03  1.40747706e+00  3.23740000e-04  8.37750000e+02  1.04200000e-07  0.00000000e+00
1.17257850e-03  1.40724103e+00  3.23890000e-04  8.29840000e+02  1.10400000e-07  0.00000000e+00
1.18430430e-03  1.40699939e+00  3.24040000e-04  8.22010000e+02  1.16900000e-07  0.00000000e+00
1.19614730e-03  1.40675208e+00  3.24190000e-04  8.14250000e+02  1.23700000e-07  0.00000000e+00
1.20810880e-03  1.40649907e+00  3.24350000e-04  8.06570000e+02  1.31000000e-07  0.00000000e+00
1.22018990e-03  1.40624028e+00  3.24500000e-04  7.98970000e+02  1.38600000e-07  0.00000000e+00
1.23239180e-03  1.40597565e+00  3.24660000e-04  7.91450000e+02  1.46700000e-07  0.00000000e+00
1.24471570e-03  1.40570509e+00  3.24820000e-04  7.84000000e+02  1.55200000e-07  0.00000000e+00
1.25716280e-03  1.40542853e+00  3.24980000e-04  7.76620000e+02  1.64300000e-07  0.00000000e+00
1.26973440e-03  1.40514585e+00  3.25140000e-04  7.69320000e+02  1.73800000e-07  0.00000000e+00
1.28243180e-03  1.40485698e+00  3.25310000e-04  7.62090000e+02  1.83800000e-07  0.00000000e+00
1.29525610e-03  1.40456179e+00  3.25480000e-04  7.54930000e+02  1.94400000e-07  0.00000000e+00
1.30820860e-03  1.40426019e+00  3.25640000e-04  7.47840000e+02  2.05600000e-07  0.00000000e+00
1.32129070e-03  1.40395206e+00  3.25810000e-04  7.40820000e+02  2.17400000e-07  0.00000000e+00
1.33450360e-03  1.40363728e+00  3.25990000e-04  7.33880000e+02  2.29900000e-07  0.00000000e+00
1.34784860e-03  1.40331572e+00  3.26160000e-04  7.27000000e+02  2.43100000e-07  0.00000000e+00
1.36132710e-03  1.40298727e+00  3.26340000e-04  7.20190000e+02  2.56900000e-07  0.00000000e+00
1.37494030e-03  1.40265178e+00  3.26520000e-04  7.13450000e+02  2.71600000e-07  0.00000000e+00
1.38868970e-03  1.40230913e+00  3.26700000e-04  7.06770000e+02  2.87000000e-07  0.00000000e+00
1.40257660e-03  1.40195918e+00  3.26880000e-04  7.00170000e+02  3.03300000e-07  0.00000000e+00
1.41660240e-03  1.40160177e+00  3.27060000e-04  6.93620000e+02  3.20500000e-07  0.00000000e+00
1.43076840e-03  1.40123677e+00  3.27250000e-04  6.87150000e+02  3.38600000e-07  0.00000000e+00
1.44507600e-03  1.40086403e+00  3.27440000e-04  6.80740000e+02  3.57600000e-07  0.00000000e+00
1.45952680e-03  1.40048338e+00  3.27630000e-04  6.74390000e+02  3.77700000e-07  0.00000000e+00
1.47412200e-03  1.40009467e+00  3.27820000e-04  6.68100000e+02  3.98900000e-07  0.00000000e+00
1.48886320e-03  1.39969773e+00  3.28010000e-04  6.61880000e+02  4.21300000e-07  0.00000000e+00
