#  O:    Z = 8;   Atomic weight = 15.99940 g/mol ;    nominal density:   [INLINE] = 1.3310E-03 g/cm3
#         a(barns/atom) = (cm2/g)    2.65676E+01
#         E(eV) (cm2/g) = f2(e/atom)    2.63012E+06
#         4 edges. Edge energies (keV):
# K      5.32000E-01  L I    2.37000E-02  L II   7.10000E-03  L III  7.10000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -7.7133E-03, -4.2000E-03 e/atom
#         Nuclear Thomson correction fNT = -2.1944E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=08, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  3.38806628e-01  4.44650000e-04  1.15790000e+03  8.47500000e-09  0.00000000e+00
1.02010000e-03  3.38570958e-01  4.44850000e-04  1.14700000e+03  9.03900000e-09  0.00000000e+00
1.03030100e-03  3.38265481e-01  4.45050000e-04  1.13610000e+03  9.63900000e-09  0.00000000e+00
1.04060400e-03  3.37934997e-01  4.45250000e-04  1.12540000e+03  1.02800000e-08  0.00000000e+00
1.05101010e-03  3.37586887e-01  4.45460000e-04  1.11470000e+03  1.09600000e-08  0.00000000e+00
1.06152010e-03  3.37224432e-01  4.45670000e-04  1.10420000e+03  1.16800000e-08  0.00000000e+00
1.07213530e-03  3.36849337e-01  4.45870000e-04  1.09380000e+03  1.24500000e-08  0.00000000e+00
1.08285670e-03  3.36462571e-01  4.46090000e-04  1.08350000e+03  1.32600000e-08  0.00000000e+00
1.09368520e-03  3.36064707e-01  4.46300000e-04  1.07330000e+03  1.41300000e-08  0.00000000e+00
1.10462210e-03  3.35656084e-01  4.46520000e-04  1.06320000e+03  1.50600000e-08  0.00000000e+00
1.11566830e-03  3.35236899e-01  4.46730000e-04  1.05310000e+03  1.60400000e-08  0.00000000e+00
1.12682500e-03  3.34807246e-01  4.46950000e-04  1.04320000e+03  1.70900000e-08  0.00000000e+00
1.13809320e-03  3.34367153e-01  4.47180000e-04  1.03340000e+03  1.82000000e-08  0.00000000e+00
1.14947410e-03  3.33916597e-01  4.47400000e-04  1.02370000e+03  1.93800000e-08  0.00000000e+00
1.16096880e-03  3.33455516e-01  4.47630000e-04  1.01410000e+03  2.06300000e-08  0.00000000e+00
1.17257850e-03  3.32983820e-01  4.47860000e-04  1.00460000e+03  2.19600000e-08  0.00000000e+00
1.18430430e-03  3.32501393e-01  4.48100000e-04  9.95140000e+02  2.33800000e-08  0.00000000e+00
1.19614730e-03  3.32008102e-01  4.48330000e-04  9.85800000e+02  2.48800000e-08  0.00000000e+00
1.20810880e-03  3.31503793e-01  4.48570000e-04  9.76560000e+02  2.64800000e-08  0.00000000e+00
1.22018990e-03  3.30988302e-01  4.48810000e-04  9.67410000e+02  2.81700000e-08  0.00000000e+00
1.23239180e-03  3.30461450e-01  4.49050000e-04  9.58350000e+02  2.99700000e-08  0.00000000e+00
1.24471570e-03  3.29923046e-01  4.49300000e-04  9.49390000e+02  3.18800000e-08  0.00000000e+00
1.25716280e-03  3.29372890e-01  4.49550000e-04  9.40510000e+02  3.39100000e-08  0.00000000e+00
1.26973440e-03  3.28810772e-01  4.49800000e-04  9.31720000e+02  3.60700000e-08  0.00000000e+00
1.28243180e-03  3.28236471e-01  4.50060000e-04  9.23010000e+02  3.83500000e-08  0.00000000e+00
1.29525610e-03  3.27649759e-01  4.50310000e-04  9.14400000e+02  4.07700000e-08  0.00000000e+00
1.30820860e-03  3.27050400e-01  4.50570000e-04  9.05870000e+02  4.33500000e-08  0.00000000e+00
1.32129070e-03  3.26438147e-01  4.50840000e-04  8.97420000e+02  4.60800000e-08  0.00000000e+00
1.33450360e-03  3.25812748e-01  4.51100000e-04  8.89060000e+02  4.89700000e-08  0.00000000e+00
1.34784860e-03  3.25173942e-01  4.51370000e-04  8.80790000e+02  5.20400000e-08  0.00000000e+00
1.36132710e-03  3.24521460e-01  4.51650000e-04  8.72590000e+02  5.52900000e-08  0.00000000e+00
1.37494030e-03  3.23855024e-01  4.51920000e-04  8.64480000e+02  5.87500000e-08  0.00000000e+00
1.38868970e-03  3.23174350e-01  4.52200000e-04  8.56450000e+02  6.24000000e-08  0.00000000e+00
1.40257660e-03  3.22479146e-01  4.52480000e-04  8.48500000e+02  6.62800000e-08  0.00000000e+00
1.41660240e-03  3.21769111e-01  4.52770000e-04  8.40620000e+02  7.03900000e-08  0.00000000e+00
1.43076840e-03  3.21043936e-01  4.53050000e-04  8.32830000e+02  7.47500000e-08  0.00000000e+00
1.44507600e-03  3.20303305e-01  4.53350000e-04  8.25110000e+02  7.93600000e-08  0.00000000e+00
1.45952680e-03  3.19546893e-01  4.53640000e-04  8.17480000e+02  8.42500000e-08  0.00000000e+00
1.47412200e-03  3.18774367e-01  4.53940000e-04  8.09910000e+02  8.94300000e-08  0.00000000e+00
1.48886320e-03  3.17985384e-01  4.54240000e-04  8.02430000e+02  9.49200000e-08  0.00000000e+00
1.50375190e-03  3.17179596e-01  4.54540000e-04  7.95010000e+02  1.00700000e-07  0.00000000e+00
1.51878940e-03  3.16356642e-01  4.54850000e-04  7.87680000e+02  1.06900000e-07  0.00000000e+00
1.53397720e-03  3.15516154e-01  4.55160000e-04  7.80410000e+02  1.13400000e-07  0.00000000e+00
1.54931700e-03  3.14657754e-01  4.55480000e-04  7.73220000e+02  1.20300000e-07  0.00000000e+00
1.56481020e-03  3.13781057e-01  4.55800000e-04  7.66100000e+02  1.27600000e-07  0.00000000e+00
1.58045820e-03  3.12885666e-01  4.56120000e-04  7.59050000e+02  1.35300000e-07  0.00000000e+00
1.59626280e-03  3.11971173e-01  4.56450000e-04  7.52070000e+02  1.43500000e-07  0.00000000e+00
1.61222540e-03  3.11037163e-01  4.56780000e-04  7.45170000e+02  1.52100000e-07  0.00000000e+00
1.62834770e-03  3.10083210e-01  4.57110000e-04  7.38330000e+02  1.61300000e-07  0.00000000e+00
1.64463110e-03  3.09108875e-01  4.57450000e-04  7.31560000e+02  1.71000000e-07  0.00000000e+00
1.66107740e-03  3.08113710e-01  4.57790000e-04  7.24850000e+02  1.81200000e-07  0.00000000e+00
1.67768820e-03  3.07097257e-01  4.58130000e-04  7.18220000e+02  1.92000000e-07  0.00000000e+00
1.69446500e-03  3.06059043e-01  4.58480000e-04  7.11650000e+02  2.03500000e-07  0.00000000e+00
1.71140970e-03  3.04998587e-01  4.58840000e-04  7.05150000e+02  2.15600000e-07  0.00000000e+00
1.72852380e-03  3.03915394e-01  4.59190000e-04  6.98710000e+02  2.28400000e-07  0.00000000e+00
1.74580900e-03  3.02808957e-01  4.59560000e-04  6.92330000e+02  2.41900000e-07  0.00000000e+00
1.76326710e-03  3.01678756e-01  4.59920000e-04  6.86030000e+02  2.56200000e-07  0.00000000e+00
1.78089970e-03  3.00524258e-01  4.60290000e-04  6.79780000e+02  2.71300000e-07  0.00000000e+00
1.79870870e-03  2.99344917e-01  4.60670000e-04  6.73600000e+02  2.87300000e-07  0.00000000e+00
1.81669580e-03  2.98140171e-01  4.61040000e-04  6.67480000e+02  3.04100000e-07  0.00000000e+00
1.83486270e-03  2.96909448e-01  4.61430000e-04  6.61420000e+02  3.22000000e-07  0.00000000e+00
1.85321130e-03  2.95652157e-01  4.61810000e-04  6.55420000e+02  3.40800000e-07  0.00000000e+00
1.87174340e-03  2.94367695e-01  4.62210000e-04  6.49480000e+02  3.60600000e-07  0.00000000e+00
1.89046080e-03  2.93055442e-01  4.62600000e-04  6.43600000e+02  3.81600000e-07  0.00000000e+00
1.90936540e-03  2.91714761e-01  4.63000000e-04  6.37780000e+02  4.03800000e-07  0.00000000e+00
1.92845900e-03  2.90345001e-01  4.63410000e-04  6.32020000e+02  4.27200000e-07  0.00000000e+00
1.94774360e-03  2.88945492e-01  4.63820000e-04  6.26320000e+02  4.51800000e-07  0.00000000e+00
1.96722100e-03  2.87515547e-01  4.64240000e-04  6.20670000e+02  4.77900000e-07  0.00000000e+00
1.98689320e-03  2.86054463e-01  4.64660000e-04  6.15080000e+02  5.05400000e-07  0.00000000e+00
2.00676210e-03  2.84561515e-01  4.65080000e-04  6.09550000e+02  5.34400000e-07  0.00000000e+00
2.02682970e-03  2.83035961e-01  4.65510000e-04  6.04070000e+02  5.65000000e-07  0.00000000e+00
2.04709800e-03  2.81477039e-01  4.65950000e-04  5.98650000e+02  5.97300000e-07  0.00000000e+00
2.06756900e-03  2.79883967e-01  4.66390000e-04  5.93290000e+02  6.31300000e-07  0.00000000e+00
2.08824460e-03  2.78255940e-01  4.66840000e-04  5.87970000e+02  6.67300000e-07  0.00000000e+00
2.10912710e-03  2.76592133e-01  4.67290000e-04  5.82720000e+02  7.05100000e-07  0.00000000e+00
