#  F:    Z = 9;   Atomic weight = 18.99840 g/mol ;    nominal density:   [INLINE] = 1.1080E+00 g/cm3
#         a(barns/atom) = (cm2/g)    3.15476E+01
#         E(eV) (cm2/g) = f2(e/atom)    2.21494E+06
#         4 edges. Edge energies (keV):
# K      6.85400E-01  L I    3.10000E-02  L II   8.60000E-03  L III  8.60000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -9.9395E-03, -5.4000E-03 e/atom
#         Nuclear Thomson correction fNT = -2.3389E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=09, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.32385269e-02  4.48230000e-04  9.82970000e+02  7.41300000e-10  0.00000000e+00
1.02010000e-03  8.30751364e-02  4.48380000e-04  9.73570000e+02  7.96400000e-10  0.00000000e+00
1.03030100e-03  8.28675935e-02  4.48530000e-04  9.64260000e+02  8.55400000e-10  0.00000000e+00
1.04060400e-03  8.26373843e-02  4.48690000e-04  9.55040000e+02  9.18700000e-10  0.00000000e+00
1.05101010e-03  8.23917855e-02  4.48840000e-04  9.45910000e+02  9.86500000e-10  0.00000000e+00
1.06152010e-03  8.21340785e-02  4.49000000e-04  9.36870000e+02  1.05900000e-09  0.00000000e+00
1.07213530e-03  8.18659926e-02  4.49160000e-04  9.27930000e+02  1.13700000e-09  0.00000000e+00
1.08285670e-03  8.15885272e-02  4.49320000e-04  9.19070000e+02  1.22000000e-09  0.00000000e+00
1.09368520e-03  8.13022923e-02  4.49480000e-04  9.10300000e+02  1.31000000e-09  0.00000000e+00
1.10462210e-03  8.10076693e-02  4.49650000e-04  9.01610000e+02  1.40500000e-09  0.00000000e+00
1.11566830e-03  8.07048964e-02  4.49810000e-04  8.93020000e+02  1.50800000e-09  0.00000000e+00
1.12682500e-03  8.03941165e-02  4.49980000e-04  8.84510000e+02  1.61700000e-09  0.00000000e+00
1.13809320e-03  8.00754059e-02  4.50150000e-04  8.76080000e+02  1.73500000e-09  0.00000000e+00
1.14947410e-03  7.97487931e-02  4.50320000e-04  8.67740000e+02  1.86100000e-09  0.00000000e+00
1.16096880e-03  7.94142703e-02  4.50500000e-04  8.59480000e+02  1.99500000e-09  0.00000000e+00
1.17257850e-03  7.90718020e-02  4.50670000e-04  8.51300000e+02  2.13900000e-09  0.00000000e+00
1.18430430e-03  7.87213308e-02  4.50850000e-04  8.43200000e+02  2.29300000e-09  0.00000000e+00
1.19614730e-03  7.83627811e-02  4.51030000e-04  8.35180000e+02  2.45800000e-09  0.00000000e+00
1.20810880e-03  7.79960624e-02  4.51210000e-04  8.27250000e+02  2.63400000e-09  0.00000000e+00
1.22018990e-03  7.76210716e-02  4.51390000e-04  8.19390000e+02  2.82200000e-09  0.00000000e+00
1.23239180e-03  7.72376943e-02  4.51580000e-04  8.11610000e+02  3.02400000e-09  0.00000000e+00
1.24471570e-03  7.68458066e-02  4.51760000e-04  8.03900000e+02  3.23900000e-09  0.00000000e+00
1.25716280e-03  7.64452757e-02  4.51950000e-04  7.96280000e+02  3.46900000e-09  0.00000000e+00
1.26973440e-03  7.60359608e-02  4.52150000e-04  7.88730000e+02  3.71500000e-09  0.00000000e+00
1.28243180e-03  7.56177137e-02  4.52340000e-04  7.81250000e+02  3.97800000e-09  0.00000000e+00
1.29525610e-03  7.51903791e-02  4.52530000e-04  7.73850000e+02  4.25900000e-09  0.00000000e+00
