#  Ne:    Z = 10;   Atomic weight = 20.17900 g/mol ;    nominal density:   [INLINE] = 8.3910E-04 g/cm3
#         a(barns/atom) = (cm2/g)    3.35080E+01
#         E(eV) (cm2/g) = f2(e/atom)    2.08535E+06
#         4 edges. Edge energies (keV):
# K      8.66900E-01  L I    4.50000E-02  L II   1.83000E-02  L III  1.83000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.2490E-02, -6.6000E-03 e/atom
#         Nuclear Thomson correction fNT = -2.7186E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=10, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.68776109e-01  4.08870000e-04  8.44200000e+02  6.98600000e-11  0.00000000e+00
1.02010000e-03  9.68797611e-01  4.08970000e-04  8.36040000e+02  7.55900000e-11  0.00000000e+00
1.03030100e-03  9.68785679e-01  4.09060000e-04  8.27950000e+02  8.17700000e-11  0.00000000e+00
1.04060400e-03  9.68757459e-01  4.09160000e-04  8.19950000e+02  8.84500000e-11  0.00000000e+00
1.05101010e-03  9.68719232e-01  4.09260000e-04  8.12020000e+02  9.56600000e-11  0.00000000e+00
1.06152010e-03  9.68673948e-01  4.09350000e-04  8.04170000e+02  1.03400000e-10  0.00000000e+00
1.07213530e-03  9.68623212e-01  4.09450000e-04  7.96400000e+02  1.11800000e-10  0.00000000e+00
1.08285670e-03  9.68567992e-01  4.09550000e-04  7.88710000e+02  1.20900000e-10  0.00000000e+00
1.09368520e-03  9.68508907e-01  4.09650000e-04  7.81090000e+02  1.30700000e-10  0.00000000e+00
1.10462210e-03  9.68446379e-01  4.09760000e-04  7.73550000e+02  1.41200000e-10  0.00000000e+00
1.11566830e-03  9.68380700e-01  4.09860000e-04  7.66090000e+02  1.52500000e-10  0.00000000e+00
