#  Na:    Z = 11;   Atomic weight = 22.98980 g/mol ;    nominal density:   [INLINE] = 9.6900E-01 g/cm3
#         a(barns/atom) = (cm2/g)    3.81755E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.83039E+06
#         4 edges. Edge energies (keV):
# K      1.07210E+00  L I    6.33000E-02  L II   3.11000E-02  L III  3.11000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.5378E-02, -8.4000E-03 e/atom
#         Nuclear Thomson correction fNT = -2.8873E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=11, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.64443415e+00  7.32000000e-04  1.32660000e+03  1.45400000e-11  0.00000000e+00
1.02010000e-03  1.64455192e+00  7.32120000e-04  1.31370000e+03  1.57900000e-11  0.00000000e+00
1.03030100e-03  1.64461968e+00  7.32240000e-04  1.30090000e+03  1.71400000e-11  0.00000000e+00
1.04060400e-03  1.64466250e+00  7.32360000e-04  1.28820000e+03  1.86100000e-11  0.00000000e+00
1.05101010e-03  1.64469042e+00  7.32480000e-04  1.27570000e+03  2.02000000e-11  0.00000000e+00
1.06152010e-03  1.64470840e+00  7.32610000e-04  1.26320000e+03  2.19300000e-11  0.00000000e+00
1.07213530e-03  1.64471919e+00  7.32730000e-04  1.25090000e+03  2.37900000e-11  0.00000000e+00
1.08285670e-03  1.64472448e+00  7.32860000e-04  1.23880000e+03  2.58200000e-11  0.00000000e+00
1.09368520e-03  1.64472538e+00  7.32990000e-04  1.22670000e+03  2.80000000e-11  0.00000000e+00
1.10462210e-03  1.64472263e+00  7.33110000e-04  1.21480000e+03  3.03700000e-11  0.00000000e+00
1.11566830e-03  1.64471679e+00  7.33250000e-04  1.20300000e+03  3.29400000e-11  0.00000000e+00
1.12682500e-03  1.64470826e+00  7.33380000e-04  1.19130000e+03  3.57200000e-11  0.00000000e+00
1.13809320e-03  1.64469733e+00  7.33510000e-04  1.17970000e+03  3.87200000e-11  0.00000000e+00
1.14947410e-03  1.64468425e+00  7.33640000e-04  1.16820000e+03  4.19700000e-11  0.00000000e+00
1.16096880e-03  1.64466918e+00  7.33780000e-04  1.15690000e+03  4.54900000e-11  0.00000000e+00
1.17257850e-03  1.64465229e+00  7.33920000e-04  1.14560000e+03  4.92900000e-11  0.00000000e+00
1.18430430e-03  1.64463368e+00  7.34060000e-04  1.13450000e+03  5.34000000e-11  0.00000000e+00
1.19614730e-03  1.64461344e+00  7.34200000e-04  1.12350000e+03  5.78400000e-11  0.00000000e+00
