#  Mg:    Z = 12;   Atomic weight = 24.30500 g/mol ;    nominal density:   [INLINE] = 1.7350E+00 g/cm3
#         a(barns/atom) = (cm2/g)    4.03594E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.73134E+06
#         4 edges. Edge energies (keV):
# K      1.30500E+00  L I    8.94000E-02  L II   5.14000E-02  L III  5.14000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.8616E-02, -1.0800E-02 e/atom
#         Nuclear Thomson correction fNT = -3.2502E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=12, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.53605393e+00  1.36860000e-03  2.34600000e+03  3.94200000e-11  0.00000000e+00
1.02010000e-03  2.53628422e+00  1.36870000e-03  2.32300000e+03  4.26300000e-11  0.00000000e+00
1.03030100e-03  2.53643894e+00  1.36890000e-03  2.30030000e+03  4.61000000e-11  0.00000000e+00
1.04060400e-03  2.53655299e+00  1.36900000e-03  2.27780000e+03  4.98400000e-11  0.00000000e+00
1.05101010e-03  2.53664202e+00  1.36920000e-03  2.25550000e+03  5.38800000e-11  0.00000000e+00
1.06152010e-03  2.53671420e+00  1.36940000e-03  2.23340000e+03  5.82500000e-11  0.00000000e+00
1.07213530e-03  2.53677429e+00  1.36950000e-03  2.21160000e+03  6.29500000e-11  0.00000000e+00
1.08285670e-03  2.53682526e+00  1.36970000e-03  2.19000000e+03  6.80300000e-11  0.00000000e+00
1.09368520e-03  2.53686911e+00  1.36990000e-03  2.16850000e+03  7.35100000e-11  0.00000000e+00
1.10462210e-03  2.53690722e+00  1.37000000e-03  2.14730000e+03  7.94100000e-11  0.00000000e+00
1.11566830e-03  2.53694058e+00  1.37020000e-03  2.12630000e+03  8.57800000e-11  0.00000000e+00
1.12682500e-03  2.53696995e+00  1.37040000e-03  2.10560000e+03  9.26500000e-11  0.00000000e+00
1.13809320e-03  2.53699589e+00  1.37050000e-03  2.08500000e+03  1.00100000e-10  0.00000000e+00
1.14947410e-03  2.53701885e+00  1.37070000e-03  2.06460000e+03  1.08000000e-10  0.00000000e+00
1.16096880e-03  2.53703917e+00  1.37090000e-03  2.04440000e+03  1.16700000e-10  0.00000000e+00
1.17257850e-03  2.53705715e+00  1.37110000e-03  2.02440000e+03  1.25900000e-10  0.00000000e+00
1.18430430e-03  2.53707301e+00  1.37130000e-03  2.00470000e+03  1.35900000e-10  0.00000000e+00
1.19614730e-03  2.53708695e+00  1.37150000e-03  1.98510000e+03  1.46700000e-10  0.00000000e+00
1.20810880e-03  2.53709912e+00  1.37160000e-03  1.96570000e+03  1.58300000e-10  0.00000000e+00
1.22018990e-03  2.53710966e+00  1.37180000e-03  1.94650000e+03  1.70800000e-10  0.00000000e+00
1.23239180e-03  2.53711868e+00  1.37200000e-03  1.92750000e+03  1.84200000e-10  0.00000000e+00
1.24471570e-03  2.53712629e+00  1.37220000e-03  1.90870000e+03  1.98700000e-10  0.00000000e+00
1.25716280e-03  2.53713255e+00  1.37240000e-03  1.89000000e+03  2.14300000e-10  0.00000000e+00
1.26973440e-03  2.53713755e+00  1.37260000e-03  1.87160000e+03  2.31100000e-10  0.00000000e+00
1.28243180e-03  2.53714135e+00  1.37280000e-03  1.85330000e+03  2.49200000e-10  0.00000000e+00
1.29525610e-03  2.53714399e+00  1.37300000e-03  1.83530000e+03  2.68600000e-10  0.00000000e+00
1.30820860e-03  2.53714553e+00  1.37320000e-03  1.81730000e+03  2.89600000e-10  0.00000000e+00
1.32129070e-03  2.53714601e+00  1.37340000e-03  1.79960000e+03  3.12100000e-10  0.00000000e+00
1.33450360e-03  2.53714546e+00  1.37360000e-03  1.78210000e+03  3.36300000e-10  0.00000000e+00
1.34784860e-03  2.53714391e+00  1.37380000e-03  1.76470000e+03  3.62300000e-10  0.00000000e+00
1.36132710e-03  2.53714139e+00  1.37400000e-03  1.74750000e+03  3.90400000e-10  0.00000000e+00
1.37494030e-03  2.53713791e+00  1.37420000e-03  1.73050000e+03  4.20500000e-10  0.00000000e+00
1.38868970e-03  2.53713351e+00  1.37450000e-03  1.71360000e+03  4.52800000e-10  0.00000000e+00
1.40257660e-03  2.53712820e+00  1.37470000e-03  1.69690000e+03  4.87700000e-10  0.00000000e+00
1.41660240e-03  2.53712200e+00  1.37490000e-03  1.68040000e+03  5.25100000e-10  0.00000000e+00
1.43076840e-03  2.53711490e+00  1.37510000e-03  1.66400000e+03  5.65300000e-10  0.00000000e+00
1.44507600e-03  2.53710694e+00  1.37530000e-03  1.64780000e+03  6.08400000e-10  0.00000000e+00
1.45952680e-03  2.53709810e+00  1.37560000e-03  1.63170000e+03  6.54800000e-10  0.00000000e+00
1.47412200e-03  2.53708841e+00  1.37580000e-03  1.61580000e+03  7.04700000e-10  0.00000000e+00
1.48886320e-03  2.53707787e+00  1.37600000e-03  1.60010000e+03  7.58200000e-10  0.00000000e+00
1.50375190e-03  2.53706647e+00  1.37620000e-03  1.58450000e+03  8.15700000e-10  0.00000000e+00
1.51878940e-03  2.53705423e+00  1.37650000e-03  1.56910000e+03  8.77400000e-10  0.00000000e+00
1.53397720e-03  2.53704114e+00  1.37670000e-03  1.55390000e+03  9.43700000e-10  0.00000000e+00
1.54931700e-03  2.53702721e+00  1.37700000e-03  1.53870000e+03  1.01500000e-09  0.00000000e+00
1.56481020e-03  2.53701243e+00  1.37720000e-03  1.52380000e+03  1.09100000e-09  0.00000000e+00
1.58045820e-03  2.53699681e+00  1.37750000e-03  1.50900000e+03  1.17300000e-09  0.00000000e+00
1.59626280e-03  2.53698033e+00  1.37770000e-03  1.49430000e+03  1.26100000e-09  0.00000000e+00
1.61222540e-03  2.53696300e+00  1.37800000e-03  1.47980000e+03  1.35500000e-09  0.00000000e+00
1.62834770e-03  2.53694481e+00  1.37820000e-03  1.46540000e+03  1.45600000e-09  0.00000000e+00
1.64463110e-03  2.53692576e+00  1.37850000e-03  1.45110000e+03  1.56500000e-09  0.00000000e+00
1.66107740e-03  2.53690584e+00  1.37870000e-03  1.43700000e+03  1.68100000e-09  0.00000000e+00
1.67768820e-03  2.53688504e+00  1.37900000e-03  1.42310000e+03  1.80500000e-09  0.00000000e+00
1.69446500e-03  2.53686336e+00  1.37920000e-03  1.40930000e+03  1.93900000e-09  0.00000000e+00
1.71140970e-03  2.53684079e+00  1.37950000e-03  1.39560000e+03  2.08200000e-09  0.00000000e+00
1.72852380e-03  2.53681732e+00  1.37980000e-03  1.38200000e+03  2.23600000e-09  0.00000000e+00
1.74580900e-03  2.53679294e+00  1.38010000e-03  1.36860000e+03  2.40000000e-09  0.00000000e+00
1.76326710e-03  2.53676764e+00  1.38030000e-03  1.35530000e+03  2.57600000e-09  0.00000000e+00
1.78089970e-03  2.53674141e+00  1.38060000e-03  1.34220000e+03  2.76500000e-09  0.00000000e+00
1.79870870e-03  2.53671424e+00  1.38090000e-03  1.32920000e+03  2.96700000e-09  0.00000000e+00
1.81669580e-03  2.53668612e+00  1.38120000e-03  1.31630000e+03  3.18300000e-09  0.00000000e+00
1.83486270e-03  2.53665703e+00  1.38150000e-03  1.30350000e+03  3.41500000e-09  0.00000000e+00
1.85321130e-03  2.53662697e+00  1.38170000e-03  1.29090000e+03  3.66300000e-09  0.00000000e+00
1.87174340e-03  2.53659591e+00  1.38200000e-03  1.27840000e+03  3.92900000e-09  0.00000000e+00
1.89046080e-03  2.53656386e+00  1.38230000e-03  1.26600000e+03  4.21300000e-09  0.00000000e+00
1.90936540e-03  2.53653078e+00  1.38260000e-03  1.25370000e+03  4.51700000e-09  0.00000000e+00
1.92845900e-03  2.53649667e+00  1.38290000e-03  1.24160000e+03  4.84200000e-09  0.00000000e+00
1.94774360e-03  2.53646151e+00  1.38320000e-03  1.22960000e+03  5.19000000e-09  0.00000000e+00
1.96722100e-03  2.53642529e+00  1.38350000e-03  1.21770000e+03  5.56200000e-09  0.00000000e+00
1.98689320e-03  2.53638798e+00  1.38390000e-03  1.20590000e+03  5.96100000e-09  0.00000000e+00
2.00676210e-03  2.53634958e+00  1.38420000e-03  1.19420000e+03  6.38600000e-09  0.00000000e+00
2.02682970e-03  2.53631006e+00  1.38450000e-03  1.18260000e+03  6.84100000e-09  0.00000000e+00
2.04709800e-03  2.53626940e+00  1.38480000e-03  1.17120000e+03  7.32800000e-09  0.00000000e+00
2.06756900e-03  2.53622760e+00  1.38510000e-03  1.15990000e+03  7.84800000e-09  0.00000000e+00
2.08824460e-03  2.53618462e+00  1.38550000e-03  1.14870000e+03  8.40400000e-09  0.00000000e+00
2.10912710e-03  2.53614045e+00  1.38580000e-03  1.13760000e+03  8.99700000e-09  0.00000000e+00
2.13021830e-03  2.53609507e+00  1.38610000e-03  1.12660000e+03  9.63200000e-09  0.00000000e+00
2.15152050e-03  2.53604845e+00  1.38650000e-03  1.11570000e+03  1.03100000e-08  0.00000000e+00
2.17303570e-03  2.53600058e+00  1.38680000e-03  1.10490000e+03  1.10300000e-08  0.00000000e+00
2.19476600e-03  2.53595144e+00  1.38720000e-03  1.09430000e+03  1.18100000e-08  0.00000000e+00
2.21671360e-03  2.53590100e+00  1.38750000e-03  1.08370000e+03  1.26300000e-08  0.00000000e+00
2.23888080e-03  2.53584923e+00  1.38790000e-03  1.07320000e+03  1.35100000e-08  0.00000000e+00
2.26126950e-03  2.53579613e+00  1.38820000e-03  1.06290000e+03  1.44500000e-08  0.00000000e+00
2.28388220e-03  2.53574165e+00  1.38860000e-03  1.05260000e+03  1.54600000e-08  0.00000000e+00
2.30672100e-03  2.53568578e+00  1.38890000e-03  1.04250000e+03  1.65300000e-08  0.00000000e+00
2.32978820e-03  2.53562849e+00  1.38930000e-03  1.03240000e+03  1.76700000e-08  0.00000000e+00
2.35308610e-03  2.53556975e+00  1.38970000e-03  1.02250000e+03  1.88900000e-08  0.00000000e+00
2.37661690e-03  2.53550954e+00  1.39010000e-03  1.01260000e+03  2.01900000e-08  0.00000000e+00
2.40038310e-03  2.53544784e+00  1.39040000e-03  1.00290000e+03  2.15800000e-08  0.00000000e+00
2.42438690e-03  2.53538460e+00  1.39080000e-03  9.93230000e+02  2.30600000e-08  0.00000000e+00
2.44863070e-03  2.53531982e+00  1.39120000e-03  9.83670000e+02  2.46400000e-08  0.00000000e+00
2.47311700e-03  2.53525344e+00  1.39160000e-03  9.74210000e+02  2.63200000e-08  0.00000000e+00
2.49784810e-03  2.53518546e+00  1.39200000e-03  9.64840000e+02  2.81100000e-08  0.00000000e+00
2.52282660e-03  2.53511583e+00  1.39240000e-03  9.55560000e+02  3.00200000e-08  0.00000000e+00
