#  Al:    Z = 13;   Atomic weight = 26.98150 g/mol ;    nominal density:   [INLINE] = 2.6941E+00 g/cm3
#         a(barns/atom) = (cm2/g)    4.48039E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.55960E+06
#         5 edges. Edge energies (keV):
# K      1.55960E+00  L I    1.17700E-01  L II   7.31000E-02  L III  7.31000E-02
# M I    8.37567E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -2.2218E-02, -1.2600E-02 e/atom
#         Nuclear Thomson correction fNT = -3.4361E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=13, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  3.19622926e+00  1.67750000e-03  2.59030000e+03  7.64900000e-11  0.00000000e+00
1.02010000e-03  3.19649406e+00  1.67770000e-03  2.56490000e+03  8.24700000e-11  0.00000000e+00
1.03030100e-03  3.19668056e+00  1.67780000e-03  2.53970000e+03  8.89100000e-11  0.00000000e+00
1.04060400e-03  3.19682210e+00  1.67790000e-03  2.51480000e+03  9.58400000e-11  0.00000000e+00
1.05101010e-03  3.19693487e+00  1.67810000e-03  2.49010000e+03  1.03300000e-10  0.00000000e+00
1.06152010e-03  3.19702779e+00  1.67830000e-03  2.46570000e+03  1.11300000e-10  0.00000000e+00
1.07213530e-03  3.19710626e+00  1.67840000e-03  2.44150000e+03  1.20000000e-10  0.00000000e+00
1.08285670e-03  3.19717374e+00  1.67860000e-03  2.41760000e+03  1.29300000e-10  0.00000000e+00
1.09368520e-03  3.19723261e+00  1.67870000e-03  2.39390000e+03  1.39300000e-10  0.00000000e+00
1.10462210e-03  3.19728451e+00  1.67890000e-03  2.37040000e+03  1.50000000e-10  0.00000000e+00
1.11566830e-03  3.19733065e+00  1.67900000e-03  2.34710000e+03  1.61600000e-10  0.00000000e+00
1.12682500e-03  3.19737197e+00  1.67920000e-03  2.32410000e+03  1.74100000e-10  0.00000000e+00
1.13809320e-03  3.19740914e+00  1.67940000e-03  2.30130000e+03  1.87500000e-10  0.00000000e+00
