#  Si:    Z = 14;   Atomic weight = 28.08550 g/mol ;    nominal density:   [INLINE] = 2.3200E+00 g/cm3
#         a(barns/atom) = (cm2/g)    4.66371E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.49829E+06
#         6 edges. Edge energies (keV):
# K      1.83890E+00  L I    1.48700E-01  L II   9.92000E-02  L III  9.92000E-02
# M I    1.13572E-02  M II   5.08305E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -2.6197E-02, -1.5600E-02 e/atom
#         Nuclear Thomson correction fNT = -3.8284E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=14, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.70525711e+00  1.74410000e-03  2.58730000e+03  4.63000000e-11  0.00000000e+00
1.02010000e-03  2.70505344e+00  1.74420000e-03  2.56180000e+03  5.00400000e-11  0.00000000e+00
1.03030100e-03  2.70476571e+00  1.74430000e-03  2.53660000e+03  5.40800000e-11  0.00000000e+00
1.04060400e-03  2.70442299e+00  1.74440000e-03  2.51170000e+03  5.84300000e-11  0.00000000e+00
1.05101010e-03  2.70404017e+00  1.74460000e-03  2.48700000e+03  6.31300000e-11  0.00000000e+00
1.06152010e-03  2.70362571e+00  1.74470000e-03  2.46260000e+03  6.82000000e-11  0.00000000e+00
1.07213530e-03  2.70318480e+00  1.74480000e-03  2.43840000e+03  7.36600000e-11  0.00000000e+00
1.08285670e-03  2.70272076e+00  1.74500000e-03  2.41440000e+03  7.95600000e-11  0.00000000e+00
1.09368520e-03  2.70223581e+00  1.74510000e-03  2.39070000e+03  8.59100000e-11  0.00000000e+00
1.10462210e-03  2.70173146e+00  1.74520000e-03  2.36720000e+03  9.27600000e-11  0.00000000e+00
1.11566830e-03  2.70120875e+00  1.74540000e-03  2.34390000e+03  1.00100000e-10  0.00000000e+00
1.12682500e-03  2.70066839e+00  1.74550000e-03  2.32090000e+03  1.08100000e-10  0.00000000e+00
1.13809320e-03  2.70011087e+00  1.74560000e-03  2.29810000e+03  1.16700000e-10  0.00000000e+00
1.14947410e-03  2.69953649e+00  1.74580000e-03  2.27550000e+03  1.25900000e-10  0.00000000e+00
1.16096880e-03  2.69894546e+00  1.74590000e-03  2.25320000e+03  1.35800000e-10  0.00000000e+00
1.17257850e-03  2.69833785e+00  1.74600000e-03  2.23100000e+03  1.46600000e-10  0.00000000e+00
1.18430430e-03  2.69771368e+00  1.74620000e-03  2.20910000e+03  1.58100000e-10  0.00000000e+00
1.19614730e-03  2.69707290e+00  1.74630000e-03  2.18740000e+03  1.70500000e-10  0.00000000e+00
1.20810880e-03  2.69641540e+00  1.74650000e-03  2.16600000e+03  1.83900000e-10  0.00000000e+00
1.22018990e-03  2.69574104e+00  1.74660000e-03  2.14470000e+03  1.98300000e-10  0.00000000e+00
1.23239180e-03  2.69504964e+00  1.74680000e-03  2.12360000e+03  2.13800000e-10  0.00000000e+00
1.24471570e-03  2.69434098e+00  1.74690000e-03  2.10280000e+03  2.30400000e-10  0.00000000e+00
1.25716280e-03  2.69361482e+00  1.74710000e-03  2.08220000e+03  2.48400000e-10  0.00000000e+00
1.26973440e-03  2.69287090e+00  1.74720000e-03  2.06170000e+03  2.67700000e-10  0.00000000e+00
1.28243180e-03  2.69210891e+00  1.74740000e-03  2.04150000e+03  2.88500000e-10  0.00000000e+00
1.29525610e-03  2.69132855e+00  1.74750000e-03  2.02140000e+03  3.10800000e-10  0.00000000e+00
1.30820860e-03  2.69052948e+00  1.74770000e-03  2.00160000e+03  3.34800000e-10  0.00000000e+00
1.32129070e-03  2.68971135e+00  1.74780000e-03  1.98200000e+03  3.60600000e-10  0.00000000e+00
1.33450360e-03  2.68887380e+00  1.74800000e-03  1.96250000e+03  3.88400000e-10  0.00000000e+00
1.34784860e-03  2.68801643e+00  1.74820000e-03  1.94330000e+03  4.18200000e-10  0.00000000e+00
1.36132710e-03  2.68713884e+00  1.74830000e-03  1.92420000e+03  4.50300000e-10  0.00000000e+00
1.37494030e-03  2.68624060e+00  1.74850000e-03  1.90530000e+03  4.84800000e-10  0.00000000e+00
1.38868970e-03  2.68532129e+00  1.74860000e-03  1.88670000e+03  5.21800000e-10  0.00000000e+00
1.40257660e-03  2.68438043e+00  1.74880000e-03  1.86820000e+03  5.61600000e-10  0.00000000e+00
1.41660240e-03  2.68341756e+00  1.74900000e-03  1.84980000e+03  6.04300000e-10  0.00000000e+00
1.43076840e-03  2.68243219e+00  1.74920000e-03  1.83170000e+03  6.50200000e-10  0.00000000e+00
1.44507600e-03  2.68142381e+00  1.74930000e-03  1.81380000e+03  6.99500000e-10  0.00000000e+00
1.45952680e-03  2.68039189e+00  1.74950000e-03  1.79600000e+03  7.52400000e-10  0.00000000e+00
1.47412200e-03  2.67933590e+00  1.74970000e-03  1.77840000e+03  8.09200000e-10  0.00000000e+00
1.48886320e-03  2.67825528e+00  1.74990000e-03  1.76090000e+03  8.70200000e-10  0.00000000e+00
1.50375190e-03  2.67714944e+00  1.75000000e-03  1.74370000e+03  9.35600000e-10  0.00000000e+00
1.51878940e-03  2.67601779e+00  1.75020000e-03  1.72660000e+03  1.00600000e-09  0.00000000e+00
1.53397720e-03  2.67485972e+00  1.75040000e-03  1.70970000e+03  1.08100000e-09  0.00000000e+00
1.54931700e-03  2.67367459e+00  1.75060000e-03  1.69290000e+03  1.16200000e-09  0.00000000e+00
1.56481020e-03  2.67246173e+00  1.75080000e-03  1.67640000e+03  1.24900000e-09  0.00000000e+00
1.58045820e-03  2.67122049e+00  1.75100000e-03  1.65990000e+03  1.34200000e-09  0.00000000e+00
1.59626280e-03  2.66995014e+00  1.75120000e-03  1.64370000e+03  1.44100000e-09  0.00000000e+00
1.61222540e-03  2.66864999e+00  1.75140000e-03  1.62760000e+03  1.54800000e-09  0.00000000e+00
1.62834770e-03  2.66731928e+00  1.75160000e-03  1.61170000e+03  1.66300000e-09  0.00000000e+00
1.64463110e-03  2.66595724e+00  1.75180000e-03  1.59590000e+03  1.78600000e-09  0.00000000e+00
1.66107740e-03  2.66456308e+00  1.75200000e-03  1.58030000e+03  1.91700000e-09  0.00000000e+00
1.67768820e-03  2.66313600e+00  1.75220000e-03  1.56480000e+03  2.05800000e-09  0.00000000e+00
1.69446500e-03  2.66167513e+00  1.75240000e-03  1.54950000e+03  2.21000000e-09  0.00000000e+00
1.71140970e-03  2.66017962e+00  1.75260000e-03  1.53430000e+03  2.37200000e-09  0.00000000e+00
1.72852380e-03  2.65864856e+00  1.75280000e-03  1.51930000e+03  2.54500000e-09  0.00000000e+00
1.74580900e-03  2.65708103e+00  1.75300000e-03  1.50450000e+03  2.73100000e-09  0.00000000e+00
1.76326710e-03  2.65547607e+00  1.75320000e-03  1.48970000e+03  2.93000000e-09  0.00000000e+00
1.78089970e-03  2.65383269e+00  1.75340000e-03  1.47520000e+03  3.14200000e-09  0.00000000e+00
1.79870870e-03  2.65214987e+00  1.75360000e-03  1.46070000e+03  3.37000000e-09  0.00000000e+00
1.81669580e-03  2.65042654e+00  1.75380000e-03  1.44650000e+03  3.61400000e-09  0.00000000e+00
1.83486270e-03  2.64866163e+00  1.75410000e-03  1.43230000e+03  3.87500000e-09  0.00000000e+00
1.85321130e-03  2.64685400e+00  1.75430000e-03  1.41830000e+03  4.15500000e-09  0.00000000e+00
1.87174340e-03  2.64500249e+00  1.75450000e-03  1.40450000e+03  4.45300000e-09  0.00000000e+00
1.89046080e-03  2.64310589e+00  1.75470000e-03  1.39070000e+03  4.77300000e-09  0.00000000e+00
1.90936540e-03  2.64116295e+00  1.75500000e-03  1.37710000e+03  5.11500000e-09  0.00000000e+00
1.92845900e-03  2.63917239e+00  1.75520000e-03  1.36370000e+03  5.48100000e-09  0.00000000e+00
1.94774360e-03  2.63713286e+00  1.75540000e-03  1.35040000e+03  5.87200000e-09  0.00000000e+00
1.96722100e-03  2.63504299e+00  1.75570000e-03  1.33720000e+03  6.29000000e-09  0.00000000e+00
1.98689320e-03  2.63290134e+00  1.75590000e-03  1.32410000e+03  6.73600000e-09  0.00000000e+00
2.00676210e-03  2.63070643e+00  1.75620000e-03  1.31120000e+03  7.21400000e-09  0.00000000e+00
2.02682970e-03  2.62845672e+00  1.75640000e-03  1.29840000e+03  7.72400000e-09  0.00000000e+00
2.04709800e-03  2.62615063e+00  1.75670000e-03  1.28570000e+03  8.26900000e-09  0.00000000e+00
2.06756900e-03  2.62378649e+00  1.75690000e-03  1.27320000e+03  8.85200000e-09  0.00000000e+00
2.08824460e-03  2.62136261e+00  1.75720000e-03  1.26070000e+03  9.47400000e-09  0.00000000e+00
2.10912710e-03  2.61887720e+00  1.75740000e-03  1.24840000e+03  1.01400000e-08  0.00000000e+00
2.13021830e-03  2.61632842e+00  1.75770000e-03  1.23630000e+03  1.08500000e-08  0.00000000e+00
2.15152050e-03  2.61371437e+00  1.75790000e-03  1.22420000e+03  1.16100000e-08  0.00000000e+00
2.17303570e-03  2.61103304e+00  1.75820000e-03  1.21230000e+03  1.24100000e-08  0.00000000e+00
2.19476600e-03  2.60828238e+00  1.75850000e-03  1.20050000e+03  1.32800000e-08  0.00000000e+00
2.21671360e-03  2.60546025e+00  1.75870000e-03  1.18870000e+03  1.42000000e-08  0.00000000e+00
2.23888080e-03  2.60256441e+00  1.75900000e-03  1.17720000e+03  1.51800000e-08  0.00000000e+00
2.26126950e-03  2.59959254e+00  1.75930000e-03  1.16570000e+03  1.62300000e-08  0.00000000e+00
2.28388220e-03  2.59654224e+00  1.75960000e-03  1.15430000e+03  1.73500000e-08  0.00000000e+00
2.30672100e-03  2.59341099e+00  1.75980000e-03  1.14310000e+03  1.85400000e-08  0.00000000e+00
2.32978820e-03  2.59019618e+00  1.76010000e-03  1.13190000e+03  1.98200000e-08  0.00000000e+00
2.35308610e-03  2.58689508e+00  1.76040000e-03  1.12090000e+03  2.11800000e-08  0.00000000e+00
2.37661690e-03  2.58350484e+00  1.76070000e-03  1.11000000e+03  2.26200000e-08  0.00000000e+00
2.40038310e-03  2.58002252e+00  1.76100000e-03  1.09920000e+03  2.41700000e-08  0.00000000e+00
2.42438690e-03  2.57644502e+00  1.76130000e-03  1.08850000e+03  2.58100000e-08  0.00000000e+00
2.44863070e-03  2.57276911e+00  1.76160000e-03  1.07790000e+03  2.75600000e-08  0.00000000e+00
2.47311700e-03  2.56899142e+00  1.76190000e-03  1.06740000e+03  2.94300000e-08  0.00000000e+00
2.49784810e-03  2.56510845e+00  1.76220000e-03  1.05700000e+03  3.14200000e-08  0.00000000e+00
2.52282660e-03  2.56111650e+00  1.76250000e-03  1.04670000e+03  3.35400000e-08  0.00000000e+00
2.54805480e-03  2.55701174e+00  1.76280000e-03  1.03660000e+03  3.58000000e-08  0.00000000e+00
2.57353540e-03  2.55279013e+00  1.76310000e-03  1.02650000e+03  3.82000000e-08  0.00000000e+00
2.59927070e-03  2.54844746e+00  1.76350000e-03  1.01650000e+03  4.07600000e-08  0.00000000e+00
2.62526340e-03  2.54397931e+00  1.76380000e-03  1.00660000e+03  4.34900000e-08  0.00000000e+00
2.65151600e-03  2.53938105e+00  1.76410000e-03  9.96840000e+02  4.63900000e-08  0.00000000e+00
2.67803110e-03  2.53464781e+00  1.76440000e-03  9.87160000e+02  4.94800000e-08  0.00000000e+00
2.70481140e-03  2.52977451e+00  1.76480000e-03  9.77570000e+02  5.27700000e-08  0.00000000e+00
2.73185950e-03  2.52477952e+00  1.76510000e-03  9.68070000e+02  5.62700000e-08  0.00000000e+00
