#  P:    Z = 15;   Atomic weight = 30.97380 g/mol ;    nominal density:   [INLINE] = 1.8200E+00 g/cm3
#         a(barns/atom) = (cm2/g)    5.14332E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.35858E+06
#         7 edges. Edge energies (keV):
# K      2.14550E+00  L I    1.89300E-01  L II   1.32200E-01  L III  1.32200E-01
# M I    1.44615E-02  M II   6.38493E-03  M III  6.33669E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.0566E-02, -1.8000E-02 e/atom
#         Nuclear Thomson correction fNT = -3.9850E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=15, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.45224846e+00  1.73370000e-03  2.33210000e+03  4.03500000e-11  0.00000000e+00
1.02010000e-03  2.45193839e+00  1.73380000e-03  2.30910000e+03  4.36700000e-11  0.00000000e+00
1.03030100e-03  2.45154853e+00  1.73390000e-03  2.28640000e+03  4.72500000e-11  0.00000000e+00
1.04060400e-03  2.45110325e+00  1.73400000e-03  2.26390000e+03  5.11200000e-11  0.00000000e+00
1.05101010e-03  2.45061579e+00  1.73410000e-03  2.24160000e+03  5.53000000e-11  0.00000000e+00
1.06152010e-03  2.45009400e+00  1.73420000e-03  2.21950000e+03  5.98100000e-11  0.00000000e+00
1.07213530e-03  2.44954286e+00  1.73430000e-03  2.19770000e+03  6.46800000e-11  0.00000000e+00
1.08285670e-03  2.44896564e+00  1.73440000e-03  2.17600000e+03  6.99400000e-11  0.00000000e+00
1.09368520e-03  2.44836457e+00  1.73450000e-03  2.15460000e+03  7.56100000e-11  0.00000000e+00
1.10462210e-03  2.44774117e+00  1.73460000e-03  2.13340000e+03  8.17300000e-11  0.00000000e+00
1.11566830e-03  2.44709651e+00  1.73470000e-03  2.11240000e+03  8.83400000e-11  0.00000000e+00
1.12682500e-03  2.44643132e+00  1.73480000e-03  2.09160000e+03  9.54600000e-11  0.00000000e+00
1.13809320e-03  2.44574610e+00  1.73490000e-03  2.07100000e+03  1.03100000e-10  0.00000000e+00
1.14947410e-03  2.44504117e+00  1.73500000e-03  2.05070000e+03  1.11400000e-10  0.00000000e+00
1.16096880e-03  2.44431672e+00  1.73510000e-03  2.03050000e+03  1.20300000e-10  0.00000000e+00
1.17257850e-03  2.44357284e+00  1.73520000e-03  2.01050000e+03  1.30000000e-10  0.00000000e+00
1.18430430e-03  2.44280952e+00  1.73540000e-03  1.99070000e+03  1.40300000e-10  0.00000000e+00
1.19614730e-03  2.44202669e+00  1.73550000e-03  1.97110000e+03  1.51500000e-10  0.00000000e+00
1.20810880e-03  2.44122425e+00  1.73560000e-03  1.95170000e+03  1.63600000e-10  0.00000000e+00
1.22018990e-03  2.44040201e+00  1.73570000e-03  1.93250000e+03  1.76500000e-10  0.00000000e+00
1.23239180e-03  2.43955977e+00  1.73580000e-03  1.91350000e+03  1.90500000e-10  0.00000000e+00
1.24471570e-03  2.43869729e+00  1.73590000e-03  1.89470000e+03  2.05600000e-10  0.00000000e+00
1.25716280e-03  2.43781430e+00  1.73600000e-03  1.87610000e+03  2.21800000e-10  0.00000000e+00
1.26973440e-03  2.43691050e+00  1.73610000e-03  1.85760000e+03  2.39200000e-10  0.00000000e+00
1.28243180e-03  2.43598556e+00  1.73630000e-03  1.83940000e+03  2.58000000e-10  0.00000000e+00
1.29525610e-03  2.43503914e+00  1.73640000e-03  1.82130000e+03  2.78200000e-10  0.00000000e+00
1.30820860e-03  2.43407087e+00  1.73650000e-03  1.80340000e+03  3.00000000e-10  0.00000000e+00
1.32129070e-03  2.43308036e+00  1.73660000e-03  1.78560000e+03  3.23400000e-10  0.00000000e+00
1.33450360e-03  2.43206721e+00  1.73670000e-03  1.76810000e+03  3.48500000e-10  0.00000000e+00
1.34784860e-03  2.43103099e+00  1.73690000e-03  1.75070000e+03  3.75600000e-10  0.00000000e+00
1.36132710e-03  2.42997125e+00  1.73700000e-03  1.73350000e+03  4.04800000e-10  0.00000000e+00
1.37494030e-03  2.42888754e+00  1.73710000e-03  1.71640000e+03  4.36100000e-10  0.00000000e+00
1.38868970e-03  2.42777937e+00  1.73720000e-03  1.69960000e+03  4.69800000e-10  0.00000000e+00
1.40257660e-03  2.42664626e+00  1.73740000e-03  1.68290000e+03  5.06000000e-10  0.00000000e+00
1.41660240e-03  2.42548770e+00  1.73750000e-03  1.66630000e+03  5.44900000e-10  0.00000000e+00
1.43076840e-03  2.42430314e+00  1.73760000e-03  1.65000000e+03  5.86700000e-10  0.00000000e+00
1.44507600e-03  2.42309206e+00  1.73780000e-03  1.63370000e+03  6.31600000e-10  0.00000000e+00
1.45952680e-03  2.42185388e+00  1.73790000e-03  1.61770000e+03  6.79900000e-10  0.00000000e+00
1.47412200e-03  2.42058803e+00  1.73800000e-03  1.60180000e+03  7.31800000e-10  0.00000000e+00
1.48886320e-03  2.41929391e+00  1.73820000e-03  1.58610000e+03  7.87500000e-10  0.00000000e+00
1.50375190e-03  2.41797091e+00  1.73830000e-03  1.57050000e+03  8.47300000e-10  0.00000000e+00
1.51878940e-03  2.41661839e+00  1.73840000e-03  1.55510000e+03  9.11500000e-10  0.00000000e+00
1.53397720e-03  2.41523571e+00  1.73860000e-03  1.53980000e+03  9.80500000e-10  0.00000000e+00
1.54931700e-03  2.41382219e+00  1.73870000e-03  1.52470000e+03  1.05400000e-09  0.00000000e+00
1.56481020e-03  2.41237715e+00  1.73890000e-03  1.50970000e+03  1.13400000e-09  0.00000000e+00
1.58045820e-03  2.41089987e+00  1.73900000e-03  1.49490000e+03  1.21900000e-09  0.00000000e+00
1.59626280e-03  2.40938964e+00  1.73920000e-03  1.48020000e+03  1.31100000e-09  0.00000000e+00
1.61222540e-03  2.40784569e+00  1.73930000e-03  1.46570000e+03  1.40900000e-09  0.00000000e+00
1.62834770e-03  2.40626728e+00  1.73950000e-03  1.45130000e+03  1.51400000e-09  0.00000000e+00
1.64463110e-03  2.40465359e+00  1.73960000e-03  1.43700000e+03  1.62700000e-09  0.00000000e+00
1.66107740e-03  2.40300382e+00  1.73980000e-03  1.42290000e+03  1.74800000e-09  0.00000000e+00
1.67768820e-03  2.40131714e+00  1.73990000e-03  1.40900000e+03  1.87800000e-09  0.00000000e+00
1.69446500e-03  2.39959269e+00  1.74010000e-03  1.39510000e+03  2.01700000e-09  0.00000000e+00
1.71140970e-03  2.39782958e+00  1.74020000e-03  1.38150000e+03  2.16600000e-09  0.00000000e+00
1.72852380e-03  2.39602690e+00  1.74040000e-03  1.36790000e+03  2.32500000e-09  0.00000000e+00
1.74580900e-03  2.39418372e+00  1.74060000e-03  1.35450000e+03  2.49700000e-09  0.00000000e+00
1.76326710e-03  2.39229909e+00  1.74070000e-03  1.34120000e+03  2.68000000e-09  0.00000000e+00
1.78089970e-03  2.39037201e+00  1.74090000e-03  1.32800000e+03  2.87600000e-09  0.00000000e+00
1.79870870e-03  2.38840148e+00  1.74100000e-03  1.31500000e+03  3.08700000e-09  0.00000000e+00
1.81669580e-03  2.38638644e+00  1.74120000e-03  1.30210000e+03  3.31200000e-09  0.00000000e+00
1.83486270e-03  2.38432582e+00  1.74140000e-03  1.28940000e+03  3.55300000e-09  0.00000000e+00
1.85321130e-03  2.38221853e+00  1.74150000e-03  1.27670000e+03  3.81100000e-09  0.00000000e+00
1.87174340e-03  2.38006341e+00  1.74170000e-03  1.26420000e+03  4.08800000e-09  0.00000000e+00
1.89046080e-03  2.37785932e+00  1.74190000e-03  1.25180000e+03  4.38300000e-09  0.00000000e+00
1.90936540e-03  2.37560503e+00  1.74210000e-03  1.23950000e+03  4.70000000e-09  0.00000000e+00
1.92845900e-03  2.37329932e+00  1.74220000e-03  1.22740000e+03  5.03800000e-09  0.00000000e+00
1.94774360e-03  2.37094091e+00  1.74240000e-03  1.21540000e+03  5.40100000e-09  0.00000000e+00
1.96722100e-03  2.36852848e+00  1.74260000e-03  1.20350000e+03  5.78800000e-09  0.00000000e+00
1.98689320e-03  2.36606069e+00  1.74280000e-03  1.19170000e+03  6.20200000e-09  0.00000000e+00
2.00676210e-03  2.36353615e+00  1.74300000e-03  1.18000000e+03  6.64500000e-09  0.00000000e+00
2.02682970e-03  2.36095341e+00  1.74320000e-03  1.16840000e+03  7.11900000e-09  0.00000000e+00
2.04709800e-03  2.35831102e+00  1.74340000e-03  1.15700000e+03  7.62500000e-09  0.00000000e+00
2.06756900e-03  2.35560743e+00  1.74350000e-03  1.14570000e+03  8.16600000e-09  0.00000000e+00
2.08824460e-03  2.35284109e+00  1.74370000e-03  1.13440000e+03  8.74400000e-09  0.00000000e+00
2.10912710e-03  2.35001038e+00  1.74390000e-03  1.12330000e+03  9.36200000e-09  0.00000000e+00
2.13021830e-03  2.34711363e+00  1.74410000e-03  1.11230000e+03  1.00200000e-08  0.00000000e+00
2.15152050e-03  2.34414913e+00  1.74430000e-03  1.10150000e+03  1.07300000e-08  0.00000000e+00
2.17303570e-03  2.34111510e+00  1.74450000e-03  1.09070000e+03  1.14800000e-08  0.00000000e+00
2.19476600e-03  2.33800971e+00  1.74470000e-03  1.08000000e+03  1.22800000e-08  0.00000000e+00
2.21671360e-03  2.33483107e+00  1.74490000e-03  1.06940000e+03  1.31400000e-08  0.00000000e+00
2.23888080e-03  2.33157725e+00  1.74510000e-03  1.05900000e+03  1.40600000e-08  0.00000000e+00
2.26126950e-03  2.32824623e+00  1.74540000e-03  1.04860000e+03  1.50400000e-08  0.00000000e+00
2.28388220e-03  2.32483593e+00  1.74560000e-03  1.03840000e+03  1.60800000e-08  0.00000000e+00
2.30672100e-03  2.32134421e+00  1.74580000e-03  1.02820000e+03  1.72000000e-08  0.00000000e+00
2.32978820e-03  2.31776885e+00  1.74600000e-03  1.01810000e+03  1.83900000e-08  0.00000000e+00
2.35308610e-03  2.31410757e+00  1.74620000e-03  1.00820000e+03  1.96500000e-08  0.00000000e+00
2.37661690e-03  2.31035801e+00  1.74640000e-03  9.98330000e+02  2.10100000e-08  0.00000000e+00
2.40038310e-03  2.30651770e+00  1.74670000e-03  9.88580000e+02  2.24500000e-08  0.00000000e+00
2.42438690e-03  2.30258414e+00  1.74690000e-03  9.78910000e+02  2.39900000e-08  0.00000000e+00
2.44863070e-03  2.29855469e+00  1.74710000e-03  9.69350000e+02  2.56300000e-08  0.00000000e+00
