#  S:    Z = 16;   Atomic weight = 32.06000 g/mol ;    nominal density:   [INLINE] = 2.0700E+00 g/cm3
#         a(barns/atom) = (cm2/g)    5.32369E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.31255E+06
#         7 edges. Edge energies (keV):
# K      2.47200E+00  L I    2.29200E-01  L II   1.64800E-01  L III  1.64800E-01
# M I    1.76882E-02  M II   7.81363E-03  M III  7.73488E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.5338E-02, -2.1000E-02 e/atom
#         Nuclear Thomson correction fNT = -4.3804E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=16, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.93463360e+00  1.77130000e-03  2.30190000e+03  5.05200000e-11  0.00000000e+00
1.02010000e-03  1.93433516e+00  1.77130000e-03  2.27920000e+03  5.46600000e-11  0.00000000e+00
1.03030100e-03  1.93395711e+00  1.77140000e-03  2.25670000e+03  5.91200000e-11  0.00000000e+00
1.04060400e-03  1.93352198e+00  1.77150000e-03  2.23450000e+03  6.39400000e-11  0.00000000e+00
1.05101010e-03  1.93304257e+00  1.77160000e-03  2.21240000e+03  6.91500000e-11  0.00000000e+00
1.06152010e-03  1.93252681e+00  1.77170000e-03  2.19060000e+03  7.47600000e-11  0.00000000e+00
1.07213530e-03  1.93197987e+00  1.77180000e-03  2.16900000e+03  8.08200000e-11  0.00000000e+00
1.08285670e-03  1.93140525e+00  1.77180000e-03  2.14770000e+03  8.73600000e-11  0.00000000e+00
1.09368520e-03  1.93080536e+00  1.77190000e-03  2.12650000e+03  9.44100000e-11  0.00000000e+00
1.10462210e-03  1.93018191e+00  1.77200000e-03  2.10560000e+03  1.02000000e-10  0.00000000e+00
1.11566830e-03  1.92953613e+00  1.77210000e-03  2.08480000e+03  1.10200000e-10  0.00000000e+00
1.12682500e-03  1.92886888e+00  1.77220000e-03  2.06430000e+03  1.19100000e-10  0.00000000e+00
1.13809320e-03  1.92818076e+00  1.77230000e-03  2.04390000e+03  1.28600000e-10  0.00000000e+00
1.14947410e-03  1.92747221e+00  1.77240000e-03  2.02380000e+03  1.38900000e-10  0.00000000e+00
1.16096880e-03  1.92674348e+00  1.77240000e-03  2.00390000e+03  1.49900000e-10  0.00000000e+00
1.17257850e-03  1.92599473e+00  1.77250000e-03  1.98410000e+03  1.61900000e-10  0.00000000e+00
1.18430430e-03  1.92522604e+00  1.77260000e-03  1.96460000e+03  1.74700000e-10  0.00000000e+00
1.19614730e-03  1.92443738e+00  1.77270000e-03  1.94520000e+03  1.88600000e-10  0.00000000e+00
1.20810880e-03  1.92362869e+00  1.77280000e-03  1.92610000e+03  2.03500000e-10  0.00000000e+00
1.22018990e-03  1.92279985e+00  1.77290000e-03  1.90710000e+03  2.19600000e-10  0.00000000e+00
1.23239180e-03  1.92195069e+00  1.77300000e-03  1.88830000e+03  2.36800000e-10  0.00000000e+00
1.24471570e-03  1.92108101e+00  1.77310000e-03  1.86970000e+03  2.55500000e-10  0.00000000e+00
1.25716280e-03  1.92019057e+00  1.77320000e-03  1.85130000e+03  2.75500000e-10  0.00000000e+00
1.26973440e-03  1.91927910e+00  1.77330000e-03  1.83310000e+03  2.97100000e-10  0.00000000e+00
1.28243180e-03  1.91834633e+00  1.77340000e-03  1.81500000e+03  3.20300000e-10  0.00000000e+00
1.29525610e-03  1.91739192e+00  1.77350000e-03  1.79720000e+03  3.45300000e-10  0.00000000e+00
1.30820860e-03  1.91641555e+00  1.77360000e-03  1.77950000e+03  3.72100000e-10  0.00000000e+00
1.32129070e-03  1.91541686e+00  1.77370000e-03  1.76200000e+03  4.01000000e-10  0.00000000e+00
1.33450360e-03  1.91439548e+00  1.77380000e-03  1.74460000e+03  4.32100000e-10  0.00000000e+00
1.34784860e-03  1.91335099e+00  1.77390000e-03  1.72740000e+03  4.65500000e-10  0.00000000e+00
1.36132710e-03  1.91228301e+00  1.77400000e-03  1.71040000e+03  5.01500000e-10  0.00000000e+00
1.37494030e-03  1.91119108e+00  1.77410000e-03  1.69360000e+03  5.40100000e-10  0.00000000e+00
1.38868970e-03  1.91007477e+00  1.77420000e-03  1.67690000e+03  5.81600000e-10  0.00000000e+00
1.40257660e-03  1.90893362e+00  1.77430000e-03  1.66040000e+03  6.26200000e-10  0.00000000e+00
1.41660240e-03  1.90776714e+00  1.77440000e-03  1.64410000e+03  6.74100000e-10  0.00000000e+00
1.43076840e-03  1.90657485e+00  1.77450000e-03  1.62790000e+03  7.25600000e-10  0.00000000e+00
1.44507600e-03  1.90535623e+00  1.77470000e-03  1.61190000e+03  7.80900000e-10  0.00000000e+00
1.45952680e-03  1.90411075e+00  1.77480000e-03  1.59600000e+03  8.40300000e-10  0.00000000e+00
1.47412200e-03  1.90283787e+00  1.77490000e-03  1.58030000e+03  9.04100000e-10  0.00000000e+00
1.48886320e-03  1.90153704e+00  1.77500000e-03  1.56480000e+03  9.72600000e-10  0.00000000e+00
1.50375190e-03  1.90020768e+00  1.77510000e-03  1.54940000e+03  1.04600000e-09  0.00000000e+00
1.51878940e-03  1.89884920e+00  1.77520000e-03  1.53420000e+03  1.12500000e-09  0.00000000e+00
1.53397720e-03  1.89746100e+00  1.77540000e-03  1.51910000e+03  1.21000000e-09  0.00000000e+00
1.54931700e-03  1.89604245e+00  1.77550000e-03  1.50410000e+03  1.30100000e-09  0.00000000e+00
1.56481020e-03  1.89459291e+00  1.77560000e-03  1.48930000e+03  1.39800000e-09  0.00000000e+00
1.58045820e-03  1.89311172e+00  1.77570000e-03  1.47470000e+03  1.50300000e-09  0.00000000e+00
1.59626280e-03  1.89159821e+00  1.77580000e-03  1.46020000e+03  1.61500000e-09  0.00000000e+00
1.61222540e-03  1.89005169e+00  1.77600000e-03  1.44580000e+03  1.73500000e-09  0.00000000e+00
1.62834770e-03  1.88847144e+00  1.77610000e-03  1.43160000e+03  1.86400000e-09  0.00000000e+00
1.64463110e-03  1.88685675e+00  1.77620000e-03  1.41760000e+03  2.00200000e-09  0.00000000e+00
1.66107740e-03  1.88520685e+00  1.77630000e-03  1.40360000e+03  2.15100000e-09  0.00000000e+00
1.67768820e-03  1.88352098e+00  1.77650000e-03  1.38980000e+03  2.30900000e-09  0.00000000e+00
1.69446500e-03  1.88179835e+00  1.77660000e-03  1.37620000e+03  2.48000000e-09  0.00000000e+00
1.71140970e-03  1.88003816e+00  1.77670000e-03  1.36270000e+03  2.66200000e-09  0.00000000e+00
1.72852380e-03  1.87823957e+00  1.77690000e-03  1.34930000e+03  2.85700000e-09  0.00000000e+00
1.74580900e-03  1.87640174e+00  1.77700000e-03  1.33600000e+03  3.06700000e-09  0.00000000e+00
1.76326710e-03  1.87452379e+00  1.77710000e-03  1.32290000e+03  3.29100000e-09  0.00000000e+00
1.78089970e-03  1.87260482e+00  1.77730000e-03  1.30990000e+03  3.53100000e-09  0.00000000e+00
1.79870870e-03  1.87064393e+00  1.77740000e-03  1.29700000e+03  3.78800000e-09  0.00000000e+00
1.81669580e-03  1.86864016e+00  1.77760000e-03  1.28430000e+03  4.06300000e-09  0.00000000e+00
1.83486270e-03  1.86659255e+00  1.77770000e-03  1.27170000e+03  4.35700000e-09  0.00000000e+00
1.85321130e-03  1.86450011e+00  1.77780000e-03  1.25920000e+03  4.67200000e-09  0.00000000e+00
1.87174340e-03  1.86236183e+00  1.77800000e-03  1.24680000e+03  5.00900000e-09  0.00000000e+00
1.89046080e-03  1.86017664e+00  1.77810000e-03  1.23460000e+03  5.37000000e-09  0.00000000e+00
1.90936540e-03  1.85794349e+00  1.77830000e-03  1.22240000e+03  5.75600000e-09  0.00000000e+00
1.92845900e-03  1.85566128e+00  1.77840000e-03  1.21040000e+03  6.16900000e-09  0.00000000e+00
