#  Cl:    Z = 17;   Atomic weight = 35.45300 g/mol ;    nominal density:   [INLINE] = 1.5600E+00 g/cm3
#         a(barns/atom) = (cm2/g)    5.88711E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.18693E+06
#         7 edges. Edge energies (keV):
# K      2.82240E+00  L I    2.70200E-01  L II   2.01600E-01  L III  2.00000E-01
# M I    1.75000E-02  M II   6.80000E-03  M III  6.80000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -4.0526E-02, -2.4600E-02 e/atom
#         Nuclear Thomson correction fNT = -4.4718E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=17, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.64996993e-01  1.83460000e-03  2.15600000e+03  9.87800000e-11  0.00000000e+00
1.02010000e-03  7.64255469e-01  1.83470000e-03  2.13470000e+03  1.06700000e-10  0.00000000e+00
1.03030100e-03  7.63422763e-01  1.83470000e-03  2.11370000e+03  1.15200000e-10  0.00000000e+00
1.04060400e-03  7.62520296e-01  1.83480000e-03  2.09280000e+03  1.24300000e-10  0.00000000e+00
1.05101010e-03  7.61560575e-01  1.83490000e-03  2.07220000e+03  1.34200000e-10  0.00000000e+00
1.06152010e-03  7.60551499e-01  1.83500000e-03  2.05170000e+03  1.44800000e-10  0.00000000e+00
1.07213530e-03  7.59498280e-01  1.83500000e-03  2.03150000e+03  1.56200000e-10  0.00000000e+00
1.08285670e-03  7.58404451e-01  1.83510000e-03  2.01150000e+03  1.68500000e-10  0.00000000e+00
1.09368520e-03  7.57272443e-01  1.83520000e-03  1.99160000e+03  1.81800000e-10  0.00000000e+00
1.10462210e-03  7.56103938e-01  1.83530000e-03  1.97200000e+03  1.96100000e-10  0.00000000e+00
1.11566830e-03  7.54900086e-01  1.83530000e-03  1.95260000e+03  2.11400000e-10  0.00000000e+00
1.12682500e-03  7.53661654e-01  1.83540000e-03  1.93330000e+03  2.27900000e-10  0.00000000e+00
1.13809320e-03  7.52389120e-01  1.83550000e-03  1.91430000e+03  2.45700000e-10  0.00000000e+00
1.14947410e-03  7.51082748e-01  1.83560000e-03  1.89540000e+03  2.64900000e-10  0.00000000e+00
1.16096880e-03  7.49742627e-01  1.83560000e-03  1.87670000e+03  2.85400000e-10  0.00000000e+00
1.17257850e-03  7.48368716e-01  1.83570000e-03  1.85820000e+03  3.07600000e-10  0.00000000e+00
1.18430430e-03  7.46960860e-01  1.83580000e-03  1.83990000e+03  3.31400000e-10  0.00000000e+00
1.19614730e-03  7.45518816e-01  1.83590000e-03  1.82170000e+03  3.57000000e-10  0.00000000e+00
1.20810880e-03  7.44042266e-01  1.83600000e-03  1.80380000e+03  3.84500000e-10  0.00000000e+00
1.22018990e-03  7.42530823e-01  1.83610000e-03  1.78600000e+03  4.14100000e-10  0.00000000e+00
1.23239180e-03  7.40984049e-01  1.83610000e-03  1.76840000e+03  4.45900000e-10  0.00000000e+00
1.24471570e-03  7.39401452e-01  1.83620000e-03  1.75100000e+03  4.80100000e-10  0.00000000e+00
1.25716280e-03  7.37782498e-01  1.83630000e-03  1.73370000e+03  5.16800000e-10  0.00000000e+00
1.26973440e-03  7.36126611e-01  1.83640000e-03  1.71660000e+03  5.56200000e-10  0.00000000e+00
1.28243180e-03  7.34433178e-01  1.83650000e-03  1.69970000e+03  5.98600000e-10  0.00000000e+00
1.29525610e-03  7.32701551e-01  1.83660000e-03  1.68300000e+03  6.44000000e-10  0.00000000e+00
1.30820860e-03  7.30931051e-01  1.83670000e-03  1.66640000e+03  6.92900000e-10  0.00000000e+00
1.32129070e-03  7.29120964e-01  1.83680000e-03  1.65000000e+03  7.45300000e-10  0.00000000e+00
1.33450360e-03  7.27270549e-01  1.83680000e-03  1.63370000e+03  8.01600000e-10  0.00000000e+00
