#  Ar:    Z = 18;   Atomic weight = 39.94800 g/mol ;    nominal density:   [INLINE] = 1.6600E-03 g/cm3
#         a(barns/atom) = (cm2/g)    6.63353E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.05338E+06
#         7 edges. Edge energies (keV):
# K      3.20290E+00  L I    3.20000E-01  L II   2.47300E-01  L III  2.45200E-01
# M I    2.53000E-02  M II   1.24000E-02  M III  1.24000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -4.6144E-02, -2.8200E-02 e/atom
#         Nuclear Thomson correction fNT = -4.4493E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=18, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.35035876e+00  1.87680000e-03  1.95750000e+03  1.71000000e-10  0.00000000e+00
1.02010000e-03  1.35033837e+00  1.87690000e-03  1.93810000e+03  1.84400000e-10  0.00000000e+00
1.03030100e-03  1.35024793e+00  1.87700000e-03  1.91900000e+03  1.98700000e-10  0.00000000e+00
1.04060400e-03  1.35010528e+00  1.87700000e-03  1.90010000e+03  2.14200000e-10  0.00000000e+00
1.05101010e-03  1.34992154e+00  1.87710000e-03  1.88130000e+03  2.30800000e-10  0.00000000e+00
1.06152010e-03  1.34970416e+00  1.87720000e-03  1.86280000e+03  2.48600000e-10  0.00000000e+00
1.07213530e-03  1.34945834e+00  1.87720000e-03  1.84440000e+03  2.67800000e-10  0.00000000e+00
1.08285670e-03  1.34918780e+00  1.87730000e-03  1.82620000e+03  2.88500000e-10  0.00000000e+00
1.09368520e-03  1.34889530e+00  1.87740000e-03  1.80820000e+03  3.10700000e-10  0.00000000e+00
1.10462210e-03  1.34858288e+00  1.87740000e-03  1.79030000e+03  3.34500000e-10  0.00000000e+00
1.11566830e-03  1.34825212e+00  1.87750000e-03  1.77270000e+03  3.60200000e-10  0.00000000e+00
1.12682500e-03  1.34790419e+00  1.87760000e-03  1.75520000e+03  3.87700000e-10  0.00000000e+00
1.13809320e-03  1.34754004e+00  1.87760000e-03  1.73790000e+03  4.17300000e-10  0.00000000e+00
1.14947410e-03  1.34716036e+00  1.87770000e-03  1.72070000e+03  4.49100000e-10  0.00000000e+00
1.16096880e-03  1.34676571e+00  1.87780000e-03  1.70380000e+03  4.83200000e-10  0.00000000e+00
1.17257850e-03  1.34635650e+00  1.87790000e-03  1.68700000e+03  5.19900000e-10  0.00000000e+00
1.18430430e-03  1.34593307e+00  1.87790000e-03  1.67030000e+03  5.59200000e-10  0.00000000e+00
1.19614730e-03  1.34549564e+00  1.87800000e-03  1.65390000e+03  6.01400000e-10  0.00000000e+00
1.20810880e-03  1.34504437e+00  1.87810000e-03  1.63750000e+03  6.46800000e-10  0.00000000e+00
1.22018990e-03  1.34457939e+00  1.87820000e-03  1.62140000e+03  6.95500000e-10  0.00000000e+00
1.23239180e-03  1.34410074e+00  1.87820000e-03  1.60540000e+03  7.47700000e-10  0.00000000e+00
1.24471570e-03  1.34360845e+00  1.87830000e-03  1.58960000e+03  8.03700000e-10  0.00000000e+00
1.25716280e-03  1.34310250e+00  1.87840000e-03  1.57390000e+03  8.63800000e-10  0.00000000e+00
1.26973440e-03  1.34258285e+00  1.87850000e-03  1.55840000e+03  9.28300000e-10  0.00000000e+00
1.28243180e-03  1.34204943e+00  1.87860000e-03  1.54300000e+03  9.97400000e-10  0.00000000e+00
1.29525610e-03  1.34150214e+00  1.87860000e-03  1.52780000e+03  1.07200000e-09  0.00000000e+00
1.30820860e-03  1.34094086e+00  1.87870000e-03  1.51280000e+03  1.15100000e-09  0.00000000e+00
1.32129070e-03  1.34036546e+00  1.87880000e-03  1.49780000e+03  1.23600000e-09  0.00000000e+00
1.33450360e-03  1.33977579e+00  1.87890000e-03  1.48310000e+03  1.32700000e-09  0.00000000e+00
1.34784860e-03  1.33917167e+00  1.87900000e-03  1.46850000e+03  1.42500000e-09  0.00000000e+00
1.36132710e-03  1.33855292e+00  1.87900000e-03  1.45400000e+03  1.53000000e-09  0.00000000e+00
1.37494030e-03  1.33791935e+00  1.87910000e-03  1.43970000e+03  1.64300000e-09  0.00000000e+00
1.38868970e-03  1.33727075e+00  1.87920000e-03  1.42550000e+03  1.76300000e-09  0.00000000e+00
1.40257660e-03  1.33660688e+00  1.87930000e-03  1.41140000e+03  1.89200000e-09  0.00000000e+00
1.41660240e-03  1.33592752e+00  1.87940000e-03  1.39750000e+03  2.03000000e-09  0.00000000e+00
1.43076840e-03  1.33523242e+00  1.87950000e-03  1.38370000e+03  2.17800000e-09  0.00000000e+00
1.44507600e-03  1.33452133e+00  1.87960000e-03  1.37010000e+03  2.33600000e-09  0.00000000e+00
1.45952680e-03  1.33379397e+00  1.87970000e-03  1.35660000e+03  2.50500000e-09  0.00000000e+00
1.47412200e-03  1.33305008e+00  1.87980000e-03  1.34320000e+03  2.68600000e-09  0.00000000e+00
1.48886320e-03  1.33228935e+00  1.87990000e-03  1.33000000e+03  2.88000000e-09  0.00000000e+00
