#  K:    Z = 19;   Atomic weight = 39.09830 g/mol ;    nominal density:   [INLINE] = 8.6000E-01 g/cm3
#         a(barns/atom) = (cm2/g)    6.49243E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.07627E+06
#         7 edges. Edge energies (keV):
# K      3.60740E+00  L I    3.77100E-01  L II   2.96300E-01  L III  2.93600E-01
# M I    3.39000E-02  M II   1.78000E-02  M III  1.78000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -5.2204E-02, -3.1800E-02 e/atom
#         Nuclear Thomson correction fNT = -5.0651E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=19, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.72584074e+00  2.15370000e-03  2.29500000e+03  5.30000000e-11  0.00000000e+00
1.02010000e-03  2.72597041e+00  2.15380000e-03  2.27240000e+03  5.73400000e-11  0.00000000e+00
1.03030100e-03  2.72602855e+00  2.15390000e-03  2.25000000e+03  6.20100000e-11  0.00000000e+00
1.04060400e-03  2.72603895e+00  2.15400000e-03  2.22780000e+03  6.70600000e-11  0.00000000e+00
1.05101010e-03  2.72601333e+00  2.15410000e-03  2.20590000e+03  7.25100000e-11  0.00000000e+00
1.06152010e-03  2.72595890e+00  2.15420000e-03  2.18410000e+03  7.83900000e-11  0.00000000e+00
1.07213530e-03  2.72588054e+00  2.15430000e-03  2.16260000e+03  8.47300000e-11  0.00000000e+00
1.08285670e-03  2.72578174e+00  2.15440000e-03  2.14130000e+03  9.15800000e-11  0.00000000e+00
1.09368520e-03  2.72566509e+00  2.15450000e-03  2.12020000e+03  9.89600000e-11  0.00000000e+00
1.10462210e-03  2.72553253e+00  2.15460000e-03  2.09930000e+03  1.06900000e-10  0.00000000e+00
1.11566830e-03  2.72538558e+00  2.15470000e-03  2.07860000e+03  1.15500000e-10  0.00000000e+00
1.12682500e-03  2.72522542e+00  2.15480000e-03  2.05820000e+03  1.24800000e-10  0.00000000e+00
1.13809320e-03  2.72505298e+00  2.15490000e-03  2.03790000e+03  1.34700000e-10  0.00000000e+00
1.14947410e-03  2.72486901e+00  2.15500000e-03  2.01780000e+03  1.45500000e-10  0.00000000e+00
1.16096880e-03  2.72467410e+00  2.15520000e-03  1.99790000e+03  1.57100000e-10  0.00000000e+00
1.17257850e-03  2.72446873e+00  2.15530000e-03  1.97830000e+03  1.69600000e-10  0.00000000e+00
1.18430430e-03  2.72425329e+00  2.15540000e-03  1.95880000e+03  1.83000000e-10  0.00000000e+00
