#  Ca:    Z = 20;   Atomic weight = 40.08000 g/mol ;    nominal density:   [INLINE] = 1.5500E+00 g/cm3
#         a(barns/atom) = (cm2/g)    6.65545E+01
#         E(eV) (cm2/g) = f2(e/atom)    1.04991E+06
#         7 edges. Edge energies (keV):
# K      4.03810E+00  L I    4.37800E-01  L II   3.50000E-01  L III  3.46400E-01
# M I    4.37000E-02  M II   2.54000E-02  M III  2.54000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -5.8720E-02, -3.6000E-02 e/atom
#         Nuclear Thomson correction fNT = -5.4748E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=20, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.93622260e+00  2.64820000e-03  2.75280000e+03  4.80700000e-11  0.00000000e+00
1.02010000e-03  6.93658358e+00  2.64840000e-03  2.72580000e+03  5.19100000e-11  0.00000000e+00
1.03030100e-03  6.93685613e+00  2.64860000e-03  2.69900000e+03  5.60500000e-11  0.00000000e+00
1.04060400e-03  6.93707734e+00  2.64880000e-03  2.67250000e+03  6.05200000e-11  0.00000000e+00
1.05101010e-03  6.93726321e+00  2.64900000e-03  2.64620000e+03  6.53300000e-11  0.00000000e+00
1.06152010e-03  6.93742264e+00  2.64920000e-03  2.62020000e+03  7.05200000e-11  0.00000000e+00
1.07213530e-03  6.93756127e+00  2.64940000e-03  2.59450000e+03  7.61100000e-11  0.00000000e+00
1.08285670e-03  6.93768302e+00  2.64970000e-03  2.56900000e+03  8.21400000e-11  0.00000000e+00
1.09368520e-03  6.93779072e+00  2.64990000e-03  2.54380000e+03  8.86400000e-11  0.00000000e+00
1.10462210e-03  6.93788652e+00  2.65010000e-03  2.51880000e+03  9.56400000e-11  0.00000000e+00
1.11566830e-03  6.93797206e+00  2.65030000e-03  2.49410000e+03  1.03200000e-10  0.00000000e+00
1.12682500e-03  6.93804867e+00  2.65050000e-03  2.46960000e+03  1.11300000e-10  0.00000000e+00
1.13809320e-03  6.93811740e+00  2.65080000e-03  2.44540000e+03  1.20100000e-10  0.00000000e+00
1.14947410e-03  6.93817911e+00  2.65100000e-03  2.42140000e+03  1.29500000e-10  0.00000000e+00
1.16096880e-03  6.93823452e+00  2.65120000e-03  2.39760000e+03  1.39700000e-10  0.00000000e+00
1.17257850e-03  6.93828422e+00  2.65150000e-03  2.37410000e+03  1.50600000e-10  0.00000000e+00
1.18430430e-03  6.93832870e+00  2.65170000e-03  2.35080000e+03  1.62400000e-10  0.00000000e+00
1.19614730e-03  6.93836840e+00  2.65190000e-03  2.32770000e+03  1.75100000e-10  0.00000000e+00
1.20810880e-03  6.93840367e+00  2.65220000e-03  2.30490000e+03  1.88700000e-10  0.00000000e+00
1.22018990e-03  6.93843482e+00  2.65240000e-03  2.28230000e+03  2.03400000e-10  0.00000000e+00
1.23239180e-03  6.93846212e+00  2.65270000e-03  2.25990000e+03  2.19200000e-10  0.00000000e+00
1.24471570e-03  6.93848581e+00  2.65290000e-03  2.23770000e+03  2.36200000e-10  0.00000000e+00
1.25716280e-03  6.93850608e+00  2.65320000e-03  2.21580000e+03  2.54500000e-10  0.00000000e+00
1.26973440e-03  6.93852310e+00  2.65340000e-03  2.19410000e+03  2.74200000e-10  0.00000000e+00
1.28243180e-03  6.93853704e+00  2.65370000e-03  2.17250000e+03  2.95400000e-10  0.00000000e+00
1.29525610e-03  6.93854802e+00  2.65400000e-03  2.15120000e+03  3.18200000e-10  0.00000000e+00
1.30820860e-03  6.93855617e+00  2.65420000e-03  2.13020000e+03  3.42700000e-10  0.00000000e+00
1.32129070e-03  6.93856158e+00  2.65450000e-03  2.10930000e+03  3.69000000e-10  0.00000000e+00
1.33450360e-03  6.93856434e+00  2.65480000e-03  2.08860000e+03  3.97300000e-10  0.00000000e+00
1.34784860e-03  6.93856455e+00  2.65500000e-03  2.06810000e+03  4.27800000e-10  0.00000000e+00
1.36132710e-03  6.93856225e+00  2.65530000e-03  2.04790000e+03  4.60500000e-10  0.00000000e+00
1.37494030e-03  6.93855752e+00  2.65560000e-03  2.02780000e+03  4.95600000e-10  0.00000000e+00
1.38868970e-03  6.93855041e+00  2.65590000e-03  2.00790000e+03  5.33400000e-10  0.00000000e+00
1.40257660e-03  6.93854096e+00  2.65620000e-03  1.98830000e+03  5.74000000e-10  0.00000000e+00
1.41660240e-03  6.93852921e+00  2.65640000e-03  1.96880000e+03  6.17600000e-10  0.00000000e+00
1.43076840e-03  6.93851520e+00  2.65670000e-03  1.94950000e+03  6.64400000e-10  0.00000000e+00
1.44507600e-03  6.93849896e+00  2.65700000e-03  1.93040000e+03  7.14700000e-10  0.00000000e+00
1.45952680e-03  6.93848050e+00  2.65730000e-03  1.91150000e+03  7.68700000e-10  0.00000000e+00
1.47412200e-03  6.93845985e+00  2.65760000e-03  1.89280000e+03  8.26600000e-10  0.00000000e+00
1.48886320e-03  6.93843703e+00  2.65790000e-03  1.87430000e+03  8.88900000e-10  0.00000000e+00
1.50375190e-03  6.93841204e+00  2.65820000e-03  1.85600000e+03  9.55700000e-10  0.00000000e+00
1.51878940e-03  6.93838490e+00  2.65850000e-03  1.83780000e+03  1.02700000e-09  0.00000000e+00
1.53397720e-03  6.93835560e+00  2.65880000e-03  1.81980000e+03  1.10400000e-09  0.00000000e+00
1.54931700e-03  6.93832416e+00  2.65920000e-03  1.80200000e+03  1.18700000e-09  0.00000000e+00
1.56481020e-03  6.93829057e+00  2.65950000e-03  1.78440000e+03  1.27500000e-09  0.00000000e+00
1.58045820e-03  6.93825483e+00  2.65980000e-03  1.76690000e+03  1.37000000e-09  0.00000000e+00
1.59626280e-03  6.93821693e+00  2.66010000e-03  1.74960000e+03  1.47200000e-09  0.00000000e+00
1.61222540e-03  6.93817686e+00  2.66050000e-03  1.73250000e+03  1.58100000e-09  0.00000000e+00
1.62834770e-03  6.93813463e+00  2.66080000e-03  1.71560000e+03  1.69900000e-09  0.00000000e+00
1.64463110e-03  6.93809020e+00  2.66110000e-03  1.69880000e+03  1.82400000e-09  0.00000000e+00
1.66107740e-03  6.93804358e+00  2.66150000e-03  1.68220000e+03  1.95900000e-09  0.00000000e+00
1.67768820e-03  6.93799474e+00  2.66180000e-03  1.66580000e+03  2.10300000e-09  0.00000000e+00
1.69446500e-03  6.93794367e+00  2.66220000e-03  1.64950000e+03  2.25800000e-09  0.00000000e+00
1.71140970e-03  6.93789035e+00  2.66250000e-03  1.63340000e+03  2.42300000e-09  0.00000000e+00
1.72852380e-03  6.93783476e+00  2.66290000e-03  1.61740000e+03  2.60100000e-09  0.00000000e+00
1.74580900e-03  6.93777686e+00  2.66320000e-03  1.60160000e+03  2.79100000e-09  0.00000000e+00
1.76326710e-03  6.93771665e+00  2.66360000e-03  1.58600000e+03  2.99400000e-09  0.00000000e+00
1.78089970e-03  6.93765409e+00  2.66390000e-03  1.57050000e+03  3.21200000e-09  0.00000000e+00
1.79870870e-03  6.93758916e+00  2.66430000e-03  1.55520000e+03  3.44600000e-09  0.00000000e+00
1.81669580e-03  6.93752183e+00  2.66470000e-03  1.54000000e+03  3.69500000e-09  0.00000000e+00
1.83486270e-03  6.93745206e+00  2.66510000e-03  1.52490000e+03  3.96300000e-09  0.00000000e+00
1.85321130e-03  6.93737983e+00  2.66540000e-03  1.51010000e+03  4.24900000e-09  0.00000000e+00
1.87174340e-03  6.93730510e+00  2.66580000e-03  1.49530000e+03  4.55500000e-09  0.00000000e+00
1.89046080e-03  6.93722784e+00  2.66620000e-03  1.48070000e+03  4.88300000e-09  0.00000000e+00
1.90936540e-03  6.93714801e+00  2.66660000e-03  1.46630000e+03  5.23400000e-09  0.00000000e+00
1.92845900e-03  6.93706558e+00  2.66700000e-03  1.45200000e+03  5.60900000e-09  0.00000000e+00
1.94774360e-03  6.93698050e+00  2.66740000e-03  1.43780000e+03  6.01000000e-09  0.00000000e+00
1.96722100e-03  6.93689274e+00  2.66780000e-03  1.42380000e+03  6.43900000e-09  0.00000000e+00
1.98689320e-03  6.93680224e+00  2.66820000e-03  1.40990000e+03  6.89800000e-09  0.00000000e+00
2.00676210e-03  6.93670898e+00  2.66860000e-03  1.39620000e+03  7.38900000e-09  0.00000000e+00
2.02682970e-03  6.93661291e+00  2.66910000e-03  1.38260000e+03  7.91300000e-09  0.00000000e+00
2.04709800e-03  6.93651397e+00  2.66950000e-03  1.36910000e+03  8.47300000e-09  0.00000000e+00
2.06756900e-03  6.93641213e+00  2.66990000e-03  1.35580000e+03  9.07200000e-09  0.00000000e+00
2.08824460e-03  6.93630733e+00  2.67040000e-03  1.34260000e+03  9.71200000e-09  0.00000000e+00
2.10912710e-03  6.93619953e+00  2.67080000e-03  1.32950000e+03  1.04000000e-08  0.00000000e+00
2.13021830e-03  6.93608866e+00  2.67120000e-03  1.31660000e+03  1.11300000e-08  0.00000000e+00
2.15152050e-03  6.93597469e+00  2.67170000e-03  1.30370000e+03  1.19100000e-08  0.00000000e+00
2.17303570e-03  6.93585755e+00  2.67210000e-03  1.29110000e+03  1.27400000e-08  0.00000000e+00
2.19476600e-03  6.93573719e+00  2.67260000e-03  1.27850000e+03  1.36300000e-08  0.00000000e+00
2.21671360e-03  6.93561356e+00  2.67310000e-03  1.26600000e+03  1.45800000e-08  0.00000000e+00
2.23888080e-03  6.93548658e+00  2.67350000e-03  1.25370000e+03  1.55900000e-08  0.00000000e+00
2.26126950e-03  6.93535621e+00  2.67400000e-03  1.24150000e+03  1.66700000e-08  0.00000000e+00
2.28388220e-03  6.93522238e+00  2.67450000e-03  1.22950000e+03  1.78300000e-08  0.00000000e+00
2.30672100e-03  6.93508502e+00  2.67500000e-03  1.21750000e+03  1.90600000e-08  0.00000000e+00
2.32978820e-03  6.93494408e+00  2.67540000e-03  1.20570000e+03  2.03700000e-08  0.00000000e+00
2.35308610e-03  6.93479948e+00  2.67590000e-03  1.19400000e+03  2.17700000e-08  0.00000000e+00
2.37661690e-03  6.93465116e+00  2.67640000e-03  1.18240000e+03  2.32700000e-08  0.00000000e+00
2.40038310e-03  6.93449904e+00  2.67690000e-03  1.17090000e+03  2.48600000e-08  0.00000000e+00
2.42438690e-03  6.93434306e+00  2.67750000e-03  1.15950000e+03  2.65600000e-08  0.00000000e+00
2.44863070e-03  6.93418314e+00  2.67800000e-03  1.14820000e+03  2.83700000e-08  0.00000000e+00
2.47311700e-03  6.93401920e+00  2.67850000e-03  1.13710000e+03  3.03100000e-08  0.00000000e+00
2.49784810e-03  6.93385118e+00  2.67900000e-03  1.12610000e+03  3.23700000e-08  0.00000000e+00
2.52282660e-03  6.93367898e+00  2.67960000e-03  1.11510000e+03  3.45600000e-08  0.00000000e+00
2.54805480e-03  6.93350254e+00  2.68010000e-03  1.10430000e+03  3.69000000e-08  0.00000000e+00
2.57353540e-03  6.93332176e+00  2.68060000e-03  1.09360000e+03  3.93900000e-08  0.00000000e+00
2.59927070e-03  6.93313656e+00  2.68120000e-03  1.08300000e+03  4.20400000e-08  0.00000000e+00
2.62526340e-03  6.93294686e+00  2.68170000e-03  1.07250000e+03  4.48700000e-08  0.00000000e+00
2.65151600e-03  6.93275256e+00  2.68230000e-03  1.06210000e+03  4.78800000e-08  0.00000000e+00
2.67803110e-03  6.93255359e+00  2.68290000e-03  1.05180000e+03  5.10800000e-08  0.00000000e+00
2.70481140e-03  6.93234983e+00  2.68350000e-03  1.04160000e+03  5.44900000e-08  0.00000000e+00
2.73185950e-03  6.93214121e+00  2.68400000e-03  1.03150000e+03  5.81300000e-08  0.00000000e+00
2.75917810e-03  6.93192762e+00  2.68460000e-03  1.02150000e+03  6.19900000e-08  0.00000000e+00
2.78676980e-03  6.93170896e+00  2.68520000e-03  1.01160000e+03  6.61000000e-08  0.00000000e+00
2.81463750e-03  6.93148514e+00  2.68580000e-03  1.00190000e+03  7.04800000e-08  0.00000000e+00
2.84278380e-03  6.93125604e+00  2.68640000e-03  9.92160000e+02  7.51400000e-08  0.00000000e+00
2.87121160e-03  6.93102157e+00  2.68700000e-03  9.82560000e+02  8.00900000e-08  0.00000000e+00
2.89992370e-03  6.93078161e+00  2.68770000e-03  9.73060000e+02  8.53600000e-08  0.00000000e+00
2.92892290e-03  6.93053605e+00  2.68830000e-03  9.63650000e+02  9.09600000e-08  0.00000000e+00
2.95821210e-03  6.93028479e+00  2.68890000e-03  9.54340000e+02  9.69200000e-08  0.00000000e+00
2.98779420e-03  6.93002770e+00  2.68960000e-03  9.45110000e+02  1.03300000e-07  0.00000000e+00
3.01767220e-03  6.92976466e+00  2.69020000e-03  9.35980000e+02  1.10000000e-07  0.00000000e+00
3.04784880e-03  6.92949556e+00  2.69090000e-03  9.26940000e+02  1.17100000e-07  0.00000000e+00
3.07832730e-03  6.92922028e+00  2.69150000e-03  9.17990000e+02  1.24700000e-07  0.00000000e+00
3.10911050e-03  6.92893867e+00  2.69220000e-03  9.09130000e+02  1.32800000e-07  0.00000000e+00
3.14020160e-03  6.92865063e+00  2.69290000e-03  9.00350000e+02  1.41400000e-07  0.00000000e+00
3.17160360e-03  6.92835600e+00  2.69360000e-03  8.91670000e+02  1.50500000e-07  0.00000000e+00
3.20331960e-03  6.92805466e+00  2.69430000e-03  8.83070000e+02  1.60200000e-07  0.00000000e+00
3.23535280e-03  6.92774647e+00  2.69500000e-03  8.74550000e+02  1.70500000e-07  0.00000000e+00
3.26770630e-03  6.92743129e+00  2.69570000e-03  8.66120000e+02  1.81400000e-07  0.00000000e+00
3.30038330e-03  6.92710897e+00  2.69640000e-03  8.57770000e+02  1.93000000e-07  0.00000000e+00
3.33338710e-03  6.92677937e+00  2.69710000e-03  8.49510000e+02  2.05300000e-07  0.00000000e+00
3.36672100e-03  6.92644233e+00  2.69790000e-03  8.41330000e+02  2.18400000e-07  0.00000000e+00
3.40038810e-03  6.92609770e+00  2.69860000e-03  8.33230000e+02  2.32300000e-07  0.00000000e+00
3.43439200e-03  6.92574532e+00  2.69940000e-03  8.25210000e+02  2.47000000e-07  0.00000000e+00
3.46873590e-03  6.92538503e+00  2.70010000e-03  8.17270000e+02  2.62600000e-07  0.00000000e+00
3.50342320e-03  6.92501666e+00  2.70090000e-03  8.09410000e+02  2.79100000e-07  0.00000000e+00
3.53845740e-03  6.92464005e+00  2.70170000e-03  8.01620000e+02  2.96700000e-07  0.00000000e+00
3.57384190e-03  6.92425501e+00  2.70250000e-03  7.93920000e+02  3.15300000e-07  0.00000000e+00
3.60958030e-03  6.92386138e+00  2.70330000e-03  7.86290000e+02  3.35100000e-07  0.00000000e+00
3.64567610e-03  6.92345898e+00  2.70410000e-03  7.78740000e+02  3.56000000e-07  0.00000000e+00
3.68213280e-03  6.92304761e+00  2.70490000e-03  7.71260000e+02  3.78200000e-07  0.00000000e+00
3.71895410e-03  6.92262709e+00  2.70570000e-03  7.63850000e+02  4.01700000e-07  0.00000000e+00
3.75614360e-03  6.92219723e+00  2.70650000e-03  7.56520000e+02  4.26600000e-07  0.00000000e+00
3.79370500e-03  6.92175782e+00  2.70740000e-03  7.49270000e+02  4.53100000e-07  0.00000000e+00
3.83164200e-03  6.92130867e+00  2.70820000e-03  7.42080000e+02  4.81100000e-07  0.00000000e+00
3.86995840e-03  6.92084957e+00  2.70910000e-03  7.34970000e+02  5.10700000e-07  0.00000000e+00
3.90865800e-03  6.92038030e+00  2.71000000e-03  7.27930000e+02  5.42100000e-07  0.00000000e+00
3.94774450e-03  6.91990065e+00  2.71080000e-03  7.20950000e+02  5.75400000e-07  0.00000000e+00
3.98722190e-03  6.91941040e+00  2.71170000e-03  7.14050000e+02  6.10600000e-07  0.00000000e+00
4.02709410e-03  6.91890931e+00  2.71260000e-03  7.07220000e+02  6.47900000e-07  0.00000000e+00
4.06736500e-03  6.91839717e+00  2.71360000e-03  7.00450000e+02  6.87300000e-07  0.00000000e+00
4.10803860e-03  6.91787372e+00  2.71450000e-03  6.93750000e+02  7.29100000e-07  0.00000000e+00
4.14911890e-03  6.91733873e+00  2.71540000e-03  6.87120000e+02  7.73300000e-07  0.00000000e+00
4.19061010e-03  6.91679195e+00  2.71640000e-03  6.80550000e+02  8.20100000e-07  0.00000000e+00
4.23251620e-03  6.91623311e+00  2.71730000e-03  6.74050000e+02  8.69600000e-07  0.00000000e+00
4.27484130e-03  6.91566197e+00  2.71830000e-03  6.67620000e+02  9.22000000e-07  0.00000000e+00
4.31758960e-03  6.91507826e+00  2.71930000e-03  6.61240000e+02  9.77400000e-07  0.00000000e+00
4.36076550e-03  6.91448170e+00  2.72030000e-03  6.54940000e+02  1.03600000e-06  0.00000000e+00
4.40437310e-03  6.91387201e+00  2.72130000e-03  6.48690000e+02  1.09800000e-06  0.00000000e+00
4.44841680e-03  6.91324891e+00  2.72230000e-03  6.42510000e+02  1.16300000e-06  0.00000000e+00
4.49290090e-03  6.91261209e+00  2.72330000e-03  6.36390000e+02  1.23300000e-06  0.00000000e+00
4.53782990e-03  6.91196128e+00  2.72430000e-03  6.30330000e+02  1.30600000e-06  0.00000000e+00
4.58320820e-03  6.91129615e+00  2.72540000e-03  6.24330000e+02  1.38300000e-06  0.00000000e+00
4.62904020e-03  6.91061639e+00  2.72650000e-03  6.18390000e+02  1.46500000e-06  0.00000000e+00
4.67533060e-03  6.90992168e+00  2.72750000e-03  6.12510000e+02  1.55100000e-06  0.00000000e+00
4.72208380e-03  6.90921169e+00  2.72860000e-03  6.06680000e+02  1.64300000e-06  0.00000000e+00
4.76930460e-03  6.90848608e+00  2.72970000e-03  6.00920000e+02  1.73900000e-06  0.00000000e+00
4.81699760e-03  6.90774451e+00  2.73080000e-03  5.95210000e+02  1.84100000e-06  0.00000000e+00
4.86516750e-03  6.90698662e+00  2.73200000e-03  5.89560000e+02  1.94800000e-06  0.00000000e+00
4.91381920e-03  6.90621205e+00  2.73310000e-03  5.83970000e+02  2.06200000e-06  0.00000000e+00
4.96295730e-03  6.90542042e+00  2.73430000e-03  5.78430000e+02  2.18200000e-06  0.00000000e+00
5.01258680e-03  6.90461136e+00  2.73550000e-03  5.72950000e+02  2.30800000e-06  0.00000000e+00
5.06271270e-03  6.90378448e+00  2.73660000e-03  5.67530000e+02  2.44200000e-06  0.00000000e+00
5.11333970e-03  6.90293937e+00  2.73780000e-03  5.62150000e+02  2.58300000e-06  0.00000000e+00
5.16447310e-03  6.90207562e+00  2.73910000e-03  5.56830000e+02  2.73100000e-06  0.00000000e+00
5.21611780e-03  6.90119282e+00  2.74030000e-03  5.51570000e+02  2.88800000e-06  0.00000000e+00
5.26827890e-03  6.90029054e+00  2.74150000e-03  5.46350000e+02  3.05400000e-06  0.00000000e+00
5.32096160e-03  6.89936832e+00  2.74280000e-03  5.41190000e+02  3.22800000e-06  0.00000000e+00
5.37417120e-03  6.89842573e+00  2.74410000e-03  5.36080000e+02  3.41200000e-06  0.00000000e+00
5.42791290e-03  6.89746229e+00  2.74540000e-03  5.31030000e+02  3.60600000e-06  0.00000000e+00
5.48219190e-03  6.89647753e+00  2.74670000e-03  5.26020000e+02  3.81100000e-06  0.00000000e+00
5.53701380e-03  6.89547096e+00  2.74800000e-03  5.21060000e+02  4.02700000e-06  0.00000000e+00
5.59238390e-03  6.89444208e+00  2.74930000e-03  5.16150000e+02  4.25400000e-06  0.00000000e+00
5.64830770e-03  6.89339038e+00  2.75070000e-03  5.11300000e+02  4.49300000e-06  0.00000000e+00
5.70479070e-03  6.89231532e+00  2.75210000e-03  5.06490000e+02  4.74600000e-06  0.00000000e+00
5.76183850e-03  6.89121638e+00  2.75340000e-03  5.01730000e+02  5.01200000e-06  0.00000000e+00
5.81945690e-03  6.89009299e+00  2.75480000e-03  4.97010000e+02  5.29200000e-06  0.00000000e+00
5.87765140e-03  6.88894458e+00  2.75630000e-03  4.92350000e+02  5.58700000e-06  0.00000000e+00
5.93642780e-03  6.88777057e+00  2.75770000e-03  4.87730000e+02  5.89800000e-06  0.00000000e+00
5.99579210e-03  6.88657037e+00  2.75920000e-03  4.83150000e+02  6.22600000e-06  0.00000000e+00
6.05574990e-03  6.88534335e+00  2.76070000e-03  4.78630000e+02  6.57000000e-06  0.00000000e+00
6.11630740e-03  6.88408888e+00  2.76220000e-03  4.74140000e+02  6.93300000e-06  0.00000000e+00
6.17747040e-03  6.88280632e+00  2.76370000e-03  4.69710000e+02  7.31500000e-06  0.00000000e+00
6.23924500e-03  6.88149499e+00  2.76520000e-03  4.65320000e+02  7.71700000e-06  0.00000000e+00
6.30163740e-03  6.88015422e+00  2.76680000e-03  4.60970000e+02  8.14000000e-06  0.00000000e+00
6.36465370e-03  6.87878330e+00  2.76830000e-03  4.56660000e+02  8.58500000e-06  0.00000000e+00
