#  Sc:    Z = 21;   Atomic weight = 44.95590 g/mol ;    nominal density:   [INLINE] = 2.9800E+00 g/cm3
#         a(barns/atom) = (cm2/g)    7.46511E+01
#         E(eV) (cm2/g) = f2(e/atom)    9.36035E+05
#         7 edges. Edge energies (keV):
# K      4.49280E+00  L I    5.00400E-01  L II   4.06700E-01  L III  4.02200E-01
# M I    5.38000E-02  M II   3.23000E-02  M III  3.23000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -6.5705E-02, -4.0800E-02 e/atom
#         Nuclear Thomson correction fNT = -5.3814E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=21, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.48373266e+00  3.44630000e-03  3.19390000e+03  5.69100000e-11  0.00000000e+00
1.02010000e-03  8.48428305e+00  3.44660000e-03  3.16260000e+03  6.15300000e-11  0.00000000e+00
1.03030100e-03  8.48468153e+00  3.44690000e-03  3.13160000e+03  6.65100000e-11  0.00000000e+00
1.04060400e-03  8.48500020e+00  3.44720000e-03  3.10080000e+03  7.18800000e-11  0.00000000e+00
1.05101010e-03  8.48526797e+00  3.44760000e-03  3.07040000e+03  7.76700000e-11  0.00000000e+00
1.06152010e-03  8.48549971e+00  3.44790000e-03  3.04030000e+03  8.39200000e-11  0.00000000e+00
1.07213530e-03  8.48570425e+00  3.44820000e-03  3.01050000e+03  9.06600000e-11  0.00000000e+00
1.08285670e-03  8.48588735e+00  3.44860000e-03  2.98100000e+03  9.79300000e-11  0.00000000e+00
1.09368520e-03  8.48605305e+00  3.44890000e-03  2.95180000e+03  1.05800000e-10  0.00000000e+00
1.10462210e-03  8.48620429e+00  3.44920000e-03  2.92280000e+03  1.14200000e-10  0.00000000e+00
1.11566830e-03  8.48634329e+00  3.44960000e-03  2.89420000e+03  1.23300000e-10  0.00000000e+00
1.12682500e-03  8.48647178e+00  3.44990000e-03  2.86580000e+03  1.33100000e-10  0.00000000e+00
