#  Ti:    Z = 22;   Atomic weight = 47.88000 g/mol ;    nominal density:   [INLINE] = 4.5300E+00 g/cm3
#         a(barns/atom) = (cm2/g)    7.95067E+01
#         E(eV) (cm2/g) = f2(e/atom)    8.78870E+05
#         7 edges. Edge energies (keV):
# K      4.96640E+00  L I    5.63700E-01  L II   4.61500E-01  L III  4.55500E-01
# M I    6.03000E-02  M II   3.46000E-02  M III  3.46000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -7.3171E-02, -4.5000E-02 e/atom
#         Nuclear Thomson correction fNT = -5.5454E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=22, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.44085296e+00  9.51720000e-03  8.28160000e+03  6.63600000e-11  0.00000000e+00
1.02010000e-03  9.44347192e+00  9.51910000e-03  8.20120000e+03  7.17300000e-11  0.00000000e+00
1.03030100e-03  9.44459912e+00  9.52100000e-03  8.12170000e+03  7.75300000e-11  0.00000000e+00
1.04060400e-03  9.44544701e+00  9.52300000e-03  8.04290000e+03  8.37900000e-11  0.00000000e+00
1.05101010e-03  9.44613192e+00  9.52490000e-03  7.96490000e+03  9.05400000e-11  0.00000000e+00
1.06152010e-03  9.44670932e+00  9.52690000e-03  7.88770000e+03  9.78100000e-11  0.00000000e+00
1.07213530e-03  9.44721005e+00  9.52890000e-03  7.81120000e+03  1.05700000e-10  0.00000000e+00
1.08285670e-03  9.44765313e+00  9.53090000e-03  7.73550000e+03  1.14100000e-10  0.00000000e+00
1.09368520e-03  9.44805114e+00  9.53300000e-03  7.66060000e+03  1.23200000e-10  0.00000000e+00
1.10462210e-03  9.44841286e+00  9.53500000e-03  7.58640000e+03  1.33100000e-10  0.00000000e+00
1.11566830e-03  9.44874470e+00  9.53710000e-03  7.51290000e+03  1.43700000e-10  0.00000000e+00
1.12682500e-03  9.44905147e+00  9.53920000e-03  7.44020000e+03  1.55100000e-10  0.00000000e+00
1.13809320e-03  9.44933688e+00  9.54140000e-03  7.36810000e+03  1.67400000e-10  0.00000000e+00
1.14947410e-03  9.44960389e+00  9.54350000e-03  7.29680000e+03  1.80600000e-10  0.00000000e+00
1.16096880e-03  9.44985484e+00  9.54570000e-03  7.22620000e+03  1.94900000e-10  0.00000000e+00
1.17257850e-03  9.45009166e+00  9.54790000e-03  7.15630000e+03  2.10200000e-10  0.00000000e+00
1.18430430e-03  9.45031594e+00  9.55010000e-03  7.08710000e+03  2.26700000e-10  0.00000000e+00
1.19614730e-03  9.45052903e+00  9.55230000e-03  7.01860000e+03  2.44500000e-10  0.00000000e+00
1.20810880e-03  9.45073205e+00  9.55460000e-03  6.95080000e+03  2.63700000e-10  0.00000000e+00
1.22018990e-03  9.45092596e+00  9.55690000e-03  6.88360000e+03  2.84300000e-10  0.00000000e+00
1.23239180e-03  9.45111158e+00  9.55920000e-03  6.81710000e+03  3.06500000e-10  0.00000000e+00
1.24471570e-03  9.45128964e+00  9.56160000e-03  6.75120000e+03  3.30400000e-10  0.00000000e+00
1.25716280e-03  9.45146076e+00  9.56390000e-03  6.68610000e+03  3.56000000e-10  0.00000000e+00
1.26973440e-03  9.45162549e+00  9.56630000e-03  6.62150000e+03  3.83600000e-10  0.00000000e+00
1.28243180e-03  9.45178431e+00  9.56870000e-03  6.55760000e+03  4.13300000e-10  0.00000000e+00
1.29525610e-03  9.45193764e+00  9.57120000e-03  6.49430000e+03  4.45200000e-10  0.00000000e+00
1.30820860e-03  9.45208587e+00  9.57370000e-03  6.43170000e+03  4.79500000e-10  0.00000000e+00
1.32129070e-03  9.45222934e+00  9.57620000e-03  6.36970000e+03  5.16400000e-10  0.00000000e+00
1.33450360e-03  9.45236834e+00  9.57870000e-03  6.30830000e+03  5.56100000e-10  0.00000000e+00
1.34784860e-03  9.45250316e+00  9.58120000e-03  6.24750000e+03  5.98700000e-10  0.00000000e+00
1.36132710e-03  9.45263404e+00  9.58380000e-03  6.18730000e+03  6.44400000e-10  0.00000000e+00
1.37494030e-03  9.45276120e+00  9.58640000e-03  6.12770000e+03  6.93600000e-10  0.00000000e+00
1.38868970e-03  9.45288485e+00  9.58900000e-03  6.06870000e+03  7.46400000e-10  0.00000000e+00
1.40257660e-03  9.45300517e+00  9.59170000e-03  6.01030000e+03  8.03100000e-10  0.00000000e+00
1.41660240e-03  9.45312232e+00  9.59440000e-03  5.95240000e+03  8.64000000e-10  0.00000000e+00
1.43076840e-03  9.45323646e+00  9.59710000e-03  5.89520000e+03  9.29400000e-10  0.00000000e+00
1.44507600e-03  9.45334773e+00  9.59990000e-03  5.83850000e+03  9.99600000e-10  0.00000000e+00
1.45952680e-03  9.45345627e+00  9.60260000e-03  5.78230000e+03  1.07500000e-09  0.00000000e+00
1.47412200e-03  9.45356217e+00  9.60540000e-03  5.72680000e+03  1.15600000e-09  0.00000000e+00
1.48886320e-03  9.45366557e+00  9.60830000e-03  5.67170000e+03  1.24300000e-09  0.00000000e+00
1.50375190e-03  9.45376654e+00  9.61110000e-03  5.61720000e+03  1.33600000e-09  0.00000000e+00
1.51878940e-03  9.45386519e+00  9.61400000e-03  5.56330000e+03  1.43500000e-09  0.00000000e+00
1.53397720e-03  9.45396161e+00  9.61700000e-03  5.50990000e+03  1.54200000e-09  0.00000000e+00
1.54931700e-03  9.45405586e+00  9.61990000e-03  5.45700000e+03  1.65700000e-09  0.00000000e+00
1.56481020e-03  9.45414802e+00  9.62290000e-03  5.40470000e+03  1.78000000e-09  0.00000000e+00
1.58045820e-03  9.45423816e+00  9.62590000e-03  5.35290000e+03  1.91200000e-09  0.00000000e+00
1.59626280e-03  9.45432634e+00  9.62900000e-03  5.30150000e+03  2.05400000e-09  0.00000000e+00
1.61222540e-03  9.45441262e+00  9.63210000e-03  5.25070000e+03  2.20500000e-09  0.00000000e+00
1.62834770e-03  9.45449705e+00  9.63520000e-03  5.20040000e+03  2.36800000e-09  0.00000000e+00
1.64463110e-03  9.45457968e+00  9.63840000e-03  5.15060000e+03  2.54200000e-09  0.00000000e+00
1.66107740e-03  9.45466055e+00  9.64160000e-03  5.10130000e+03  2.72800000e-09  0.00000000e+00
1.67768820e-03  9.45473971e+00  9.64480000e-03  5.05250000e+03  2.92800000e-09  0.00000000e+00
1.69446500e-03  9.45481719e+00  9.64810000e-03  5.00420000e+03  3.14200000e-09  0.00000000e+00
1.71140970e-03  9.45489303e+00  9.65140000e-03  4.95630000e+03  3.37100000e-09  0.00000000e+00
1.72852380e-03  9.45496727e+00  9.65470000e-03  4.90890000e+03  3.61600000e-09  0.00000000e+00
1.74580900e-03  9.45503993e+00  9.65810000e-03  4.86200000e+03  3.87900000e-09  0.00000000e+00
1.76326710e-03  9.45511104e+00  9.66150000e-03  4.81560000e+03  4.16000000e-09  0.00000000e+00
1.78089970e-03  9.45518063e+00  9.66490000e-03  4.76960000e+03  4.46100000e-09  0.00000000e+00
1.79870870e-03  9.45524872e+00  9.66840000e-03  4.72410000e+03  4.78200000e-09  0.00000000e+00
1.81669580e-03  9.45531534e+00  9.67190000e-03  4.67900000e+03  5.12700000e-09  0.00000000e+00
1.83486270e-03  9.45538049e+00  9.67550000e-03  4.63440000e+03  5.49500000e-09  0.00000000e+00
1.85321130e-03  9.45544421e+00  9.67910000e-03  4.59020000e+03  5.88900000e-09  0.00000000e+00
1.87174340e-03  9.45550651e+00  9.68270000e-03  4.54650000e+03  6.31000000e-09  0.00000000e+00
1.89046080e-03  9.45556740e+00  9.68640000e-03  4.50320000e+03  6.76000000e-09  0.00000000e+00
1.90936540e-03  9.45562689e+00  9.69010000e-03  4.46030000e+03  7.24200000e-09  0.00000000e+00
1.92845900e-03  9.45568499e+00  9.69390000e-03  4.41790000e+03  7.75700000e-09  0.00000000e+00
1.94774360e-03  9.45574173e+00  9.69770000e-03  4.37580000e+03  8.30700000e-09  0.00000000e+00
1.96722100e-03  9.45579709e+00  9.70150000e-03  4.33420000e+03  8.89500000e-09  0.00000000e+00
1.98689320e-03  9.45585110e+00  9.70540000e-03  4.29300000e+03  9.52300000e-09  0.00000000e+00
2.00676210e-03  9.45590376e+00  9.70940000e-03  4.25230000e+03  1.01900000e-08  0.00000000e+00
2.02682970e-03  9.45595508e+00  9.71330000e-03  4.21190000e+03  1.09100000e-08  0.00000000e+00
