#  V:    Z = 23;   Atomic weight = 50.94150 g/mol ;    nominal density:   [INLINE] = 6.1000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    8.45904E+01
#         E(eV) (cm2/g) = f2(e/atom)    8.26052E+05
#         8 edges. Edge energies (keV):
# K      5.46510E+00  L I    6.28200E-01  L II   5.20500E-01  L III  5.12900E-01
# M I    6.65000E-02  M II   3.78000E-02  M III  3.78000E-02  M IV   2.20000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -8.1133E-02, -5.0400E-02 e/atom
#         Nuclear Thomson correction fNT = -5.6967E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=23, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  5.81841189e+00  1.44230000e-02  1.17960000e+04  6.92600000e-11  0.00000000e+00
1.02010000e-03  5.82058989e+00  1.44300000e-02  1.16850000e+04  7.48700000e-11  0.00000000e+00
1.03030100e-03  5.82160383e+00  1.44370000e-02  1.15750000e+04  8.09300000e-11  0.00000000e+00
1.04060400e-03  5.82195772e+00  1.44450000e-02  1.14670000e+04  8.74600000e-11  0.00000000e+00
1.05101010e-03  5.82201239e+00  1.44530000e-02  1.13590000e+04  9.45000000e-11  0.00000000e+00
1.06152010e-03  5.82186182e+00  1.44610000e-02  1.12530000e+04  1.02100000e-10  0.00000000e+00
1.07213530e-03  5.82168926e+00  1.44690000e-02  1.11480000e+04  1.10300000e-10  0.00000000e+00
1.08285670e-03  5.82124109e+00  1.44770000e-02  1.10440000e+04  1.19100000e-10  0.00000000e+00
1.09368520e-03  5.82069674e+00  1.44860000e-02  1.09410000e+04  1.28600000e-10  0.00000000e+00
1.10462210e-03  5.82006906e+00  1.44950000e-02  1.08390000e+04  1.38900000e-10  0.00000000e+00
1.11566830e-03  5.81936709e+00  1.45040000e-02  1.07390000e+04  1.50000000e-10  0.00000000e+00
1.12682500e-03  5.81859730e+00  1.45130000e-02  1.06390000e+04  1.61900000e-10  0.00000000e+00
1.13809320e-03  5.81776445e+00  1.45220000e-02  1.05410000e+04  1.74700000e-10  0.00000000e+00
1.14947410e-03  5.81687199e+00  1.45320000e-02  1.04430000e+04  1.88500000e-10  0.00000000e+00
1.16096880e-03  5.81592247e+00  1.45420000e-02  1.03470000e+04  2.03400000e-10  0.00000000e+00
1.17257850e-03  5.81491770e+00  1.45520000e-02  1.02510000e+04  2.19400000e-10  0.00000000e+00
1.18430430e-03  5.81385896e+00  1.45620000e-02  1.01570000e+04  2.36700000e-10  0.00000000e+00
1.19614730e-03  5.81274705e+00  1.45730000e-02  1.00640000e+04  2.55300000e-10  0.00000000e+00
1.20810880e-03  5.81158242e+00  1.45840000e-02  9.97170000e+03  2.75300000e-10  0.00000000e+00
1.22018990e-03  5.81036521e+00  1.45950000e-02  9.88060000e+03  2.96800000e-10  0.00000000e+00
1.23239180e-03  5.80909529e+00  1.46060000e-02  9.79050000e+03  3.19900000e-10  0.00000000e+00
1.24471570e-03  5.80777231e+00  1.46180000e-02  9.70140000e+03  3.44900000e-10  0.00000000e+00
1.25716280e-03  5.80639570e+00  1.46310000e-02  9.61340000e+03  3.71600000e-10  0.00000000e+00
1.26973440e-03  5.80496470e+00  1.46430000e-02  9.52640000e+03  4.00500000e-10  0.00000000e+00
1.28243180e-03  5.80347838e+00  1.46560000e-02  9.44040000e+03  4.31500000e-10  0.00000000e+00
1.29525610e-03  5.80193565e+00  1.46690000e-02  9.35540000e+03  4.64800000e-10  0.00000000e+00
1.30820860e-03  5.80033523e+00  1.46830000e-02  9.27150000e+03  5.00600000e-10  0.00000000e+00
1.32129070e-03  5.79867572e+00  1.46970000e-02  9.18860000e+03  5.39100000e-10  0.00000000e+00
1.33450360e-03  5.79695553e+00  1.47120000e-02  9.10670000e+03  5.80500000e-10  0.00000000e+00
1.34784860e-03  5.79517293e+00  1.47270000e-02  9.02580000e+03  6.24900000e-10  0.00000000e+00
1.36132710e-03  5.79332603e+00  1.47430000e-02  8.94600000e+03  6.72700000e-10  0.00000000e+00
1.37494030e-03  5.79141277e+00  1.47590000e-02  8.86720000e+03  7.24000000e-10  0.00000000e+00
1.38868970e-03  5.78943091e+00  1.47760000e-02  8.78940000e+03  7.79100000e-10  0.00000000e+00
1.40257660e-03  5.78737804e+00  1.47930000e-02  8.71270000e+03  8.38300000e-10  0.00000000e+00
1.41660240e-03  5.78525154e+00  1.48120000e-02  8.63700000e+03  9.01900000e-10  0.00000000e+00
1.43076840e-03  5.78304862e+00  1.48300000e-02  8.56230000e+03  9.70100000e-10  0.00000000e+00
1.44507600e-03  5.78076626e+00  1.48500000e-02  8.48870000e+03  1.04300000e-09  0.00000000e+00
1.45952680e-03  5.77840118e+00  1.48700000e-02  8.41620000e+03  1.12200000e-09  0.00000000e+00
1.47412200e-03  5.77594989e+00  1.48920000e-02  8.34480000e+03  1.20600000e-09  0.00000000e+00
1.48886320e-03  5.77340859e+00  1.49140000e-02  8.27450000e+03  1.29700000e-09  0.00000000e+00
1.50375190e-03  5.77077323e+00  1.49370000e-02  8.20530000e+03  1.39400000e-09  0.00000000e+00
1.51878940e-03  5.76803938e+00  1.49610000e-02  8.13720000e+03  1.49800000e-09  0.00000000e+00
1.53397720e-03  5.76520230e+00  1.49870000e-02  8.07040000e+03  1.61000000e-09  0.00000000e+00
1.54931700e-03  5.76225684e+00  1.50130000e-02  8.00470000e+03  1.73000000e-09  0.00000000e+00
1.56481020e-03  5.75919741e+00  1.50410000e-02  7.94020000e+03  1.85800000e-09  0.00000000e+00
1.58045820e-03  5.75601795e+00  1.50710000e-02  7.87700000e+03  1.99600000e-09  0.00000000e+00
1.59626280e-03  5.75271185e+00  1.51020000e-02  7.81520000e+03  2.14400000e-09  0.00000000e+00
1.61222540e-03  5.74927191e+00  1.51350000e-02  7.75460000e+03  2.30200000e-09  0.00000000e+00
1.62834770e-03  5.74569027e+00  1.51700000e-02  7.69550000e+03  2.47100000e-09  0.00000000e+00
1.64463110e-03  5.74195828e+00  1.52070000e-02  7.63790000e+03  2.65300000e-09  0.00000000e+00
1.66107740e-03  5.73806645e+00  1.52460000e-02  7.58180000e+03  2.84800000e-09  0.00000000e+00
1.67768820e-03  5.73400430e+00  1.52880000e-02  7.52740000e+03  3.05600000e-09  0.00000000e+00
1.69446500e-03  5.72976023e+00  1.53330000e-02  7.47470000e+03  3.27900000e-09  0.00000000e+00
1.71140970e-03  5.72532135e+00  1.53810000e-02  7.42390000e+03  3.51800000e-09  0.00000000e+00
1.72852380e-03  5.72067329e+00  1.54330000e-02  7.37510000e+03  3.77400000e-09  0.00000000e+00
1.74580900e-03  5.71579994e+00  1.54880000e-02  7.32850000e+03  4.04800000e-09  0.00000000e+00
1.76326710e-03  5.71068314e+00  1.55490000e-02  7.28430000e+03  4.34100000e-09  0.00000000e+00
1.78089970e-03  5.70530238e+00  1.56150000e-02  7.24260000e+03  4.65500000e-09  0.00000000e+00
1.79870870e-03  5.69963426e+00  1.56860000e-02  7.20390000e+03  4.99100000e-09  0.00000000e+00
1.81669580e-03  5.69365202e+00  1.57650000e-02  7.16840000e+03  5.35000000e-09  0.00000000e+00
