#  Cr:    Z = 24;   Atomic weight = 51.99600 g/mol ;    nominal density:   [INLINE] = 7.1800E+00 g/cm3
#         a(barns/atom) = (cm2/g)    8.63414E+01
#         E(eV) (cm2/g) = f2(e/atom)    8.09299E+05
#         9 edges. Edge energies (keV):
# K      5.98920E+00  L I    6.94600E-01  L II   5.83700E-01  L III  5.74500E-01
# M I    7.41000E-02  M II   4.25000E-02  M III  4.25000E-02  M IV   2.30000E-03
# M V    2.30000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -8.9603E-02, -5.5800E-02 e/atom
#         Nuclear Thomson correction fNT = -6.0770E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=24, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  4.19065640e+00  3.71050000e-02  2.97310000e+04  6.14200000e-11  0.00000000e+00
1.02010000e-03  4.19681614e+00  3.71220000e-02  2.94510000e+04  6.64400000e-11  0.00000000e+00
1.03030100e-03  4.20004893e+00  3.71400000e-02  2.91730000e+04  7.18700000e-11  0.00000000e+00
1.04060400e-03  4.20178206e+00  3.71580000e-02  2.88990000e+04  7.77200000e-11  0.00000000e+00
1.05101010e-03  4.20274838e+00  3.71770000e-02  2.86270000e+04  8.40400000e-11  0.00000000e+00
1.06152010e-03  4.20320304e+00  3.71960000e-02  2.83580000e+04  9.08600000e-11  0.00000000e+00
1.07213530e-03  4.20328570e+00  3.72160000e-02  2.80920000e+04  9.82200000e-11  0.00000000e+00
1.08285670e-03  4.20308067e+00  3.72350000e-02  2.78290000e+04  1.06200000e-10  0.00000000e+00
1.09368520e-03  4.20264249e+00  3.72560000e-02  2.75680000e+04  1.14700000e-10  0.00000000e+00
1.10462210e-03  4.20210051e+00  3.72760000e-02  2.73100000e+04  1.24000000e-10  0.00000000e+00
1.11566830e-03  4.20128271e+00  3.72970000e-02  2.70550000e+04  1.33900000e-10  0.00000000e+00
1.12682500e-03  4.20031637e+00  3.73190000e-02  2.68030000e+04  1.44700000e-10  0.00000000e+00
1.13809320e-03  4.19921505e+00  3.73410000e-02  2.65530000e+04  1.56200000e-10  0.00000000e+00
