#  Mn:    Z = 25;   Atomic weight = 54.93800 g/mol ;    nominal density:   [INLINE] = 7.4300E+00 g/cm3
#         a(barns/atom) = (cm2/g)    9.12268E+01
#         E(eV) (cm2/g) = f2(e/atom)    7.65960E+05
#         9 edges. Edge energies (keV):
# K      6.53900E+00  L I    7.69000E-01  L II   6.51400E-01  L III  6.40300E-01
# M I    8.39000E-02  M II   4.86000E-02  M III  4.86000E-02  M IV   7.26159E-03
# M V    7.14378E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -9.8594E-02, -6.1200E-02 e/atom
#         Nuclear Thomson correction fNT = -6.2409E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=25, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  5.50106078e+00  1.91860000e-02  1.45500000e+04  5.99000000e-11  0.00000000e+00
1.02010000e-03  5.50495545e+00  1.91890000e-02  1.44080000e+04  6.48000000e-11  0.00000000e+00
1.03030100e-03  5.50726186e+00  1.91920000e-02  1.42680000e+04  7.00900000e-11  0.00000000e+00
1.04060400e-03  5.50901363e+00  1.91960000e-02  1.41300000e+04  7.57900000e-11  0.00000000e+00
1.05101010e-03  5.51027045e+00  1.92000000e-02  1.39920000e+04  8.19500000e-11  0.00000000e+00
1.06152010e-03  5.51129057e+00  1.92030000e-02  1.38560000e+04  8.86000000e-11  0.00000000e+00
1.07213530e-03  5.51214214e+00  1.92070000e-02  1.37220000e+04  9.57700000e-11  0.00000000e+00
1.08285670e-03  5.51286720e+00  1.92100000e-02  1.35890000e+04  1.03500000e-10  0.00000000e+00
1.09368520e-03  5.51349352e+00  1.92140000e-02  1.34570000e+04  1.11900000e-10  0.00000000e+00
1.10462210e-03  5.51404036e+00  1.92180000e-02  1.33260000e+04  1.20900000e-10  0.00000000e+00
1.11566830e-03  5.51461832e+00  1.92220000e-02  1.31970000e+04  1.30600000e-10  0.00000000e+00
1.12682500e-03  5.51503122e+00  1.92250000e-02  1.30690000e+04  1.41000000e-10  0.00000000e+00
1.13809320e-03  5.51539897e+00  1.92290000e-02  1.29420000e+04  1.52300000e-10  0.00000000e+00
1.14947410e-03  5.51572736e+00  1.92330000e-02  1.28160000e+04  1.64500000e-10  0.00000000e+00
1.16096880e-03  5.51602100e+00  1.92370000e-02  1.26920000e+04  1.77600000e-10  0.00000000e+00
1.17257850e-03  5.51628364e+00  1.92410000e-02  1.25690000e+04  1.91700000e-10  0.00000000e+00
1.18430430e-03  5.51651832e+00  1.92450000e-02  1.24470000e+04  2.06900000e-10  0.00000000e+00
1.19614730e-03  5.51672756e+00  1.92490000e-02  1.23260000e+04  2.23300000e-10  0.00000000e+00
1.20810880e-03  5.51691349e+00  1.92530000e-02  1.22070000e+04  2.40900000e-10  0.00000000e+00
1.22018990e-03  5.51707790e+00  1.92580000e-02  1.20890000e+04  2.59900000e-10  0.00000000e+00
1.23239180e-03  5.51722229e+00  1.92620000e-02  1.19720000e+04  2.80400000e-10  0.00000000e+00
1.24471570e-03  5.51734796e+00  1.92660000e-02  1.18560000e+04  3.02400000e-10  0.00000000e+00
1.25716280e-03  5.51745602e+00  1.92700000e-02  1.17410000e+04  3.26100000e-10  0.00000000e+00
1.26973440e-03  5.51754744e+00  1.92750000e-02  1.16270000e+04  3.51600000e-10  0.00000000e+00
1.28243180e-03  5.51762305e+00  1.92790000e-02  1.15150000e+04  3.79100000e-10  0.00000000e+00
1.29525610e-03  5.51768357e+00  1.92840000e-02  1.14030000e+04  4.08600000e-10  0.00000000e+00
1.30820860e-03  5.51772962e+00  1.92880000e-02  1.12930000e+04  4.40400000e-10  0.00000000e+00
1.32129070e-03  5.51776177e+00  1.92930000e-02  1.11840000e+04  4.74500000e-10  0.00000000e+00
1.33450360e-03  5.51778047e+00  1.92970000e-02  1.10760000e+04  5.11300000e-10  0.00000000e+00
1.34784860e-03  5.51778617e+00  1.93020000e-02  1.09690000e+04  5.50800000e-10  0.00000000e+00
1.36132710e-03  5.51777920e+00  1.93070000e-02  1.08630000e+04  5.93300000e-10  0.00000000e+00
1.37494030e-03  5.51775990e+00  1.93110000e-02  1.07580000e+04  6.39000000e-10  0.00000000e+00
1.38868970e-03  5.51772854e+00  1.93160000e-02  1.06540000e+04  6.88100000e-10  0.00000000e+00
1.40257660e-03  5.51768534e+00  1.93210000e-02  1.05510000e+04  7.40800000e-10  0.00000000e+00
1.41660240e-03  5.51763052e+00  1.93260000e-02  1.04500000e+04  7.97500000e-10  0.00000000e+00
1.43076840e-03  5.51756425e+00  1.93310000e-02  1.03490000e+04  8.58400000e-10  0.00000000e+00
1.44507600e-03  5.51748667e+00  1.93360000e-02  1.02490000e+04  9.23800000e-10  0.00000000e+00
1.45952680e-03  5.51739790e+00  1.93410000e-02  1.01500000e+04  9.94000000e-10  0.00000000e+00
1.47412200e-03  5.51729804e+00  1.93460000e-02  1.00520000e+04  1.06900000e-09  0.00000000e+00
1.48886320e-03  5.51718717e+00  1.93510000e-02  9.95540000e+03  1.15000000e-09  0.00000000e+00
1.50375190e-03  5.51706533e+00  1.93560000e-02  9.85950000e+03  1.23700000e-09  0.00000000e+00
1.51878940e-03  5.51693257e+00  1.93620000e-02  9.76450000e+03  1.33100000e-09  0.00000000e+00
1.53397720e-03  5.51678892e+00  1.93670000e-02  9.67050000e+03  1.43100000e-09  0.00000000e+00
1.54931700e-03  5.51663437e+00  1.93720000e-02  9.57740000e+03  1.53800000e-09  0.00000000e+00
1.56481020e-03  5.51646893e+00  1.93780000e-02  9.48530000e+03  1.65400000e-09  0.00000000e+00
1.58045820e-03  5.51629256e+00  1.93830000e-02  9.39410000e+03  1.77700000e-09  0.00000000e+00
1.59626280e-03  5.51610524e+00  1.93890000e-02  9.30370000e+03  1.91000000e-09  0.00000000e+00
1.61222540e-03  5.51590692e+00  1.93950000e-02  9.21430000e+03  2.05200000e-09  0.00000000e+00
1.62834770e-03  5.51569754e+00  1.94000000e-02  9.12570000e+03  2.20500000e-09  0.00000000e+00
1.64463110e-03  5.51547703e+00  1.94060000e-02  9.03810000e+03  2.36800000e-09  0.00000000e+00
1.66107740e-03  5.51524531e+00  1.94120000e-02  8.95130000e+03  2.54400000e-09  0.00000000e+00
1.67768820e-03  5.51500229e+00  1.94180000e-02  8.86540000e+03  2.73100000e-09  0.00000000e+00
1.69446500e-03  5.51474787e+00  1.94240000e-02  8.78030000e+03  2.93300000e-09  0.00000000e+00
1.71140970e-03  5.51448194e+00  1.94300000e-02  8.69610000e+03  3.14900000e-09  0.00000000e+00
1.72852380e-03  5.51420438e+00  1.94360000e-02  8.61270000e+03  3.38000000e-09  0.00000000e+00
1.74580900e-03  5.51391506e+00  1.94420000e-02  8.53010000e+03  3.62700000e-09  0.00000000e+00
1.76326710e-03  5.51361384e+00  1.94480000e-02  8.44840000e+03  3.89200000e-09  0.00000000e+00
1.78089970e-03  5.51330059e+00  1.94550000e-02  8.36740000e+03  4.17600000e-09  0.00000000e+00
1.79870870e-03  5.51297514e+00  1.94610000e-02  8.28730000e+03  4.48000000e-09  0.00000000e+00
1.81669580e-03  5.51263733e+00  1.94680000e-02  8.20800000e+03  4.80600000e-09  0.00000000e+00
1.83486270e-03  5.51228698e+00  1.94740000e-02  8.12940000e+03  5.15400000e-09  0.00000000e+00
1.85321130e-03  5.51192393e+00  1.94810000e-02  8.05170000e+03  5.52700000e-09  0.00000000e+00
1.87174340e-03  5.51154797e+00  1.94870000e-02  7.97470000e+03  5.92600000e-09  0.00000000e+00
1.89046080e-03  5.51115892e+00  1.94940000e-02  7.89850000e+03  6.35300000e-09  0.00000000e+00
1.90936540e-03  5.51075656e+00  1.95010000e-02  7.82300000e+03  6.80900000e-09  0.00000000e+00
1.92845900e-03  5.51034069e+00  1.95080000e-02  7.74830000e+03  7.29800000e-09  0.00000000e+00
1.94774360e-03  5.50991107e+00  1.95150000e-02  7.67440000e+03  7.82000000e-09  0.00000000e+00
1.96722100e-03  5.50946749e+00  1.95220000e-02  7.60110000e+03  8.37800000e-09  0.00000000e+00
1.98689320e-03  5.50900970e+00  1.95290000e-02  7.52860000e+03  8.97500000e-09  0.00000000e+00
2.00676210e-03  5.50853745e+00  1.95360000e-02  7.45680000e+03  9.61400000e-09  0.00000000e+00
2.02682970e-03  5.50805050e+00  1.95440000e-02  7.38580000e+03  1.03000000e-08  0.00000000e+00
2.04709800e-03  5.50754856e+00  1.95510000e-02  7.31540000e+03  1.10200000e-08  0.00000000e+00
2.06756900e-03  5.50703138e+00  1.95590000e-02  7.24580000e+03  1.18000000e-08  0.00000000e+00
2.08824460e-03  5.50649866e+00  1.95660000e-02  7.17680000e+03  1.26400000e-08  0.00000000e+00
2.10912710e-03  5.50595011e+00  1.95740000e-02  7.10850000e+03  1.35300000e-08  0.00000000e+00
2.13021830e-03  5.50538544e+00  1.95820000e-02  7.04100000e+03  1.44700000e-08  0.00000000e+00
2.15152050e-03  5.50480434e+00  1.95900000e-02  6.97400000e+03  1.54900000e-08  0.00000000e+00
2.17303570e-03  5.50420647e+00  1.95970000e-02  6.90780000e+03  1.65700000e-08  0.00000000e+00
2.19476600e-03  5.50359152e+00  1.96050000e-02  6.84220000e+03  1.77300000e-08  0.00000000e+00
2.21671360e-03  5.50295915e+00  1.96140000e-02  6.77730000e+03  1.89600000e-08  0.00000000e+00
2.23888080e-03  5.50230900e+00  1.96220000e-02  6.71300000e+03  2.02800000e-08  0.00000000e+00
2.26126950e-03  5.50164071e+00  1.96300000e-02  6.64930000e+03  2.16800000e-08  0.00000000e+00
2.28388220e-03  5.50095391e+00  1.96390000e-02  6.58630000e+03  2.31800000e-08  0.00000000e+00
2.30672100e-03  5.50024822e+00  1.96470000e-02  6.52390000e+03  2.47800000e-08  0.00000000e+00
2.32978820e-03  5.49952325e+00  1.96560000e-02  6.46220000e+03  2.64900000e-08  0.00000000e+00
2.35308610e-03  5.49877859e+00  1.96640000e-02  6.40100000e+03  2.83100000e-08  0.00000000e+00
2.37661690e-03  5.49801382e+00  1.96730000e-02  6.34050000e+03  3.02500000e-08  0.00000000e+00
2.40038310e-03  5.49722852e+00  1.96820000e-02  6.28060000e+03  3.23200000e-08  0.00000000e+00
2.42438690e-03  5.49642225e+00  1.96910000e-02  6.22130000e+03  3.45200000e-08  0.00000000e+00
2.44863070e-03  5.49559455e+00  1.97000000e-02  6.16250000e+03  3.68800000e-08  0.00000000e+00
2.47311700e-03  5.49474495e+00  1.97100000e-02  6.10440000e+03  3.93800000e-08  0.00000000e+00
2.49784810e-03  5.49387298e+00  1.97190000e-02  6.04680000e+03  4.20500000e-08  0.00000000e+00
2.52282660e-03  5.49297814e+00  1.97290000e-02  5.98980000e+03  4.49000000e-08  0.00000000e+00
2.54805480e-03  5.49205992e+00  1.97380000e-02  5.93340000e+03  4.79300000e-08  0.00000000e+00
2.57353540e-03  5.49111780e+00  1.97480000e-02  5.87760000e+03  5.11600000e-08  0.00000000e+00
2.59927070e-03  5.49015124e+00  1.97580000e-02  5.82230000e+03  5.46000000e-08  0.00000000e+00
2.62526340e-03  5.48915969e+00  1.97680000e-02  5.76760000e+03  5.82600000e-08  0.00000000e+00
2.65151600e-03  5.48814257e+00  1.97780000e-02  5.71340000e+03  6.21600000e-08  0.00000000e+00
2.67803110e-03  5.48709930e+00  1.97880000e-02  5.65970000e+03  6.63100000e-08  0.00000000e+00
2.70481140e-03  5.48602928e+00  1.97980000e-02  5.60660000e+03  7.07200000e-08  0.00000000e+00
2.73185950e-03  5.48493189e+00  1.98090000e-02  5.55410000e+03  7.54200000e-08  0.00000000e+00
2.75917810e-03  5.48380648e+00  1.98200000e-02  5.50200000e+03  8.04300000e-08  0.00000000e+00
2.78676980e-03  5.48265239e+00  1.98300000e-02  5.45050000e+03  8.57500000e-08  0.00000000e+00
2.81463750e-03  5.48146895e+00  1.98410000e-02  5.39950000e+03  9.14100000e-08  0.00000000e+00
2.84278380e-03  5.48025545e+00  1.98520000e-02  5.34900000e+03  9.74300000e-08  0.00000000e+00
2.87121160e-03  5.47901119e+00  1.98630000e-02  5.29900000e+03  1.03800000e-07  0.00000000e+00
2.89992370e-03  5.47773541e+00  1.98750000e-02  5.24950000e+03  1.10700000e-07  0.00000000e+00
2.92892290e-03  5.47642735e+00  1.98860000e-02  5.20060000e+03  1.17900000e-07  0.00000000e+00
2.95821210e-03  5.47508622e+00  1.98980000e-02  5.15210000e+03  1.25600000e-07  0.00000000e+00
2.98779420e-03  5.47371122e+00  1.99100000e-02  5.10410000e+03  1.33800000e-07  0.00000000e+00
3.01767220e-03  5.47230150e+00  1.99220000e-02  5.05660000e+03  1.42500000e-07  0.00000000e+00
3.04784880e-03  5.47085620e+00  1.99340000e-02  5.00960000e+03  1.51700000e-07  0.00000000e+00
3.07832730e-03  5.46937443e+00  1.99460000e-02  4.96300000e+03  1.61500000e-07  0.00000000e+00
3.10911050e-03  5.46785526e+00  1.99580000e-02  4.91690000e+03  1.72000000e-07  0.00000000e+00
3.14020160e-03  5.46629776e+00  1.99710000e-02  4.87130000e+03  1.83000000e-07  0.00000000e+00
3.17160360e-03  5.46470094e+00  1.99840000e-02  4.82610000e+03  1.94800000e-07  0.00000000e+00
3.20331960e-03  5.46306379e+00  1.99970000e-02  4.78150000e+03  2.07300000e-07  0.00000000e+00
3.23535280e-03  5.46138527e+00  2.00100000e-02  4.73720000e+03  2.20600000e-07  0.00000000e+00
3.26770630e-03  5.45966430e+00  2.00230000e-02  4.69340000e+03  2.34600000e-07  0.00000000e+00
3.30038330e-03  5.45789976e+00  2.00360000e-02  4.65010000e+03  2.49600000e-07  0.00000000e+00
3.33338710e-03  5.45609050e+00  2.00500000e-02  4.60720000e+03  2.65400000e-07  0.00000000e+00
3.36672100e-03  5.45423532e+00  2.00640000e-02  4.56470000e+03  2.82300000e-07  0.00000000e+00
3.40038810e-03  5.45233301e+00  2.00780000e-02  4.52270000e+03  3.00100000e-07  0.00000000e+00
3.43439200e-03  5.45038227e+00  2.00920000e-02  4.48110000e+03  3.19100000e-07  0.00000000e+00
3.46873590e-03  5.44838179e+00  2.01070000e-02  4.43990000e+03  3.39200000e-07  0.00000000e+00
3.50342320e-03  5.44633020e+00  2.01210000e-02  4.39910000e+03  3.60500000e-07  0.00000000e+00
3.53845740e-03  5.44422608e+00  2.01360000e-02  4.35880000e+03  3.83100000e-07  0.00000000e+00
3.57384190e-03  5.44206796e+00  2.01510000e-02  4.31890000e+03  4.07000000e-07  0.00000000e+00
3.60958030e-03  5.43985433e+00  2.01670000e-02  4.27940000e+03  4.32400000e-07  0.00000000e+00
3.64567610e-03  5.43758359e+00  2.01820000e-02  4.24030000e+03  4.59400000e-07  0.00000000e+00
3.68213280e-03  5.43525412e+00  2.01980000e-02  4.20160000e+03  4.87900000e-07  0.00000000e+00
3.71895410e-03  5.43286421e+00  2.02140000e-02  4.16330000e+03  5.18100000e-07  0.00000000e+00
3.75614360e-03  5.43041209e+00  2.02300000e-02  4.12540000e+03  5.50200000e-07  0.00000000e+00
3.79370500e-03  5.42789592e+00  2.02470000e-02  4.08790000e+03  5.84100000e-07  0.00000000e+00
3.83164200e-03  5.42531379e+00  2.02640000e-02  4.05080000e+03  6.20000000e-07  0.00000000e+00
3.86995840e-03  5.42266372e+00  2.02810000e-02  4.01400000e+03  6.58100000e-07  0.00000000e+00
3.90865800e-03  5.41994363e+00  2.02980000e-02  3.97770000e+03  6.98400000e-07  0.00000000e+00
3.94774450e-03  5.41715136e+00  2.03160000e-02  3.94170000e+03  7.41100000e-07  0.00000000e+00
3.98722190e-03  5.41428468e+00  2.03340000e-02  3.90610000e+03  7.86300000e-07  0.00000000e+00
4.02709410e-03  5.41134123e+00  2.03520000e-02  3.87090000e+03  8.34100000e-07  0.00000000e+00
4.06736500e-03  5.40831857e+00  2.03700000e-02  3.83610000e+03  8.84700000e-07  0.00000000e+00
4.10803860e-03  5.40521414e+00  2.03890000e-02  3.80160000e+03  9.38300000e-07  0.00000000e+00
4.14911890e-03  5.40202527e+00  2.04080000e-02  3.76760000e+03  9.95000000e-07  0.00000000e+00
4.19061010e-03  5.39874917e+00  2.04280000e-02  3.73380000e+03  1.05500000e-06  0.00000000e+00
4.23251620e-03  5.39538291e+00  2.04480000e-02  3.70050000e+03  1.11800000e-06  0.00000000e+00
4.27484130e-03  5.39192343e+00  2.04680000e-02  3.66750000e+03  1.18500000e-06  0.00000000e+00
4.31758960e-03  5.38836752e+00  2.04890000e-02  3.63480000e+03  1.25600000e-06  0.00000000e+00
4.36076550e-03  5.38471180e+00  2.05100000e-02  3.60250000e+03  1.33100000e-06  0.00000000e+00
4.40437310e-03  5.38095274e+00  2.05310000e-02  3.57060000e+03  1.41100000e-06  0.00000000e+00
4.44841680e-03  5.37708660e+00  2.05530000e-02  3.53900000e+03  1.49400000e-06  0.00000000e+00
4.49290090e-03  5.37310946e+00  2.05760000e-02  3.50780000e+03  1.58300000e-06  0.00000000e+00
4.53782990e-03  5.36901720e+00  2.05990000e-02  3.47690000e+03  1.67700000e-06  0.00000000e+00
4.58320820e-03  5.36480545e+00  2.06220000e-02  3.44640000e+03  1.77600000e-06  0.00000000e+00
4.62904020e-03  5.36046961e+00  2.06460000e-02  3.41620000e+03  1.88000000e-06  0.00000000e+00
4.67533060e-03  5.35600481e+00  2.06700000e-02  3.38640000e+03  1.99000000e-06  0.00000000e+00
4.72208380e-03  5.35140589e+00  2.06950000e-02  3.35690000e+03  2.10700000e-06  0.00000000e+00
4.76930460e-03  5.34666737e+00  2.07210000e-02  3.32780000e+03  2.23000000e-06  0.00000000e+00
4.81699760e-03  5.34178346e+00  2.07470000e-02  3.29900000e+03  2.36000000e-06  0.00000000e+00
