#  Fe:    Z = 26;   Atomic weight = 55.84700 g/mol ;    nominal density:   [INLINE] = 7.8600E+00 g/cm3
#         a(barns/atom) = (cm2/g)    9.27362E+01
#         E(eV) (cm2/g) = f2(e/atom)    7.53493E+05
#         9 edges. Edge energies (keV):
# K      7.11200E+00  L I    8.46100E-01  L II   7.21100E-01  L III  7.08100E-01
# M I    9.29000E-02  M II   5.40000E-02  M III  5.40000E-02  M IV   3.60000E-03
# M V    3.60000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.0812E-01, -6.7800E-02 e/atom
#         Nuclear Thomson correction fNT = -6.6403E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=26, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  4.59212535e+00  2.14490000e-02  1.60020000e+04  5.12000000e-11  0.00000000e+00
1.02010000e-03  4.59665239e+00  2.14540000e-02  1.58470000e+04  5.54200000e-11  0.00000000e+00
1.03030100e-03  4.59887626e+00  2.14590000e-02  1.56940000e+04  5.99800000e-11  0.00000000e+00
1.04060400e-03  4.60049423e+00  2.14650000e-02  1.55420000e+04  6.49100000e-11  0.00000000e+00
1.05101010e-03  4.60155417e+00  2.14700000e-02  1.53930000e+04  7.02300000e-11  0.00000000e+00
1.06152010e-03  4.60234496e+00  2.14760000e-02  1.52440000e+04  7.59700000e-11  0.00000000e+00
1.07213530e-03  4.60294155e+00  2.14810000e-02  1.50970000e+04  8.21800000e-11  0.00000000e+00
1.08285670e-03  4.60339025e+00  2.14870000e-02  1.49520000e+04  8.88700000e-11  0.00000000e+00
1.09368520e-03  4.60372159e+00  2.14930000e-02  1.48070000e+04  9.61000000e-11  0.00000000e+00
1.10462210e-03  4.60395674e+00  2.14990000e-02  1.46650000e+04  1.03900000e-10  0.00000000e+00
1.11566830e-03  4.60411092e+00  2.15050000e-02  1.45240000e+04  1.12300000e-10  0.00000000e+00
1.12682500e-03  4.60429307e+00  2.15110000e-02  1.43840000e+04  1.21400000e-10  0.00000000e+00
1.13809320e-03  4.60430416e+00  2.15170000e-02  1.42450000e+04  1.31200000e-10  0.00000000e+00
1.14947410e-03  4.60426264e+00  2.15230000e-02  1.41080000e+04  1.41700000e-10  0.00000000e+00
1.16096880e-03  4.60417344e+00  2.15290000e-02  1.39730000e+04  1.53100000e-10  0.00000000e+00
1.17257850e-03  4.60404049e+00  2.15350000e-02  1.38390000e+04  1.65400000e-10  0.00000000e+00
1.18430430e-03  4.60386695e+00  2.15420000e-02  1.37060000e+04  1.78600000e-10  0.00000000e+00
1.19614730e-03  4.60365542e+00  2.15480000e-02  1.35740000e+04  1.92900000e-10  0.00000000e+00
1.20810880e-03  4.60340798e+00  2.15550000e-02  1.34440000e+04  2.08300000e-10  0.00000000e+00
1.22018990e-03  4.60312638e+00  2.15620000e-02  1.33150000e+04  2.24900000e-10  0.00000000e+00
1.23239180e-03  4.60281204e+00  2.15690000e-02  1.31870000e+04  2.42700000e-10  0.00000000e+00
1.24471570e-03  4.60246613e+00  2.15760000e-02  1.30610000e+04  2.61900000e-10  0.00000000e+00
1.25716280e-03  4.60208962e+00  2.15830000e-02  1.29360000e+04  2.82600000e-10  0.00000000e+00
1.26973440e-03  4.60168327e+00  2.15900000e-02  1.28120000e+04  3.04900000e-10  0.00000000e+00
