#  Co:    Z = 27;   Atomic weight = 58.93320 g/mol ;    nominal density:   [INLINE] = 8.9000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    9.78609E+01
#         E(eV) (cm2/g) = f2(e/atom)    7.14034E+05
#         9 edges. Edge energies (keV):
# K      7.70890E+00  L I    9.25600E-01  L II   7.93600E-01  L III  7.78600E-01
# M I    1.00700E-01  M II   5.95000E-02  M III  5.95000E-02  M IV   2.90000E-03
# M V    2.90000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.1819E-01, -7.3800E-02 e/atom
#         Nuclear Thomson correction fNT = -6.7859E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=27, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  4.15368116e+00  2.30500000e-02  1.62950000e+04  4.07600000e-11  0.00000000e+00
1.02010000e-03  4.15833760e+00  2.30580000e-02  1.61400000e+04  4.41500000e-11  0.00000000e+00
1.03030100e-03  4.16046736e+00  2.30660000e-02  1.59860000e+04  4.78100000e-11  0.00000000e+00
1.04060400e-03  4.16195808e+00  2.30750000e-02  1.58330000e+04  5.17700000e-11  0.00000000e+00
1.05101010e-03  4.16284795e+00  2.30830000e-02  1.56820000e+04  5.60600000e-11  0.00000000e+00
1.06152010e-03  4.16344498e+00  2.30920000e-02  1.55330000e+04  6.06800000e-11  0.00000000e+00
1.07213530e-03  4.16382867e+00  2.31010000e-02  1.53850000e+04  6.56800000e-11  0.00000000e+00
1.08285670e-03  4.16404817e+00  2.31100000e-02  1.52390000e+04  7.10800000e-11  0.00000000e+00
1.09368520e-03  4.16413587e+00  2.31190000e-02  1.50940000e+04  7.69200000e-11  0.00000000e+00
1.10462210e-03  4.16411417e+00  2.31290000e-02  1.49510000e+04  8.32200000e-11  0.00000000e+00
1.11566830e-03  4.16399911e+00  2.31380000e-02  1.48090000e+04  9.00200000e-11  0.00000000e+00
1.12682500e-03  4.16380257e+00  2.31480000e-02  1.46680000e+04  9.73600000e-11  0.00000000e+00
1.13809320e-03  4.16362798e+00  2.31580000e-02  1.45290000e+04  1.05300000e-10  0.00000000e+00
1.14947410e-03  4.16328215e+00  2.31680000e-02  1.43920000e+04  1.13800000e-10  0.00000000e+00
1.16096880e-03  4.16287757e+00  2.31780000e-02  1.42550000e+04  1.23100000e-10  0.00000000e+00
1.17257850e-03  4.16241823e+00  2.31890000e-02  1.41210000e+04  1.33000000e-10  0.00000000e+00
1.18430430e-03  4.16190729e+00  2.31990000e-02  1.39870000e+04  1.43800000e-10  0.00000000e+00
1.19614730e-03  4.16134724e+00  2.32100000e-02  1.38550000e+04  1.55400000e-10  0.00000000e+00
1.20810880e-03  4.16074009e+00  2.32210000e-02  1.37250000e+04  1.67900000e-10  0.00000000e+00
1.22018990e-03  4.16008742e+00  2.32330000e-02  1.35950000e+04  1.81300000e-10  0.00000000e+00
1.23239180e-03  4.15939047e+00  2.32440000e-02  1.34680000e+04  1.95900000e-10  0.00000000e+00
1.24471570e-03  4.15865018e+00  2.32560000e-02  1.33410000e+04  2.11500000e-10  0.00000000e+00
1.25716280e-03  4.15786729e+00  2.32680000e-02  1.32160000e+04  2.28400000e-10  0.00000000e+00
1.26973440e-03  4.15704229e+00  2.32800000e-02  1.30920000e+04  2.46600000e-10  0.00000000e+00
1.28243180e-03  4.15617552e+00  2.32930000e-02  1.29690000e+04  2.66200000e-10  0.00000000e+00
1.29525610e-03  4.15526717e+00  2.33060000e-02  1.28480000e+04  2.87300000e-10  0.00000000e+00
1.30820860e-03  4.15431727e+00  2.33190000e-02  1.27280000e+04  3.10000000e-10  0.00000000e+00
1.32129070e-03  4.15332576e+00  2.33320000e-02  1.26090000e+04  3.34500000e-10  0.00000000e+00
