#  Ni:    Z = 28;   Atomic weight = 58.69000 g/mol ;    nominal density:   [INLINE] = 8.8760E+00 g/cm3
#         a(barns/atom) = (cm2/g)    9.74571E+01
#         E(eV) (cm2/g) = f2(e/atom)    7.16993E+05
#         9 edges. Edge energies (keV):
# K      8.33280E+00  L I    1.00810E+00  L II   8.71900E-01  L III  8.54700E-01
# M I    1.11800E-01  M II   6.81000E-02  M III  6.81000E-02  M IV   3.60000E-03
# M V    3.60000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.2883E-01, -8.1000E-02 e/atom
#         Nuclear Thomson correction fNT = -7.3281E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=28, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  3.75640666e+00  2.36260000e-02  1.67720000e+04  3.34600000e-11  0.00000000e+00
1.02010000e-03  3.76130670e+00  2.36320000e-02  1.66100000e+04  3.62700000e-11  0.00000000e+00
1.03030100e-03  3.76383478e+00  2.36380000e-02  1.64500000e+04  3.93100000e-11  0.00000000e+00
1.04060400e-03  3.76547163e+00  2.36450000e-02  1.62920000e+04  4.26000000e-11  0.00000000e+00
1.05101010e-03  3.76675601e+00  2.36510000e-02  1.61350000e+04  4.61500000e-11  0.00000000e+00
1.06152010e-03  3.76761873e+00  2.36580000e-02  1.59790000e+04  5.00000000e-11  0.00000000e+00
1.07213530e-03  3.76827205e+00  2.36650000e-02  1.58260000e+04  5.41600000e-11  0.00000000e+00
1.08285670e-03  3.76876534e+00  2.36710000e-02  1.56740000e+04  5.86600000e-11  0.00000000e+00
1.09368520e-03  3.76913134e+00  2.36780000e-02  1.55230000e+04  6.35200000e-11  0.00000000e+00
1.10462210e-03  3.76939284e+00  2.36850000e-02  1.53740000e+04  6.87700000e-11  0.00000000e+00
1.11566830e-03  3.76956628e+00  2.36930000e-02  1.52260000e+04  7.44500000e-11  0.00000000e+00
1.12682500e-03  3.76966388e+00  2.37000000e-02  1.50800000e+04  8.05800000e-11  0.00000000e+00
1.13809320e-03  3.76969494e+00  2.37070000e-02  1.49350000e+04  8.72000000e-11  0.00000000e+00
1.14947410e-03  3.76976557e+00  2.37150000e-02  1.47920000e+04  9.43600000e-11  0.00000000e+00
1.16096880e-03  3.76967280e+00  2.37220000e-02  1.46500000e+04  1.02100000e-10  0.00000000e+00
1.17257850e-03  3.76953233e+00  2.37300000e-02  1.45100000e+04  1.10400000e-10  0.00000000e+00
1.18430430e-03  3.76934763e+00  2.37380000e-02  1.43710000e+04  1.19400000e-10  0.00000000e+00
1.19614730e-03  3.76912149e+00  2.37460000e-02  1.42340000e+04  1.29100000e-10  0.00000000e+00
1.20810880e-03  3.76885621e+00  2.37540000e-02  1.40980000e+04  1.39600000e-10  0.00000000e+00
1.22018990e-03  3.76855368e+00  2.37620000e-02  1.39630000e+04  1.51000000e-10  0.00000000e+00
1.23239180e-03  3.76821545e+00  2.37700000e-02  1.38290000e+04  1.63200000e-10  0.00000000e+00
1.24471570e-03  3.76784279e+00  2.37790000e-02  1.36970000e+04  1.76300000e-10  0.00000000e+00
1.25716280e-03  3.76743674e+00  2.37880000e-02  1.35670000e+04  1.90500000e-10  0.00000000e+00
1.26973440e-03  3.76699815e+00  2.37960000e-02  1.34370000e+04  2.05900000e-10  0.00000000e+00
1.28243180e-03  3.76652771e+00  2.38050000e-02  1.33090000e+04  2.22400000e-10  0.00000000e+00
1.29525610e-03  3.76602595e+00  2.38140000e-02  1.31830000e+04  2.40200000e-10  0.00000000e+00
1.30820860e-03  3.76549329e+00  2.38240000e-02  1.30570000e+04  2.59400000e-10  0.00000000e+00
1.32129070e-03  3.76493004e+00  2.38330000e-02  1.29330000e+04  2.80100000e-10  0.00000000e+00
1.33450360e-03  3.76433641e+00  2.38430000e-02  1.28100000e+04  3.02400000e-10  0.00000000e+00
1.34784860e-03  3.76371254e+00  2.38520000e-02  1.26880000e+04  3.26400000e-10  0.00000000e+00
1.36132710e-03  3.76305845e+00  2.38620000e-02  1.25680000e+04  3.52200000e-10  0.00000000e+00
1.37494030e-03  3.76237415e+00  2.38720000e-02  1.24490000e+04  3.80100000e-10  0.00000000e+00
1.38868970e-03  3.76165954e+00  2.38830000e-02  1.23310000e+04  4.10100000e-10  0.00000000e+00
1.40257660e-03  3.76091447e+00  2.38930000e-02  1.22140000e+04  4.42400000e-10  0.00000000e+00
1.41660240e-03  3.76013876e+00  2.39040000e-02  1.20980000e+04  4.77200000e-10  0.00000000e+00
1.43076840e-03  3.75933214e+00  2.39140000e-02  1.19840000e+04  5.14700000e-10  0.00000000e+00
1.44507600e-03  3.75849433e+00  2.39260000e-02  1.18710000e+04  5.55000000e-10  0.00000000e+00
1.45952680e-03  3.75762497e+00  2.39370000e-02  1.17590000e+04  5.98300000e-10  0.00000000e+00
1.47412200e-03  3.75672367e+00  2.39480000e-02  1.16480000e+04  6.45000000e-10  0.00000000e+00
1.48886320e-03  3.75579001e+00  2.39600000e-02  1.15380000e+04  6.95200000e-10  0.00000000e+00
1.50375190e-03  3.75482350e+00  2.39720000e-02  1.14300000e+04  7.49200000e-10  0.00000000e+00
