#  Cu:    Z = 29;   Atomic weight = 63.54600 g/mol ;    nominal density:   [INLINE] = 8.9400E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.05521E+02
#         E(eV) (cm2/g) = f2(e/atom)    6.62202E+05
#         9 edges. Edge energies (keV):
# K      8.97890E+00  L I    1.09610E+00  L II   9.51000E-01  L III  9.31100E-01
# M I    1.19800E-01  M II   7.36000E-02  M III  7.36000E-02  M IV   1.60000E-03
# M V    1.60000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.4003E-01, -8.7600E-02 e/atom
#         Nuclear Thomson correction fNT = -7.2602E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=29, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  3.85335535e+00  4.31410000e-02  2.82850000e+04  1.87500000e-11  0.00000000e+00
1.02010000e-03  3.85956450e+00  4.32270000e-02  2.80610000e+04  2.03600000e-11  0.00000000e+00
1.03030100e-03  3.86181470e+00  4.33170000e-02  2.78410000e+04  2.21000000e-11  0.00000000e+00
1.04060400e-03  3.86237695e+00  4.34100000e-02  2.76250000e+04  2.39900000e-11  0.00000000e+00
1.05101010e-03  3.86203745e+00  4.35080000e-02  2.74130000e+04  2.60400000e-11  0.00000000e+00
1.06152010e-03  3.86090289e+00  4.36100000e-02  2.72050000e+04  2.82600000e-11  0.00000000e+00
1.07213530e-03  3.85926129e+00  4.37180000e-02  2.70020000e+04  3.06700000e-11  0.00000000e+00
1.08285670e-03  3.85720750e+00  4.38300000e-02  2.68040000e+04  3.32700000e-11  0.00000000e+00
1.09368520e-03  3.85480047e+00  4.39490000e-02  2.66100000e+04  3.60900000e-11  0.00000000e+00
1.10462210e-03  3.85207808e+00  4.40730000e-02  2.64210000e+04  3.91400000e-11  0.00000000e+00
1.11566830e-03  3.84906490e+00  4.42050000e-02  2.62380000e+04  4.24400000e-11  0.00000000e+00
1.12682500e-03  3.84577656e+00  4.43430000e-02  2.60590000e+04  4.60100000e-11  0.00000000e+00
1.13809320e-03  3.84222231e+00  4.44900000e-02  2.58870000e+04  4.98800000e-11  0.00000000e+00
1.14947410e-03  3.83840667e+00  4.46450000e-02  2.57200000e+04  5.40600000e-11  0.00000000e+00
1.16096880e-03  3.83433035e+00  4.48100000e-02  2.55590000e+04  5.85800000e-11  0.00000000e+00
1.17257850e-03  3.82999098e+00  4.49850000e-02  2.54050000e+04  6.34800000e-11  0.00000000e+00
1.18430430e-03  3.82538348e+00  4.51710000e-02  2.52570000e+04  6.87700000e-11  0.00000000e+00
1.19614730e-03  3.82050026e+00  4.53700000e-02  2.51170000e+04  7.44900000e-11  0.00000000e+00
