#  Zn:    Z = 30;   Atomic weight = 65.38000 g/mol ;    nominal density:   [INLINE] = 7.1120E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.08566E+02
#         E(eV) (cm2/g) = f2(e/atom)    6.43627E+05
#         9 edges. Edge energies (keV):
# K      9.65860E+00  L I    1.19360E+00  L II   1.04280E+00  L III  1.01970E+00
# M I    1.35900E-01  M II   8.66000E-02  M III  8.66000E-02  M IV   8.10000E-03
# M V    8.10000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.5183E-01, -9.5400E-02 e/atom
#         Nuclear Thomson correction fNT = -7.5516E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=30, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  3.25545845e+00  1.85090000e-02  1.17950000e+04  1.87300000e-11  0.00000000e+00
1.02010000e-03  3.25964108e+00  1.85120000e-02  1.16800000e+04  2.03400000e-11  0.00000000e+00
1.03030100e-03  3.26182864e+00  1.85140000e-02  1.15660000e+04  2.20800000e-11  0.00000000e+00
1.04060400e-03  3.26335731e+00  1.85170000e-02  1.14530000e+04  2.39600000e-11  0.00000000e+00
1.05101010e-03  3.26468244e+00  1.85190000e-02  1.13410000e+04  2.60100000e-11  0.00000000e+00
1.06152010e-03  3.26563329e+00  1.85220000e-02  1.12300000e+04  2.82200000e-11  0.00000000e+00
1.07213530e-03  3.26643282e+00  1.85250000e-02  1.11210000e+04  3.06200000e-11  0.00000000e+00
1.08285670e-03  3.26711718e+00  1.85270000e-02  1.10120000e+04  3.32100000e-11  0.00000000e+00
1.09368520e-03  3.26771072e+00  1.85300000e-02  1.09050000e+04  3.60200000e-11  0.00000000e+00
1.10462210e-03  3.26823058e+00  1.85330000e-02  1.07980000e+04  3.90600000e-11  0.00000000e+00
1.11566830e-03  3.26868929e+00  1.85350000e-02  1.06930000e+04  4.23500000e-11  0.00000000e+00
1.12682500e-03  3.26909624e+00  1.85380000e-02  1.05890000e+04  4.59100000e-11  0.00000000e+00
1.13809320e-03  3.26945867e+00  1.85410000e-02  1.04850000e+04  4.97700000e-11  0.00000000e+00
1.14947410e-03  3.26978227e+00  1.85440000e-02  1.03830000e+04  5.39400000e-11  0.00000000e+00
1.16096880e-03  3.27007155e+00  1.85460000e-02  1.02820000e+04  5.84500000e-11  0.00000000e+00
1.17257850e-03  3.27043319e+00  1.85490000e-02  1.01820000e+04  6.33200000e-11  0.00000000e+00
1.18430430e-03  3.27065429e+00  1.85520000e-02  1.00820000e+04  6.85900000e-11  0.00000000e+00
1.19614730e-03  3.27085140e+00  1.85550000e-02  9.98430000e+03  7.42900000e-11  0.00000000e+00
1.20810880e-03  3.27102646e+00  1.85580000e-02  9.88700000e+03  8.04600000e-11  0.00000000e+00
