#  Ga:    Z = 31;   Atomic weight = 69.72000 g/mol ;    nominal density:   [INLINE] = 5.8770E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.15773E+02
#         E(eV) (cm2/g) = f2(e/atom)    6.03562E+05
#         9 edges. Edge energies (keV):
# K      1.03671E+01  L I    1.29770E+00  L II   1.14230E+00  L III  1.11540E+00
# M I    1.58100E-01  M II   1.06800E-01  M III  1.02900E-01  M IV   1.74000E-02
# M V    1.74000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.6423E-01, -1.0320E-01 e/atom
#         Nuclear Thomson correction fNT = -7.5615E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=31, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  3.82597272e+00  1.05660000e-02  6.31390000e+03  2.24900000e-11  0.00000000e+00
1.02010000e-03  3.82827590e+00  1.05670000e-02  6.25190000e+03  2.44000000e-11  0.00000000e+00
1.03030100e-03  3.82958009e+00  1.05680000e-02  6.19060000e+03  2.64700000e-11  0.00000000e+00
1.04060400e-03  3.83047557e+00  1.05690000e-02  6.12990000e+03  2.87100000e-11  0.00000000e+00
1.05101010e-03  3.83119890e+00  1.05700000e-02  6.06970000e+03  3.11300000e-11  0.00000000e+00
1.06152010e-03  3.83189702e+00  1.05710000e-02  6.01020000e+03  3.37500000e-11  0.00000000e+00
1.07213530e-03  3.83239270e+00  1.05720000e-02  5.95130000e+03  3.65900000e-11  0.00000000e+00
1.08285670e-03  3.83282709e+00  1.05730000e-02  5.89290000e+03  3.96600000e-11  0.00000000e+00
1.09368520e-03  3.83321268e+00  1.05740000e-02  5.83510000e+03  4.29800000e-11  0.00000000e+00
1.10462210e-03  3.83355843e+00  1.05750000e-02  5.77790000e+03  4.65700000e-11  0.00000000e+00
1.11566830e-03  3.83387097e+00  1.05760000e-02  5.72130000e+03  5.04500000e-11  0.00000000e+00
1.12682500e-03  3.83415533e+00  1.05770000e-02  5.66520000e+03  5.46500000e-11  0.00000000e+00
1.13809320e-03  3.83441545e+00  1.05780000e-02  5.60970000e+03  5.91900000e-11  0.00000000e+00
1.14947410e-03  3.83465442e+00  1.05790000e-02  5.55470000e+03  6.41000000e-11  0.00000000e+00
1.16096880e-03  3.83487476e+00  1.05800000e-02  5.50030000e+03  6.94000000e-11  0.00000000e+00
1.17257850e-03  3.83507851e+00  1.05810000e-02  5.44640000e+03  7.51300000e-11  0.00000000e+00
1.18430430e-03  3.83526736e+00  1.05820000e-02  5.39300000e+03  8.13200000e-11  0.00000000e+00
1.19614730e-03  3.83552856e+00  1.05830000e-02  5.34020000e+03  8.80100000e-11  0.00000000e+00
1.20810880e-03  3.83568398e+00  1.05840000e-02  5.28790000e+03  9.52300000e-11  0.00000000e+00
1.22018990e-03  3.83582892e+00  1.05860000e-02  5.23610000e+03  1.03000000e-10  0.00000000e+00
1.23239180e-03  3.83596415e+00  1.05870000e-02  5.18490000e+03  1.11500000e-10  0.00000000e+00
1.24471570e-03  3.83609034e+00  1.05880000e-02  5.13410000e+03  1.20500000e-10  0.00000000e+00
1.25716280e-03  3.83620807e+00  1.05890000e-02  5.08380000e+03  1.30400000e-10  0.00000000e+00
