#  Ge:    Z = 32;   Atomic weight = 72.59000 g/mol ;    nominal density:   [INLINE] = 5.3070E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.20539E+02
#         E(eV) (cm2/g) = f2(e/atom)    5.79699E+05
#         9 edges. Edge energies (keV):
# K      1.11031E+01  L I    1.41430E+00  L II   1.24780E+00  L III  1.21670E+00
# M I    1.80000E-01  M II   1.27900E-01  M III  1.20800E-01  M IV   2.87000E-02
# M V    2.87000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.7723E-01, -1.1160E-01 e/atom
#         Nuclear Thomson correction fNT = -7.7386E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=32, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  5.28214487e+00  8.26120000e-03  4.74160000e+03  3.12100000e-11  0.00000000e+00
1.02010000e-03  5.28328900e+00  8.26170000e-03  4.69500000e+03  3.38200000e-11  0.00000000e+00
1.03030100e-03  5.28412574e+00  8.26230000e-03  4.64880000e+03  3.66500000e-11  0.00000000e+00
1.04060400e-03  5.28471788e+00  8.26290000e-03  4.60310000e+03  3.97100000e-11  0.00000000e+00
1.05101010e-03  5.28521027e+00  8.26340000e-03  4.55780000e+03  4.30100000e-11  0.00000000e+00
1.06152010e-03  5.28563201e+00  8.26400000e-03  4.51300000e+03  4.65800000e-11  0.00000000e+00
1.07213530e-03  5.28600112e+00  8.26460000e-03  4.46860000e+03  5.04400000e-11  0.00000000e+00
1.08285670e-03  5.28632950e+00  8.26510000e-03  4.42470000e+03  5.46200000e-11  0.00000000e+00
1.09368520e-03  5.28662536e+00  8.26570000e-03  4.38120000e+03  5.91300000e-11  0.00000000e+00
1.10462210e-03  5.28689460e+00  8.26630000e-03  4.33810000e+03  6.40000000e-11  0.00000000e+00
1.11566830e-03  5.28714161e+00  8.26690000e-03  4.29550000e+03  6.92600000e-11  0.00000000e+00
1.12682500e-03  5.28736974e+00  8.26750000e-03  4.25330000e+03  7.49500000e-11  0.00000000e+00
1.13809320e-03  5.28758157e+00  8.26810000e-03  4.21150000e+03  8.10900000e-11  0.00000000e+00
1.14947410e-03  5.28777918e+00  8.26880000e-03  4.17010000e+03  8.77200000e-11  0.00000000e+00
1.16096880e-03  5.28796423e+00  8.26940000e-03  4.12910000e+03  9.48700000e-11  0.00000000e+00
1.17257850e-03  5.28813810e+00  8.27000000e-03  4.08850000e+03  1.02600000e-10  0.00000000e+00
1.18430430e-03  5.28830191e+00  8.27060000e-03  4.04840000e+03  1.10900000e-10  0.00000000e+00
1.19614730e-03  5.28845661e+00  8.27130000e-03  4.00860000e+03  1.19900000e-10  0.00000000e+00
1.20810880e-03  5.28860300e+00  8.27190000e-03  3.96920000e+03  1.29600000e-10  0.00000000e+00
1.22018990e-03  5.28874178e+00  8.27260000e-03  3.93020000e+03  1.40100000e-10  0.00000000e+00
1.23239180e-03  5.28887352e+00  8.27330000e-03  3.89160000e+03  1.51400000e-10  0.00000000e+00
1.24471570e-03  5.28899875e+00  8.27390000e-03  3.85340000e+03  1.63600000e-10  0.00000000e+00
1.25716280e-03  5.28911791e+00  8.27460000e-03  3.81560000e+03  1.76700000e-10  0.00000000e+00
1.26973440e-03  5.28923138e+00  8.27530000e-03  3.77810000e+03  1.90900000e-10  0.00000000e+00
1.28243180e-03  5.28933952e+00  8.27600000e-03  3.74100000e+03  2.06200000e-10  0.00000000e+00
1.29525610e-03  5.28944262e+00  8.27670000e-03  3.70430000e+03  2.22600000e-10  0.00000000e+00
1.30820860e-03  5.28954096e+00  8.27740000e-03  3.66790000e+03  2.40400000e-10  0.00000000e+00
