#  As:    Z = 33;   Atomic weight = 74.92160 g/mol ;    nominal density:   [INLINE] = 5.7200E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.24410E+02
#         E(eV) (cm2/g) = f2(e/atom)    5.61658E+05
#         9 edges. Edge energies (keV):
# K      1.18667E+01  L I    1.52650E+00  L II   1.35860E+00  L III  1.32310E+00
# M I    2.03500E-01  M II   1.46400E-01  M III  1.40500E-01  M IV   4.12000E-02
# M V    4.12000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.9087E-01, -1.2000E-01 e/atom
#         Nuclear Thomson correction fNT = -7.9737E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=33, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.33263176e+00  7.85620000e-03  4.36880000e+03  4.49200000e-11  0.00000000e+00
1.02010000e-03  6.33401219e+00  7.85660000e-03  4.32580000e+03  4.86300000e-11  0.00000000e+00
1.03030100e-03  6.33480949e+00  7.85710000e-03  4.28320000e+03  5.26300000e-11  0.00000000e+00
1.04060400e-03  6.33536483e+00  7.85750000e-03  4.24100000e+03  5.69600000e-11  0.00000000e+00
1.05101010e-03  6.33583228e+00  7.85790000e-03  4.19930000e+03  6.16300000e-11  0.00000000e+00
1.06152010e-03  6.33623640e+00  7.85840000e-03  4.15790000e+03  6.66700000e-11  0.00000000e+00
1.07213530e-03  6.33659279e+00  7.85880000e-03  4.11700000e+03  7.21200000e-11  0.00000000e+00
1.08285670e-03  6.33691194e+00  7.85930000e-03  4.07650000e+03  7.80000000e-11  0.00000000e+00
1.09368520e-03  6.33720123e+00  7.85970000e-03  4.03630000e+03  8.43500000e-11  0.00000000e+00
1.10462210e-03  6.33746601e+00  7.86020000e-03  3.99660000e+03  9.11900000e-11  0.00000000e+00
