#  Se:    Z = 34;   Atomic weight = 78.96000 g/mol ;    nominal density:   [INLINE] = 4.7800E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.31116E+02
#         E(eV) (cm2/g) = f2(e/atom)    5.32932E+05
#         9 edges. Edge energies (keV):
# K      1.26578E+01  L I    1.65390E+00  L II   1.47620E+00  L III  1.43580E+00
# M I    2.31500E-01  M II   1.68200E-01  M III  1.61900E-01  M IV   5.67000E-02
# M V    5.67000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.0514E-01, -1.2900E-01 e/atom
#         Nuclear Thomson correction fNT = -8.0314E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=34, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.40160343e+00  7.99270000e-03  4.21740000e+03  5.85800000e-11  0.00000000e+00
1.02010000e-03  7.40294276e+00  7.99310000e-03  4.17590000e+03  6.33600000e-11  0.00000000e+00
1.03030100e-03  7.40385400e+00  7.99350000e-03  4.13470000e+03  6.85100000e-11  0.00000000e+00
1.04060400e-03  7.40453162e+00  7.99390000e-03  4.09400000e+03  7.40800000e-11  0.00000000e+00
1.05101010e-03  7.40500596e+00  7.99430000e-03  4.05360000e+03  8.00900000e-11  0.00000000e+00
1.06152010e-03  7.40541875e+00  7.99460000e-03  4.01370000e+03  8.65700000e-11  0.00000000e+00
1.07213530e-03  7.40578464e+00  7.99500000e-03  3.97410000e+03  9.35600000e-11  0.00000000e+00
1.08285670e-03  7.40611367e+00  7.99540000e-03  3.93500000e+03  1.01100000e-10  0.00000000e+00
1.09368520e-03  7.40641300e+00  7.99580000e-03  3.89620000e+03  1.09200000e-10  0.00000000e+00
1.10462210e-03  7.40668788e+00  7.99630000e-03  3.85780000e+03  1.18000000e-10  0.00000000e+00
1.11566830e-03  7.40694227e+00  7.99670000e-03  3.81980000e+03  1.27500000e-10  0.00000000e+00
1.12682500e-03  7.40717923e+00  7.99710000e-03  3.78220000e+03  1.37600000e-10  0.00000000e+00
1.13809320e-03  7.40740117e+00  7.99750000e-03  3.74500000e+03  1.48600000e-10  0.00000000e+00
1.14947410e-03  7.40761003e+00  7.99790000e-03  3.70810000e+03  1.60500000e-10  0.00000000e+00
1.16096880e-03  7.40780738e+00  7.99830000e-03  3.67160000e+03  1.73200000e-10  0.00000000e+00
1.17257850e-03  7.40799450e+00  7.99880000e-03  3.63540000e+03  1.87000000e-10  0.00000000e+00
1.18430430e-03  7.40817248e+00  7.99920000e-03  3.59960000e+03  2.01800000e-10  0.00000000e+00
1.19614730e-03  7.40834221e+00  7.99970000e-03  3.56420000e+03  2.17700000e-10  0.00000000e+00
1.20810880e-03  7.40850448e+00  8.00010000e-03  3.52910000e+03  2.34900000e-10  0.00000000e+00
1.22018990e-03  7.40865994e+00  8.00050000e-03  3.49430000e+03  2.53400000e-10  0.00000000e+00
1.23239180e-03  7.40880915e+00  8.00100000e-03  3.45990000e+03  2.73300000e-10  0.00000000e+00
1.24471570e-03  7.40895262e+00  8.00150000e-03  3.42590000e+03  2.94700000e-10  0.00000000e+00
1.25716280e-03  7.40909078e+00  8.00190000e-03  3.39210000e+03  3.17800000e-10  0.00000000e+00
1.26973440e-03  7.40922400e+00  8.00240000e-03  3.35880000e+03  3.42600000e-10  0.00000000e+00
1.28243180e-03  7.40935263e+00  8.00290000e-03  3.32570000e+03  3.69300000e-10  0.00000000e+00
1.29525610e-03  7.40947696e+00  8.00330000e-03  3.29300000e+03  3.98000000e-10  0.00000000e+00
1.30820860e-03  7.40959726e+00  8.00380000e-03  3.26060000e+03  4.28900000e-10  0.00000000e+00
1.32129070e-03  7.40971377e+00  8.00430000e-03  3.22850000e+03  4.62100000e-10  0.00000000e+00
1.33450360e-03  7.40982670e+00  8.00480000e-03  3.19670000e+03  4.97800000e-10  0.00000000e+00
1.34784860e-03  7.40993625e+00  8.00530000e-03  3.16530000e+03  5.36200000e-10  0.00000000e+00
1.36132710e-03  7.41004258e+00  8.00580000e-03  3.13410000e+03  5.77500000e-10  0.00000000e+00
1.37494030e-03  7.41014587e+00  8.00630000e-03  3.10330000e+03  6.21900000e-10  0.00000000e+00
1.38868970e-03  7.41024624e+00  8.00680000e-03  3.07270000e+03  6.69600000e-10  0.00000000e+00
1.40257660e-03  7.41034384e+00  8.00730000e-03  3.04250000e+03  7.20800000e-10  0.00000000e+00
1.41660240e-03  7.41043878e+00  8.00790000e-03  3.01260000e+03  7.75900000e-10  0.00000000e+00
1.43076840e-03  7.41053118e+00  8.00840000e-03  2.98300000e+03  8.35000000e-10  0.00000000e+00
1.44507600e-03  7.41062112e+00  8.00890000e-03  2.95360000e+03  8.98500000e-10  0.00000000e+00
1.45952680e-03  7.41070871e+00  8.00950000e-03  2.92460000e+03  9.66800000e-10  0.00000000e+00
1.47412200e-03  7.41079403e+00  8.01000000e-03  2.89580000e+03  1.04000000e-09  0.00000000e+00
1.48886320e-03  7.41087715e+00  8.01060000e-03  2.86730000e+03  1.11900000e-09  0.00000000e+00
1.50375190e-03  7.41095815e+00  8.01110000e-03  2.83920000e+03  1.20300000e-09  0.00000000e+00
1.51878940e-03  7.41103708e+00  8.01170000e-03  2.81120000e+03  1.29400000e-09  0.00000000e+00
1.53397720e-03  7.41111403e+00  8.01220000e-03  2.78360000e+03  1.39100000e-09  0.00000000e+00
1.54931700e-03  7.41118903e+00  8.01280000e-03  2.75620000e+03  1.49500000e-09  0.00000000e+00
1.56481020e-03  7.41126213e+00  8.01340000e-03  2.72910000e+03  1.60700000e-09  0.00000000e+00
1.58045820e-03  7.41133340e+00  8.01400000e-03  2.70230000e+03  1.72700000e-09  0.00000000e+00
1.59626280e-03  7.41140286e+00  8.01460000e-03  2.67580000e+03  1.85600000e-09  0.00000000e+00
1.61222540e-03  7.41147056e+00  8.01520000e-03  2.64950000e+03  1.99400000e-09  0.00000000e+00
1.62834770e-03  7.41153654e+00  8.01580000e-03  2.62340000e+03  2.14200000e-09  0.00000000e+00
1.64463110e-03  7.41160083e+00  8.01640000e-03  2.59770000e+03  2.30000000e-09  0.00000000e+00
1.66107740e-03  7.41166346e+00  8.01700000e-03  2.57210000e+03  2.47100000e-09  0.00000000e+00
1.67768820e-03  7.41172446e+00  8.01760000e-03  2.54690000e+03  2.65300000e-09  0.00000000e+00
1.69446500e-03  7.41178385e+00  8.01820000e-03  2.52180000e+03  2.84800000e-09  0.00000000e+00
1.71140970e-03  7.41184167e+00  8.01890000e-03  2.49710000e+03  3.05700000e-09  0.00000000e+00
1.72852380e-03  7.41189792e+00  8.01950000e-03  2.47250000e+03  3.28200000e-09  0.00000000e+00
1.74580900e-03  7.41195263e+00  8.02020000e-03  2.44830000e+03  3.52200000e-09  0.00000000e+00
1.76326710e-03  7.41200582e+00  8.02080000e-03  2.42420000e+03  3.77900000e-09  0.00000000e+00
1.78089970e-03  7.41205750e+00  8.02150000e-03  2.40040000e+03  4.05400000e-09  0.00000000e+00
1.79870870e-03  7.41210769e+00  8.02210000e-03  2.37680000e+03  4.34900000e-09  0.00000000e+00
1.81669580e-03  7.41215640e+00  8.02280000e-03  2.35350000e+03  4.66400000e-09  0.00000000e+00
1.83486270e-03  7.41220363e+00  8.02350000e-03  2.33040000e+03  5.00200000e-09  0.00000000e+00
1.85321130e-03  7.41224941e+00  8.02420000e-03  2.30750000e+03  5.36400000e-09  0.00000000e+00
1.87174340e-03  7.41229373e+00  8.02490000e-03  2.28490000e+03  5.75000000e-09  0.00000000e+00
1.89046080e-03  7.41233660e+00  8.02560000e-03  2.26250000e+03  6.16400000e-09  0.00000000e+00
1.90936540e-03  7.41237803e+00  8.02630000e-03  2.24030000e+03  6.60700000e-09  0.00000000e+00
1.92845900e-03  7.41241803e+00  8.02700000e-03  2.21830000e+03  7.08000000e-09  0.00000000e+00
1.94774360e-03  7.41245659e+00  8.02770000e-03  2.19650000e+03  7.58700000e-09  0.00000000e+00
1.96722100e-03  7.41249371e+00  8.02850000e-03  2.17500000e+03  8.12800000e-09  0.00000000e+00
1.98689320e-03  7.41252940e+00  8.02920000e-03  2.15360000e+03  8.70700000e-09  0.00000000e+00
2.00676210e-03  7.41256366e+00  8.03000000e-03  2.13250000e+03  9.32500000e-09  0.00000000e+00
2.02682970e-03  7.41259647e+00  8.03070000e-03  2.11160000e+03  9.98700000e-09  0.00000000e+00
2.04709800e-03  7.41262785e+00  8.03150000e-03  2.09090000e+03  1.06900000e-08  0.00000000e+00
2.06756900e-03  7.41265779e+00  8.03220000e-03  2.07040000e+03  1.14500000e-08  0.00000000e+00
2.08824460e-03  7.41268628e+00  8.03300000e-03  2.05010000e+03  1.22600000e-08  0.00000000e+00
2.10912710e-03  7.41271331e+00  8.03380000e-03  2.03000000e+03  1.31200000e-08  0.00000000e+00
2.13021830e-03  7.41273889e+00  8.03460000e-03  2.01010000e+03  1.40400000e-08  0.00000000e+00
2.15152050e-03  7.41276299e+00  8.03540000e-03  1.99040000e+03  1.50200000e-08  0.00000000e+00
2.17303570e-03  7.41278562e+00  8.03620000e-03  1.97090000e+03  1.60700000e-08  0.00000000e+00
2.19476600e-03  7.41280676e+00  8.03700000e-03  1.95150000e+03  1.71900000e-08  0.00000000e+00
2.21671360e-03  7.41282640e+00  8.03780000e-03  1.93240000e+03  1.83900000e-08  0.00000000e+00
2.23888080e-03  7.41284454e+00  8.03870000e-03  1.91350000e+03  1.96600000e-08  0.00000000e+00
2.26126950e-03  7.41286115e+00  8.03950000e-03  1.89470000e+03  2.10200000e-08  0.00000000e+00
2.28388220e-03  7.41287623e+00  8.04040000e-03  1.87620000e+03  2.24800000e-08  0.00000000e+00
2.30672100e-03  7.41288977e+00  8.04120000e-03  1.85780000e+03  2.40300000e-08  0.00000000e+00
2.32978820e-03  7.41290174e+00  8.04210000e-03  1.83960000e+03  2.56800000e-08  0.00000000e+00
2.35308610e-03  7.41291213e+00  8.04300000e-03  1.82160000e+03  2.74500000e-08  0.00000000e+00
2.37661690e-03  7.41292094e+00  8.04390000e-03  1.80380000e+03  2.93300000e-08  0.00000000e+00
2.40038310e-03  7.41292813e+00  8.04480000e-03  1.78610000e+03  3.13300000e-08  0.00000000e+00
2.42438690e-03  7.41293369e+00  8.04570000e-03  1.76860000e+03  3.34700000e-08  0.00000000e+00
2.44863070e-03  7.41293760e+00  8.04660000e-03  1.75130000e+03  3.57500000e-08  0.00000000e+00
2.47311700e-03  7.41293985e+00  8.04750000e-03  1.73420000e+03  3.81800000e-08  0.00000000e+00
2.49784810e-03  7.41294041e+00  8.04850000e-03  1.71720000e+03  4.07700000e-08  0.00000000e+00
2.52282660e-03  7.41293927e+00  8.04940000e-03  1.70040000e+03  4.35300000e-08  0.00000000e+00
2.54805480e-03  7.41293639e+00  8.05040000e-03  1.68380000e+03  4.64700000e-08  0.00000000e+00
2.57353540e-03  7.41293176e+00  8.05130000e-03  1.66730000e+03  4.96000000e-08  0.00000000e+00
2.59927070e-03  7.41292535e+00  8.05230000e-03  1.65100000e+03  5.29300000e-08  0.00000000e+00
2.62526340e-03  7.41291715e+00  8.05330000e-03  1.63480000e+03  5.64800000e-08  0.00000000e+00
2.65151600e-03  7.41290711e+00  8.05430000e-03  1.61880000e+03  6.02600000e-08  0.00000000e+00
2.67803110e-03  7.41289523e+00  8.05530000e-03  1.60300000e+03  6.42800000e-08  0.00000000e+00
2.70481140e-03  7.41288146e+00  8.05630000e-03  1.58730000e+03  6.85700000e-08  0.00000000e+00
2.73185950e-03  7.41286579e+00  8.05730000e-03  1.57180000e+03  7.31300000e-08  0.00000000e+00
