#  Br:    Z = 35;   Atomic weight = 79.90400 g/mol ;    nominal density:   [INLINE] = 3.1100E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.32684E+02
#         E(eV) (cm2/g) = f2(e/atom)    5.26636E+05
#         9 edges. Edge energies (keV):
# K      1.34737E+01  L I    1.78200E+00  L II   1.59600E+00  L III  1.54990E+00
# M I    2.56500E-01  M II   1.89300E-01  M III  1.81500E-01  M IV   7.01000E-02
# M V    6.90000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.2007E-01, -1.3860E-01 e/atom
#         Nuclear Thomson correction fNT = -8.4102E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=35, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.14565709e+00  8.39260000e-03  4.37610000e+03  7.15700000e-11  0.00000000e+00
1.02010000e-03  8.14707196e+00  8.39300000e-03  4.33300000e+03  7.73700000e-11  0.00000000e+00
1.03030100e-03  8.14794970e+00  8.39340000e-03  4.29020000e+03  8.36200000e-11  0.00000000e+00
1.04060400e-03  8.14868725e+00  8.39370000e-03  4.24800000e+03  9.03700000e-11  0.00000000e+00
1.05101010e-03  8.14927545e+00  8.39410000e-03  4.20610000e+03  9.76400000e-11  0.00000000e+00
1.06152010e-03  8.14970850e+00  8.39450000e-03  4.16460000e+03  1.05500000e-10  0.00000000e+00
1.07213530e-03  8.15009354e+00  8.39480000e-03  4.12360000e+03  1.13900000e-10  0.00000000e+00
1.08285670e-03  8.15044060e+00  8.39520000e-03  4.08290000e+03  1.23100000e-10  0.00000000e+00
1.09368520e-03  8.15075691e+00  8.39560000e-03  4.04270000e+03  1.32900000e-10  0.00000000e+00
1.10462210e-03  8.15104784e+00  8.39600000e-03  4.00290000e+03  1.43500000e-10  0.00000000e+00
1.11566830e-03  8.15131747e+00  8.39640000e-03  3.96340000e+03  1.54900000e-10  0.00000000e+00
1.12682500e-03  8.15156895e+00  8.39680000e-03  3.92430000e+03  1.67200000e-10  0.00000000e+00
1.13809320e-03  8.15180479e+00  8.39720000e-03  3.88570000e+03  1.80400000e-10  0.00000000e+00
1.14947410e-03  8.15202702e+00  8.39760000e-03  3.84740000e+03  1.94700000e-10  0.00000000e+00
