#  Kr:    Z = 36;   Atomic weight = 83.80000 g/mol ;    nominal density:   [INLINE] = 3.4840E-03 g/cm3
#         a(barns/atom) = (cm2/g)    1.39153E+02
#         E(eV) (cm2/g) = f2(e/atom)    5.02152E+05
#         9 edges. Edge energies (keV):
# K      1.43256E+01  L I    1.92100E+00  L II   1.72720E+00  L III  1.67490E+00
# M I    2.88330E-01  M II   2.22700E-01  M III  2.13800E-01  M IV   8.89000E-02
# M V    8.89000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.3566E-01, -1.4820E-01 e/atom
#         Nuclear Thomson correction fNT = -8.4840E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=36, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.45632285e+00  8.40840000e-03  4.18050000e+03  7.67400000e-11  0.00000000e+00
1.02010000e-03  9.45788367e+00  8.40870000e-03  4.13920000e+03  8.29400000e-11  0.00000000e+00
1.03030100e-03  9.45875731e+00  8.40900000e-03  4.09840000e+03  8.96200000e-11  0.00000000e+00
1.04060400e-03  9.45952376e+00  8.40930000e-03  4.05800000e+03  9.68200000e-11  0.00000000e+00
1.05101010e-03  9.46012438e+00  8.40970000e-03  4.01800000e+03  1.04600000e-10  0.00000000e+00
1.06152010e-03  9.46055362e+00  8.41000000e-03  3.97830000e+03  1.13000000e-10  0.00000000e+00
1.07213530e-03  9.46093735e+00  8.41030000e-03  3.93910000e+03  1.22000000e-10  0.00000000e+00
1.08285670e-03  9.46128469e+00  8.41070000e-03  3.90030000e+03  1.31700000e-10  0.00000000e+00
1.09368520e-03  9.46160229e+00  8.41100000e-03  3.86180000e+03  1.42200000e-10  0.00000000e+00
1.10462210e-03  9.46189518e+00  8.41130000e-03  3.82370000e+03  1.53500000e-10  0.00000000e+00
1.11566830e-03  9.46216723e+00  8.41170000e-03  3.78600000e+03  1.65700000e-10  0.00000000e+00
1.12682500e-03  9.46242147e+00  8.41200000e-03  3.74870000e+03  1.78800000e-10  0.00000000e+00
1.13809320e-03  9.46266032e+00  8.41240000e-03  3.71170000e+03  1.92900000e-10  0.00000000e+00
1.14947410e-03  9.46288574e+00  8.41270000e-03  3.67510000e+03  2.08100000e-10  0.00000000e+00
1.16096880e-03  9.46309933e+00  8.41310000e-03  3.63890000e+03  2.24500000e-10  0.00000000e+00
1.17257850e-03  9.46330242e+00  8.41350000e-03  3.60300000e+03  2.42100000e-10  0.00000000e+00
1.18430430e-03  9.46349613e+00  8.41380000e-03  3.56750000e+03  2.61100000e-10  0.00000000e+00
1.19614730e-03  9.46368141e+00  8.41420000e-03  3.53230000e+03  2.81500000e-10  0.00000000e+00
1.20810880e-03  9.46385905e+00  8.41460000e-03  3.49750000e+03  3.03500000e-10  0.00000000e+00
1.22018990e-03  9.46402975e+00  8.41500000e-03  3.46310000e+03  3.27200000e-10  0.00000000e+00
1.23239180e-03  9.46419411e+00  8.41530000e-03  3.42890000e+03  3.52600000e-10  0.00000000e+00
1.24471570e-03  9.46435265e+00  8.41570000e-03  3.39510000e+03  3.80000000e-10  0.00000000e+00
1.25716280e-03  9.46450582e+00  8.41610000e-03  3.36170000e+03  4.09400000e-10  0.00000000e+00
1.26973440e-03  9.46465404e+00  8.41650000e-03  3.32850000e+03  4.41000000e-10  0.00000000e+00
1.28243180e-03  9.46479765e+00  8.41690000e-03  3.29570000e+03  4.75100000e-10  0.00000000e+00
