#  Rb:    Z = 37;   Atomic weight = 85.46780 g/mol ;    nominal density:   [INLINE] = 1.5290E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.41923E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.92353E+05
#         9 edges. Edge energies (keV):
# K      1.51997E+01  L I    2.06510E+00  L II   1.86390E+00  L III  1.80440E+00
# M I    3.22100E-01  M II   2.47400E-01  M III  2.38500E-01  M IV   1.11800E-01
# M V    1.10300E-01
#         Relativistic correction estimate frel (H82,3/5CL) = -2.5194E-01, -1.5840E-01 e/atom
#         Nuclear Thomson correction fNT = -8.7870E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=37, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.05836963e+01  8.00320000e-03  3.90140000e+03  7.03700000e-11  0.00000000e+00
1.02010000e-03  1.05852227e+01  8.00340000e-03  3.86290000e+03  7.60500000e-11  0.00000000e+00
1.03030100e-03  1.05860522e+01  8.00370000e-03  3.82470000e+03  8.21800000e-11  0.00000000e+00
1.04060400e-03  1.05868023e+01  8.00400000e-03  3.78700000e+03  8.87900000e-11  0.00000000e+00
1.05101010e-03  1.05872997e+01  8.00420000e-03  3.74960000e+03  9.59100000e-11  0.00000000e+00
1.06152010e-03  1.05878024e+01  8.00450000e-03  3.71260000e+03  1.03600000e-10  0.00000000e+00
1.07213530e-03  1.05881668e+01  8.00480000e-03  3.67600000e+03  1.11900000e-10  0.00000000e+00
1.08285670e-03  1.05884980e+01  8.00510000e-03  3.63980000e+03  1.20800000e-10  0.00000000e+00
1.09368520e-03  1.05888017e+01  8.00540000e-03  3.60380000e+03  1.30400000e-10  0.00000000e+00
1.10462210e-03  1.05890825e+01  8.00570000e-03  3.56830000e+03  1.40800000e-10  0.00000000e+00
1.11566830e-03  1.05893439e+01  8.00600000e-03  3.53310000e+03  1.52000000e-10  0.00000000e+00
1.12682500e-03  1.05895886e+01  8.00630000e-03  3.49820000e+03  1.64000000e-10  0.00000000e+00
1.13809320e-03  1.05898188e+01  8.00660000e-03  3.46370000e+03  1.77000000e-10  0.00000000e+00
1.14947410e-03  1.05900365e+01  8.00690000e-03  3.42960000e+03  1.90900000e-10  0.00000000e+00
1.16096880e-03  1.05902429e+01  8.00720000e-03  3.39570000e+03  2.05900000e-10  0.00000000e+00
1.17257850e-03  1.05904395e+01  8.00750000e-03  3.36230000e+03  2.22100000e-10  0.00000000e+00
1.18430430e-03  1.05906272e+01  8.00780000e-03  3.32910000e+03  2.39500000e-10  0.00000000e+00
1.19614730e-03  1.05908068e+01  8.00810000e-03  3.29630000e+03  2.58300000e-10  0.00000000e+00
1.20810880e-03  1.05909793e+01  8.00840000e-03  3.26380000e+03  2.78500000e-10  0.00000000e+00
1.22018990e-03  1.05911452e+01  8.00880000e-03  3.23160000e+03  3.00200000e-10  0.00000000e+00
1.23239180e-03  1.05913051e+01  8.00910000e-03  3.19970000e+03  3.23500000e-10  0.00000000e+00
1.24471570e-03  1.05914595e+01  8.00940000e-03  3.16820000e+03  3.48700000e-10  0.00000000e+00
1.25716280e-03  1.05916088e+01  8.00970000e-03  3.13690000e+03  3.75700000e-10  0.00000000e+00
1.26973440e-03  1.05917534e+01  8.01010000e-03  3.10600000e+03  4.04700000e-10  0.00000000e+00
1.28243180e-03  1.05918936e+01  8.01040000e-03  3.07540000e+03  4.36000000e-10  0.00000000e+00
1.29525610e-03  1.05920298e+01  8.01080000e-03  3.04500000e+03  4.69600000e-10  0.00000000e+00
1.30820860e-03  1.05921623e+01  8.01110000e-03  3.01500000e+03  5.05700000e-10  0.00000000e+00
1.32129070e-03  1.05922912e+01  8.01150000e-03  2.98530000e+03  5.44500000e-10  0.00000000e+00
1.33450360e-03  1.05924167e+01  8.01180000e-03  2.95590000e+03  5.86200000e-10  0.00000000e+00
1.34784860e-03  1.05925392e+01  8.01220000e-03  2.92670000e+03  6.31000000e-10  0.00000000e+00
1.36132710e-03  1.05926587e+01  8.01250000e-03  2.89790000e+03  6.79100000e-10  0.00000000e+00
1.37494030e-03  1.05927754e+01  8.01290000e-03  2.86930000e+03  7.30800000e-10  0.00000000e+00
1.38868970e-03  1.05928895e+01  8.01330000e-03  2.84110000e+03  7.86300000e-10  0.00000000e+00
1.40257660e-03  1.05930011e+01  8.01360000e-03  2.81310000e+03  8.46000000e-10  0.00000000e+00
1.41660240e-03  1.05931103e+01  8.01400000e-03  2.78530000e+03  9.10000000e-10  0.00000000e+00
1.43076840e-03  1.05932173e+01  8.01440000e-03  2.75790000e+03  9.78700000e-10  0.00000000e+00
1.44507600e-03  1.05933222e+01  8.01480000e-03  2.73070000e+03  1.05200000e-09  0.00000000e+00
1.45952680e-03  1.05934250e+01  8.01510000e-03  2.70380000e+03  1.13200000e-09  0.00000000e+00
1.47412200e-03  1.05935258e+01  8.01550000e-03  2.67720000e+03  1.21700000e-09  0.00000000e+00
1.48886320e-03  1.05936247e+01  8.01590000e-03  2.65080000e+03  1.30800000e-09  0.00000000e+00
1.50375190e-03  1.05937219e+01  8.01630000e-03  2.62470000e+03  1.40600000e-09  0.00000000e+00
1.51878940e-03  1.05938173e+01  8.01670000e-03  2.59880000e+03  1.51000000e-09  0.00000000e+00
1.53397720e-03  1.05939111e+01  8.01710000e-03  2.57320000e+03  1.62300000e-09  0.00000000e+00
1.54931700e-03  1.05940032e+01  8.01750000e-03  2.54790000e+03  1.74400000e-09  0.00000000e+00
1.56481020e-03  1.05940938e+01  8.01800000e-03  2.52280000e+03  1.87300000e-09  0.00000000e+00
1.58045820e-03  1.05941830e+01  8.01840000e-03  2.49790000e+03  2.01100000e-09  0.00000000e+00
1.59626280e-03  1.05942706e+01  8.01880000e-03  2.47330000e+03  2.16000000e-09  0.00000000e+00
1.61222540e-03  1.05943569e+01  8.01920000e-03  2.44900000e+03  2.31900000e-09  0.00000000e+00
1.62834770e-03  1.05944419e+01  8.01970000e-03  2.42490000e+03  2.49000000e-09  0.00000000e+00
1.64463110e-03  1.05945255e+01  8.02010000e-03  2.40100000e+03  2.67300000e-09  0.00000000e+00
1.66107740e-03  1.05946079e+01  8.02050000e-03  2.37730000e+03  2.86900000e-09  0.00000000e+00
1.67768820e-03  1.05946890e+01  8.02100000e-03  2.35390000e+03  3.07800000e-09  0.00000000e+00
1.69446500e-03  1.05947689e+01  8.02140000e-03  2.33070000e+03  3.30300000e-09  0.00000000e+00
1.71140970e-03  1.05948476e+01  8.02190000e-03  2.30780000e+03  3.54300000e-09  0.00000000e+00
1.72852380e-03  1.05949252e+01  8.02230000e-03  2.28510000e+03  3.80100000e-09  0.00000000e+00
1.74580900e-03  1.05950017e+01  8.02280000e-03  2.26260000e+03  4.07700000e-09  0.00000000e+00
1.76326710e-03  1.05950771e+01  8.02330000e-03  2.24030000e+03  4.37200000e-09  0.00000000e+00
