#  Sr:    Z = 38;   Atomic weight = 87.62000 g/mol ;    nominal density:   [INLINE] = 2.5400E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.45497E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.80259E+05
#         12 edges. Edge energies (keV):
# K      1.61046E+01  L I    2.21630E+00  L II   2.00680E+00  L III  1.93960E+00
# M I    3.57500E-01  M II   2.79800E-01  M III  2.69100E-01  M IV   1.35000E-01
# M V    1.33100E-01  N I    3.77000E-02  N II   1.99000E-02  N III  1.99000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.6890E-01, -1.6920E-01 e/atom
#         Nuclear Thomson correction fNT = -9.0407E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=38, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.83924517e+00  7.63740000e-03  3.63160000e+03  5.48200000e-11  0.00000000e+00
1.02010000e-03  6.84060462e+00  7.63770000e-03  3.59580000e+03  5.89300000e-11  0.00000000e+00
1.03030100e-03  6.84126517e+00  7.63800000e-03  3.56030000e+03  6.33500000e-11  0.00000000e+00
1.04060400e-03  6.84175428e+00  7.63820000e-03  3.52520000e+03  6.81000000e-11  0.00000000e+00
1.05101010e-03  6.84221587e+00  7.63850000e-03  3.49040000e+03  7.32000000e-11  0.00000000e+00
1.06152010e-03  6.84257307e+00  7.63880000e-03  3.45600000e+03  7.87000000e-11  0.00000000e+00
1.07213530e-03  6.84278364e+00  7.63900000e-03  3.42190000e+03  8.46100000e-11  0.00000000e+00
1.08285670e-03  6.84296091e+00  7.63930000e-03  3.38810000e+03  9.09600000e-11  0.00000000e+00
1.09368520e-03  6.84311009e+00  7.63960000e-03  3.35470000e+03  9.77900000e-11  0.00000000e+00
1.10462210e-03  6.84323518e+00  7.63990000e-03  3.32160000e+03  1.05100000e-10  0.00000000e+00
1.11566830e-03  6.84333929e+00  7.64020000e-03  3.28880000e+03  1.13000000e-10  0.00000000e+00
1.12682500e-03  6.84342489e+00  7.64050000e-03  3.25640000e+03  1.21500000e-10  0.00000000e+00
1.13809320e-03  6.84349395e+00  7.64080000e-03  3.22430000e+03  1.30700000e-10  0.00000000e+00
1.14947410e-03  6.84354808e+00  7.64110000e-03  3.19250000e+03  1.40500000e-10  0.00000000e+00
1.16096880e-03  6.84358861e+00  7.64140000e-03  3.16100000e+03  1.51000000e-10  0.00000000e+00
1.17257850e-03  6.84361663e+00  7.64170000e-03  3.12980000e+03  1.62400000e-10  0.00000000e+00
1.18430430e-03  6.84363304e+00  7.64200000e-03  3.09900000e+03  1.74600000e-10  0.00000000e+00
1.19614730e-03  6.84363860e+00  7.64230000e-03  3.06840000e+03  1.87700000e-10  0.00000000e+00
1.20810880e-03  6.84363398e+00  7.64260000e-03  3.03820000e+03  2.01800000e-10  0.00000000e+00
1.22018990e-03  6.84361970e+00  7.64290000e-03  3.00820000e+03  2.16900000e-10  0.00000000e+00
1.23239180e-03  6.84359624e+00  7.64320000e-03  2.97850000e+03  2.33200000e-10  0.00000000e+00
1.24471570e-03  6.84356399e+00  7.64350000e-03  2.94920000e+03  2.50700000e-10  0.00000000e+00
1.25716280e-03  6.84352329e+00  7.64390000e-03  2.92010000e+03  2.69400000e-10  0.00000000e+00
1.26973440e-03  6.84347443e+00  7.64420000e-03  2.89130000e+03  2.89600000e-10  0.00000000e+00
1.28243180e-03  6.84341765e+00  7.64450000e-03  2.86280000e+03  3.11300000e-10  0.00000000e+00
1.29525610e-03  6.84335317e+00  7.64490000e-03  2.83460000e+03  3.34600000e-10  0.00000000e+00
1.30820860e-03  6.84328116e+00  7.64520000e-03  2.80660000e+03  3.59600000e-10  0.00000000e+00
1.32129070e-03  6.84320178e+00  7.64550000e-03  2.77900000e+03  3.86500000e-10  0.00000000e+00
1.33450360e-03  6.84311515e+00  7.64590000e-03  2.75160000e+03  4.15300000e-10  0.00000000e+00
1.34784860e-03  6.84302138e+00  7.64620000e-03  2.72450000e+03  4.46300000e-10  0.00000000e+00
1.36132710e-03  6.84292054e+00  7.64660000e-03  2.69760000e+03  4.79600000e-10  0.00000000e+00
1.37494030e-03  6.84281272e+00  7.64690000e-03  2.67100000e+03  5.15300000e-10  0.00000000e+00
1.38868970e-03  6.84269796e+00  7.64730000e-03  2.64470000e+03  5.53600000e-10  0.00000000e+00
1.40257660e-03  6.84257630e+00  7.64770000e-03  2.61870000e+03  5.94800000e-10  0.00000000e+00
1.41660240e-03  6.84244777e+00  7.64800000e-03  2.59280000e+03  6.38900000e-10  0.00000000e+00
1.43076840e-03  6.84231238e+00  7.64840000e-03  2.56730000e+03  6.86300000e-10  0.00000000e+00
1.44507600e-03  6.84217014e+00  7.64880000e-03  2.54200000e+03  7.37200000e-10  0.00000000e+00
1.45952680e-03  6.84202104e+00  7.64910000e-03  2.51700000e+03  7.91800000e-10  0.00000000e+00
1.47412200e-03  6.84186507e+00  7.64950000e-03  2.49220000e+03  8.50300000e-10  0.00000000e+00
1.48886320e-03  6.84170220e+00  7.64990000e-03  2.46760000e+03  9.13200000e-10  0.00000000e+00
1.50375190e-03  6.84153240e+00  7.65030000e-03  2.44330000e+03  9.80600000e-10  0.00000000e+00
1.51878940e-03  6.84135563e+00  7.65070000e-03  2.41920000e+03  1.05300000e-09  0.00000000e+00
1.53397720e-03  6.84117186e+00  7.65110000e-03  2.39540000e+03  1.13000000e-09  0.00000000e+00
1.54931700e-03  6.84098101e+00  7.65150000e-03  2.37180000e+03  1.21300000e-09  0.00000000e+00
1.56481020e-03  6.84078305e+00  7.65190000e-03  2.34850000e+03  1.30300000e-09  0.00000000e+00
1.58045820e-03  6.84057789e+00  7.65230000e-03  2.32530000e+03  1.39800000e-09  0.00000000e+00
1.59626280e-03  6.84036548e+00  7.65270000e-03  2.30240000e+03  1.50100000e-09  0.00000000e+00
1.61222540e-03  6.84014573e+00  7.65310000e-03  2.27980000e+03  1.61000000e-09  0.00000000e+00
1.62834770e-03  6.83991856e+00  7.65360000e-03  2.25730000e+03  1.72800000e-09  0.00000000e+00
1.64463110e-03  6.83968389e+00  7.65400000e-03  2.23510000e+03  1.85400000e-09  0.00000000e+00
1.66107740e-03  6.83944163e+00  7.65440000e-03  2.21310000e+03  1.98900000e-09  0.00000000e+00
1.67768820e-03  6.83919166e+00  7.65490000e-03  2.19130000e+03  2.13400000e-09  0.00000000e+00
1.69446500e-03  6.83893391e+00  7.65530000e-03  2.16970000e+03  2.28900000e-09  0.00000000e+00
1.71140970e-03  6.83866825e+00  7.65570000e-03  2.14840000e+03  2.45500000e-09  0.00000000e+00
1.72852380e-03  6.83839457e+00  7.65620000e-03  2.12720000e+03  2.63300000e-09  0.00000000e+00
1.74580900e-03  6.83811277e+00  7.65670000e-03  2.10630000e+03  2.82300000e-09  0.00000000e+00
1.76326710e-03  6.83782271e+00  7.65710000e-03  2.08560000e+03  3.02700000e-09  0.00000000e+00
1.78089970e-03  6.83752428e+00  7.65760000e-03  2.06500000e+03  3.24600000e-09  0.00000000e+00
1.79870870e-03  6.83721734e+00  7.65800000e-03  2.04470000e+03  3.47900000e-09  0.00000000e+00
1.81669580e-03  6.83690175e+00  7.65850000e-03  2.02460000e+03  3.73000000e-09  0.00000000e+00
1.83486270e-03  6.83657739e+00  7.65900000e-03  2.00470000e+03  3.99700000e-09  0.00000000e+00
1.85321130e-03  6.83624410e+00  7.65950000e-03  1.98500000e+03  4.28400000e-09  0.00000000e+00
1.87174340e-03  6.83590173e+00  7.66000000e-03  1.96540000e+03  4.59000000e-09  0.00000000e+00
1.89046080e-03  6.83555014e+00  7.66050000e-03  1.94610000e+03  4.91800000e-09  0.00000000e+00
1.90936540e-03  6.83518916e+00  7.66100000e-03  1.92690000e+03  5.26900000e-09  0.00000000e+00
1.92845900e-03  6.83481864e+00  7.66150000e-03  1.90800000e+03  5.64400000e-09  0.00000000e+00
1.94774360e-03  6.83443840e+00  7.66200000e-03  1.88920000e+03  6.04600000e-09  0.00000000e+00
1.96722100e-03  6.83404827e+00  7.66250000e-03  1.87060000e+03  6.47500000e-09  0.00000000e+00
1.98689320e-03  6.83364808e+00  7.66300000e-03  1.85220000e+03  6.93400000e-09  0.00000000e+00
2.00676210e-03  6.83323765e+00  7.66350000e-03  1.83400000e+03  7.42400000e-09  0.00000000e+00
2.02682970e-03  6.83281679e+00  7.66400000e-03  1.81600000e+03  7.94800000e-09  0.00000000e+00
2.04709800e-03  6.83238530e+00  7.66460000e-03  1.79810000e+03  8.50900000e-09  0.00000000e+00
2.06756900e-03  6.83194300e+00  7.66510000e-03  1.78050000e+03  9.10700000e-09  0.00000000e+00
2.08824460e-03  6.83148968e+00  7.66570000e-03  1.76300000e+03  9.74700000e-09  0.00000000e+00
2.10912710e-03  6.83102514e+00  7.66620000e-03  1.74560000e+03  1.04300000e-08  0.00000000e+00
2.13021830e-03  6.83054916e+00  7.66680000e-03  1.72850000e+03  1.11600000e-08  0.00000000e+00
2.15152050e-03  6.83006153e+00  7.66730000e-03  1.71150000e+03  1.19400000e-08  0.00000000e+00
2.17303570e-03  6.82956202e+00  7.66790000e-03  1.69470000e+03  1.27700000e-08  0.00000000e+00
2.19476600e-03  6.82905042e+00  7.66850000e-03  1.67800000e+03  1.36600000e-08  0.00000000e+00
2.21671360e-03  6.82852647e+00  7.66910000e-03  1.66150000e+03  1.46100000e-08  0.00000000e+00
2.23888080e-03  6.82798996e+00  7.66960000e-03  1.64520000e+03  1.56300000e-08  0.00000000e+00
2.26126950e-03  6.82744062e+00  7.67020000e-03  1.62900000e+03  1.67100000e-08  0.00000000e+00
2.28388220e-03  6.82687822e+00  7.67080000e-03  1.61300000e+03  1.78600000e-08  0.00000000e+00
2.30672100e-03  6.82630249e+00  7.67140000e-03  1.59720000e+03  1.90900000e-08  0.00000000e+00
2.32978820e-03  6.82571318e+00  7.67200000e-03  1.58150000e+03  2.04100000e-08  0.00000000e+00
2.35308610e-03  6.82511001e+00  7.67270000e-03  1.56600000e+03  2.18100000e-08  0.00000000e+00
2.37661690e-03  6.82449271e+00  7.67330000e-03  1.55060000e+03  2.33100000e-08  0.00000000e+00
2.40038310e-03  6.82386101e+00  7.67390000e-03  1.53540000e+03  2.49000000e-08  0.00000000e+00
2.42438690e-03  6.82321460e+00  7.67460000e-03  1.52030000e+03  2.66000000e-08  0.00000000e+00
2.44863070e-03  6.82255320e+00  7.67520000e-03  1.50540000e+03  2.84200000e-08  0.00000000e+00
2.47311700e-03  6.82187650e+00  7.67580000e-03  1.49060000e+03  3.03500000e-08  0.00000000e+00
2.49784810e-03  6.82118421e+00  7.67650000e-03  1.47600000e+03  3.24100000e-08  0.00000000e+00
2.52282660e-03  6.82047599e+00  7.67720000e-03  1.46150000e+03  3.46100000e-08  0.00000000e+00
2.54805480e-03  6.81975154e+00  7.67780000e-03  1.44710000e+03  3.69500000e-08  0.00000000e+00
2.57353540e-03  6.81901051e+00  7.67850000e-03  1.43290000e+03  3.94500000e-08  0.00000000e+00
2.59927070e-03  6.81825258e+00  7.67920000e-03  1.41890000e+03  4.21100000e-08  0.00000000e+00
2.62526340e-03  6.81747739e+00  7.67990000e-03  1.40490000e+03  4.49400000e-08  0.00000000e+00
2.65151600e-03  6.81668459e+00  7.68060000e-03  1.39120000e+03  4.79600000e-08  0.00000000e+00
2.67803110e-03  6.81587383e+00  7.68130000e-03  1.37750000e+03  5.11700000e-08  0.00000000e+00
2.70481140e-03  6.81504472e+00  7.68200000e-03  1.36400000e+03  5.45900000e-08  0.00000000e+00
2.73185950e-03  6.81419691e+00  7.68270000e-03  1.35060000e+03  5.82400000e-08  0.00000000e+00
2.75917810e-03  6.81332998e+00  7.68340000e-03  1.33740000e+03  6.21200000e-08  0.00000000e+00
2.78676980e-03  6.81244356e+00  7.68420000e-03  1.32430000e+03  6.62400000e-08  0.00000000e+00
2.81463750e-03  6.81153723e+00  7.68490000e-03  1.31130000e+03  7.06400000e-08  0.00000000e+00
2.84278380e-03  6.81061058e+00  7.68570000e-03  1.29840000e+03  7.53100000e-08  0.00000000e+00
2.87121160e-03  6.80966319e+00  7.68640000e-03  1.28570000e+03  8.02900000e-08  0.00000000e+00
2.89992370e-03  6.80869463e+00  7.68720000e-03  1.27310000e+03  8.55800000e-08  0.00000000e+00
2.92892290e-03  6.80770444e+00  7.68800000e-03  1.26060000e+03  9.12100000e-08  0.00000000e+00
2.95821210e-03  6.80669218e+00  7.68880000e-03  1.24830000e+03  9.72000000e-08  0.00000000e+00
2.98779420e-03  6.80565738e+00  7.68950000e-03  1.23600000e+03  1.03600000e-07  0.00000000e+00
3.01767220e-03  6.80459957e+00  7.69030000e-03  1.22390000e+03  1.10300000e-07  0.00000000e+00
3.04784880e-03  6.80351827e+00  7.69110000e-03  1.21190000e+03  1.17500000e-07  0.00000000e+00
3.07832730e-03  6.80241296e+00  7.69200000e-03  1.20000000e+03  1.25200000e-07  0.00000000e+00
3.10911050e-03  6.80128315e+00  7.69280000e-03  1.18830000e+03  1.33300000e-07  0.00000000e+00
3.14020160e-03  6.80012832e+00  7.69360000e-03  1.17670000e+03  1.42000000e-07  0.00000000e+00
3.17160360e-03  6.79894793e+00  7.69450000e-03  1.16510000e+03  1.51200000e-07  0.00000000e+00
3.20331960e-03  6.79774144e+00  7.69530000e-03  1.15370000e+03  1.60900000e-07  0.00000000e+00
3.23535280e-03  6.79650828e+00  7.69620000e-03  1.14240000e+03  1.71300000e-07  0.00000000e+00
3.26770630e-03  6.79524790e+00  7.69700000e-03  1.13120000e+03  1.82300000e-07  0.00000000e+00
3.30038330e-03  6.79395970e+00  7.69790000e-03  1.12020000e+03  1.94000000e-07  0.00000000e+00
3.33338710e-03  6.79264309e+00  7.69880000e-03  1.10920000e+03  2.06400000e-07  0.00000000e+00
3.36672100e-03  6.79129746e+00  7.69970000e-03  1.09840000e+03  2.19600000e-07  0.00000000e+00
3.40038810e-03  6.78992218e+00  7.70060000e-03  1.08760000e+03  2.33600000e-07  0.00000000e+00
3.43439200e-03  6.78851660e+00  7.70150000e-03  1.07700000e+03  2.48500000e-07  0.00000000e+00
3.46873590e-03  6.78708008e+00  7.70240000e-03  1.06640000e+03  2.64200000e-07  0.00000000e+00
3.50342320e-03  6.78561194e+00  7.70340000e-03  1.05600000e+03  2.81000000e-07  0.00000000e+00
3.53845740e-03  6.78411150e+00  7.70430000e-03  1.04570000e+03  2.98700000e-07  0.00000000e+00
3.57384190e-03  6.78257804e+00  7.70530000e-03  1.03540000e+03  3.17600000e-07  0.00000000e+00
3.60958030e-03  6.78101085e+00  7.70620000e-03  1.02530000e+03  3.37600000e-07  0.00000000e+00
3.64567610e-03  6.77940920e+00  7.70720000e-03  1.01530000e+03  3.58800000e-07  0.00000000e+00
3.68213280e-03  6.77777232e+00  7.70820000e-03  1.00540000e+03  3.81200000e-07  0.00000000e+00
3.71895410e-03  6.77609944e+00  7.70920000e-03  9.95550000e+02  4.05100000e-07  0.00000000e+00
3.75614360e-03  6.77438977e+00  7.71020000e-03  9.85820000e+02  4.30300000e-07  0.00000000e+00
3.79370500e-03  6.77264249e+00  7.71120000e-03  9.76190000e+02  4.57100000e-07  0.00000000e+00
3.83164200e-03  6.77085679e+00  7.71220000e-03  9.66650000e+02  4.85500000e-07  0.00000000e+00
3.86995840e-03  6.76903179e+00  7.71330000e-03  9.57210000e+02  5.15600000e-07  0.00000000e+00
3.90865800e-03  6.76716664e+00  7.71430000e-03  9.47860000e+02  5.47500000e-07  0.00000000e+00
3.94774450e-03  6.76526043e+00  7.71540000e-03  9.38610000e+02  5.81300000e-07  0.00000000e+00
3.98722190e-03  6.76331225e+00  7.71640000e-03  9.29440000e+02  6.17100000e-07  0.00000000e+00
