#  Y:    Z = 39;   Atomic weight = 88.90590 g/mol ;    nominal density:   [INLINE] = 4.4560E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.47632E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.73313E+05
#         12 edges. Edge energies (keV):
# K      1.70384E+01  L I    2.37250E+00  L II   2.15550E+00  L III  2.08000E+00
# M I    3.93600E-01  M II   3.12400E-01  M III  3.00300E-01  M IV   1.59600E-01
# M V    1.57400E-01  N I    4.54000E-02  N II   2.56000E-02  N III  2.56000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.8657E-01, -1.8000E-01 e/atom
#         Nuclear Thomson correction fNT = -9.3851E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=39, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.47921267e+00  7.54620000e-03  3.53630000e+03  5.43000000e-11  0.00000000e+00
1.02010000e-03  9.48071965e+00  7.54650000e-03  3.50150000e+03  5.85800000e-11  0.00000000e+00
1.03030100e-03  9.48148948e+00  7.54690000e-03  3.46700000e+03  6.31900000e-11  0.00000000e+00
1.04060400e-03  9.48208274e+00  7.54720000e-03  3.43280000e+03  6.81600000e-11  0.00000000e+00
1.05101010e-03  9.48265487e+00  7.54750000e-03  3.39900000e+03  7.35100000e-11  0.00000000e+00
1.06152010e-03  9.48303305e+00  7.54790000e-03  3.36550000e+03  7.92800000e-11  0.00000000e+00
1.07213530e-03  9.48343076e+00  7.54820000e-03  3.33230000e+03  8.54900000e-11  0.00000000e+00
1.08285670e-03  9.48370730e+00  7.54860000e-03  3.29950000e+03  9.21900000e-11  0.00000000e+00
1.09368520e-03  9.48395685e+00  7.54890000e-03  3.26690000e+03  9.94000000e-11  0.00000000e+00
1.10462210e-03  9.48418363e+00  7.54930000e-03  3.23480000e+03  1.07200000e-10  0.00000000e+00
1.11566830e-03  9.48439090e+00  7.54970000e-03  3.20290000e+03  1.15500000e-10  0.00000000e+00
1.12682500e-03  9.48458127e+00  7.55000000e-03  3.17130000e+03  1.24500000e-10  0.00000000e+00
1.13809320e-03  9.48475680e+00  7.55040000e-03  3.14010000e+03  1.34200000e-10  0.00000000e+00
1.14947410e-03  9.48491920e+00  7.55080000e-03  3.10910000e+03  1.44700000e-10  0.00000000e+00
1.16096880e-03  9.48506985e+00  7.55110000e-03  3.07850000e+03  1.55900000e-10  0.00000000e+00
1.17257850e-03  9.48520993e+00  7.55150000e-03  3.04820000e+03  1.68000000e-10  0.00000000e+00
1.18430430e-03  9.48534040e+00  7.55190000e-03  3.01820000e+03  1.81100000e-10  0.00000000e+00
1.19614730e-03  9.48546210e+00  7.55230000e-03  2.98840000e+03  1.95100000e-10  0.00000000e+00
1.20810880e-03  9.48557574e+00  7.55270000e-03  2.95900000e+03  2.10200000e-10  0.00000000e+00
1.22018990e-03  9.48568192e+00  7.55310000e-03  2.92990000e+03  2.26400000e-10  0.00000000e+00
1.23239180e-03  9.48578117e+00  7.55350000e-03  2.90100000e+03  2.43900000e-10  0.00000000e+00
1.24471570e-03  9.48587394e+00  7.55390000e-03  2.87240000e+03  2.62600000e-10  0.00000000e+00
1.25716280e-03  9.48596064e+00  7.55430000e-03  2.84410000e+03  2.82800000e-10  0.00000000e+00
1.26973440e-03  9.48604160e+00  7.55470000e-03  2.81610000e+03  3.04600000e-10  0.00000000e+00
1.28243180e-03  9.48611714e+00  7.55510000e-03  2.78840000e+03  3.27900000e-10  0.00000000e+00
1.29525610e-03  9.48618752e+00  7.55560000e-03  2.76100000e+03  3.53000000e-10  0.00000000e+00
1.30820860e-03  9.48625299e+00  7.55600000e-03  2.73380000e+03  3.80000000e-10  0.00000000e+00
1.32129070e-03  9.48631375e+00  7.55640000e-03  2.70690000e+03  4.09000000e-10  0.00000000e+00
1.33450360e-03  9.48637000e+00  7.55690000e-03  2.68020000e+03  4.40200000e-10  0.00000000e+00
