#  Zr:    Z = 40;   Atomic weight = 91.22000 g/mol ;    nominal density:   [INLINE] = 6.4940E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.51474E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.61306E+05
#         13 edges. Edge energies (keV):
# K      1.79976E+01  L I    2.53160E+00  L II   2.30670E+00  L III  2.22230E+00
# M I    4.30300E-01  M II   3.44200E-01  M III  3.30500E-01  M IV   1.82400E-01
# M V    1.80000E-01  N I    5.13000E-02  N II   2.87000E-02  N III  2.87000E-02
# N IV   4.02345E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.0496E-01, -1.9140E-01 e/atom
#         Nuclear Thomson correction fNT = -9.6221E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=40, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.22435858e+00  2.04130000e-02  9.32360000e+03  5.82200000e-11  0.00000000e+00
1.02010000e-03  8.22804938e+00  2.04180000e-02  9.23350000e+03  6.29000000e-11  0.00000000e+00
1.03030100e-03  8.22989856e+00  2.04230000e-02  9.14430000e+03  6.79500000e-11  0.00000000e+00
1.04060400e-03  8.23126216e+00  2.04280000e-02  9.05600000e+03  7.34000000e-11  0.00000000e+00
1.05101010e-03  8.23202896e+00  2.04330000e-02  8.96860000e+03  7.92700000e-11  0.00000000e+00
1.06152010e-03  8.23262274e+00  2.04390000e-02  8.88200000e+03  8.56100000e-11  0.00000000e+00
1.07213530e-03  8.23295440e+00  2.04440000e-02  8.79630000e+03  9.24300000e-11  0.00000000e+00
1.08285670e-03  8.23315662e+00  2.04490000e-02  8.71150000e+03  9.98000000e-11  0.00000000e+00
1.09368520e-03  8.23325450e+00  2.04540000e-02  8.62750000e+03  1.07700000e-10  0.00000000e+00
1.10462210e-03  8.23326545e+00  2.04600000e-02  8.54430000e+03  1.16300000e-10  0.00000000e+00
1.11566830e-03  8.23320204e+00  2.04650000e-02  8.46200000e+03  1.25500000e-10  0.00000000e+00
1.12682500e-03  8.23307361e+00  2.04710000e-02  8.38040000e+03  1.35400000e-10  0.00000000e+00
1.13809320e-03  8.23288728e+00  2.04760000e-02  8.29970000e+03  1.46100000e-10  0.00000000e+00
1.14947410e-03  8.23264856e+00  2.04820000e-02  8.21980000e+03  1.57600000e-10  0.00000000e+00
1.16096880e-03  8.23236182e+00  2.04880000e-02  8.14070000e+03  1.70000000e-10  0.00000000e+00
1.17257850e-03  8.23203051e+00  2.04930000e-02  8.06230000e+03  1.83400000e-10  0.00000000e+00
1.18430430e-03  8.23165742e+00  2.04990000e-02  7.98480000e+03  1.97800000e-10  0.00000000e+00
1.19614730e-03  8.23124479e+00  2.05050000e-02  7.90800000e+03  2.13300000e-10  0.00000000e+00
1.20810880e-03  8.23079446e+00  2.05110000e-02  7.83190000e+03  2.29900000e-10  0.00000000e+00
1.22018990e-03  8.23030790e+00  2.05170000e-02  7.75670000e+03  2.47900000e-10  0.00000000e+00
1.23239180e-03  8.22978632e+00  2.05230000e-02  7.68210000e+03  2.67200000e-10  0.00000000e+00
1.24471570e-03  8.22923069e+00  2.05290000e-02  7.60830000e+03  2.88000000e-10  0.00000000e+00
1.25716280e-03  8.22864179e+00  2.05350000e-02  7.53530000e+03  3.10300000e-10  0.00000000e+00
1.26973440e-03  8.22802022e+00  2.05420000e-02  7.46290000e+03  3.34400000e-10  0.00000000e+00
1.28243180e-03  8.22736646e+00  2.05480000e-02  7.39130000e+03  3.60200000e-10  0.00000000e+00
1.29525610e-03  8.22668085e+00  2.05540000e-02  7.32040000e+03  3.88000000e-10  0.00000000e+00
1.30820860e-03  8.22596363e+00  2.05610000e-02  7.25020000e+03  4.17900000e-10  0.00000000e+00
1.32129070e-03  8.22521496e+00  2.05670000e-02  7.18070000e+03  4.50100000e-10  0.00000000e+00
1.33450360e-03  8.22443489e+00  2.05740000e-02  7.11190000e+03  4.84600000e-10  0.00000000e+00
1.34784860e-03  8.22362342e+00  2.05810000e-02  7.04380000e+03  5.21800000e-10  0.00000000e+00
1.36132710e-03  8.22278048e+00  2.05870000e-02  6.97630000e+03  5.61700000e-10  0.00000000e+00
1.37494030e-03  8.22191281e+00  2.05940000e-02  6.90950000e+03  6.04600000e-10  0.00000000e+00
1.38868970e-03  8.22100651e+00  2.06010000e-02  6.84340000e+03  6.50600000e-10  0.00000000e+00
1.40257660e-03  8.22006816e+00  2.06080000e-02  6.77800000e+03  7.00100000e-10  0.00000000e+00
1.41660240e-03  8.21909745e+00  2.06150000e-02  6.71320000e+03  7.53300000e-10  0.00000000e+00
1.43076840e-03  8.21809405e+00  2.06220000e-02  6.64900000e+03  8.10400000e-10  0.00000000e+00
1.44507600e-03  8.21705757e+00  2.06290000e-02  6.58550000e+03  8.71700000e-10  0.00000000e+00
1.45952680e-03  8.21598757e+00  2.06370000e-02  6.52260000e+03  9.37500000e-10  0.00000000e+00
1.47412200e-03  8.21488361e+00  2.06440000e-02  6.46030000e+03  1.00800000e-09  0.00000000e+00
1.48886320e-03  8.21374516e+00  2.06520000e-02  6.39860000e+03  1.08400000e-09  0.00000000e+00
1.50375190e-03  8.21257169e+00  2.06590000e-02  6.33760000e+03  1.16500000e-09  0.00000000e+00
