#  Nb:    Z = 41;   Atomic weight = 92.90640 g/mol ;    nominal density:   [INLINE] = 8.5500E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.54275E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.52932E+05
#         13 edges. Edge energies (keV):
# K      1.89856E+01  L I    2.69770E+00  L II   2.46470E+00  L III  2.37050E+00
# M I    4.68400E-01  M II   3.78400E-01  M III  3.63000E-01  M IV   2.07400E-01
# M V    2.04600E-01  N I    5.81000E-02  N II   3.39000E-02  N III  3.39000E-02
# N IV   3.20000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.2408E-01, -2.0280E-01 e/atom
#         Nuclear Thomson correction fNT = -9.9257E-03 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=41, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.48387289e+00  4.09510000e-02  1.83650000e+04  8.93900000e-11  0.00000000e+00
1.02010000e-03  7.49089543e+00  4.09630000e-02  1.81880000e+04  9.65400000e-11  0.00000000e+00
1.03030100e-03  7.49459143e+00  4.09750000e-02  1.80130000e+04  1.04200000e-10  0.00000000e+00
1.04060400e-03  7.49695487e+00  4.09870000e-02  1.78400000e+04  1.12500000e-10  0.00000000e+00
1.05101010e-03  7.49827548e+00  4.09990000e-02  1.76690000e+04  1.21500000e-10  0.00000000e+00
1.06152010e-03  7.49915721e+00  4.10120000e-02  1.74990000e+04  1.31100000e-10  0.00000000e+00
1.07213530e-03  7.49955412e+00  4.10240000e-02  1.73310000e+04  1.41500000e-10  0.00000000e+00
1.08285670e-03  7.49966726e+00  4.10370000e-02  1.71650000e+04  1.52700000e-10  0.00000000e+00
1.09368520e-03  7.49955221e+00  4.10500000e-02  1.70000000e+04  1.64700000e-10  0.00000000e+00
1.10462210e-03  7.49924875e+00  4.10620000e-02  1.68370000e+04  1.77700000e-10  0.00000000e+00
1.11566830e-03  7.49878055e+00  4.10750000e-02  1.66760000e+04  1.91700000e-10  0.00000000e+00
1.12682500e-03  7.49816926e+00  4.10890000e-02  1.65160000e+04  2.06700000e-10  0.00000000e+00
1.13809320e-03  7.49742987e+00  4.11020000e-02  1.63580000e+04  2.22900000e-10  0.00000000e+00
1.14947410e-03  7.49657384e+00  4.11160000e-02  1.62010000e+04  2.40300000e-10  0.00000000e+00
1.16096880e-03  7.49561010e+00  4.11290000e-02  1.60460000e+04  2.59100000e-10  0.00000000e+00
1.17257850e-03  7.49454562e+00  4.11430000e-02  1.58920000e+04  2.79200000e-10  0.00000000e+00
1.18430430e-03  7.49338592e+00  4.11570000e-02  1.57400000e+04  3.00900000e-10  0.00000000e+00
1.19614730e-03  7.49213537e+00  4.11710000e-02  1.55900000e+04  3.24200000e-10  0.00000000e+00
1.20810880e-03  7.49079740e+00  4.11860000e-02  1.54410000e+04  3.49300000e-10  0.00000000e+00
1.22018990e-03  7.48937474e+00  4.12000000e-02  1.52940000e+04  3.76300000e-10  0.00000000e+00
1.23239180e-03  7.48786947e+00  4.12150000e-02  1.51480000e+04  4.05300000e-10  0.00000000e+00
1.24471570e-03  7.48628320e+00  4.12300000e-02  1.50030000e+04  4.36500000e-10  0.00000000e+00
1.25716280e-03  7.48461711e+00  4.12450000e-02  1.48600000e+04  4.70100000e-10  0.00000000e+00
1.26973440e-03  7.48287200e+00  4.12610000e-02  1.47180000e+04  5.06100000e-10  0.00000000e+00
1.28243180e-03  7.48104838e+00  4.12760000e-02  1.45780000e+04  5.44800000e-10  0.00000000e+00
1.29525610e-03  7.47914648e+00  4.12920000e-02  1.44390000e+04  5.86400000e-10  0.00000000e+00
1.30820860e-03  7.47716628e+00  4.13080000e-02  1.43020000e+04  6.31100000e-10  0.00000000e+00
1.32129070e-03  7.47510756e+00  4.13240000e-02  1.41660000e+04  6.79100000e-10  0.00000000e+00
1.33450360e-03  7.47296989e+00  4.13400000e-02  1.40310000e+04  7.30700000e-10  0.00000000e+00
1.34784860e-03  7.47075268e+00  4.13570000e-02  1.38970000e+04  7.86000000e-10  0.00000000e+00
1.36132710e-03  7.46845515e+00  4.13730000e-02  1.37650000e+04  8.45500000e-10  0.00000000e+00
1.37494030e-03  7.46607640e+00  4.13900000e-02  1.36350000e+04  9.09300000e-10  0.00000000e+00
1.38868970e-03  7.46361535e+00  4.14070000e-02  1.35050000e+04  9.77700000e-10  0.00000000e+00
1.40257660e-03  7.46107081e+00  4.14250000e-02  1.33770000e+04  1.05100000e-09  0.00000000e+00
1.41660240e-03  7.45844143e+00  4.14420000e-02  1.32500000e+04  1.13000000e-09  0.00000000e+00
1.43076840e-03  7.45572577e+00  4.14600000e-02  1.31250000e+04  1.21500000e-09  0.00000000e+00
1.44507600e-03  7.45292222e+00  4.14780000e-02  1.30010000e+04  1.30600000e-09  0.00000000e+00
1.45952680e-03  7.45002908e+00  4.14970000e-02  1.28780000e+04  1.40300000e-09  0.00000000e+00
1.47412200e-03  7.44704452e+00  4.15150000e-02  1.27560000e+04  1.50700000e-09  0.00000000e+00
1.48886320e-03  7.44396656e+00  4.15340000e-02  1.26350000e+04  1.61900000e-09  0.00000000e+00
1.50375190e-03  7.44079313e+00  4.15530000e-02  1.25160000e+04  1.73900000e-09  0.00000000e+00
1.51878940e-03  7.43752203e+00  4.15730000e-02  1.23980000e+04  1.86800000e-09  0.00000000e+00
1.53397720e-03  7.43415090e+00  4.15920000e-02  1.22810000e+04  2.00600000e-09  0.00000000e+00
1.54931700e-03  7.43067730e+00  4.16120000e-02  1.21650000e+04  2.15400000e-09  0.00000000e+00
1.56481020e-03  7.42709862e+00  4.16320000e-02  1.20500000e+04  2.31200000e-09  0.00000000e+00
1.58045820e-03  7.42341213e+00  4.16530000e-02  1.19370000e+04  2.48200000e-09  0.00000000e+00
1.59626280e-03  7.41961494e+00  4.16740000e-02  1.18250000e+04  2.66400000e-09  0.00000000e+00
1.61222540e-03  7.41570404e+00  4.16950000e-02  1.17140000e+04  2.85800000e-09  0.00000000e+00
1.62834770e-03  7.41167625e+00  4.17160000e-02  1.16040000e+04  3.06700000e-09  0.00000000e+00
1.64463110e-03  7.40752823e+00  4.17380000e-02  1.14950000e+04  3.29000000e-09  0.00000000e+00
1.66107740e-03  7.40325648e+00  4.17600000e-02  1.13870000e+04  3.52900000e-09  0.00000000e+00
1.67768820e-03  7.39885732e+00  4.17820000e-02  1.12800000e+04  3.78500000e-09  0.00000000e+00
1.69446500e-03  7.39432690e+00  4.18050000e-02  1.11750000e+04  4.05900000e-09  0.00000000e+00
1.71140970e-03  7.38966117e+00  4.18280000e-02  1.10700000e+04  4.35200000e-09  0.00000000e+00
1.72852380e-03  7.38485586e+00  4.18520000e-02  1.09670000e+04  4.66600000e-09  0.00000000e+00
1.74580900e-03  7.37990652e+00  4.18760000e-02  1.08640000e+04  5.00200000e-09  0.00000000e+00
1.76326710e-03  7.37480845e+00  4.19000000e-02  1.07630000e+04  5.36100000e-09  0.00000000e+00
1.78089970e-03  7.36955672e+00  4.19250000e-02  1.06630000e+04  5.74500000e-09  0.00000000e+00
1.79870870e-03  7.36414614e+00  4.19500000e-02  1.05630000e+04  6.15500000e-09  0.00000000e+00
1.81669580e-03  7.35857124e+00  4.19750000e-02  1.04650000e+04  6.59500000e-09  0.00000000e+00
1.83486270e-03  7.35282630e+00  4.20010000e-02  1.03680000e+04  7.06400000e-09  0.00000000e+00
1.85321130e-03  7.34690524e+00  4.20270000e-02  1.02720000e+04  7.56600000e-09  0.00000000e+00
1.87174340e-03  7.34080170e+00  4.20540000e-02  1.01760000e+04  8.10300000e-09  0.00000000e+00
1.89046080e-03  7.33450894e+00  4.20820000e-02  1.00820000e+04  8.67600000e-09  0.00000000e+00
1.90936540e-03  7.32801984e+00  4.21090000e-02  9.98900000e+03  9.28900000e-09  0.00000000e+00
1.92845900e-03  7.32132691e+00  4.21380000e-02  9.89680000e+03  9.94300000e-09  0.00000000e+00
1.94774360e-03  7.31442220e+00  4.21670000e-02  9.80550000e+03  1.06400000e-08  0.00000000e+00
