#  Mo:    Z = 42;   Atomic weight = 95.94000 g/mol ;    nominal density:   [INLINE] = 1.0200E+01 g/cm3
#         a(barns/atom) = (cm2/g)    1.59312E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.38611E+05
#         14 edges. Edge energies (keV):
# K      1.99995E+01  L I    2.86550E+00  L II   2.62510E+00  L III  2.52020E+00
# M I    5.04600E-01  M II   4.09700E-01  M III  3.92300E-01  M IV   2.30300E-01
# M V    2.27000E-01  N I    6.18000E-02  N II   3.48000E-02  N III  3.48000E-02
# N IV   1.80000E-03  N V    1.80000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.4394E-01, -2.1540E-01 e/atom
#         Nuclear Thomson correction fNT = -1.0086E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=42, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.93061936e+00  8.20200000e-02  3.56180000e+04  1.32700000e-10  0.00000000e+00
1.02010000e-03  2.94278149e+00  8.20510000e-02  3.52790000e+04  1.43200000e-10  0.00000000e+00
1.03030100e-03  2.94803041e+00  8.20830000e-02  3.49440000e+04  1.54400000e-10  0.00000000e+00
1.04060400e-03  2.95035487e+00  8.21160000e-02  3.46120000e+04  1.66600000e-10  0.00000000e+00
1.05101010e-03  2.95067109e+00  8.21500000e-02  3.42830000e+04  1.79600000e-10  0.00000000e+00
1.06152010e-03  2.94991205e+00  8.21840000e-02  3.39580000e+04  1.93700000e-10  0.00000000e+00
1.07213530e-03  2.94815123e+00  8.22180000e-02  3.36360000e+04  2.08800000e-10  0.00000000e+00
1.08285670e-03  2.94570243e+00  8.22540000e-02  3.33170000e+04  2.25100000e-10  0.00000000e+00
1.09368520e-03  2.94267804e+00  8.22900000e-02  3.30010000e+04  2.42600000e-10  0.00000000e+00
1.10462210e-03  2.93915270e+00  8.23270000e-02  3.26890000e+04  2.61400000e-10  0.00000000e+00
1.11566830e-03  2.93517738e+00  8.23650000e-02  3.23810000e+04  2.81700000e-10  0.00000000e+00
1.12682500e-03  2.93078741e+00  8.24030000e-02  3.20750000e+04  3.03500000e-10  0.00000000e+00
1.13809320e-03  2.92600726e+00  8.24430000e-02  3.17730000e+04  3.26900000e-10  0.00000000e+00
1.14947410e-03  2.92085351e+00  8.24830000e-02  3.14730000e+04  3.52100000e-10  0.00000000e+00
1.16096880e-03  2.91533689e+00  8.25240000e-02  3.11780000e+04  3.79200000e-10  0.00000000e+00
1.17257850e-03  2.90946350e+00  8.25670000e-02  3.08850000e+04  4.08300000e-10  0.00000000e+00
1.18430430e-03  2.90323574e+00  8.26100000e-02  3.05950000e+04  4.39500000e-10  0.00000000e+00
1.19614730e-03  2.89665295e+00  8.26550000e-02  3.03080000e+04  4.73100000e-10  0.00000000e+00
1.20810880e-03  2.88971177e+00  8.27010000e-02  3.00250000e+04  5.09200000e-10  0.00000000e+00
1.22018990e-03  2.88240650e+00  8.27480000e-02  2.97450000e+04  5.48000000e-10  0.00000000e+00
1.23239180e-03  2.87472922e+00  8.27960000e-02  2.94670000e+04  5.89600000e-10  0.00000000e+00
1.24471570e-03  2.86666998e+00  8.28460000e-02  2.91930000e+04  6.34300000e-10  0.00000000e+00
1.25716280e-03  2.85821675e+00  8.28980000e-02  2.89220000e+04  6.82400000e-10  0.00000000e+00
1.26973440e-03  2.84935552e+00  8.29510000e-02  2.86540000e+04  7.33900000e-10  0.00000000e+00
1.28243180e-03  2.84007017e+00  8.30060000e-02  2.83890000e+04  7.89200000e-10  0.00000000e+00
1.29525610e-03  2.83034245e+00  8.30630000e-02  2.81280000e+04  8.48600000e-10  0.00000000e+00
1.30820860e-03  2.82015177e+00  8.31220000e-02  2.78690000e+04  9.12400000e-10  0.00000000e+00
1.32129070e-03  2.80947454e+00  8.31830000e-02  2.76130000e+04  9.80700000e-10  0.00000000e+00
1.33450360e-03  2.79828607e+00  8.32470000e-02  2.73610000e+04  1.05400000e-09  0.00000000e+00
1.34784860e-03  2.78655708e+00  8.33140000e-02  2.71120000e+04  1.13300000e-09  0.00000000e+00
1.36132710e-03  2.77425552e+00  8.33830000e-02  2.68660000e+04  1.21700000e-09  0.00000000e+00
