#  Tc:    Z = 43;   Atomic weight = 98.00000 g/mol ;    nominal density:   [INLINE] = 1.1480E+01 g/cm3
#         a(barns/atom) = (cm2/g)    1.62733E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.29391E+05
#         14 edges. Edge energies (keV):
# K      2.10440E+01  L I    3.04250E+00  L II   2.79320E+00  L III  2.67690E+00
# M I    5.47600E-01  M II   4.44900E-01  M III  4.25000E-01  M IV   2.56400E-01
# M V    2.52900E-01  N I    6.84000E-02  N II   3.89000E-02  N III  3.89000E-02
# N IV   7.01158E-03  N V    6.72942E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.6457E-01, -2.2800E-01 e/atom
#         Nuclear Thomson correction fNT = -1.0350E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=43, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.12854009e+00  7.56250000e-02  3.21510000e+04  6.69700000e-11  0.00000000e+00
1.02010000e-03  6.14393961e+00  7.56430000e-02  3.18410000e+04  7.23200000e-11  0.00000000e+00
1.03030100e-03  6.15320579e+00  7.56620000e-02  3.15330000e+04  7.81000000e-11  0.00000000e+00
1.04060400e-03  6.15974049e+00  7.56810000e-02  3.12290000e+04  8.43300000e-11  0.00000000e+00
1.05101010e-03  6.16496865e+00  7.57000000e-02  3.09270000e+04  9.10500000e-11  0.00000000e+00
1.06152010e-03  6.16903776e+00  7.57190000e-02  3.06290000e+04  9.82900000e-11  0.00000000e+00
1.07213530e-03  6.17254203e+00  7.57390000e-02  3.03330000e+04  1.06100000e-10  0.00000000e+00
1.08285670e-03  6.17544449e+00  7.57580000e-02  3.00410000e+04  1.14500000e-10  0.00000000e+00
1.09368520e-03  6.17797499e+00  7.57780000e-02  2.97510000e+04  1.23600000e-10  0.00000000e+00
1.10462210e-03  6.18020839e+00  7.57980000e-02  2.94640000e+04  1.33300000e-10  0.00000000e+00
1.11566830e-03  6.18219835e+00  7.58180000e-02  2.91800000e+04  1.43800000e-10  0.00000000e+00
1.12682500e-03  6.18398463e+00  7.58390000e-02  2.88990000e+04  1.55200000e-10  0.00000000e+00
1.13809320e-03  6.18559752e+00  7.58600000e-02  2.86210000e+04  1.67400000e-10  0.00000000e+00
1.14947410e-03  6.18706059e+00  7.58800000e-02  2.83450000e+04  1.80500000e-10  0.00000000e+00
1.16096880e-03  6.18839254e+00  7.59020000e-02  2.80730000e+04  1.94600000e-10  0.00000000e+00
1.17257850e-03  6.18960846e+00  7.59230000e-02  2.78030000e+04  2.09900000e-10  0.00000000e+00
1.18430430e-03  6.19072068e+00  7.59450000e-02  2.75350000e+04  2.26300000e-10  0.00000000e+00
