#  Ru:    Z = 44;   Atomic weight = 101.0700 g/mol ;    nominal density:   [INLINE] = 1.2390E+01 g/cm3
#         a(barns/atom) = (cm2/g)    1.67831E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.16348E+05
#         14 edges. Edge energies (keV):
# K      2.21172E+01  L I    3.22400E+00  L II   2.96690E+00  L III  2.83790E+00
# M I    5.85000E-01  M II   4.82800E-01  M III  4.60600E-01  M IV   2.83600E-01
# M V    2.79400E-01  N I    7.49000E-02  N II   4.31000E-02  N III  4.31000E-02
# N IV   2.00000E-03  N V    2.00000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -3.8596E-01, -2.4060E-01 e/atom
#         Nuclear Thomson correction fNT = -1.0508E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=44, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.36636100e-01  1.23210000e-01  5.07920000e+04  4.41700000e-11  0.00000000e+00
1.02010000e-03  7.32456000e-01  1.23260000e-01  5.03080000e+04  4.78100000e-11  0.00000000e+00
1.03030100e-03  7.28173600e-01  1.23300000e-01  4.98280000e+04  5.17400000e-11  0.00000000e+00
1.04060400e-03  7.23785500e-01  1.23350000e-01  4.93530000e+04  5.59900000e-11  0.00000000e+00
1.05101010e-03  7.19288500e-01  1.23400000e-01  4.88830000e+04  6.05800000e-11  0.00000000e+00
1.06152010e-03  7.14679000e-01  1.23450000e-01  4.84180000e+04  6.55400000e-11  0.00000000e+00
1.07213530e-03  7.09953500e-01  1.23500000e-01  4.79580000e+04  7.08900000e-11  0.00000000e+00
1.08285670e-03  7.05108200e-01  1.23550000e-01  4.75020000e+04  7.66700000e-11  0.00000000e+00
1.09368520e-03  7.00139100e-01  1.23600000e-01  4.70520000e+04  8.29000000e-11  0.00000000e+00
1.10462210e-03  6.95042000e-01  1.23650000e-01  4.66050000e+04  8.96400000e-11  0.00000000e+00
1.11566830e-03  6.89812600e-01  1.23700000e-01  4.61640000e+04  9.69000000e-11  0.00000000e+00
1.12682500e-03  6.84446400e-01  1.23760000e-01  4.57270000e+04  1.04700000e-10  0.00000000e+00
1.13809320e-03  6.78938600e-01  1.23810000e-01  4.52950000e+04  1.13200000e-10  0.00000000e+00
1.14947410e-03  6.73284300e-01  1.23870000e-01  4.48670000e+04  1.22300000e-10  0.00000000e+00
1.16096880e-03  6.67478100e-01  1.23930000e-01  4.44430000e+04  1.32100000e-10  0.00000000e+00
1.17257850e-03  6.61514600e-01  1.23990000e-01  4.40250000e+04  1.42800000e-10  0.00000000e+00
1.18430430e-03  6.55388100e-01  1.24050000e-01  4.36100000e+04  1.54200000e-10  0.00000000e+00
1.19614730e-03  6.49092300e-01  1.24110000e-01  4.32000000e+04  1.66500000e-10  0.00000000e+00
1.20810880e-03  6.42620900e-01  1.24180000e-01  4.27950000e+04  1.79800000e-10  0.00000000e+00
1.22018990e-03  6.35967100e-01  1.24240000e-01  4.23930000e+04  1.94100000e-10  0.00000000e+00
1.23239180e-03  6.29123800e-01  1.24310000e-01  4.19960000e+04  2.09600000e-10  0.00000000e+00
1.24471570e-03  6.22083500e-01  1.24380000e-01  4.16040000e+04  2.26200000e-10  0.00000000e+00
1.25716280e-03  6.14838000e-01  1.24450000e-01  4.12150000e+04  2.44100000e-10  0.00000000e+00
1.26973440e-03  6.07379000e-01  1.24520000e-01  4.08310000e+04  2.63400000e-10  0.00000000e+00
1.28243180e-03  5.99697500e-01  1.24600000e-01  4.04510000e+04  2.84100000e-10  0.00000000e+00
1.29525610e-03  5.91783900e-01  1.24680000e-01  4.00760000e+04  3.06500000e-10  0.00000000e+00
1.30820860e-03  5.83628100e-01  1.24760000e-01  3.97050000e+04  3.30600000e-10  0.00000000e+00
1.32129070e-03  5.75219400e-01  1.24840000e-01  3.93370000e+04  3.56500000e-10  0.00000000e+00
1.33450360e-03  5.66546000e-01  1.24920000e-01  3.89750000e+04  3.84400000e-10  0.00000000e+00
1.34784860e-03  5.57595900e-01  1.25010000e-01  3.86160000e+04  4.14400000e-10  0.00000000e+00
1.36132710e-03  5.48355700e-01  1.25100000e-01  3.82610000e+04  4.46700000e-10  0.00000000e+00
1.37494030e-03  5.38811400e-01  1.25200000e-01  3.79110000e+04  4.81500000e-10  0.00000000e+00
1.38868970e-03  5.28947800e-01  1.25300000e-01  3.75650000e+04  5.18900000e-10  0.00000000e+00
1.40257660e-03  5.18748600e-01  1.25400000e-01  3.72240000e+04  5.59100000e-10  0.00000000e+00
1.41660240e-03  5.08196200e-01  1.25500000e-01  3.68860000e+04  6.02300000e-10  0.00000000e+00
1.43076840e-03  4.97271600e-01  1.25610000e-01  3.65530000e+04  6.48800000e-10  0.00000000e+00
1.44507600e-03  4.85954200e-01  1.25730000e-01  3.62250000e+04  6.98700000e-10  0.00000000e+00
1.45952680e-03  4.74221700e-01  1.25850000e-01  3.59000000e+04  7.52400000e-10  0.00000000e+00
1.47412200e-03  4.62049700e-01  1.25980000e-01  3.55800000e+04  8.10200000e-10  0.00000000e+00
1.48886320e-03  4.49411700e-01  1.26110000e-01  3.52650000e+04  8.72200000e-10  0.00000000e+00
1.50375190e-03  4.36278700e-01  1.26250000e-01  3.49550000e+04  9.38800000e-10  0.00000000e+00
1.51878940e-03  4.22618800e-01  1.26400000e-01  3.46490000e+04  1.01000000e-09  0.00000000e+00
1.53397720e-03  4.08396900e-01  1.26550000e-01  3.43480000e+04  1.08700000e-09  0.00000000e+00
1.54931700e-03  3.93574000e-01  1.26720000e-01  3.40520000e+04  1.17000000e-09  0.00000000e+00
1.56481020e-03  3.78107200e-01  1.26890000e-01  3.37620000e+04  1.25900000e-09  0.00000000e+00
1.58045820e-03  3.61948500e-01  1.27080000e-01  3.34770000e+04  1.35400000e-09  0.00000000e+00
1.59626280e-03  3.45044100e-01  1.27280000e-01  3.31980000e+04  1.45600000e-09  0.00000000e+00
1.61222540e-03  3.27333600e-01  1.27490000e-01  3.29240000e+04  1.56600000e-09  0.00000000e+00
1.62834770e-03  3.08748700e-01  1.27730000e-01  3.26580000e+04  1.68300000e-09  0.00000000e+00
1.64463110e-03  2.89211800e-01  1.27980000e-01  3.23980000e+04  1.81000000e-09  0.00000000e+00
1.66107740e-03  2.68634000e-01  1.28250000e-01  3.21460000e+04  1.94500000e-09  0.00000000e+00
1.67768820e-03  2.46913200e-01  1.28550000e-01  3.19030000e+04  2.09100000e-09  0.00000000e+00
