#  Rh:    Z = 45;   Atomic weight = 102.9055 g/mol ;    nominal density:   [INLINE] = 1.2390E+01 g/cm3
#         a(barns/atom) = (cm2/g)    1.70879E+02
#         E(eV) (cm2/g) = f2(e/atom)    4.08922E+05
#         14 edges. Edge energies (keV):
# K      2.32199E+01  L I    3.41190E+00  L II   3.14610E+00  L III  3.00380E+00
# M I    6.27100E-01  M II   5.21000E-01  M III  4.96200E-01  M IV   3.11700E-01
# M V    3.07000E-01  N I    8.10000E-02  N II   4.79000E-02  N III  4.79000E-02
# N IV   2.50000E-03  N V    2.50000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -4.0814E-01, -2.5440E-01 e/atom
#         Nuclear Thomson correction fNT = -1.0795E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=45, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.56461100e-01  1.28570000e-01  5.20540000e+04  3.03100000e-11  0.00000000e+00
1.02010000e-03  6.80187855e-01  1.28610000e-01  5.15540000e+04  3.28500000e-11  0.00000000e+00
1.03030100e-03  6.94169939e-01  1.28650000e-01  5.10590000e+04  3.56000000e-11  0.00000000e+00
1.04060400e-03  7.03401361e-01  1.28690000e-01  5.05690000e+04  3.85700000e-11  0.00000000e+00
1.05101010e-03  7.10078105e-01  1.28730000e-01  5.00840000e+04  4.17900000e-11  0.00000000e+00
1.06152010e-03  7.15082899e-01  1.28770000e-01  4.96040000e+04  4.52700000e-11  0.00000000e+00
1.07213530e-03  7.18900869e-01  1.28810000e-01  4.91280000e+04  4.90300000e-11  0.00000000e+00
1.08285670e-03  7.21932763e-01  1.28850000e-01  4.86580000e+04  5.30900000e-11  0.00000000e+00
1.09368520e-03  7.24226698e-01  1.28890000e-01  4.81920000e+04  5.74800000e-11  0.00000000e+00
1.10462210e-03  7.25848224e-01  1.28930000e-01  4.77310000e+04  6.22300000e-11  0.00000000e+00
1.11566830e-03  7.26997630e-01  1.28980000e-01  4.72740000e+04  6.73600000e-11  0.00000000e+00
1.12682500e-03  7.27741866e-01  1.29020000e-01  4.68220000e+04  7.29000000e-11  0.00000000e+00
1.13809320e-03  7.28131402e-01  1.29070000e-01  4.63750000e+04  7.88800000e-11  0.00000000e+00
1.14947410e-03  7.28205046e-01  1.29110000e-01  4.59320000e+04  8.53500000e-11  0.00000000e+00
1.16096880e-03  7.27993118e-01  1.29160000e-01  4.54940000e+04  9.23300000e-11  0.00000000e+00
1.17257850e-03  7.27519602e-01  1.29210000e-01  4.50600000e+04  9.98600000e-11  0.00000000e+00
1.18430430e-03  7.26803652e-01  1.29260000e-01  4.46300000e+04  1.08000000e-10  0.00000000e+00
1.19614730e-03  7.25860660e-01  1.29310000e-01  4.42050000e+04  1.16800000e-10  0.00000000e+00
1.20810880e-03  7.24703046e-01  1.29360000e-01  4.37840000e+04  1.26200000e-10  0.00000000e+00
1.22018990e-03  7.23340834e-01  1.29410000e-01  4.33680000e+04  1.36500000e-10  0.00000000e+00
1.23239180e-03  7.21782099e-01  1.29460000e-01  4.29560000e+04  1.47500000e-10  0.00000000e+00
1.24471570e-03  7.20033295e-01  1.29510000e-01  4.25480000e+04  1.59400000e-10  0.00000000e+00
1.25716280e-03  7.18099522e-01  1.29560000e-01  4.21440000e+04  1.72200000e-10  0.00000000e+00
1.26973440e-03  7.15984725e-01  1.29620000e-01  4.17440000e+04  1.86100000e-10  0.00000000e+00
1.28243180e-03  7.13691859e-01  1.29680000e-01  4.13490000e+04  2.01000000e-10  0.00000000e+00
1.29525610e-03  7.11223011e-01  1.29730000e-01  4.09570000e+04  2.17100000e-10  0.00000000e+00
1.30820860e-03  7.08579508e-01  1.29790000e-01  4.05700000e+04  2.34400000e-10  0.00000000e+00
1.32129070e-03  7.05761992e-01  1.29850000e-01  4.01870000e+04  2.53100000e-10  0.00000000e+00
1.33450360e-03  7.02770488e-01  1.29910000e-01  3.98070000e+04  2.73200000e-10  0.00000000e+00
1.34784860e-03  6.99604458e-01  1.29970000e-01  3.94320000e+04  2.94900000e-10  0.00000000e+00
1.36132710e-03  6.96262837e-01  1.30030000e-01  3.90600000e+04  3.18200000e-10  0.00000000e+00
1.37494030e-03  6.92744071e-01  1.30100000e-01  3.86930000e+04  3.43400000e-10  0.00000000e+00
1.38868970e-03  6.89046136e-01  1.30160000e-01  3.83290000e+04  3.70500000e-10  0.00000000e+00
1.40257660e-03  6.85166559e-01  1.30230000e-01  3.79690000e+04  3.99700000e-10  0.00000000e+00
1.41660240e-03  6.81102433e-01  1.30300000e-01  3.76130000e+04  4.31100000e-10  0.00000000e+00
1.43076840e-03  6.76850418e-01  1.30370000e-01  3.72600000e+04  4.64900000e-10  0.00000000e+00
1.44507600e-03  6.72406753e-01  1.30440000e-01  3.69120000e+04  5.01300000e-10  0.00000000e+00
1.45952680e-03  6.67767245e-01  1.30510000e-01  3.65670000e+04  5.40400000e-10  0.00000000e+00
1.47412200e-03  6.62927274e-01  1.30590000e-01  3.62250000e+04  5.82600000e-10  0.00000000e+00
1.48886320e-03  6.57881777e-01  1.30670000e-01  3.58880000e+04  6.27900000e-10  0.00000000e+00
1.50375190e-03  6.52625241e-01  1.30750000e-01  3.55540000e+04  6.76700000e-10  0.00000000e+00
1.51878940e-03  6.47151684e-01  1.30830000e-01  3.52240000e+04  7.29100000e-10  0.00000000e+00
1.53397720e-03  6.41454637e-01  1.30910000e-01  3.48970000e+04  7.85500000e-10  0.00000000e+00
1.54931700e-03  6.35527120e-01  1.31000000e-01  3.45740000e+04  8.46100000e-10  0.00000000e+00
1.56481020e-03  6.29361616e-01  1.31080000e-01  3.42550000e+04  9.11300000e-10  0.00000000e+00
1.58045820e-03  6.22950038e-01  1.31170000e-01  3.39390000e+04  9.81300000e-10  0.00000000e+00
1.59626280e-03  6.16283693e-01  1.31270000e-01  3.36270000e+04  1.05700000e-09  0.00000000e+00
1.61222540e-03  6.09353240e-01  1.31360000e-01  3.33190000e+04  1.13700000e-09  0.00000000e+00
1.62834770e-03  6.02148645e-01  1.31460000e-01  3.30140000e+04  1.22400000e-09  0.00000000e+00
1.64463110e-03  5.94659123e-01  1.31560000e-01  3.27120000e+04  1.31800000e-09  0.00000000e+00
1.66107740e-03  5.86873083e-01  1.31670000e-01  3.24140000e+04  1.41800000e-09  0.00000000e+00
1.67768820e-03  5.78778054e-01  1.31780000e-01  3.21200000e+04  1.52600000e-09  0.00000000e+00
1.69446500e-03  5.70360610e-01  1.31890000e-01  3.18290000e+04  1.64100000e-09  0.00000000e+00
1.71140970e-03  5.61606281e-01  1.32010000e-01  3.15420000e+04  1.76500000e-09  0.00000000e+00
1.72852380e-03  5.52499454e-01  1.32130000e-01  3.12590000e+04  1.89900000e-09  0.00000000e+00
1.74580900e-03  5.43023255e-01  1.32260000e-01  3.09790000e+04  2.04200000e-09  0.00000000e+00
1.76326710e-03  5.33159420e-01  1.32390000e-01  3.07030000e+04  2.19500000e-09  0.00000000e+00
1.78089970e-03  5.22888149e-01  1.32530000e-01  3.04300000e+04  2.36000000e-09  0.00000000e+00
1.79870870e-03  5.12187930e-01  1.32670000e-01  3.01610000e+04  2.53600000e-09  0.00000000e+00
1.81669580e-03  5.01035342e-01  1.32820000e-01  2.98960000e+04  2.72600000e-09  0.00000000e+00
1.83486270e-03  4.89404829e-01  1.32980000e-01  2.96350000e+04  2.92900000e-09  0.00000000e+00
1.85321130e-03  4.77268429e-01  1.33140000e-01  2.93780000e+04  3.14700000e-09  0.00000000e+00
1.87174340e-03  4.64595471e-01  1.33320000e-01  2.91260000e+04  3.38100000e-09  0.00000000e+00
1.89046080e-03  4.51352206e-01  1.33500000e-01  2.88770000e+04  3.63100000e-09  0.00000000e+00
1.90936540e-03  4.37501382e-01  1.33690000e-01  2.86320000e+04  3.89900000e-09  0.00000000e+00
1.92845900e-03  4.23001733e-01  1.33900000e-01  2.83920000e+04  4.18700000e-09  0.00000000e+00
1.94774360e-03  4.07807378e-01  1.34120000e-01  2.81570000e+04  4.49500000e-09  0.00000000e+00
1.96722100e-03  3.91867091e-01  1.34350000e-01  2.79270000e+04  4.82600000e-09  0.00000000e+00
1.98689320e-03  3.75123426e-01  1.34600000e-01  2.77010000e+04  5.18000000e-09  0.00000000e+00
2.00676210e-03  3.57511644e-01  1.34860000e-01  2.74820000e+04  5.55900000e-09  0.00000000e+00
2.02682970e-03  3.38958404e-01  1.35150000e-01  2.72680000e+04  5.96400000e-09  0.00000000e+00
2.04709800e-03  3.19380130e-01  1.35470000e-01  2.70600000e+04  6.39900000e-09  0.00000000e+00
2.06756900e-03  2.98680979e-01  1.35810000e-01  2.68600000e+04  6.86400000e-09  0.00000000e+00
2.08824460e-03  2.76750258e-01  1.36180000e-01  2.66670000e+04  7.36200000e-09  0.00000000e+00
2.10912710e-03  2.53459125e-01  1.36590000e-01  2.64820000e+04  7.89500000e-09  0.00000000e+00
2.13021830e-03  2.28656303e-01  1.37040000e-01  2.63070000e+04  8.46600000e-09  0.00000000e+00
2.15152050e-03  2.02162440e-01  1.37550000e-01  2.61440000e+04  9.07600000e-09  0.00000000e+00
2.17303570e-03  1.73762551e-01  1.38130000e-01  2.59930000e+04  9.72900000e-09  0.00000000e+00
2.19476600e-03  1.43195720e-01  1.38780000e-01  2.58570000e+04  1.04300000e-08  0.00000000e+00
2.21671360e-03  1.10140741e-01  1.39540000e-01  2.57400000e+04  1.11700000e-08  0.00000000e+00
2.23888080e-03  7.41956328e-02  1.40410000e-01  2.56460000e+04  1.19700000e-08  0.00000000e+00
2.26126950e-03  3.48475712e-02  1.41460000e-01  2.55810000e+04  1.28300000e-08  0.00000000e+00
2.28388220e-03  -8.57271701e-03  1.42720000e-01  2.55530000e+04  1.37400000e-08  0.00000000e+00
2.30672100e-03  -5.69629654e-02  1.44270000e-01  2.55760000e+04  1.47200000e-08  0.00000000e+00
2.32978820e-03  -1.11568283e-01  1.46250000e-01  2.56700000e+04  1.57600000e-08  0.00000000e+00
2.35308610e-03  -1.74189857e-01  1.48860000e-01  2.58690000e+04  1.68800000e-08  0.00000000e+00
2.37661690e-03  -2.47578921e-01  1.52470000e-01  2.62340000e+04  1.80700000e-08  0.00000000e+00
2.40038310e-03  -3.36257002e-01  1.57800000e-01  2.68830000e+04  1.93400000e-08  0.00000000e+00
2.42438690e-03  -4.48469582e-01  1.66530000e-01  2.80890000e+04  2.07000000e-08  0.00000000e+00
2.44863070e-03  -6.01865508e-01  1.83440000e-01  3.06350000e+04  2.21500000e-08  0.00000000e+00
2.47311700e-03  -8.46355917e-01  2.29980000e-01  3.80260000e+04  2.37000000e-08  0.00000000e+00
2.49784810e-03  -1.34208568e+00  6.07260000e-01  9.94150000e+04  2.53600000e-08  0.00000000e+00
