#  Pd:    Z = 46;   Atomic weight = 106.4200 g/mol ;    nominal density:   [INLINE] = 1.2000E+01 g/cm3
#         a(barns/atom) = (cm2/g)    1.76715E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.95417E+05
#         14 edges. Edge energies (keV):
# K      2.43503E+01  L I    3.60430E+00  L II   3.33030E+00  L III  3.17330E+00
# M I    6.69900E-01  M II   5.59100E-01  M III  5.31500E-01  M IV   3.40000E-01
# M V    3.34700E-01  N I    8.64000E-02  N II   5.11000E-02  N III  5.11000E-02
# N IV   5.44663E-03  N V    5.01841E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -4.3111E-01, -2.6820E-01 e/atom
#         Nuclear Thomson correction fNT = -1.0908E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=46, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.15865644e+00  1.80210000e-01  7.05510000e+04  2.53100000e-11  0.00000000e+00
1.02010000e-03  8.19831536e+00  1.80240000e-01  6.98670000e+04  2.74500000e-11  0.00000000e+00
1.03030100e-03  8.22045520e+00  1.80280000e-01  6.91910000e+04  2.97700000e-11  0.00000000e+00
1.04060400e-03  8.23613644e+00  1.80320000e-01  6.85210000e+04  3.22800000e-11  0.00000000e+00
1.05101010e-03  8.24831688e+00  1.80360000e-01  6.78570000e+04  3.49900000e-11  0.00000000e+00
1.06152010e-03  8.25822876e+00  1.80400000e-01  6.72010000e+04  3.79300000e-11  0.00000000e+00
1.07213530e-03  8.26655187e+00  1.80440000e-01  6.65500000e+04  4.11100000e-11  0.00000000e+00
1.08285670e-03  8.27382615e+00  1.80490000e-01  6.59070000e+04  4.45500000e-11  0.00000000e+00
1.09368520e-03  8.28004421e+00  1.80530000e-01  6.52690000e+04  4.82600000e-11  0.00000000e+00
1.10462210e-03  8.28563127e+00  1.80570000e-01  6.46380000e+04  5.22800000e-11  0.00000000e+00
1.11566830e-03  8.29053498e+00  1.80610000e-01  6.40130000e+04  5.66300000e-11  0.00000000e+00
1.12682500e-03  8.29495300e+00  1.80660000e-01  6.33950000e+04  6.13200000e-11  0.00000000e+00
1.13809320e-03  8.29895870e+00  1.80700000e-01  6.27830000e+04  6.64000000e-11  0.00000000e+00
1.14947410e-03  8.30260915e+00  1.80750000e-01  6.21760000e+04  7.18900000e-11  0.00000000e+00
1.16096880e-03  8.30594956e+00  1.80790000e-01  6.15760000e+04  7.78100000e-11  0.00000000e+00
1.17257850e-03  8.30901635e+00  1.80840000e-01  6.09810000e+04  8.42200000e-11  0.00000000e+00
1.18430430e-03  8.31183924e+00  1.80880000e-01  6.03930000e+04  9.11300000e-11  0.00000000e+00
1.19614730e-03  8.31444280e+00  1.80930000e-01  5.98100000e+04  9.86100000e-11  0.00000000e+00
1.20810880e-03  8.31684751e+00  1.80970000e-01  5.92340000e+04  1.06700000e-10  0.00000000e+00
1.22018990e-03  8.31907064e+00  1.81020000e-01  5.86620000e+04  1.15400000e-10  0.00000000e+00
1.23239180e-03  8.32112685e+00  1.81070000e-01  5.80970000e+04  1.24800000e-10  0.00000000e+00
1.24471570e-03  8.32302867e+00  1.81120000e-01  5.75370000e+04  1.34900000e-10  0.00000000e+00
1.25716280e-03  8.32478688e+00  1.81170000e-01  5.69830000e+04  1.45900000e-10  0.00000000e+00
1.26973440e-03  8.32641079e+00  1.81220000e-01  5.64340000e+04  1.57700000e-10  0.00000000e+00
1.28243180e-03  8.32790849e+00  1.81270000e-01  5.58910000e+04  1.70500000e-10  0.00000000e+00
1.29525610e-03  8.32928703e+00  1.81320000e-01  5.53530000e+04  1.84200000e-10  0.00000000e+00
1.30820860e-03  8.33055260e+00  1.81370000e-01  5.48200000e+04  1.99000000e-10  0.00000000e+00
1.32129070e-03  8.33171060e+00  1.81420000e-01  5.42930000e+04  2.15000000e-10  0.00000000e+00
1.33450360e-03  8.33276579e+00  1.81470000e-01  5.37710000e+04  2.32300000e-10  0.00000000e+00
1.34784860e-03  8.33372237e+00  1.81530000e-01  5.32540000e+04  2.50900000e-10  0.00000000e+00
1.36132710e-03  8.33458402e+00  1.81580000e-01  5.27430000e+04  2.70900000e-10  0.00000000e+00
1.37494030e-03  8.33535400e+00  1.81630000e-01  5.22360000e+04  2.92500000e-10  0.00000000e+00
1.38868970e-03  8.33603519e+00  1.81690000e-01  5.17350000e+04  3.15800000e-10  0.00000000e+00
1.40257660e-03  8.33663011e+00  1.81750000e-01  5.12380000e+04  3.40900000e-10  0.00000000e+00
1.41660240e-03  8.33714098e+00  1.81800000e-01  5.07460000e+04  3.67900000e-10  0.00000000e+00
1.43076840e-03  8.33756975e+00  1.81860000e-01  5.02600000e+04  3.97000000e-10  0.00000000e+00
1.44507600e-03  8.33791812e+00  1.81920000e-01  4.97780000e+04  4.28300000e-10  0.00000000e+00
1.45952680e-03  8.33818758e+00  1.81970000e-01  4.93010000e+04  4.62100000e-10  0.00000000e+00
1.47412200e-03  8.33837938e+00  1.82030000e-01  4.88280000e+04  4.98400000e-10  0.00000000e+00
1.48886320e-03  8.33849463e+00  1.82090000e-01  4.83610000e+04  5.37500000e-10  0.00000000e+00
1.50375190e-03  8.33853424e+00  1.82150000e-01  4.78980000e+04  5.79600000e-10  0.00000000e+00
1.51878940e-03  8.33849897e+00  1.82210000e-01  4.74390000e+04  6.24900000e-10  0.00000000e+00
1.53397720e-03  8.33838945e+00  1.82280000e-01  4.69860000e+04  6.73600000e-10  0.00000000e+00
1.54931700e-03  8.33820615e+00  1.82340000e-01  4.65360000e+04  7.26000000e-10  0.00000000e+00
1.56481020e-03  8.33794944e+00  1.82400000e-01  4.60910000e+04  7.82400000e-10  0.00000000e+00
1.58045820e-03  8.33761956e+00  1.82460000e-01  4.56510000e+04  8.43100000e-10  0.00000000e+00
1.59626280e-03  8.33721663e+00  1.82530000e-01  4.52150000e+04  9.08300000e-10  0.00000000e+00
1.61222540e-03  8.33674069e+00  1.82590000e-01  4.47840000e+04  9.78400000e-10  0.00000000e+00
1.62834770e-03  8.33619167e+00  1.82660000e-01  4.43560000e+04  1.05400000e-09  0.00000000e+00
1.64463110e-03  8.33556940e+00  1.82730000e-01  4.39330000e+04  1.13500000e-09  0.00000000e+00
1.66107740e-03  8.33487362e+00  1.82800000e-01  4.35140000e+04  1.22200000e-09  0.00000000e+00
1.67768820e-03  8.33410400e+00  1.82860000e-01  4.31000000e+04  1.31500000e-09  0.00000000e+00
1.69446500e-03  8.33326011e+00  1.82930000e-01  4.26890000e+04  1.41600000e-09  0.00000000e+00
1.71140970e-03  8.33234144e+00  1.83000000e-01  4.22830000e+04  1.52400000e-09  0.00000000e+00
1.72852380e-03  8.33134743e+00  1.83080000e-01  4.18800000e+04  1.64000000e-09  0.00000000e+00
1.74580900e-03  8.33027739e+00  1.83150000e-01  4.14820000e+04  1.76400000e-09  0.00000000e+00
