#  Ag:    Z = 47;   Atomic weight = 107.8682 g/mol ;    nominal density:   [INLINE] = 1.0480E+01 g/cm3
#         a(barns/atom) = (cm2/g)    1.79119E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.90109E+05
#         14 edges. Edge energies (keV):
# K      2.55140E+01  L I    3.80580E+00  L II   3.52370E+00  L III  3.35110E+00
# M I    7.17500E-01  M II   6.02400E-01  M III  5.71400E-01  M IV   3.72800E-01
# M V    3.66700E-01  N I    9.52000E-02  N II   6.26000E-02  N III  5.59000E-02
# N IV   3.30000E-03  N V    3.30000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -4.5490E-01, -2.8260E-01 e/atom
#         Nuclear Thomson correction fNT = -1.1234E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=47, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.02921548e+00  1.48170000e-01  5.72280000e+04  1.83300000e-11  0.00000000e+00
1.02010000e-03  2.06101713e+00  1.48200000e-01  5.66770000e+04  1.99000000e-11  0.00000000e+00
1.03030100e-03  2.07822920e+00  1.48240000e-01  5.61300000e+04  2.16000000e-11  0.00000000e+00
1.04060400e-03  2.09024291e+00  1.48280000e-01  5.55900000e+04  2.34400000e-11  0.00000000e+00
1.05101010e-03  2.09930938e+00  1.48320000e-01  5.50540000e+04  2.54400000e-11  0.00000000e+00
1.06152010e-03  2.10652254e+00  1.48370000e-01  5.45240000e+04  2.76000000e-11  0.00000000e+00
1.07213530e-03  2.11242587e+00  1.48410000e-01  5.40000000e+04  2.99400000e-11  0.00000000e+00
1.08285670e-03  2.11735159e+00  1.48450000e-01  5.34800000e+04  3.24700000e-11  0.00000000e+00
1.09368520e-03  2.12164073e+00  1.48490000e-01  5.29660000e+04  3.52200000e-11  0.00000000e+00
1.10462210e-03  2.12517434e+00  1.48540000e-01  5.24570000e+04  3.81900000e-11  0.00000000e+00
1.11566830e-03  2.12829058e+00  1.48580000e-01  5.19530000e+04  4.14000000e-11  0.00000000e+00
1.12682500e-03  2.13089178e+00  1.48620000e-01  5.14540000e+04  4.48700000e-11  0.00000000e+00
1.13809320e-03  2.13313309e+00  1.48670000e-01  5.09600000e+04  4.86300000e-11  0.00000000e+00
1.14947410e-03  2.13506025e+00  1.48720000e-01  5.04710000e+04  5.27000000e-11  0.00000000e+00
1.16096880e-03  2.13670938e+00  1.48760000e-01  4.99870000e+04  5.71000000e-11  0.00000000e+00
1.17257850e-03  2.13810946e+00  1.48810000e-01  4.95080000e+04  6.18600000e-11  0.00000000e+00
1.18430430e-03  2.13928402e+00  1.48860000e-01  4.90340000e+04  6.70000000e-11  0.00000000e+00
1.19614730e-03  2.14025237e+00  1.48910000e-01  4.85640000e+04  7.25600000e-11  0.00000000e+00
1.20810880e-03  2.14103048e+00  1.48960000e-01  4.80990000e+04  7.85700000e-11  0.00000000e+00
1.22018990e-03  2.14163171e+00  1.49010000e-01  4.76390000e+04  8.50600000e-11  0.00000000e+00
1.23239180e-03  2.14206724e+00  1.49060000e-01  4.71840000e+04  9.20800000e-11  0.00000000e+00
1.24471570e-03  2.14234650e+00  1.49110000e-01  4.67330000e+04  9.96600000e-11  0.00000000e+00
1.25716280e-03  2.14247747e+00  1.49160000e-01  4.62860000e+04  1.07900000e-10  0.00000000e+00
1.26973440e-03  2.14246692e+00  1.49220000e-01  4.58450000e+04  1.16700000e-10  0.00000000e+00
1.28243180e-03  2.14232056e+00  1.49270000e-01  4.54070000e+04  1.26200000e-10  0.00000000e+00
1.29525610e-03  2.14204326e+00  1.49330000e-01  4.49740000e+04  1.36600000e-10  0.00000000e+00
1.30820860e-03  2.14163914e+00  1.49380000e-01  4.45460000e+04  1.47700000e-10  0.00000000e+00
1.32129070e-03  2.14111163e+00  1.49440000e-01  4.41210000e+04  1.59700000e-10  0.00000000e+00
1.33450360e-03  2.14046362e+00  1.49500000e-01  4.37020000e+04  1.72700000e-10  0.00000000e+00
1.34784860e-03  2.13969751e+00  1.49560000e-01  4.32860000e+04  1.86700000e-10  0.00000000e+00
1.36132710e-03  2.13881523e+00  1.49620000e-01  4.28740000e+04  2.01800000e-10  0.00000000e+00
1.37494030e-03  2.13781832e+00  1.49680000e-01  4.24670000e+04  2.18000000e-10  0.00000000e+00
1.38868970e-03  2.13670797e+00  1.49740000e-01  4.20640000e+04  2.35600000e-10  0.00000000e+00
1.40257660e-03  2.13548506e+00  1.49800000e-01  4.16650000e+04  2.54500000e-10  0.00000000e+00
1.41660240e-03  2.13415013e+00  1.49860000e-01  4.12700000e+04  2.75000000e-10  0.00000000e+00
1.43076840e-03  2.13270351e+00  1.49930000e-01  4.08790000e+04  2.97000000e-10  0.00000000e+00
1.44507600e-03  2.13114521e+00  1.50000000e-01  4.04930000e+04  3.20700000e-10  0.00000000e+00
1.45952680e-03  2.12947507e+00  1.50060000e-01  4.01100000e+04  3.46300000e-10  0.00000000e+00
1.47412200e-03  2.12769267e+00  1.50130000e-01  3.97310000e+04  3.73800000e-10  0.00000000e+00
1.48886320e-03  2.12579738e+00  1.50200000e-01  3.93560000e+04  4.03500000e-10  0.00000000e+00
1.50375190e-03  2.12378839e+00  1.50270000e-01  3.89850000e+04  4.35500000e-10  0.00000000e+00
1.51878940e-03  2.12166469e+00  1.50350000e-01  3.86170000e+04  4.70000000e-10  0.00000000e+00
1.53397720e-03  2.11942507e+00  1.50420000e-01  3.82540000e+04  5.07100000e-10  0.00000000e+00
1.54931700e-03  2.11706817e+00  1.50500000e-01  3.78940000e+04  5.47000000e-10  0.00000000e+00
1.56481020e-03  2.11459242e+00  1.50570000e-01  3.75380000e+04  5.90000000e-10  0.00000000e+00
1.58045820e-03  2.11199610e+00  1.50650000e-01  3.71850000e+04  6.36300000e-10  0.00000000e+00
1.59626280e-03  2.10927730e+00  1.50730000e-01  3.68370000e+04  6.86200000e-10  0.00000000e+00
1.61222540e-03  2.10643395e+00  1.50810000e-01  3.64920000e+04  7.39800000e-10  0.00000000e+00
1.62834770e-03  2.10346379e+00  1.50900000e-01  3.61500000e+04  7.97500000e-10  0.00000000e+00
1.64463110e-03  2.10036441e+00  1.50980000e-01  3.58130000e+04  8.59600000e-10  0.00000000e+00
1.66107740e-03  2.09713321e+00  1.51070000e-01  3.54780000e+04  9.26300000e-10  0.00000000e+00
1.67768820e-03  2.09376739e+00  1.51160000e-01  3.51480000e+04  9.98100000e-10  0.00000000e+00
1.69446500e-03  2.09026400e+00  1.51250000e-01  3.48210000e+04  1.07500000e-09  0.00000000e+00
1.71140970e-03  2.08661988e+00  1.51340000e-01  3.44970000e+04  1.15800000e-09  0.00000000e+00
1.72852380e-03  2.08283168e+00  1.51430000e-01  3.41770000e+04  1.24800000e-09  0.00000000e+00
1.74580900e-03  2.07889585e+00  1.51530000e-01  3.38600000e+04  1.34400000e-09  0.00000000e+00
1.76326710e-03  2.07480862e+00  1.51630000e-01  3.35460000e+04  1.44700000e-09  0.00000000e+00
1.78089970e-03  2.07056602e+00  1.51730000e-01  3.32360000e+04  1.55700000e-09  0.00000000e+00
1.79870870e-03  2.06616385e+00  1.51830000e-01  3.29300000e+04  1.67600000e-09  0.00000000e+00
1.81669580e-03  2.06159765e+00  1.51940000e-01  3.26270000e+04  1.80400000e-09  0.00000000e+00
1.83486270e-03  2.05686274e+00  1.52050000e-01  3.23270000e+04  1.94100000e-09  0.00000000e+00
1.85321130e-03  2.05195416e+00  1.52160000e-01  3.20300000e+04  2.08900000e-09  0.00000000e+00
1.87174340e-03  2.04686668e+00  1.52270000e-01  3.17370000e+04  2.24700000e-09  0.00000000e+00
1.89046080e-03  2.04159477e+00  1.52390000e-01  3.14470000e+04  2.41700000e-09  0.00000000e+00
1.90936540e-03  2.03613260e+00  1.52510000e-01  3.11600000e+04  2.60000000e-09  0.00000000e+00
1.92845900e-03  2.03047401e+00  1.52640000e-01  3.08770000e+04  2.79500000e-09  0.00000000e+00
1.94774360e-03  2.02461249e+00  1.52760000e-01  3.05960000e+04  3.00500000e-09  0.00000000e+00
1.96722100e-03  2.01854114e+00  1.52890000e-01  3.03190000e+04  3.23100000e-09  0.00000000e+00
1.98689320e-03  2.01225270e+00  1.53030000e-01  3.00460000e+04  3.47300000e-09  0.00000000e+00
2.00676210e-03  2.00573945e+00  1.53170000e-01  2.97750000e+04  3.73200000e-09  0.00000000e+00
2.02682970e-03  1.99899323e+00  1.53310000e-01  2.95080000e+04  4.01000000e-09  0.00000000e+00
2.04709800e-03  1.99200539e+00  1.53460000e-01  2.92440000e+04  4.30800000e-09  0.00000000e+00
2.06756900e-03  1.98476674e+00  1.53610000e-01  2.89830000e+04  4.62800000e-09  0.00000000e+00
2.08824460e-03  1.97726754e+00  1.53770000e-01  2.87260000e+04  4.97100000e-09  0.00000000e+00
2.10912710e-03  1.96949742e+00  1.53930000e-01  2.84710000e+04  5.33800000e-09  0.00000000e+00
2.13021830e-03  1.96144535e+00  1.54100000e-01  2.82200000e+04  5.73200000e-09  0.00000000e+00
2.15152050e-03  1.95309957e+00  1.54270000e-01  2.79730000e+04  6.15400000e-09  0.00000000e+00
2.17303570e-03  1.94444756e+00  1.54460000e-01  2.77280000e+04  6.60600000e-09  0.00000000e+00
2.19476600e-03  1.93547590e+00  1.54640000e-01  2.74870000e+04  7.09000000e-09  0.00000000e+00
2.21671360e-03  1.92617027e+00  1.54840000e-01  2.72490000e+04  7.60900000e-09  0.00000000e+00
2.23888080e-03  1.91651530e+00  1.55040000e-01  2.70150000e+04  8.16400000e-09  0.00000000e+00
2.26126950e-03  1.90649450e+00  1.55250000e-01  2.67840000e+04  8.75900000e-09  0.00000000e+00
2.28388220e-03  1.89609015e+00  1.55470000e-01  2.65570000e+04  9.39500000e-09  0.00000000e+00
2.30672100e-03  1.88528314e+00  1.55710000e-01  2.63330000e+04  1.00800000e-08  0.00000000e+00
2.32978820e-03  1.87405284e+00  1.55950000e-01  2.61120000e+04  1.08100000e-08  0.00000000e+00
2.35308610e-03  1.86237696e+00  1.56200000e-01  2.58960000e+04  1.15900000e-08  0.00000000e+00
2.37661690e-03  1.85023130e+00  1.56470000e-01  2.56830000e+04  1.24200000e-08  0.00000000e+00
2.40038310e-03  1.83758956e+00  1.56750000e-01  2.54740000e+04  1.33100000e-08  0.00000000e+00
2.42438690e-03  1.82442310e+00  1.57040000e-01  2.52690000e+04  1.42700000e-08  0.00000000e+00
2.44863070e-03  1.81070060e+00  1.57350000e-01  2.50690000e+04  1.52900000e-08  0.00000000e+00
2.47311700e-03  1.79638774e+00  1.57680000e-01  2.48720000e+04  1.63800000e-08  0.00000000e+00
2.49784810e-03  1.78144679e+00  1.58030000e-01  2.46800000e+04  1.75500000e-08  0.00000000e+00
2.52282660e-03  1.76583611e+00  1.58400000e-01  2.44930000e+04  1.88000000e-08  0.00000000e+00
2.54805480e-03  1.74950962e+00  1.58790000e-01  2.43110000e+04  2.01400000e-08  0.00000000e+00
2.57353540e-03  1.73241605e+00  1.59220000e-01  2.41350000e+04  2.15600000e-08  0.00000000e+00
2.59927070e-03  1.71449820e+00  1.59670000e-01  2.39640000e+04  2.30900000e-08  0.00000000e+00
2.62526340e-03  1.69569189e+00  1.60160000e-01  2.37990000e+04  2.47100000e-08  0.00000000e+00
2.65151600e-03  1.67592479e+00  1.60680000e-01  2.36410000e+04  2.64500000e-08  0.00000000e+00
2.67803110e-03  1.65511492e+00  1.61260000e-01  2.34900000e+04  2.83100000e-08  0.00000000e+00
2.70481140e-03  1.63316881e+00  1.61880000e-01  2.33470000e+04  3.03000000e-08  0.00000000e+00
2.73185950e-03  1.60997921e+00  1.62560000e-01  2.32140000e+04  3.24100000e-08  0.00000000e+00
2.75917810e-03  1.58542213e+00  1.63310000e-01  2.30900000e+04  3.46800000e-08  0.00000000e+00
2.78676980e-03  1.55935313e+00  1.64150000e-01  2.29780000e+04  3.70900000e-08  0.00000000e+00
2.81463750e-03  1.53160245e+00  1.65080000e-01  2.28800000e+04  3.96700000e-08  0.00000000e+00
2.84278380e-03  1.50196856e+00  1.66120000e-01  2.27970000e+04  4.24200000e-08  0.00000000e+00
2.87121160e-03  1.47020960e+00  1.67310000e-01  2.27320000e+04  4.53500000e-08  0.00000000e+00
2.89992370e-03  1.43603157e+00  1.68670000e-01  2.26890000e+04  4.84800000e-08  0.00000000e+00
2.92892290e-03  1.39907200e+00  1.70240000e-01  2.26740000e+04  5.18200000e-08  0.00000000e+00
2.95821210e-03  1.35887647e+00  1.72080000e-01  2.26930000e+04  5.53800000e-08  0.00000000e+00
2.98779420e-03  1.31486426e+00  1.74280000e-01  2.27560000e+04  5.91800000e-08  0.00000000e+00
3.01767220e-03  1.26627606e+00  1.76960000e-01  2.28760000e+04  6.32300000e-08  0.00000000e+00
3.04784880e-03  1.21209166e+00  1.80280000e-01  2.30750000e+04  6.75400000e-08  0.00000000e+00
3.07832730e-03  1.15089390e+00  1.84520000e-01  2.33840000e+04  7.21400000e-08  0.00000000e+00
3.10911050e-03  1.08063082e+00  1.90150000e-01  2.38590000e+04  7.70500000e-08  0.00000000e+00
3.14020160e-03  9.98169592e-01  1.97990000e-01  2.45960000e+04  8.22700000e-08  0.00000000e+00
3.17160360e-03  8.98380175e-01  2.09650000e-01  2.57870000e+04  8.78400000e-08  0.00000000e+00
3.20331960e-03  7.72016614e-01  2.28850000e-01  2.78700000e+04  9.37700000e-08  0.00000000e+00
3.23535280e-03  6.00011679e-01  2.66260000e-01  3.21050000e+04  1.00100000e-07  0.00000000e+00
3.26770630e-03  3.36583002e-01  3.67230000e-01  4.38410000e+04  1.06800000e-07  0.00000000e+00
3.29998800e-03  -1.58356121e+00  8.13870000e-01  9.62120000e+04  1.13900000e-07  0.00000000e+00
3.30001200e-03  1.62356516e+00  8.14430000e-01  9.62780000e+04  1.13900000e-07  0.00000000e+00
3.30038330e-03  1.95314874e-02  8.23150000e-01  9.72970000e+04  1.14000000e-07  0.00000000e+00
3.33338710e-03  3.14853031e-01  1.27560000e+00  1.49280000e+05  1.21600000e-07  0.00000000e+00
3.36672100e-03  5.54719027e-01  1.38250000e+00  1.60190000e+05  1.29700000e-07  0.00000000e+00
3.40038810e-03  7.07329439e-01  1.42790000e+00  1.63810000e+05  1.38400000e-07  0.00000000e+00
3.43439200e-03  8.16622659e-01  1.45550000e+00  1.65330000e+05  1.47600000e-07  0.00000000e+00
3.46873590e-03  9.00867296e-01  1.47570000e+00  1.65960000e+05  1.57400000e-07  0.00000000e+00
3.50342320e-03  9.68889255e-01  1.49220000e+00  1.66160000e+05  1.67800000e-07  0.00000000e+00
3.53845740e-03  1.02555185e+00  1.50660000e+00  1.66100000e+05  1.78900000e-07  0.00000000e+00
3.57384190e-03  1.07379109e+00  1.51970000e+00  1.65880000e+05  1.90600000e-07  0.00000000e+00
3.60958030e-03  1.11548879e+00  1.53190000e+00  1.65560000e+05  2.03200000e-07  0.00000000e+00
3.64567610e-03  1.15187903e+00  1.54350000e+00  1.65160000e+05  2.16500000e-07  0.00000000e+00
3.68213280e-03  1.18388007e+00  1.55500000e+00  1.64750000e+05  2.30700000e-07  0.00000000e+00
3.71895410e-03  1.21230615e+00  1.56650000e+00  1.64320000e+05  2.45700000e-07  0.00000000e+00
3.75614360e-03  1.23775919e+00  1.57820000e+00  1.63900000e+05  2.61800000e-07  0.00000000e+00
3.79370500e-03  1.26069668e+00  1.59000000e+00  1.63500000e+05  2.78800000e-07  0.00000000e+00
3.83164200e-03  1.28147799e+00  1.60200000e+00  1.63100000e+05  2.96900000e-07  0.00000000e+00
3.86995840e-03  1.30039187e+00  1.61430000e+00  1.62720000e+05  3.16100000e-07  0.00000000e+00
