#  Cd:    Z = 48;   Atomic weight = 112.4100 g/mol ;    nominal density:   [INLINE] = 8.6300E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.86661E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.74347E+05
#         14 edges. Edge energies (keV):
# K      2.67112E+01  L I    4.01800E+00  L II   3.72700E+00  L III  3.53750E+00
# M I    7.70200E-01  M II   6.50700E-01  M III  6.16500E-01  M IV   4.10500E-01
# M V    4.03700E-01  N I    1.07600E-01  N II   6.69000E-02  N III  6.69000E-02
# N IV   9.30000E-03  N V    9.30000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -4.7951E-01, -2.9760E-01 e/atom
#         Nuclear Thomson correction fNT = -1.1244E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=48, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.54606180e+00  1.11280000e-01  4.12440000e+04  1.54400000e-11  0.00000000e+00
1.02010000e-03  2.57064246e+00  1.11300000e-01  4.08430000e+04  1.67600000e-11  0.00000000e+00
1.03030100e-03  2.58408501e+00  1.11320000e-01  4.04450000e+04  1.82000000e-11  0.00000000e+00
1.04060400e-03  2.59378439e+00  1.11340000e-01  4.00520000e+04  1.97600000e-11  0.00000000e+00
1.05101010e-03  2.60132432e+00  1.11350000e-01  3.96620000e+04  2.14400000e-11  0.00000000e+00
1.06152010e-03  2.60752700e+00  1.11370000e-01  3.92760000e+04  2.32700000e-11  0.00000000e+00
1.07213530e-03  2.61278408e+00  1.11390000e-01  3.88940000e+04  2.52400000e-11  0.00000000e+00
1.08285670e-03  2.61733734e+00  1.11410000e-01  3.85160000e+04  2.73900000e-11  0.00000000e+00
1.09368520e-03  2.62148093e+00  1.11430000e-01  3.81410000e+04  2.97100000e-11  0.00000000e+00
1.10462210e-03  2.62503367e+00  1.11450000e-01  3.77700000e+04  3.22200000e-11  0.00000000e+00
1.11566830e-03  2.62832724e+00  1.11470000e-01  3.74030000e+04  3.49400000e-11  0.00000000e+00
1.12682500e-03  2.63122487e+00  1.11490000e-01  3.70400000e+04  3.78800000e-11  0.00000000e+00
1.13809320e-03  2.63387664e+00  1.11510000e-01  3.66800000e+04  4.10600000e-11  0.00000000e+00
1.14947410e-03  2.63631681e+00  1.11540000e-01  3.63240000e+04  4.45100000e-11  0.00000000e+00
1.16096880e-03  2.63857265e+00  1.11560000e-01  3.59710000e+04  4.82400000e-11  0.00000000e+00
1.17257850e-03  2.64066616e+00  1.11580000e-01  3.56220000e+04  5.22700000e-11  0.00000000e+00
1.18430430e-03  2.64261536e+00  1.11600000e-01  3.52760000e+04  5.66300000e-11  0.00000000e+00
1.19614730e-03  2.64443518e+00  1.11620000e-01  3.49330000e+04  6.13400000e-11  0.00000000e+00
1.20810880e-03  2.64613814e+00  1.11640000e-01  3.45940000e+04  6.64400000e-11  0.00000000e+00
1.22018990e-03  2.64773480e+00  1.11670000e-01  3.42590000e+04  7.19600000e-11  0.00000000e+00
1.23239180e-03  2.64923417e+00  1.11690000e-01  3.39260000e+04  7.79100000e-11  0.00000000e+00
1.24471570e-03  2.65064397e+00  1.11710000e-01  3.35970000e+04  8.43500000e-11  0.00000000e+00
1.25716280e-03  2.65197087e+00  1.11740000e-01  3.32720000e+04  9.13100000e-11  0.00000000e+00
1.26973440e-03  2.65322066e+00  1.11760000e-01  3.29490000e+04  9.88300000e-11  0.00000000e+00
1.28243180e-03  2.65439840e+00  1.11780000e-01  3.26300000e+04  1.06900000e-10  0.00000000e+00
1.29525610e-03  2.65550853e+00  1.11810000e-01  3.23140000e+04  1.15700000e-10  0.00000000e+00
1.30820860e-03  2.65655495e+00  1.11830000e-01  3.20010000e+04  1.25200000e-10  0.00000000e+00
1.32129070e-03  2.65754110e+00  1.11860000e-01  3.16910000e+04  1.35400000e-10  0.00000000e+00
1.33450360e-03  2.65847004e+00  1.11880000e-01  3.13840000e+04  1.46500000e-10  0.00000000e+00
1.34784860e-03  2.65934448e+00  1.11910000e-01  3.10800000e+04  1.58400000e-10  0.00000000e+00
1.36132710e-03  2.66016684e+00  1.11930000e-01  3.07790000e+04  1.71200000e-10  0.00000000e+00
