#  In:    Z = 49;   Atomic weight = 114.8200 g/mol ;    nominal density:   [INLINE] = 7.3000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.90663E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.66489E+05
#         14 edges. Edge energies (keV):
# K      2.79399E+01  L I    4.23750E+00  L II   3.93800E+00  L III  3.73010E+00
# M I    8.25600E-01  M II   7.02200E-01  M III  6.64300E-01  M IV   4.50800E-01
# M V    4.43100E-01  N I    1.21900E-01  N II   7.74000E-02  N III  7.74000E-02
# N IV   1.62000E-02  N V    1.62000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -5.0495E-01, -3.1260E-01 e/atom
#         Nuclear Thomson correction fNT = -1.1471E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=49, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.78158616e+00  7.99600000e-02  2.90140000e+04  1.33300000e-11  0.00000000e+00
1.02010000e-03  2.79963181e+00  7.99700000e-02  2.87310000e+04  1.44800000e-11  0.00000000e+00
1.03030100e-03  2.80930139e+00  7.99810000e-02  2.84500000e+04  1.57200000e-11  0.00000000e+00
1.04060400e-03  2.81642521e+00  7.99910000e-02  2.81720000e+04  1.70700000e-11  0.00000000e+00
1.05101010e-03  2.82193193e+00  8.00020000e-02  2.78970000e+04  1.85300000e-11  0.00000000e+00
1.06152010e-03  2.82650940e+00  8.00120000e-02  2.76240000e+04  2.01100000e-11  0.00000000e+00
1.07213530e-03  2.83051383e+00  8.00230000e-02  2.73540000e+04  2.18200000e-11  0.00000000e+00
1.08285670e-03  2.83391601e+00  8.00340000e-02  2.70870000e+04  2.36800000e-11  0.00000000e+00
1.09368520e-03  2.83693907e+00  8.00450000e-02  2.68230000e+04  2.56900000e-11  0.00000000e+00
1.10462210e-03  2.83978108e+00  8.00560000e-02  2.65610000e+04  2.78700000e-11  0.00000000e+00
1.11566830e-03  2.84223521e+00  8.00670000e-02  2.63010000e+04  3.02300000e-11  0.00000000e+00
1.12682500e-03  2.84457331e+00  8.00780000e-02  2.60450000e+04  3.27800000e-11  0.00000000e+00
1.13809320e-03  2.84664121e+00  8.00900000e-02  2.57910000e+04  3.55500000e-11  0.00000000e+00
1.14947410e-03  2.84856299e+00  8.01010000e-02  2.55390000e+04  3.85400000e-11  0.00000000e+00
1.16096880e-03  2.85035769e+00  8.01130000e-02  2.52900000e+04  4.17800000e-11  0.00000000e+00
1.17257850e-03  2.85204077e+00  8.01250000e-02  2.50430000e+04  4.52800000e-11  0.00000000e+00
1.18430430e-03  2.85362493e+00  8.01370000e-02  2.47990000e+04  4.90700000e-11  0.00000000e+00
1.19614730e-03  2.85512073e+00  8.01490000e-02  2.45570000e+04  5.31700000e-11  0.00000000e+00
1.20810880e-03  2.85653703e+00  8.01610000e-02  2.43170000e+04  5.76000000e-11  0.00000000e+00
1.22018990e-03  2.85788135e+00  8.01730000e-02  2.40800000e+04  6.24000000e-11  0.00000000e+00
1.23239180e-03  2.85916012e+00  8.01850000e-02  2.38460000e+04  6.75800000e-11  0.00000000e+00
1.24471570e-03  2.86037888e+00  8.01980000e-02  2.36130000e+04  7.31900000e-11  0.00000000e+00
