#  Sn:    Z = 50;   Atomic weight = 118.6900 g/mol ;    nominal density:   [INLINE] = 7.3000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    1.97090E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.54540E+05
#         14 edges. Edge energies (keV):
# K      2.92001E+01  L I    4.46470E+00  L II   4.15610E+00  L III  3.92880E+00
# M I    8.83800E-01  M II   7.56400E-01  M III  7.14400E-01  M IV   4.93300E-01
# M V    4.84800E-01  N I    1.36500E-01  N II   8.86000E-02  N III  8.86000E-02
# N IV   2.39000E-02  N V    2.39000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -5.3125E-01, -3.2820E-01 e/atom
#         Nuclear Thomson correction fNT = -1.1555E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=50, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.68211583e+00  6.40430000e-02  2.24810000e+04  1.36200000e-11  0.00000000e+00
1.02010000e-03  8.69646725e+00  6.40500000e-02  2.22610000e+04  1.47900000e-11  0.00000000e+00
1.03030100e-03  8.70453681e+00  6.40560000e-02  2.20420000e+04  1.60600000e-11  0.00000000e+00
1.04060400e-03  8.71037951e+00  6.40620000e-02  2.18260000e+04  1.74300000e-11  0.00000000e+00
1.05101010e-03  8.71478119e+00  6.40690000e-02  2.16130000e+04  1.89200000e-11  0.00000000e+00
1.06152010e-03  8.71846153e+00  6.40750000e-02  2.14010000e+04  2.05400000e-11  0.00000000e+00
1.07213530e-03  8.72162328e+00  6.40820000e-02  2.11910000e+04  2.22800000e-11  0.00000000e+00
1.08285670e-03  8.72459257e+00  6.40890000e-02  2.09830000e+04  2.41800000e-11  0.00000000e+00
1.09368520e-03  8.72702359e+00  6.40960000e-02  2.07780000e+04  2.62300000e-11  0.00000000e+00
1.10462210e-03  8.72922032e+00  6.41020000e-02  2.05740000e+04  2.84500000e-11  0.00000000e+00
1.11566830e-03  8.73133853e+00  6.41090000e-02  2.03730000e+04  3.08500000e-11  0.00000000e+00
