#  Sb:    Z = 51;   Atomic weight = 121.7500 g/mol ;    nominal density:   [INLINE] = 6.6790E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.02171E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.45629E+05
#         14 edges. Edge energies (keV):
# K      3.04912E+01  L I    4.69830E+00  L II   4.38040E+00  L III  4.13220E+00
# M I    9.43700E-01  M II   8.11900E-01  M III  7.65600E-01  M IV   5.36900E-01
# M V    5.27500E-01  N I    1.52000E-01  N II   9.84000E-02  N III  9.84000E-02
# N IV   3.14000E-02  N V    3.14000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -5.5841E-01, -3.4500E-01 e/atom
#         Nuclear Thomson correction fNT = -1.1720E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=51, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.07429446e+00  3.68470000e-02  1.26090000e+04  1.54400000e-11  0.00000000e+00
1.02010000e-03  6.08176639e+00  3.68490000e-02  1.24850000e+04  1.67600000e-11  0.00000000e+00
1.03030100e-03  6.08626552e+00  3.68520000e-02  1.23630000e+04  1.82000000e-11  0.00000000e+00
1.04060400e-03  6.08944535e+00  3.68550000e-02  1.22410000e+04  1.97500000e-11  0.00000000e+00
1.05101010e-03  6.09183860e+00  3.68570000e-02  1.21210000e+04  2.14300000e-11  0.00000000e+00
1.06152010e-03  6.09380070e+00  3.68600000e-02  1.20020000e+04  2.32500000e-11  0.00000000e+00
1.07213530e-03  6.09548986e+00  3.68630000e-02  1.18840000e+04  2.52300000e-11  0.00000000e+00
1.08285670e-03  6.09723443e+00  3.68660000e-02  1.17670000e+04  2.73600000e-11  0.00000000e+00
1.09368520e-03  6.09850391e+00  3.68690000e-02  1.16510000e+04  2.96800000e-11  0.00000000e+00
1.10462210e-03  6.09965147e+00  3.68720000e-02  1.15370000e+04  3.21800000e-11  0.00000000e+00
1.11566830e-03  6.10082837e+00  3.68740000e-02  1.14240000e+04  3.48900000e-11  0.00000000e+00
