#  Te:    Z = 52;   Atomic weight = 127.6000 g/mol ;    nominal density:   [INLINE] = 6.2300E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.11885E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.29783E+05
#         14 edges. Edge energies (keV):
# K      3.18138E+01  L I    4.93920E+00  L II   4.61200E+00  L III  4.34140E+00
# M I    1.00600E+00  M II   8.69700E-01  M III  8.18700E-01  M IV   5.82500E-01
# M V    5.72100E-01  N I    1.68300E-01  N II   1.10200E-01  N III  1.10200E-01
# N IV   3.98000E-02  N V    3.98000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -5.8644E-01, -3.6120E-01 e/atom
#         Nuclear Thomson correction fNT = -1.1625E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=52, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  5.35377359e+00  2.53710000e-02  8.28410000e+03  1.87300000e-11  0.00000000e+00
1.02010000e-03  5.35850440e+00  2.53720000e-02  8.20250000e+03  2.03200000e-11  0.00000000e+00
1.03030100e-03  5.36144392e+00  2.53740000e-02  8.12170000e+03  2.20500000e-11  0.00000000e+00
1.04060400e-03  5.36372821e+00  2.53750000e-02  8.04170000e+03  2.39200000e-11  0.00000000e+00
1.05101010e-03  5.36541683e+00  2.53760000e-02  7.96250000e+03  2.59400000e-11  0.00000000e+00
1.06152010e-03  5.36670761e+00  2.53780000e-02  7.88410000e+03  2.81400000e-11  0.00000000e+00
1.07213530e-03  5.36782740e+00  2.53790000e-02  7.80650000e+03  3.05100000e-11  0.00000000e+00
1.08285670e-03  5.36881490e+00  2.53800000e-02  7.72960000e+03  3.30800000e-11  0.00000000e+00
1.09368520e-03  5.36994658e+00  2.53820000e-02  7.65350000e+03  3.58600000e-11  0.00000000e+00
1.10462210e-03  5.37070089e+00  2.53830000e-02  7.57810000e+03  3.88700000e-11  0.00000000e+00
1.11566830e-03  5.37139212e+00  2.53850000e-02  7.50350000e+03  4.21200000e-11  0.00000000e+00
1.12682500e-03  5.37215860e+00  2.53860000e-02  7.42960000e+03  4.56400000e-11  0.00000000e+00
1.13809320e-03  5.37273263e+00  2.53880000e-02  7.35650000e+03  4.94400000e-11  0.00000000e+00
1.14947410e-03  5.37326825e+00  2.53890000e-02  7.28410000e+03  5.35600000e-11  0.00000000e+00
1.16096880e-03  5.37376975e+00  2.53900000e-02  7.21240000e+03  5.80100000e-11  0.00000000e+00
1.17257850e-03  5.37424065e+00  2.53920000e-02  7.14140000e+03  6.28200000e-11  0.00000000e+00
1.18430430e-03  5.37468395e+00  2.53930000e-02  7.07110000e+03  6.80100000e-11  0.00000000e+00
1.19614730e-03  5.37510215e+00  2.53950000e-02  7.00150000e+03  7.36300000e-11  0.00000000e+00
1.20810880e-03  5.37549740e+00  2.53970000e-02  6.93260000e+03  7.97000000e-11  0.00000000e+00
1.22018990e-03  5.37587156e+00  2.53980000e-02  6.86440000e+03  8.62500000e-11  0.00000000e+00
1.23239180e-03  5.37622621e+00  2.54000000e-02  6.79680000e+03  9.33300000e-11  0.00000000e+00
