#  I:    Z = 53;   Atomic weight = 126.9045 g/mol ;    nominal density:   [INLINE] = 4.9200E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.10730E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.31590E+05
#         14 edges. Edge energies (keV):
# K      3.31694E+01  L I    5.18810E+00  L II   4.85210E+00  L III  4.55710E+00
# M I    1.07210E+00  M II   9.30500E-01  M III  8.74600E-01  M IV   6.31300E-01
# M V    6.19400E-01  N I    1.86400E-01  N II   1.22700E-01  N III  1.22700E-01
# N IV   4.96000E-02  N V    4.96000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -6.1537E-01, -3.7860E-01 e/atom
#         Nuclear Thomson correction fNT = -1.2143E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=53, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.19246847e+01  2.00950000e-02  6.59740000e+03  2.57400000e-11  0.00000000e+00
1.02010000e-03  1.19281029e+01  2.00960000e-02  6.53240000e+03  2.79000000e-11  0.00000000e+00
1.03030100e-03  1.19306071e+01  2.00970000e-02  6.46790000e+03  3.02500000e-11  0.00000000e+00
1.04060400e-03  1.19324715e+01  2.00980000e-02  6.40410000e+03  3.27900000e-11  0.00000000e+00
1.05101010e-03  1.19337623e+01  2.00980000e-02  6.34100000e+03  3.55400000e-11  0.00000000e+00
1.06152010e-03  1.19348350e+01  2.00990000e-02  6.27840000e+03  3.85100000e-11  0.00000000e+00
1.07213530e-03  1.19357292e+01  2.01000000e-02  6.21650000e+03  4.17200000e-11  0.00000000e+00
1.08285670e-03  1.19365270e+01  2.01010000e-02  6.15520000e+03  4.51900000e-11  0.00000000e+00
1.09368520e-03  1.19375161e+01  2.01020000e-02  6.09450000e+03  4.89500000e-11  0.00000000e+00
1.10462210e-03  1.19381294e+01  2.01020000e-02  6.03440000e+03  5.30100000e-11  0.00000000e+00
1.11566830e-03  1.19386979e+01  2.01030000e-02  5.97490000e+03  5.74000000e-11  0.00000000e+00
1.12682500e-03  1.19392278e+01  2.01040000e-02  5.91600000e+03  6.21400000e-11  0.00000000e+00
1.13809320e-03  1.19398523e+01  2.01050000e-02  5.85770000e+03  6.72600000e-11  0.00000000e+00
1.14947410e-03  1.19403038e+01  2.01060000e-02  5.79990000e+03  7.28000000e-11  0.00000000e+00
1.16096880e-03  1.19407313e+01  2.01070000e-02  5.74280000e+03  7.87800000e-11  0.00000000e+00
1.17257850e-03  1.19411373e+01  2.01080000e-02  5.68620000e+03  8.52400000e-11  0.00000000e+00
1.18430430e-03  1.19415239e+01  2.01080000e-02  5.63010000e+03  9.22200000e-11  0.00000000e+00
1.19614730e-03  1.19418927e+01  2.01090000e-02  5.57460000e+03  9.97500000e-11  0.00000000e+00
1.20810880e-03  1.19422454e+01  2.01100000e-02  5.51970000e+03  1.07900000e-10  0.00000000e+00
1.22018990e-03  1.19425831e+01  2.01110000e-02  5.46530000e+03  1.16700000e-10  0.00000000e+00
1.23239180e-03  1.19429071e+01  2.01120000e-02  5.41140000e+03  1.26100000e-10  0.00000000e+00
