#  Xe:    Z = 54;   Atomic weight = 131.2900 g/mol ;    nominal density:   [INLINE] = 5.4580E-03 g/cm3
#         a(barns/atom) = (cm2/g)    2.18012E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.20514E+05
#         14 edges. Edge energies (keV):
# K      3.45614E+01  L I    5.45280E+00  L II   5.10370E+00  L III  4.78220E+00
# M I    1.14460E+00  M II   9.99000E-01  M III  9.37000E-01  M IV   6.85400E-01
# M V    6.72300E-01  N I    2.08100E-01  N II   1.46700E-01  N III  1.46700E-01
# N IV   6.40000E-02  N V    6.40000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -6.4519E-01, -3.9600E-01 e/atom
#         Nuclear Thomson correction fNT = -1.2184E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=54, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.74452175e+01  1.76880000e-02  5.61300000e+03  3.56200000e-11  0.00000000e+00
1.02010000e-03  1.74479868e+01  1.76880000e-02  5.55760000e+03  3.85900000e-11  0.00000000e+00
1.03030100e-03  1.74500704e+01  1.76890000e-02  5.50270000e+03  4.17900000e-11  0.00000000e+00
1.04060400e-03  1.74515224e+01  1.76890000e-02  5.44840000e+03  4.52500000e-11  0.00000000e+00
1.05101010e-03  1.74527460e+01  1.76900000e-02  5.39460000e+03  4.89900000e-11  0.00000000e+00
1.06152010e-03  1.74537302e+01  1.76900000e-02  5.34140000e+03  5.30300000e-11  0.00000000e+00
1.07213530e-03  1.74545638e+01  1.76910000e-02  5.28860000e+03  5.74000000e-11  0.00000000e+00
1.08285670e-03  1.74552662e+01  1.76910000e-02  5.23650000e+03  6.21200000e-11  0.00000000e+00
1.09368520e-03  1.74559052e+01  1.76920000e-02  5.18480000e+03  6.72200000e-11  0.00000000e+00
1.10462210e-03  1.74567323e+01  1.76920000e-02  5.13360000e+03  7.27200000e-11  0.00000000e+00
1.11566830e-03  1.74572390e+01  1.76930000e-02  5.08290000e+03  7.86600000e-11  0.00000000e+00
1.12682500e-03  1.74577148e+01  1.76940000e-02  5.03280000e+03  8.50800000e-11  0.00000000e+00
1.13809320e-03  1.74583084e+01  1.76940000e-02  4.98310000e+03  9.20100000e-11  0.00000000e+00
1.14947410e-03  1.74587162e+01  1.76950000e-02  4.93400000e+03  9.94800000e-11  0.00000000e+00
1.16096880e-03  1.74591051e+01  1.76950000e-02  4.88530000e+03  1.07500000e-10  0.00000000e+00
1.17257850e-03  1.74594770e+01  1.76960000e-02  4.83710000e+03  1.16300000e-10  0.00000000e+00
1.18430430e-03  1.74598333e+01  1.76970000e-02  4.78930000e+03  1.25600000e-10  0.00000000e+00
1.19614730e-03  1.74601756e+01  1.76970000e-02  4.74210000e+03  1.35800000e-10  0.00000000e+00
1.20810880e-03  1.74605049e+01  1.76980000e-02  4.69530000e+03  1.46700000e-10  0.00000000e+00
1.22018990e-03  1.74608223e+01  1.76990000e-02  4.64900000e+03  1.58500000e-10  0.00000000e+00
1.23239180e-03  1.74611288e+01  1.76990000e-02  4.60310000e+03  1.71200000e-10  0.00000000e+00
1.24471570e-03  1.74614251e+01  1.77000000e-02  4.55770000e+03  1.84900000e-10  0.00000000e+00
1.25716280e-03  1.74617120e+01  1.77010000e-02  4.51280000e+03  1.99600000e-10  0.00000000e+00
1.26973440e-03  1.74619901e+01  1.77010000e-02  4.46820000e+03  2.15500000e-10  0.00000000e+00
1.28243180e-03  1.74622601e+01  1.77020000e-02  4.42420000e+03  2.32700000e-10  0.00000000e+00
1.29525610e-03  1.74625223e+01  1.77030000e-02  4.38050000e+03  2.51100000e-10  0.00000000e+00
1.30820860e-03  1.74627774e+01  1.77030000e-02  4.33730000e+03  2.71000000e-10  0.00000000e+00
1.32129070e-03  1.74630257e+01  1.77040000e-02  4.29460000e+03  2.92500000e-10  0.00000000e+00
