#  Cs:    Z = 55;   Atomic weight = 132.9054 g/mol ;    nominal density:   [INLINE] = 1.8700E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.20695E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.16619E+05
#         17 edges. Edge energies (keV):
# K      3.59846E+01  L I    5.71430E+00  L II   5.35940E+00  L III  5.01190E+00
# M I    1.21710E+00  M II   1.06500E+00  M III  9.97600E-01  M IV   7.39500E-01
# M V    7.25500E-01  N I    2.30800E-01  N II   1.72300E-01  N III  1.61600E-01
# N IV   7.88000E-02  N V    7.65000E-02  O I    2.27000E-02  O II   1.31000E-02
# O III  1.14000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -6.7594E-01, -4.1400E-01 e/atom
#         Nuclear Thomson correction fNT = -1.2486E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=55, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  -3.63922488e+00  1.09710000e-01  3.43930000e+04  3.75300000e-11  0.00000000e+00
1.02010000e-03  -3.61427836e+00  1.09730000e-01  3.40570000e+04  4.06200000e-11  0.00000000e+00
1.03030100e-03  -3.60119365e+00  1.09740000e-01  3.37240000e+04  4.39600000e-11  0.00000000e+00
1.04060400e-03  -3.59133189e+00  1.09750000e-01  3.33940000e+04  4.75700000e-11  0.00000000e+00
1.05101010e-03  -3.58364056e+00  1.09770000e-01  3.30670000e+04  5.14600000e-11  0.00000000e+00
1.06152010e-03  -3.57728963e+00  1.09780000e-01  3.27440000e+04  5.56700000e-11  0.00000000e+00
1.07213530e-03  -3.57183633e+00  1.09790000e-01  3.24240000e+04  6.02100000e-11  0.00000000e+00
1.08285670e-03  -3.56732743e+00  1.09810000e-01  3.21070000e+04  6.51100000e-11  0.00000000e+00
1.09368520e-03  -3.56341961e+00  1.09820000e-01  3.17930000e+04  7.04100000e-11  0.00000000e+00
1.10462210e-03  -3.55995286e+00  1.09840000e-01  3.14830000e+04  7.61200000e-11  0.00000000e+00
1.11566830e-03  -3.55672474e+00  1.09850000e-01  3.11750000e+04  8.22900000e-11  0.00000000e+00
1.12682500e-03  -3.55394070e+00  1.09870000e-01  3.08710000e+04  8.89500000e-11  0.00000000e+00
1.13809320e-03  -3.55141199e+00  1.09880000e-01  3.05690000e+04  9.61300000e-11  0.00000000e+00
1.14947410e-03  -3.54895474e+00  1.09900000e-01  3.02710000e+04  1.03900000e-10  0.00000000e+00
1.16096880e-03  -3.54685621e+00  1.09910000e-01  2.99750000e+04  1.12200000e-10  0.00000000e+00
1.17257850e-03  -3.54492631e+00  1.09930000e-01  2.96820000e+04  1.21200000e-10  0.00000000e+00
1.18430430e-03  -3.54314710e+00  1.09940000e-01  2.93930000e+04  1.31000000e-10  0.00000000e+00
1.19614730e-03  -3.54150371e+00  1.09960000e-01  2.91060000e+04  1.41400000e-10  0.00000000e+00
1.20810880e-03  -3.53998369e+00  1.09970000e-01  2.88220000e+04  1.52700000e-10  0.00000000e+00
1.22018990e-03  -3.53857653e+00  1.09990000e-01  2.85400000e+04  1.64900000e-10  0.00000000e+00
1.23239180e-03  -3.53727330e+00  1.10010000e-01  2.82620000e+04  1.78000000e-10  0.00000000e+00
1.24471570e-03  -3.53606631e+00  1.10020000e-01  2.79860000e+04  1.92200000e-10  0.00000000e+00
