#  Ba:    Z = 56;   Atomic weight = 137.3300 g/mol ;    nominal density:   [INLINE] = 3.5000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.28042E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.06417E+05
#         17 edges. Edge energies (keV):
# K      3.74406E+01  L I    5.98880E+00  L II   5.62360E+00  L III  5.24700E+00
# M I    1.29280E+00  M II   1.13670E+00  M III  1.06220E+00  M IV   7.96100E-01
# M V    7.80700E-01  N I    2.53000E-01  N II   1.91800E-01  N III  1.79700E-01
# N IV   9.25000E-02  N V    8.99000E-02  O I    3.91000E-02  O II   1.66000E-02
# O III  1.46000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -7.0761E-01, -4.3260E-01 e/atom
#         Nuclear Thomson correction fNT = -1.2527E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=56, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.56895674e+01  3.18770000e-02  9.67090000e+03  5.62500000e-11  0.00000000e+00
1.02010000e-03  1.56964508e+01  3.18790000e-02  9.57590000e+03  6.03500000e-11  0.00000000e+00
1.03030100e-03  1.57001193e+01  3.18820000e-02  9.48190000e+03  6.47500000e-11  0.00000000e+00
1.04060400e-03  1.57030260e+01  3.18850000e-02  9.38880000e+03  6.94700000e-11  0.00000000e+00
1.05101010e-03  1.57053800e+01  3.18870000e-02  9.29660000e+03  7.45500000e-11  0.00000000e+00
1.06152010e-03  1.57073725e+01  3.18900000e-02  9.20540000e+03  8.00100000e-11  0.00000000e+00
1.07213530e-03  1.57089154e+01  3.18930000e-02  9.11510000e+03  8.58700000e-11  0.00000000e+00
1.08285670e-03  1.57103537e+01  3.18960000e-02  9.02560000e+03  9.21600000e-11  0.00000000e+00
1.09368520e-03  1.57115923e+01  3.18990000e-02  8.93700000e+03  9.89300000e-11  0.00000000e+00
1.10462210e-03  1.57126564e+01  3.19020000e-02  8.84940000e+03  1.06200000e-10  0.00000000e+00
1.11566830e-03  1.57137404e+01  3.19040000e-02  8.76250000e+03  1.14000000e-10  0.00000000e+00
1.12682500e-03  1.57145955e+01  3.19070000e-02  8.67660000e+03  1.22400000e-10  0.00000000e+00
1.13809320e-03  1.57153776e+01  3.19100000e-02  8.59150000e+03  1.31400000e-10  0.00000000e+00
1.14947410e-03  1.57160960e+01  3.19130000e-02  8.50720000e+03  1.41100000e-10  0.00000000e+00
1.16096880e-03  1.57168961e+01  3.19160000e-02  8.42380000e+03  1.51500000e-10  0.00000000e+00
1.17257850e-03  1.57174938e+01  3.19190000e-02  8.34120000e+03  1.62700000e-10  0.00000000e+00
1.18430430e-03  1.57180484e+01  3.19230000e-02  8.25940000e+03  1.74700000e-10  0.00000000e+00
1.19614730e-03  1.57185636e+01  3.19260000e-02  8.17840000e+03  1.87600000e-10  0.00000000e+00
1.20810880e-03  1.57190430e+01  3.19290000e-02  8.09820000e+03  2.01400000e-10  0.00000000e+00
1.22018990e-03  1.57194894e+01  3.19320000e-02  8.01890000e+03  2.16300000e-10  0.00000000e+00
1.23239180e-03  1.57199052e+01  3.19350000e-02  7.94030000e+03  2.32300000e-10  0.00000000e+00
1.24471570e-03  1.57202925e+01  3.19380000e-02  7.86240000e+03  2.49500000e-10  0.00000000e+00
1.25716280e-03  1.57206532e+01  3.19420000e-02  7.78540000e+03  2.67900000e-10  0.00000000e+00
1.26973440e-03  1.57209888e+01  3.19450000e-02  7.70910000e+03  2.87700000e-10  0.00000000e+00
1.28243180e-03  1.57213008e+01  3.19480000e-02  7.63360000e+03  3.09000000e-10  0.00000000e+00
1.29525610e-03  1.57215905e+01  3.19520000e-02  7.55880000e+03  3.31800000e-10  0.00000000e+00
1.30820860e-03  1.57218587e+01  3.19550000e-02  7.48480000e+03  3.56300000e-10  0.00000000e+00
1.32129070e-03  1.57221067e+01  3.19590000e-02  7.41150000e+03  3.82600000e-10  0.00000000e+00
1.33450360e-03  1.57223351e+01  3.19620000e-02  7.33890000e+03  4.10900000e-10  0.00000000e+00
1.34784860e-03  1.57225447e+01  3.19660000e-02  7.26700000e+03  4.41200000e-10  0.00000000e+00
1.36132710e-03  1.57227362e+01  3.19690000e-02  7.19590000e+03  4.73800000e-10  0.00000000e+00
1.37494030e-03  1.57229103e+01  3.19730000e-02  7.12540000e+03  5.08700000e-10  0.00000000e+00
1.38868970e-03  1.57230673e+01  3.19770000e-02  7.05570000e+03  5.46200000e-10  0.00000000e+00
1.40257660e-03  1.57232079e+01  3.19800000e-02  6.98660000e+03  5.86500000e-10  0.00000000e+00
1.41660240e-03  1.57233324e+01  3.19840000e-02  6.91830000e+03  6.29700000e-10  0.00000000e+00
1.43076840e-03  1.57234411e+01  3.19880000e-02  6.85060000e+03  6.76000000e-10  0.00000000e+00
1.44507600e-03  1.57235345e+01  3.19910000e-02  6.78360000e+03  7.25700000e-10  0.00000000e+00
1.45952680e-03  1.57236128e+01  3.19950000e-02  6.71720000e+03  7.79100000e-10  0.00000000e+00
1.47412200e-03  1.57236762e+01  3.19990000e-02  6.65150000e+03  8.36300000e-10  0.00000000e+00
1.48886320e-03  1.57237250e+01  3.20030000e-02  6.58640000e+03  8.97700000e-10  0.00000000e+00
1.50375190e-03  1.57237593e+01  3.20070000e-02  6.52200000e+03  9.63500000e-10  0.00000000e+00
1.51878940e-03  1.57237794e+01  3.20110000e-02  6.45830000e+03  1.03400000e-09  0.00000000e+00
1.53397720e-03  1.57237853e+01  3.20150000e-02  6.39510000e+03  1.11000000e-09  0.00000000e+00
1.54931700e-03  1.57237772e+01  3.20190000e-02  6.33260000e+03  1.19100000e-09  0.00000000e+00
1.56481020e-03  1.57237551e+01  3.20230000e-02  6.27070000e+03  1.27800000e-09  0.00000000e+00
1.58045820e-03  1.57237192e+01  3.20270000e-02  6.20940000e+03  1.37100000e-09  0.00000000e+00
1.59626280e-03  1.57236695e+01  3.20320000e-02  6.14880000e+03  1.47100000e-09  0.00000000e+00
1.61222540e-03  1.57236060e+01  3.20360000e-02  6.08870000e+03  1.57900000e-09  0.00000000e+00
1.62834770e-03  1.57235288e+01  3.20400000e-02  6.02920000e+03  1.69400000e-09  0.00000000e+00
1.64463110e-03  1.57234378e+01  3.20440000e-02  5.97030000e+03  1.81700000e-09  0.00000000e+00
1.66107740e-03  1.57233330e+01  3.20490000e-02  5.91200000e+03  1.94900000e-09  0.00000000e+00
1.67768820e-03  1.57232145e+01  3.20530000e-02  5.85430000e+03  2.09000000e-09  0.00000000e+00
1.69446500e-03  1.57230821e+01  3.20580000e-02  5.79710000e+03  2.24200000e-09  0.00000000e+00
1.71140970e-03  1.57229358e+01  3.20620000e-02  5.74060000e+03  2.40400000e-09  0.00000000e+00
1.72852380e-03  1.57227756e+01  3.20670000e-02  5.68450000e+03  2.57800000e-09  0.00000000e+00
1.74580900e-03  1.57226013e+01  3.20710000e-02  5.62910000e+03  2.76400000e-09  0.00000000e+00
1.76326710e-03  1.57224129e+01  3.20760000e-02  5.57410000e+03  2.96300000e-09  0.00000000e+00
1.78089970e-03  1.57222103e+01  3.20810000e-02  5.51980000e+03  3.17600000e-09  0.00000000e+00
1.79870870e-03  1.57219934e+01  3.20860000e-02  5.46590000e+03  3.40500000e-09  0.00000000e+00
1.81669580e-03  1.57217619e+01  3.20900000e-02  5.41260000e+03  3.64900000e-09  0.00000000e+00
1.83486270e-03  1.57215159e+01  3.20950000e-02  5.35980000e+03  3.91100000e-09  0.00000000e+00
1.85321130e-03  1.57212552e+01  3.21000000e-02  5.30760000e+03  4.19100000e-09  0.00000000e+00
1.87174340e-03  1.57209795e+01  3.21050000e-02  5.25580000e+03  4.49100000e-09  0.00000000e+00
1.89046080e-03  1.57206888e+01  3.21100000e-02  5.20460000e+03  4.81100000e-09  0.00000000e+00
1.90936540e-03  1.57203829e+01  3.21150000e-02  5.15390000e+03  5.15400000e-09  0.00000000e+00
1.92845900e-03  1.57200615e+01  3.21200000e-02  5.10370000e+03  5.52100000e-09  0.00000000e+00
1.94774360e-03  1.57197246e+01  3.21250000e-02  5.05390000e+03  5.91400000e-09  0.00000000e+00
1.96722100e-03  1.57193718e+01  3.21310000e-02  5.00470000e+03  6.33400000e-09  0.00000000e+00
1.98689320e-03  1.57190030e+01  3.21360000e-02  4.95600000e+03  6.78300000e-09  0.00000000e+00
2.00676210e-03  1.57186179e+01  3.21410000e-02  4.90770000e+03  7.26300000e-09  0.00000000e+00
2.02682970e-03  1.57182164e+01  3.21470000e-02  4.86000000e+03  7.77600000e-09  0.00000000e+00
2.04709800e-03  1.57177981e+01  3.21520000e-02  4.81260000e+03  8.32400000e-09  0.00000000e+00
2.06756900e-03  1.57173629e+01  3.21580000e-02  4.76580000e+03  8.91100000e-09  0.00000000e+00
2.08824460e-03  1.57169105e+01  3.21630000e-02  4.71940000e+03  9.53700000e-09  0.00000000e+00
2.10912710e-03  1.57164405e+01  3.21690000e-02  4.67350000e+03  1.02100000e-08  0.00000000e+00
