#  La:    Z = 57;   Atomic weight = 138.9055 g/mol ;    nominal density:   [INLINE] = 6.1270E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.30658E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.02942E+05
#         17 edges. Edge energies (keV):
# K      3.89246E+01  L I    6.26630E+00  L II   5.89060E+00  L III  5.48270E+00
# M I    1.36130E+00  M II   1.20440E+00  M III  1.12340E+00  M IV   8.48500E-01
# M V    8.31700E-01  N I    2.70400E-01  N II   2.05800E-01  N III  1.91400E-01
# N IV   9.89000E-02  N V    9.89000E-02  O I    3.23000E-02  O II   1.44000E-02
# O III  1.44000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -7.4022E-01, -4.5180E-01 e/atom
#         Nuclear Thomson correction fNT = -1.2831E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=57, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.99298091e+01  1.62290000e-02  4.86770000e+03  1.38300000e-10  0.00000000e+00
1.02010000e-03  1.99329608e+01  1.62300000e-02  4.81980000e+03  1.46700000e-10  0.00000000e+00
1.03030100e-03  1.99347255e+01  1.62310000e-02  4.77230000e+03  1.55500000e-10  0.00000000e+00
1.04060400e-03  1.99362656e+01  1.62310000e-02  4.72530000e+03  1.65000000e-10  0.00000000e+00
1.05101010e-03  1.99374910e+01  1.62320000e-02  4.67880000e+03  1.75100000e-10  0.00000000e+00
1.06152010e-03  1.99383548e+01  1.62330000e-02  4.63270000e+03  1.85800000e-10  0.00000000e+00
1.07213530e-03  1.99392770e+01  1.62340000e-02  4.58710000e+03  1.97200000e-10  0.00000000e+00
1.08285670e-03  1.99400125e+01  1.62350000e-02  4.54190000e+03  2.09400000e-10  0.00000000e+00
1.09368520e-03  1.99405847e+01  1.62360000e-02  4.49720000e+03  2.22400000e-10  0.00000000e+00
1.10462210e-03  1.99410947e+01  1.62370000e-02  4.45290000e+03  2.36300000e-10  0.00000000e+00
1.11566830e-03  1.99415520e+01  1.62380000e-02  4.40910000e+03  2.51100000e-10  0.00000000e+00
1.12682500e-03  1.99420732e+01  1.62390000e-02  4.36570000e+03  2.66800000e-10  0.00000000e+00
1.13809320e-03  1.99424316e+01  1.62400000e-02  4.32270000e+03  2.83600000e-10  0.00000000e+00
1.14947410e-03  1.99427570e+01  1.62400000e-02  4.28020000e+03  3.01600000e-10  0.00000000e+00
1.16096880e-03  1.99430529e+01  1.62410000e-02  4.23800000e+03  3.20700000e-10  0.00000000e+00
1.17257850e-03  1.99434504e+01  1.62420000e-02  4.19630000e+03  3.41100000e-10  0.00000000e+00
1.18430430e-03  1.99436824e+01  1.62430000e-02  4.15500000e+03  3.62900000e-10  0.00000000e+00
1.19614730e-03  1.99438935e+01  1.62440000e-02  4.11410000e+03  3.86100000e-10  0.00000000e+00
1.20810880e-03  1.99440852e+01  1.62450000e-02  4.07360000e+03  4.11000000e-10  0.00000000e+00
1.22018990e-03  1.99442586e+01  1.62460000e-02  4.03360000e+03  4.37400000e-10  0.00000000e+00
1.23239180e-03  1.99444150e+01  1.62470000e-02  3.99390000e+03  4.65700000e-10  0.00000000e+00
1.24471570e-03  1.99445553e+01  1.62480000e-02  3.95460000e+03  4.95900000e-10  0.00000000e+00
1.25716280e-03  1.99446802e+01  1.62490000e-02  3.91570000e+03  5.28200000e-10  0.00000000e+00
1.26973440e-03  1.99447906e+01  1.62510000e-02  3.87720000e+03  5.62600000e-10  0.00000000e+00
1.28243180e-03  1.99448870e+01  1.62520000e-02  3.83900000e+03  5.99300000e-10  0.00000000e+00
1.29525610e-03  1.99449699e+01  1.62530000e-02  3.80130000e+03  6.38600000e-10  0.00000000e+00
1.30820860e-03  1.99450400e+01  1.62540000e-02  3.76390000e+03  6.80500000e-10  0.00000000e+00
1.32129070e-03  1.99450975e+01  1.62550000e-02  3.72690000e+03  7.25300000e-10  0.00000000e+00
1.33450360e-03  1.99451430e+01  1.62560000e-02  3.69020000e+03  7.73200000e-10  0.00000000e+00
