#  Ce:    Z = 58;   Atomic weight = 140.1200 g/mol ;    nominal density:   [INLINE] = 6.6370E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.32675E+02
#         E(eV) (cm2/g) = f2(e/atom)    3.00316E+05
#         18 edges. Edge energies (keV):
# K      4.04430E+01  L I    6.54880E+00  L II   6.16420E+00  L III  5.72340E+00
# M I    1.43460E+00  M II   1.27280E+00  M III  1.18540E+00  M IV   9.01300E-01
# M V    8.83300E-01  N I    2.89600E-01  N II   2.23300E-01  N III  2.07200E-01
# N IV   1.10000E-01  N V    1.10000E-01  N VI*  8.59000E-02  O I    3.78000E-02
# O II   1.98000E-02  O III  1.98000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -7.7379E-01, -4.7160E-01 e/atom
#         Nuclear Thomson correction fNT = -1.3170E-02 e/atom
#         N VI* is an effective orbital, modeling valence structure and being higher in energy than the O levels.
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=58, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.89750258e+01  3.53150000e-02  1.05010000e+04  2.04000000e-10  0.00000000e+00
1.02010000e-03  1.89834579e+01  3.53170000e-02  1.03970000e+04  2.14900000e-10  0.00000000e+00
1.03030100e-03  1.89875252e+01  3.53200000e-02  1.02950000e+04  2.26400000e-10  0.00000000e+00
1.04060400e-03  1.89909561e+01  3.53220000e-02  1.01940000e+04  2.38500000e-10  0.00000000e+00
1.05101010e-03  1.89936180e+01  3.53240000e-02  1.00940000e+04  2.51400000e-10  0.00000000e+00
1.06152010e-03  1.89955939e+01  3.53270000e-02  9.99430000e+03  2.65000000e-10  0.00000000e+00
1.07213530e-03  1.89973138e+01  3.53290000e-02  9.89600000e+03  2.79400000e-10  0.00000000e+00
1.08285670e-03  1.89990063e+01  3.53310000e-02  9.79870000e+03  2.94700000e-10  0.00000000e+00
1.09368520e-03  1.90004460e+01  3.53340000e-02  9.70240000e+03  3.11000000e-10  0.00000000e+00
1.10462210e-03  1.90016734e+01  3.53360000e-02  9.60700000e+03  3.28200000e-10  0.00000000e+00
1.11566830e-03  1.90027945e+01  3.53390000e-02  9.51250000e+03  3.46400000e-10  0.00000000e+00
1.12682500e-03  1.90038257e+01  3.53410000e-02  9.41900000e+03  3.65800000e-10  0.00000000e+00
1.13809320e-03  1.90049799e+01  3.53440000e-02  9.32640000e+03  3.86300000e-10  0.00000000e+00
1.14947410e-03  1.90058438e+01  3.53470000e-02  9.23480000e+03  4.08100000e-10  0.00000000e+00
1.16096880e-03  1.90066527e+01  3.53490000e-02  9.14400000e+03  4.31300000e-10  0.00000000e+00
1.17257850e-03  1.90075584e+01  3.53520000e-02  9.05420000e+03  4.55800000e-10  0.00000000e+00
1.18430430e-03  1.90082610e+01  3.53540000e-02  8.96520000e+03  4.81900000e-10  0.00000000e+00
