#  Pr:    Z = 59;   Atomic weight = 140.9077 g/mol ;    nominal density:   [INLINE] = 6.7610E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.33983E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.98637E+05
#         18 edges. Edge energies (keV):
# K      4.19906E+01  L I    6.83480E+00  L II   6.44040E+00  L III  5.96430E+00
# M I    1.51100E+00  M II   1.33740E+00  M III  1.24220E+00  M IV   9.51100E-01
# M V    9.31000E-01  N I    3.04500E-01  N II   2.36300E-01  N III  2.17600E-01
# N IV   1.13200E-01  N V    1.13200E-01  N VI   3.50000E-03  O I    3.74000E-02
# O II   2.23000E-02  O III  2.23000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -8.0832E-01, -4.9140E-01 e/atom
#         Nuclear Thomson correction fNT = -1.3552E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=59, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.76603272e+01  4.24510000e-02  1.25520000e+04  2.59200000e-10  0.00000000e+00
1.02010000e-03  1.76695792e+01  4.24540000e-02  1.24290000e+04  2.72700000e-10  0.00000000e+00
1.03030100e-03  1.76751802e+01  4.24570000e-02  1.23060000e+04  2.86900000e-10  0.00000000e+00
1.04060400e-03  1.76791949e+01  4.24600000e-02  1.21850000e+04  3.02000000e-10  0.00000000e+00
1.05101010e-03  1.76822909e+01  4.24630000e-02  1.20650000e+04  3.17900000e-10  0.00000000e+00
1.06152010e-03  1.76845899e+01  4.24650000e-02  1.19470000e+04  3.34700000e-10  0.00000000e+00
1.07213530e-03  1.76865801e+01  4.24680000e-02  1.18290000e+04  3.52600000e-10  0.00000000e+00
1.08285670e-03  1.76883314e+01  4.24710000e-02  1.17130000e+04  3.71500000e-10  0.00000000e+00
1.09368520e-03  1.76900564e+01  4.24740000e-02  1.15980000e+04  3.91500000e-10  0.00000000e+00
1.10462210e-03  1.76915353e+01  4.24770000e-02  1.14840000e+04  4.12700000e-10  0.00000000e+00
