#  Nd:    Z = 60;   Atomic weight = 144.2400 g/mol ;    nominal density:   [INLINE] = 6.9940E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.39516E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.91738E+05
#         18 edges. Edge energies (keV):
# K      4.35689E+01  L I    7.12600E+00  L II   6.72150E+00  L III  6.20790E+00
# M I    1.57530E+00  M II   1.40280E+00  M III  1.29740E+00  M IV   9.99500E-01
# M V    9.77700E-01  N I    3.15200E-01  N II   2.43300E-01  N III  2.24600E-01
# N IV   1.17500E-01  N V    1.17500E-01  N VI   3.00000E-03  O I    3.75000E-02
# O II   2.11000E-02  O III  2.11000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -8.4384E-01, -5.1240E-01 e/atom
#         Nuclear Thomson correction fNT = -1.3692E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=60, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.71128523e+01  5.56320000e-02  1.60690000e+04  2.46200000e-10  0.00000000e+00
1.02010000e-03  1.71242017e+01  5.56350000e-02  1.59110000e+04  2.59700000e-10  0.00000000e+00
1.03030100e-03  1.71311839e+01  5.56390000e-02  1.57550000e+04  2.74000000e-10  0.00000000e+00
1.04060400e-03  1.71359330e+01  5.56420000e-02  1.56000000e+04  2.89200000e-10  0.00000000e+00
1.05101010e-03  1.71396446e+01  5.56460000e-02  1.54460000e+04  3.05300000e-10  0.00000000e+00
1.06152010e-03  1.71426923e+01  5.56490000e-02  1.52940000e+04  3.22400000e-10  0.00000000e+00
1.07213530e-03  1.71451395e+01  5.56530000e-02  1.51440000e+04  3.40600000e-10  0.00000000e+00
1.08285670e-03  1.71472914e+01  5.56570000e-02  1.49950000e+04  3.59900000e-10  0.00000000e+00
1.09368520e-03  1.71493700e+01  5.56600000e-02  1.48470000e+04  3.80300000e-10  0.00000000e+00
1.10462210e-03  1.71510901e+01  5.56640000e-02  1.47010000e+04  4.02100000e-10  0.00000000e+00
1.11566830e-03  1.71527278e+01  5.56680000e-02  1.45570000e+04  4.25200000e-10  0.00000000e+00
1.12682500e-03  1.71541522e+01  5.56720000e-02  1.44140000e+04  4.49700000e-10  0.00000000e+00
1.13809320e-03  1.71554615e+01  5.56760000e-02  1.42720000e+04  4.75800000e-10  0.00000000e+00
1.14947410e-03  1.71569161e+01  5.56800000e-02  1.41320000e+04  5.03500000e-10  0.00000000e+00
1.16096880e-03  1.71580107e+01  5.56840000e-02  1.39930000e+04  5.32900000e-10  0.00000000e+00
1.17257850e-03  1.71590313e+01  5.56880000e-02  1.38550000e+04  5.64300000e-10  0.00000000e+00
1.18430430e-03  1.71599856e+01  5.56920000e-02  1.37190000e+04  5.97600000e-10  0.00000000e+00
1.19614730e-03  1.71610322e+01  5.56960000e-02  1.35840000e+04  6.33000000e-10  0.00000000e+00
1.20810880e-03  1.71618586e+01  5.57000000e-02  1.34510000e+04  6.70700000e-10  0.00000000e+00
1.22018990e-03  1.71626367e+01  5.57040000e-02  1.33180000e+04  7.10800000e-10  0.00000000e+00
1.23239180e-03  1.71634194e+01  5.57080000e-02  1.31880000e+04  7.53500000e-10  0.00000000e+00
1.24471570e-03  1.71641108e+01  5.57120000e-02  1.30580000e+04  7.98900000e-10  0.00000000e+00
1.25716280e-03  1.71647638e+01  5.57170000e-02  1.29300000e+04  8.47300000e-10  0.00000000e+00
1.26973440e-03  1.71653809e+01  5.57210000e-02  1.28030000e+04  8.98700000e-10  0.00000000e+00
1.28243180e-03  1.71659643e+01  5.57250000e-02  1.26770000e+04  9.53600000e-10  0.00000000e+00
1.29525610e-03  1.71665157e+01  5.57300000e-02  1.25520000e+04  1.01200000e-09  0.00000000e+00
1.30820860e-03  1.71670371e+01  5.57340000e-02  1.24290000e+04  1.07400000e-09  0.00000000e+00
1.32129070e-03  1.71675297e+01  5.57390000e-02  1.23070000e+04  1.14000000e-09  0.00000000e+00
1.33450360e-03  1.71679950e+01  5.57430000e-02  1.21860000e+04  1.21100000e-09  0.00000000e+00
1.34784860e-03  1.71684341e+01  5.57480000e-02  1.20670000e+04  1.28600000e-09  0.00000000e+00
1.36132710e-03  1.71688480e+01  5.57530000e-02  1.19480000e+04  1.36600000e-09  0.00000000e+00
1.37494030e-03  1.71692377e+01  5.57570000e-02  1.18310000e+04  1.45100000e-09  0.00000000e+00
1.38868970e-03  1.71696040e+01  5.57620000e-02  1.17150000e+04  1.54200000e-09  0.00000000e+00
1.40257660e-03  1.71699477e+01  5.57670000e-02  1.16000000e+04  1.63900000e-09  0.00000000e+00
1.41660240e-03  1.71702694e+01  5.57720000e-02  1.14860000e+04  1.74200000e-09  0.00000000e+00
1.43076840e-03  1.71705696e+01  5.57770000e-02  1.13730000e+04  1.85200000e-09  0.00000000e+00
1.44507600e-03  1.71708489e+01  5.57820000e-02  1.12610000e+04  1.97000000e-09  0.00000000e+00
1.45952680e-03  1.71711077e+01  5.57870000e-02  1.11510000e+04  2.09500000e-09  0.00000000e+00
1.47412200e-03  1.71713465e+01  5.57920000e-02  1.10420000e+04  2.22800000e-09  0.00000000e+00
1.48886320e-03  1.71715656e+01  5.57970000e-02  1.09330000e+04  2.37000000e-09  0.00000000e+00
1.50375190e-03  1.71717653e+01  5.58020000e-02  1.08260000e+04  2.52100000e-09  0.00000000e+00
1.51878940e-03  1.71719457e+01  5.58070000e-02  1.07200000e+04  2.68300000e-09  0.00000000e+00
1.53397720e-03  1.71721073e+01  5.58130000e-02  1.06150000e+04  2.85500000e-09  0.00000000e+00
1.54931700e-03  1.71722501e+01  5.58180000e-02  1.05110000e+04  3.03900000e-09  0.00000000e+00
1.56481020e-03  1.71723743e+01  5.58230000e-02  1.04080000e+04  3.23400000e-09  0.00000000e+00
