#  Pm:    Z = 61;   Atomic weight = 145.0000 g/mol ;    nominal density:   [INLINE] = 7.2000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.40778E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.90209E+05
#         18 edges. Edge energies (keV):
# K      4.51840E+01  L I    7.42790E+00  L II   7.01280E+00  L III  6.45930E+00
# M I    1.64650E+00  M II   1.47140E+00  M III  1.35690E+00  M IV   1.05150E+00
# M V    1.02690E+00  N I    3.30400E-01  N II   2.54400E-01  N III  2.36000E-01
# N IV   1.20400E-01  N V    1.20400E-01  N VI   4.00000E-03  O I    3.75000E-02
# O II   2.11000E-02  O III  2.11000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -8.8035E-01, -5.3340E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4078E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=61, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.62823693e+01  6.05270000e-02  1.73920000e+04  2.02800000e-10  0.00000000e+00
1.02010000e-03  1.62947507e+01  6.05310000e-02  1.72210000e+04  2.15400000e-10  0.00000000e+00
1.03030100e-03  1.63024392e+01  6.05350000e-02  1.70510000e+04  2.28700000e-10  0.00000000e+00
1.04060400e-03  1.63074509e+01  6.05390000e-02  1.68830000e+04  2.43000000e-10  0.00000000e+00
1.05101010e-03  1.63116124e+01  6.05430000e-02  1.67170000e+04  2.58200000e-10  0.00000000e+00
1.06152010e-03  1.63150651e+01  6.05460000e-02  1.65530000e+04  2.74400000e-10  0.00000000e+00
1.07213530e-03  1.63177685e+01  6.05500000e-02  1.63900000e+04  2.91700000e-10  0.00000000e+00
1.08285670e-03  1.63201519e+01  6.05540000e-02  1.62290000e+04  3.10200000e-10  0.00000000e+00
1.09368520e-03  1.63222809e+01  6.05580000e-02  1.60690000e+04  3.29900000e-10  0.00000000e+00
1.10462210e-03  1.63243584e+01  6.05630000e-02  1.59110000e+04  3.50900000e-10  0.00000000e+00
1.11566830e-03  1.63261035e+01  6.05670000e-02  1.57550000e+04  3.73300000e-10  0.00000000e+00
1.12682500e-03  1.63277774e+01  6.05710000e-02  1.56000000e+04  3.97300000e-10  0.00000000e+00
1.13809320e-03  1.63292513e+01  6.05750000e-02  1.54460000e+04  4.22800000e-10  0.00000000e+00
1.14947410e-03  1.63307577e+01  6.05790000e-02  1.52950000e+04  4.50100000e-10  0.00000000e+00
1.16096880e-03  1.63321372e+01  6.05840000e-02  1.51440000e+04  4.79300000e-10  0.00000000e+00
1.17257850e-03  1.63333003e+01  6.05880000e-02  1.49950000e+04  5.10400000e-10  0.00000000e+00
1.18430430e-03  1.63343925e+01  6.05920000e-02  1.48480000e+04  5.43600000e-10  0.00000000e+00
1.19614730e-03  1.63355838e+01  6.05970000e-02  1.47020000e+04  5.79000000e-10  0.00000000e+00
1.20810880e-03  1.63365402e+01  6.06010000e-02  1.45570000e+04  6.16900000e-10  0.00000000e+00
1.22018990e-03  1.63374454e+01  6.06060000e-02  1.44140000e+04  6.57400000e-10  0.00000000e+00
1.23239180e-03  1.63383034e+01  6.06100000e-02  1.42730000e+04  7.00600000e-10  0.00000000e+00
1.24471570e-03  1.63391685e+01  6.06150000e-02  1.41330000e+04  7.46700000e-10  0.00000000e+00
1.25716280e-03  1.63399419e+01  6.06190000e-02  1.39940000e+04  7.96000000e-10  0.00000000e+00
1.26973440e-03  1.63406777e+01  6.06240000e-02  1.38560000e+04  8.48700000e-10  0.00000000e+00
1.28243180e-03  1.63413784e+01  6.06290000e-02  1.37200000e+04  9.04900000e-10  0.00000000e+00
1.29525610e-03  1.63420462e+01  6.06340000e-02  1.35850000e+04  9.65000000e-10  0.00000000e+00
1.30820860e-03  1.63426827e+01  6.06380000e-02  1.34520000e+04  1.02900000e-09  0.00000000e+00
1.32129070e-03  1.63432899e+01  6.06430000e-02  1.33200000e+04  1.09800000e-09  0.00000000e+00
1.33450360e-03  1.63438690e+01  6.06480000e-02  1.31890000e+04  1.17100000e-09  0.00000000e+00
1.34784860e-03  1.63444216e+01  6.06530000e-02  1.30590000e+04  1.24900000e-09  0.00000000e+00
1.36132710e-03  1.63449486e+01  6.06580000e-02  1.29310000e+04  1.33300000e-09  0.00000000e+00
1.37494030e-03  1.63454513e+01  6.06630000e-02  1.28040000e+04  1.42200000e-09  0.00000000e+00
1.38868970e-03  1.63459306e+01  6.06690000e-02  1.26790000e+04  1.51800000e-09  0.00000000e+00
1.40257660e-03  1.63463874e+01  6.06740000e-02  1.25540000e+04  1.62000000e-09  0.00000000e+00
1.41660240e-03  1.63468223e+01  6.06790000e-02  1.24310000e+04  1.72900000e-09  0.00000000e+00
1.43076840e-03  1.63472362e+01  6.06840000e-02  1.23090000e+04  1.84500000e-09  0.00000000e+00
1.44507600e-03  1.63476296e+01  6.06900000e-02  1.21880000e+04  1.97000000e-09  0.00000000e+00
1.45952680e-03  1.63480032e+01  6.06950000e-02  1.20680000e+04  2.10200000e-09  0.00000000e+00
1.47412200e-03  1.63483573e+01  6.07010000e-02  1.19500000e+04  2.24400000e-09  0.00000000e+00
1.48886320e-03  1.63486926e+01  6.07060000e-02  1.18330000e+04  2.39600000e-09  0.00000000e+00
1.50375190e-03  1.63490093e+01  6.07120000e-02  1.17170000e+04  2.55800000e-09  0.00000000e+00
1.51878940e-03  1.63493079e+01  6.07170000e-02  1.16020000e+04  2.73100000e-09  0.00000000e+00
1.53397720e-03  1.63495887e+01  6.07230000e-02  1.14880000e+04  2.91500000e-09  0.00000000e+00
