#  Sm:    Z = 62;   Atomic weight = 150.3600 g/mol ;    nominal density:   [INLINE] = 7.5100E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.49679E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.79864E+05
#         18 edges. Edge energies (keV):
# K      4.68342E+01  L I    7.73680E+00  L II   7.31180E+00  L III  6.71620E+00
# M I    1.72280E+00  M II   1.54070E+00  M III  1.41980E+00  M IV   1.10600E+00
# M V    1.08020E+00  N I    3.45700E-01  N II   2.65600E-01  N III  2.47400E-01
# N IV   1.29000E-01  N V    1.29000E-01  N VI   5.50000E-03  O I    3.74000E-02
# O II   2.13000E-02  O III  2.13000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -9.1787E-01, -5.5500E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4025E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=62, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.55867943e+01  6.44220000e-02  1.78510000e+04  1.62400000e-10  0.00000000e+00
1.02010000e-03  1.55999209e+01  6.44260000e-02  1.76750000e+04  1.73900000e-10  0.00000000e+00
1.03030100e-03  1.56082221e+01  6.44290000e-02  1.75010000e+04  1.86200000e-10  0.00000000e+00
1.04060400e-03  1.56133803e+01  6.44330000e-02  1.73290000e+04  1.99400000e-10  0.00000000e+00
1.05101010e-03  1.56179717e+01  6.44370000e-02  1.71580000e+04  2.13500000e-10  0.00000000e+00
1.06152010e-03  1.56216556e+01  6.44410000e-02  1.69900000e+04  2.28700000e-10  0.00000000e+00
1.07213530e-03  1.56245477e+01  6.44450000e-02  1.68220000e+04  2.44900000e-10  0.00000000e+00
1.08285670e-03  1.56271033e+01  6.44490000e-02  1.66570000e+04  2.62400000e-10  0.00000000e+00
1.09368520e-03  1.56293912e+01  6.44530000e-02  1.64930000e+04  2.81000000e-10  0.00000000e+00
1.10462210e-03  1.56314608e+01  6.44570000e-02  1.63310000e+04  3.01100000e-10  0.00000000e+00
1.11566830e-03  1.56335002e+01  6.44620000e-02  1.61700000e+04  3.22500000e-10  0.00000000e+00
1.12682500e-03  1.56352308e+01  6.44660000e-02  1.60110000e+04  3.45500000e-10  0.00000000e+00
1.13809320e-03  1.56369016e+01  6.44700000e-02  1.58540000e+04  3.70200000e-10  0.00000000e+00
1.14947410e-03  1.56383860e+01  6.44740000e-02  1.56980000e+04  3.96600000e-10  0.00000000e+00
1.16096880e-03  1.56400437e+01  6.44790000e-02  1.55430000e+04  4.25000000e-10  0.00000000e+00
1.17257850e-03  1.56413134e+01  6.44830000e-02  1.53900000e+04  4.55300000e-10  0.00000000e+00
1.18430430e-03  1.56425086e+01  6.44870000e-02  1.52390000e+04  4.87900000e-10  0.00000000e+00
1.19614730e-03  1.56436367e+01  6.44920000e-02  1.50890000e+04  5.22700000e-10  0.00000000e+00
1.20810880e-03  1.56448641e+01  6.44960000e-02  1.49410000e+04  5.60100000e-10  0.00000000e+00
1.22018990e-03  1.56458629e+01  6.45010000e-02  1.47940000e+04  6.00200000e-10  0.00000000e+00
1.23239180e-03  1.56468124e+01  6.45050000e-02  1.46490000e+04  6.43100000e-10  0.00000000e+00
1.24471570e-03  1.56477165e+01  6.45100000e-02  1.45050000e+04  6.89100000e-10  0.00000000e+00
1.25716280e-03  1.56485786e+01  6.45150000e-02  1.43620000e+04  7.38300000e-10  0.00000000e+00
1.26973440e-03  1.56494523e+01  6.45200000e-02  1.42210000e+04  7.91100000e-10  0.00000000e+00
1.28243180e-03  1.56502380e+01  6.45240000e-02  1.40810000e+04  8.47600000e-10  0.00000000e+00
1.29525610e-03  1.56509895e+01  6.45290000e-02  1.39430000e+04  9.08200000e-10  0.00000000e+00
