#  Eu:    Z = 63;   Atomic weight = 151.9600 g/mol ;    nominal density:   [INLINE] = 5.2280E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.52336E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.76917E+05
#         18 edges. Edge energies (keV):
# K      4.85190E+01  L I    8.05200E+00  L II   7.61710E+00  L III  6.97690E+00
# M I    1.80000E+00  M II   1.61390E+00  M III  1.48060E+00  M IV   1.16060E+00
# M V    1.13090E+00  N I    3.60200E-01  N II   2.83900E-01  N III  2.56600E-01
# N IV   1.33200E-01  N V    1.33200E-01  N VI   2.91151E-03  O I    3.18000E-02
# O II   2.20000E-02  O III  2.20000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -9.5641E-01, -5.7720E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4328E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=63, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.72215807e+01  7.15600000e-02  1.96200000e+04  1.48900000e-10  0.00000000e+00
1.02010000e-03  1.72361039e+01  7.15640000e-02  1.94270000e+04  1.60300000e-10  0.00000000e+00
1.03030100e-03  1.72454063e+01  7.15680000e-02  1.92360000e+04  1.72600000e-10  0.00000000e+00
1.04060400e-03  1.72510811e+01  7.15730000e-02  1.90460000e+04  1.85900000e-10  0.00000000e+00
1.05101010e-03  1.72561382e+01  7.15770000e-02  1.88590000e+04  2.00100000e-10  0.00000000e+00
1.06152010e-03  1.72601868e+01  7.15810000e-02  1.86730000e+04  2.15400000e-10  0.00000000e+00
1.07213530e-03  1.72633692e+01  7.15860000e-02  1.84900000e+04  2.31900000e-10  0.00000000e+00
1.08285670e-03  1.72661769e+01  7.15900000e-02  1.83080000e+04  2.49600000e-10  0.00000000e+00
1.09368520e-03  1.72686860e+01  7.15950000e-02  1.81270000e+04  2.68700000e-10  0.00000000e+00
1.10462210e-03  1.72709515e+01  7.15990000e-02  1.79490000e+04  2.89100000e-10  0.00000000e+00
1.11566830e-03  1.72730146e+01  7.16040000e-02  1.77730000e+04  3.11100000e-10  0.00000000e+00
1.12682500e-03  1.72750530e+01  7.16080000e-02  1.75980000e+04  3.34700000e-10  0.00000000e+00
