#  Gd:    Z = 64;   Atomic weight = 157.2500 g/mol ;    nominal density:   [INLINE] = 7.8770E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.61120E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.67601E+05
#         19 edges. Edge energies (keV):
# K      5.02391E+01  L I    8.37560E+00  L II   7.93030E+00  L III  7.24280E+00
# M I    1.88080E+00  M II   1.68830E+00  M III  1.54400E+00  M IV   1.21720E+00
# M V    1.18520E+00  N I    3.75800E-01  N II   2.88500E-01  N III  2.70900E-01
# N IV   1.40500E-01  N V    1.40500E-01  N VI   9.27940E-03  N VII  8.52419E-03
# O I    3.61000E-02  O II   2.03000E-02  O III  2.03000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -9.9598E-01, -6.0000E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4289E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=64, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.61590386e+01  5.15560000e-02  1.36600000e+04  1.93200000e-10  0.00000000e+00
1.02010000e-03  1.61694751e+01  5.15590000e-02  1.35250000e+04  2.07900000e-10  0.00000000e+00
1.03030100e-03  1.61758569e+01  5.15610000e-02  1.33920000e+04  2.23700000e-10  0.00000000e+00
1.04060400e-03  1.61798712e+01  5.15640000e-02  1.32600000e+04  2.40700000e-10  0.00000000e+00
1.05101010e-03  1.61836401e+01  5.15660000e-02  1.31290000e+04  2.59000000e-10  0.00000000e+00
1.06152010e-03  1.61866031e+01  5.15690000e-02  1.30000000e+04  2.78600000e-10  0.00000000e+00
1.07213530e-03  1.61888328e+01  5.15720000e-02  1.28720000e+04  2.99700000e-10  0.00000000e+00
1.08285670e-03  1.61908152e+01  5.15740000e-02  1.27450000e+04  3.22300000e-10  0.00000000e+00
1.09368520e-03  1.61925986e+01  5.15770000e-02  1.26200000e+04  3.46600000e-10  0.00000000e+00
1.10462210e-03  1.61942185e+01  5.15800000e-02  1.24950000e+04  3.72700000e-10  0.00000000e+00
1.11566830e-03  1.61957015e+01  5.15820000e-02  1.23720000e+04  4.00800000e-10  0.00000000e+00
1.12682500e-03  1.61970684e+01  5.15850000e-02  1.22510000e+04  4.30900000e-10  0.00000000e+00
1.13809320e-03  1.61984766e+01  5.15880000e-02  1.21300000e+04  4.63300000e-10  0.00000000e+00
1.14947410e-03  1.61996524e+01  5.15910000e-02  1.20100000e+04  4.98000000e-10  0.00000000e+00
1.16096880e-03  1.62008161e+01  5.15930000e-02  1.18920000e+04  5.35200000e-10  0.00000000e+00
1.17257850e-03  1.62019808e+01  5.15960000e-02  1.17750000e+04  5.75200000e-10  0.00000000e+00
1.18430430e-03  1.62030715e+01  5.15990000e-02  1.16590000e+04  6.18100000e-10  0.00000000e+00
1.19614730e-03  1.62039630e+01  5.16020000e-02  1.15440000e+04  6.64100000e-10  0.00000000e+00
